"id","value.1995","value-ncu.1995","value.1996","value-ncu.1996","value.1997","value-ncu.1997","value.1998","value-ncu.1998","value.1999","value-ncu.1999","value.2000","value-ncu.2000","value.2001","value-ncu.2001","value.2002","value-ncu.2002","value.2003","value-ncu.2003","value.2004","value-ncu.2004","value.2005","value-ncu.2005","value.2006","value-ncu.2006","value.2007","value-ncu.2007","value.2008","value-ncu.2008","value.2009","value-ncu.2009","value.2010","value-ncu.2010","value.2011","value-ncu.2011","value.2012","value-ncu.2012","value.2013","value-ncu.2013"
"BR",519.0159289,125,462.7286307358,143,462.4289013135,165,414.579573626,166,275.2543991582,187,268.133912787,195,222.0449191146,226,189.4808531345,265,174.2133042308,292,205.6752840996,354,260.46282868,400,306.8541720813,447,357.8875680328,494,415.376979615,585,402.1294371905,661,521.8659672718,818,572.8470322,914,511.7706953,1000,485.4536873018,1127
"BS",450.1668166936,334,471.6867764684,353,513.517420117,397,576.6827139909,459,594.5484180013,497,620.0814941514,523,616.7122373394,522,625.03415524,550,642.6147860132,572,686.1007785828,618,636.167091833,602,792.34848,756,767.6227998452,754,769.4078866656,767,764.2894087478,754,747.9671039505,735,773.3242521264,754,730,730,701.5629347454,714
"BT",40.9506754653,513,87.0246905592,1077,94.9871613675,1425,92.074135336,1580,78.3955416192,1664,80.2841198936,1862,74.7247073625,1877,103.9463156798,2882,59.4051865176,1762,54.52640808,1604,77.0210977632,2312,84.9710311675,2621,112.7601971592,3727,139.663169155,4399,121.785781925,4250,112.2491327297,4597,117.2227604436,4878,76.0252901368,3548,66.6202714342,3883
"BW",225.6842056745,181,192.9807817484,218,214.6927961716,284,181.007993081,302,176.00857211,350,220.196546697,482,272.435283738,738,308.9840296319,919,251.092083546,603,350.726790704,881,353.3990860476,1107,279.495376342,1085,271.5296540999,1163,283.948957312,1460,281.639750278,1574,265.2544531895,1681,253.7007167175,1703,233.7243302817,1779,214.361866932,1905
"BY",226483.400567214,571,64077.9288761695,887,42096.8278052637,1967,21864.8232444,3196,4315.6620139429,14221,1279.64294166,42335,871.2625254995,82055,688.1026109475,120985,690.4624057947,181841,744.1172957799,253197,837.8377993405,338153,823.8024635659,366691,898.2151595235,451233,868.1924002569,525853,671.2422777179,562051,753.9260939227,747737,385.081497498,1091910,261.4752887502,2179909,255.430311059696,2699248
"BZ",95.2105068152,158,73.2143440912,124,81.4808944368,136,77.993279958,132,77.9382436764,129,87.80513,146,99.453606549,165,86.5334408584,146,110.9301844924,182,108.1395028951,181,116.232149447,199,121.955766923,218,138.984693978,260,141.232564602,270,162.1223654594,302,159.8529433942,302,153.8457833679,303,145.046104925,290,138.6832552672,283
"CA",1846.233424648,1765,1808.7183393908,1748,1810.359972606,1797,1799.722342033,1910,1833.4009187965,1985,1906.1227751868,2151,1920.6688393884,2297,1972.800483588,2420,2289.5042100988,2591,2529.1545124545,2745,2776.712556346,2897,3037.4647276457,3047,3286.7367584777,3223,3394.0087569165,3435,3417.5965880462,3626,3864.6350212988,3793,4009.0925774612,3902,3960.2134903839,3957,3863.5385961193,4031
"CD",,,,,,,,,16.3260680205,3,1.9972801901,13,1.5040833484,67,1.3139808444,98,5.0492311632,498,5.4591922182,563,4.945530824,790,6.3989686332,1131,7.7231177748,1788,12.691124082,3835,9.849667041,5778,7.970028011,6095,8.1314686596,6942,7.8302503092,7194,8.4320331264,7776
"CF",8.4946649472,2799,6.8420112772,2332,6.3023748867,2449,5.77397851,2342,7.6426775374,3314,7.6864015488,3848,6.4942737031,3503,7.3916323257,3857,8.2022578209,3681,7.9182689633,3239,9.2441323128,3916,8.6950100241,3771,11.285882331,4569,12.008468079,4866,7.429642784,3284,9.6805183901,4579,9.7713378277,4489,9.2257065615,4705,6.116326848,3240
"CG",50.6367770163,7283,45.9733621854,7998,43.2375876445,9005,50.030975232,8616,35.9000700128,8344,22.684736569,8965,24.3439147778,8527,25.230340128,8256,30.1228718868,7854,35.2080042498,9753,38.7593001553,13001,41.9883693789,16563,45.2792921565,16545,39.8799650592,16968,36.2568092382,12939,44.3536915744,20056,66.7589981395,31855,99.3791965516,50708,109.7006753325,50015
"CH",787.4004410888,814,781.4513127438,846,654.9922141928,836,664.56028069,844,668.0103523636,881,599.3358199972,902,696.145246516,1060,821.2683955014,1162,974.380614956,1201,1022.0433474768,1173,1018.1136358374,1173,964.7774069648,1144,1025.2264323639,1193,1328.8468159932,1434,1421.247470266,1534,1465.3938525642,1521,1800.1859305528,1597,1840.70582623,1726,1889.282078075,1750
"CI",22.2092925857,6197,25.7044031211,7689,25.3474386088,8932,23.6830942175,8915,21.3643312155,8505,17.3965837758,8286,12.1675490192,6256,14.7354113984,7084,16.2808002945,6795,19.2864045007,7181,14.4436815081,6147,16.961544972,6590,19.3333584444,7007,19.6316331534,8262,24.3179729658,9774,21.7653364416,10182,19.8855750447,9483,23.3418891255,11671,27.2232526013,13297
"CK",,373,,325,,259,,300,,272,,348,,546,,450,,509,,494,,588,,553,,581,,598,,652,,702,,588,,556,,578
"CL",188.6998068852,34242,198.7693018782,38453,203.5226374576,41726,197.850284721,45495,182.4756396507,47641,196.1673839712,57132,201.6766936632,71967,177.0495450615,71595,186.494601425,79750,218.0102865748,88502,237.3661610735,94769,263.6207114751,112219,294.9232496364,129591,335.136454,148000,364.1284761471,178669,399.5596678104,194616,445.9496652,213000,479.587428503,233315,511.5186387309,257559
"CM",8.229586617,2814,8.3905841404,2926,8.850416121,3417,6.594126402,2865,7.5329595018,3161,7.0734550266,3723,8.5210228532,4708,10.4357941563,5659,13.1027664055,5947,12.2948898141,5149,12.2202927612,5238,11.8908816408,5256,12.8947527975,5275,13.5641495297,5357,15.4416134913,6683,17.8754924517,8333,22.348298412,10230,19.3007780944,9848,22.3834484384,11212
"CN",6.4496086644,31,7.4460528838,38,8.5838313132,44,10.730934918,54,11.9806636286,59,11.7810981734,58,12.3549868096,62,14.166210204,72,16.224558073,85,17.4808442172,98,19.9769399536,116,21.480903488,128,25.17185934,150,30.4223153152,179,41.049772944,240,47.017695849,285,52.497418802,326,57.6644322072,364,61.17610356,390
"CO",154.012788748,36868,190.923899319,58830,147.9454629042,68534,111.0807296208,70407,87.080395038,75530,75.0258303915,81295,55.8366558384,70982,50.7120491361,74393,48.1009020852,86622,38.2875549222,67569,49.7000086752,81744,49.0964662608,86898,55.813284072,91335,54.7822319276,91291,46.635562681,88145,54.08874324,93400,59.8511190883,107669,64.2691001295,115485,62.4330761073001,118623
"CR",105.0316180944,3728,100.1993586204,4758,87.776544276,5364,152.7554583945,11573,131.4289042245,12717,120.4917864282,13453,67.7250794721,8763,100.0038089788,15458,93.1919648908,17282,76.18895172,17360,66.9073471335,18399,62.5299667328,20426,69.7357375392,25176,72.5690061495001,29995,75.915075324,37048,82.6278127288,39931,131.0379327627,63659,146.9419823694,73897,143.2968681912,75199
"CU",,101,,108,,114,,121,,139,,151,,161,,172,,181,,186,,282,,332,,515,,557,,623,,555,,616,,526,,561
"CV",45.8265528864,2574,42.6217363845,2667,41.1438348218,2974,42.7356510885,3365,35.3197845639,3141,33.3693733824,3344,38.021491935,3969,41.9532997352,4156,51.5773959824,4336,59.8231916325,4539,62.9925851484,4806,79.2825939048,6171,82.8820721235,6071,84.0679953999,5937,85.9334709672,6554,90.0227773336,7244,90.1311613566,7098,83.3081242275,7145,83.8081656999,7097
"CY",387.7429733376,186,395.16352576,200,395.6736196184,226,489.446014011,290,495.395476506,315,449.775383942,340,456.1910202465,371,547.0754081832,426,724.456878886,502,751.0697682277,487,734.3242674408,486,762.20125236,516,820.4096322998,538,968.5621924974,621,1019.0536873491,691,999.1696059325,725,1052.8310962135,745,897.316027155,698,872.6918235961,647
"CZ",89.5200091918,1459,66.8318910768,1224,48.1772846856,1112,44.3548256031,1143,45.1025113132,1276,41.4405921216,1327,39.37141338,1300,53.3683098027,1557,80.1158064432001,2032,79.7859437144,1918,81.4543050411,1819,94.4067741994,1999,98.2768347907,1931,111.0076506,1870,116.9915325125,2251,111.2724120379,2111,101.765680024,1772,86.83427603,1700,81.8568297379002,1633
"DE",513.2058369681,327,458.7778182765,309,335.8767824118,261,320.8790712705,255,308.9903317756,257,274.2593655348,261,275.3007248082,273,291.497456695,278,351.4110926451,283,375.1264984311,279,371.4933114868,277,369.8793503188,274,403.5456577134,278,444.2422013856,288,438.8568715504,304,418.6409574732,308,435.3524127414,309,406.2412046384,316,416.163397792,320
"DJ",25.980949044,2664,22.7780241363,2419,27.3337597972,2974,35.6414299136,3968,46.682625015,5298,40.68016634,4730,36.3765402907,4321,36.8434359054,4374,44.9054102145,5433,50.6172316968,6332,55.871356808,7204,54.5439043776,7282,65.004582645,9110,72.853862708,11195,77.2334186992,12059,68.190982314,11063,68.6520590749,11711,74.9298627677,13313,72.8207251472,13256
"DK",3406.8757496071,13109,3392.9493510352,13784,3032.5744957486,14311,3037.260567105,14715,3347.5836413976,17169,2893.628794387,17711,2961.2167914552,19128,3216.7905124176,20164,3934.798006096,20920,4476.4636109956,22148,4625.9213996632,23569,4894.4089253754,25254,5430.4768682944,26234,5854.0945785378,27606,5904.291525264,29472,5494.6151986908,30004,5689.155554953,29870,5320.3439511822,30818,5283.2897569935,30055
"DM",173.0982200841,353,177.752248821,378,190.122651522,410,185.9652362512,413,189.727216536,429,191.8346862214,431,188.822300766,431,187.355546433,430,192.244528666,428,184.75206253,428,186.28662229,428,199.42509887,470,209.7497984839,503,217.107540464,530,260.6464591821,687,290.7022052135,745,289.044428616,765,279.671396554,755,295.3041914604,794
"DO",75.191493435,218,85.4912269959,257,108.0423031146,383,137.3110673634,542,152.8717432704,672,169.8358067376,816,138.3019953364,721,143.871407433,830,73.8754678219,947,38.3695323471,1021,56.4498799452,1116,73.0625264198,1678,83.308199091,2015,80.2243837619,2231,75.9306950228,2276,71.6274454608,2322,84.3913128851,3089,92.1127249836,3618,83.4894256912,3592
"DZ",95.8593574929,1041,80.0422548498,1233,74.7133123638,1298,74.1953649762,1271,61.8104376598,1333,71.7732506624,2144,85.5328429692,2607,82.1169239539,2617,88.5995015081,2971,89.5346417028,3138,80.1515475024,3317,80.6618759989,3659,101.9612685195,4695,123.9616011487,6137,135.2937187833,6699,123.4101728032,7256,140.24197326,9514,166.108217877,12882,159.70252761,12900
"EC",54.6397318818,26,65.3774137632,32,60.6964533504,32,51.9910408647,27,43.4004183467,17,30.5919596356,11,39.2416190874,18,48.897537525,25,49.5198468156,28,47.4956940416,28,50.3843903328,32,58.314918304,40,73.81584,54,73.242650224,61,79.9224392224,67,85.4710754513,77,89.7126504354,86,108,108,133.6026595876,137
"EE",431.09543115,108,452.2339548844,148,423.1035946192,176,389.9375471184,173,50.5888035624999,25,40.2455795136,24,39.7382131198,26,44.5184234993,29,58.1556703299,33,66.5442425232,36,75.1095804255,43,90.7610702096001,56,111.142630137,70,152.2872252096,96,109.2827539564,73,102.5683953833,73,110.0693364078,77,105.4139592898,82,107.984909075,85
"EG",45.593051103,45,45.3431953968,48,52.6780070843,59,59.3248791537,69,66.1970788596,78,69.3485671422,86,68.8743336098,94,61.5943416819,103,45.5580964975,95,37.0216924107,103,39.843656654,115,50.9556468801,151,47.9755879902,159,52.6785878997,189,55.5229361742,222,51.4298690372,226,53.5077519492,277,49.1053760605,295,46.869430311,330
"ER",32.7798238889,23,21.7969415899,17,28.0466010525,25,27.2101239844,28,24.302991285,30,15.4405283967,27,12.2655638591,29,11.5074311742,39,8.524257196,35,8.0555616248,41,6.2218679688,38,7.935190623,54,7.9453282034,58,8.9680644328,76,6.5622164544,72,6.6156420816,81,6.8460676785,95,6.9594227915,107,6.8042065985,115
"ES",974.8566242994,467,1028.320961577,518,985.5297940411,587,1018.0054799546,634,1041.7339972344,696,921.075736245,735,917.4773557437,787,1002.46926023,851,1343.2924261632,992,1516.790890968,1060,1570.6183623003,1143,1659.7739741856,1248,1875.3361476074,1334,2136.5016149421,1449,2134.7376021531,1531,2006.8648019784,1512,2023.3889238532,1454,1759.950378872,1369,1688.3132615461,1279
"ET",7.43047774,10,6.9301314,10,8.0998440828,12,8.8911221714,14,9.7313817519,17,11.9971963824,24,11.8215873869,23,12.5075168376,24,11.9705664312,26,12.1330908496,28,14.258596932,36,15.3211852319,43,16.552611328,55,14.6615416399,67,15.1922584025,95,14.95741116,120,15.4881622284,186,13.7946656218,239,14.34657406,280
"FI",1566.8139534318,873,1558.7591350977,911,1408.4894549496,948,1362.1140962752,976,1336.0422174244,1009,1195.0713563685,1059,1223.6685187204,1156,1389.5958474462,1257,1751.4631610424,1326,2017.964876646,1398,2149.62449115,1500,2263.0167778572,1581,2485.9345333965,1635,2740.036418227,1730,2617.4307143433,1779,2500.216481539,1790,2698.513719741,1890,2524.8680206504,1964,2650.4730624447,2043
"FJ",112.1676786296,88,127.6817977756,101,127.884214821,110,85.2734136905,107,93.2372091924,119,104.5131006348,143,80.7216503474,122,93.9520578333,141,103.439497351,145,127.6068508598,167,137.951104257,181,139.9887220875,195,137.1616452393,183,134.1559071175,185,113.6766454005,195,118.5749756256,208,116.5612847866,202,121.7965462194,218,123.3641061198,234
"FM",225.8448560046,159,203.7811044232,146,171.974668636,124,153.167205093,114,165.4144144198,122,167.638980725,125,193.7057633694,146,180.3783424848,136,221.0237433942,166,231.9536961984,176,264.61311768,205,253.1871803314,199,260.3275218273,211,273.8593360043,233,298.6885643739,267,325.3871282396,301,325.9995706477,311,297,297,296.490948362,301
"FR",161.6267348928,96,161.97566314,100,145.0836416144,103,139.4526431592,101,135.9665995911,103,122.7337827521,109,120.9087508189,113,140.3847079778,127,119.5282391904,92,137.721706185,98,136.7489462328,99,145.8220348706,107,163.8998703126,113,177.9815961027,117,188.4097463304,131,172.1554445378,127,185.8783318524,132,174.8379935656,136,181.8419658624,138
"GA",125.8323611688,24552,130.5082663896,29634,99.2563597148,25957,141.747547782,30804,89.2444218246,24129,72.5858038698,29066,81.264603784,31408,79.2824215053,29471,120.7067290112,37504,122.042107692,36885,93.4687057744,34408,99.5625082518,39997,122.504926272,46040,107.7636148416,43584,124.485702172,43940,124.7358020472,55192,154.2275557092,74658,153.7005374586,78426,176.9127733205,86429
"GB",1662.8030155075,725,1686.4301079168,764,1719.3460218732,756,1817.0730311755,805,1901.5723998034,881,1847.7145033725,921,1862.9172638,1000,2073.595247021,1094,2403.489532094,1190,2888.1730691554,1306,3021.9692808262,1402,3196.4258212238,1507,3549.5222537776,1576,3433.3413945983,1699,3085.5400101718,1849,2992.695695183,1871,3045.2138478624,1878,3029.5201950195,1911,2957.6668191717,1923
"GD",118.24704304,224,122.2419014586,238,129.1418814781,257,141.552974992,286,184.60764585,375,230.224826076,476,294.7880454967,623,237.6025922592,504,224.6885647524,476,196.5716332925,425,239.278026962,530,252.1653692856,584,241.3729922032,572,225.641877342,577,239.6879100074,613,238.5420916334,613,242.85619225,625,221.2541589555,597,235.2203486465,635
"GE",3.0253465002,1,12.9912214314,6,15.4622884784,8,13.6403514032,8,7.5318404098,7,8.452597888,8,10.4997543772,11,10.1777846376,12,7.5514420215,9,8.669311728,10,20.3812232544,24,20.720515699,26,16.2607901967,21,15.0266275422,19,11.5245635648,16,14.3045482239,23,18.007784238,30,18.7739137076,31,23.6004315183,39
"GH",222.5676620186,1,229.1136219424,2,132.9983309678,2,146.5187897154,3,108.4893375753,3,46.5549265902,3,55.7569743432,6,37.3862255526,6,37.1271927824,8,52.3078560765,15,48.7274261392,16,61.9988912341,23,56.79697294,25,51.7950326612,31,48.4151594625,45,53.6494617726,59,54.0969268157,71,46.2186395238,83,40.4554592116,92
"GM",21.9706440783,73,19.850648298,68,18.0399988782,67,23.597174392,92,22.5011593647,97,20.244646141,101,18.6735303216,132,12.00282459,124,12.0887003769,219,13.9688638664,314,16.236135108,360,18.1129002918,402,21.5513888044,442,25.6098675393,479,21.7686415896,513,21.3523747685,545,20.4620795428,574,18.71650404,600,15.3775760736,624
"GN",36.5028960163,5761,22.5503934624,3636,20.766383469,3705,23.8651419368,4924,23.8343605008,5711,19.535951991,6486,19.8633751575,7725,20.5222573785,8313,22.1811002875,9625,13.127205936,7440,5.1299379486,6066,4.3104671565,10005,3.2859548744,6919,5.7455712963,15213,9.1893971214,26974,11.7834177702,47902,7.2049512948,41972,8.305160601,58382,8.0826835299,59359
"GQ",45.5257274576,6224,50.2580305289,7121,87.9440528028,12333,141.8327561544,13736,103.9716061412,14639,116.1020578122,31134,110.0858664578,26758,111.6506003886,25389,203.324068976,38801,265.156325798,53780,227.1753354153,65627,304.5412930378,99779,408.102562928,125326,521.7467677113,188567,1096.1744409336,290633,688.0149388452,251522,626.6260986155,268865,617.824559576,315416,577.3833498818,274246
"GR",740.8431606748,292,720.6967030773,317,620.181853434,330,492.1145109374,298,535.9748185778,346,402.088187904,320,489.537742302,420,524.1998710431,441,647.7967722622,473,669.9062126974,458,733.653140547,510,788.52988885,557,855.5519805976,572,935.495521821,610,794.490598328,560,662.872673136,496,707.308648224,510,587.5076107085,457,642.8223899778,474
"GT",29.695736502,60,23.3820280962,54,29.3398382671,73,33.093081408,96,42.7795890938,149,37.5810752751,147,36.6243978984,156,33.4602362435,151,35.522235964,170,31.8877065414,162,38.7936124,200,47.6745970816,257,45.1187373209,263,47.0955030432,296,48.8207611115,343,53.3384571396,389,45.6535381184,344,42.6364615176,334,46.218764025,375
"GW",10.582884936,1710,14.6587199517,2409,9.4607534394,3006,6.2490881536,2176,3.8304133057,1577,2.1832906067,1141,1.7469478516,1004,4.7431490732,2636,5.85223464,2580,4.2454833057,1677,5.5188854714,2302,5.4915222492,2223,7.772177075,3005,7.106279616,2880,11.38001832,4752,13.0899133365,5915,9.0047886452,4414,7.5658507138,3862,6.5649061008,3141
"GY",85.1210801371,4669,90.1068621018,5063,99.1398222647,5789,93.768685956,5868,72.1214206045,5963,89.3246574632,8038,86.1811504974,8001,85.7206626802,8389,80.277215711,8405,76.8511419904,8704,71.2453552216,8764,83.596382512,10910,117.554805797,17485,162.0442791366,26418,161.8824302124,27022,140.853631694,25033,153.3029543044,29572,151.343898486,30930,161.12147766,33150
"HN",73.2966369667,161,49.4845008755,167,43.3963312437,199,54.8423872651,289,48.6532183734,303,74.2886276085,531,71.6427691919,577,72.98907248,656,85.8683244672,862,72.40861201,812,61.0632911528,758,57.0353118975,747,60.863036795,850,62.3048585138,938,77.5040558048,1256,73.8689590352,1253,73.1163154878,1334,68.881130502,1348,68.9892917233,1433
"HR",29.1037182156,79,44.9668494396,132,13.12108666,40,13.9254411840001,48,14.7993408445,59,11.4269998144,64,10.7064542781,63,9.58471822550001,55,11.0258665328,56,13.4746795584,64,125.3790435484,607,164.2141049563,811,273.142537161,1290,265.4263565284,1219,244.2191414845,1235,259.2869938528,1376,53.1293232501,279,49.30281144,288,50.2907506975999,289
"HT",62.724102714,140,52.5842123807,143,52.4094299838,162,41.7278978732,154,35.7060446549,139,29.8739744664,152,21.0173777125,145,17.394662115,150,12.9062894124,211,16.014716172,312,7.553641892,170,10.3809187455,285,11.4703656008,307,11.4211622216,353,16.9275882301,577,19.3402747161,689,14.240288105,545,6.8543655105,285,5.3927198736,248
"HU",189.2692700244,6802,129.1291114512,6888,102.8065966176,8067,86.819475829,8887,78.4386348423,9579,65.7502785045,10485,68.6916513234,12374,95.2494177,16750,125.3155140604,20204,123.112551072,18880,132.1593767018,20447,124.720384592,21052,148.97332996,23140,148.0953717074,22699,113.42687538,21165,109.3392154534,21466,115.001929011,22359,104.2160971124,23462,111.0070348758,25026
