country,region,year,oda-gross-bl-dest-region
11,89,2006,12310445
11,298,2006,4331650
11,298,2006,57247687
11,498,2006,10523325
11,498,2006,33653601
11,798,2006,1331925
11,798,2006,16638665
11,798,2006,31996419
11,889,2006,289549
11,999,2006,59768269
12,89,2006,51491821
12,298,2006,6393782
12,298,2006,910055635
12,498,2006,80013569
12,498,2006,47644693
12,798,2006,7325329
12,798,2006,124011916
12,798,2006,219810196
12,889,2006,5648124
12,999,2006,249012
14,89,2006,0
14,298,2006,0
14,298,2006,0
14,498,2006,0
14,498,2006,0
14,798,2006,0
14,798,2006,0
14,798,2006,0
14,889,2006,0
14,999,2006,0
15,89,2006,190529341
15,298,2006,65723392
15,298,2006,37269772424
15,498,2006,2586724280
15,498,2006,2065736677
15,798,2006,185061834
15,798,2006,3413325315
15,798,2006,901542378
15,889,2006,8559760
15,999,2006,0
16,89,2006,0
16,298,2006,0
16,298,2006,0
16,498,2006,0
16,498,2006,0
16,798,2006,0
16,798,2006,0
16,798,2006,0
16,889,2006,0
16,999,2006,0
17,89,2006,0
17,298,2006,0
17,298,2006,0
17,498,2006,0
17,498,2006,0
17,798,2006,0
17,798,2006,0
17,798,2006,0
17,889,2006,0
17,999,2006,0
18,89,2006,0
18,298,2006,0
18,298,2006,0
18,498,2006,0
18,498,2006,0
18,798,2006,0
18,798,2006,0
18,798,2006,0
18,889,2006,0
18,999,2006,0
21,89,2006,78108688
21,298,2006,0
21,298,2006,3947117869
21,498,2006,565430927
21,498,2006,382505567
21,798,2006,0
21,798,2006,394284413
21,798,2006,96825124
21,889,2006,0
21,999,2006,0
22,89,2006,0
22,298,2006,0
22,298,2006,0
22,498,2006,0
22,498,2006,0
22,798,2006,0
22,798,2006,0
22,798,2006,0
22,889,2006,0
22,999,2006,0
24,89,2006,0
24,298,2006,0
24,298,2006,0
24,498,2006,0
24,498,2006,0
24,798,2006,0
24,798,2006,0
24,798,2006,0
24,889,2006,0
24,999,2006,0
25,89,2006,0
25,298,2006,0
25,298,2006,0
25,498,2006,0
25,498,2006,0
25,798,2006,0
25,798,2006,0
25,798,2006,0
25,889,2006,0
25,999,2006,0
26,89,2006,0
26,298,2006,0
26,298,2006,0
26,498,2006,0
26,498,2006,0
26,798,2006,0
26,798,2006,0
26,798,2006,0
26,889,2006,0
26,999,2006,0
27,89,2006,1713760
27,298,2006,575376
27,298,2006,22188187
27,498,2006,3809223
27,498,2006,2342422
27,798,2006,299276
27,798,2006,3823881
27,798,2006,4782679
27,889,2006,813342
27,999,2006,168862215
28,89,2006,18440385
28,298,2006,6161574
28,298,2006,275493832
28,498,2006,22944631
28,498,2006,12595357
28,798,2006,12628575
28,798,2006,105922643
28,798,2006,57771631
28,889,2006,7131156
28,999,2006,352884
29,89,2006,0
29,298,2006,0
29,298,2006,0
29,498,2006,0
29,498,2006,0
29,798,2006,0
29,798,2006,0
29,798,2006,0
29,889,2006,0
29,999,2006,0
31,89,2006,3569809
31,298,2006,7623496
31,298,2006,105827092
31,498,2006,15109512
31,498,2006,9746156
31,798,2006,11413986
31,798,2006,55565343
31,798,2006,32747093
31,889,2006,3575893
31,999,2006,2218308
32,89,2006,0
32,298,2006,0
32,298,2006,0
32,498,2006,0
32,498,2006,0
32,798,2006,0
32,798,2006,0
32,798,2006,0
32,889,2006,0
32,999,2006,0
33,89,2006,11512773
33,298,2006,8025874
33,298,2006,342560850
33,498,2006,16152421
33,498,2006,13543510
33,798,2006,22889312
33,798,2006,133292760
33,798,2006,46145316
33,889,2006,5316697
33,999,2006,256289561
34,89,2006,0
34,298,2006,0
34,298,2006,0
34,498,2006,0
34,498,2006,0
34,798,2006,0
34,798,2006,0
34,798,2006,0
34,889,2006,0
34,999,2006,0
35,89,2006,0
35,298,2006,0
35,298,2006,0
35,498,2006,0
35,498,2006,0
35,798,2006,430625408
35,798,2006,0
35,798,2006,0
35,889,2006,0
35,999,2006,0
37,89,2006,0
37,298,2006,0
37,298,2006,0
37,498,2006,0
37,498,2006,0
37,798,2006,0
37,798,2006,0
37,798,2006,0
37,889,2006,0
37,999,2006,0
38,89,2006,0
38,298,2006,0
38,298,2006,0
38,498,2006,0
38,498,2006,0
38,798,2006,0
38,798,2006,0
38,798,2006,0
38,889,2006,0
38,999,2006,0
KW,89,2006,0
KW,298,2006,0
KW,298,2006,0
KW,498,2006,0
KW,498,2006,0
KW,798,2006,0
KW,798,2006,0
KW,798,2006,0
KW,889,2006,0
KW,999,2006,0
AE,89,2006,0
AE,298,2006,0
AE,298,2006,0
AE,498,2006,0
AE,498,2006,0
AE,798,2006,0
AE,798,2006,0
AE,798,2006,0
AE,889,2006,0
AE,999,2006,0
AU,89,2007,2422149
AU,298,2007,19962587
AU,298,2007,104682403
AU,498,2007,1113597
AU,498,2007,1720790
AU,798,2007,468757484
AU,798,2007,213503451
AU,798,2007,997957614
AU,889,2007,935419809
AU,999,2007,520816014
AT,89,2007,141934482
AT,298,2007,28873284
AT,298,2007,425741429
AT,498,2007,21928222
AT,498,2007,6165029
AT,798,2007,528045753
AT,798,2007,77028899
AT,798,2007,29370670
AT,889,2007,975383
AT,999,2007,122618052
BE,89,2007,2292904
BE,298,2007,41276151
BE,298,2007,669290361
BE,498,2007,24316934
BE,498,2007,65719946
BE,798,2007,29439495
BE,798,2007,27027646
BE,798,2007,62267250
BE,889,2007,61338
BE,999,2007,434976958
CA,89,2007,47817887
CA,298,2007,38464540
CA,298,2007,901037024
CA,498,2007,238891813
CA,498,2007,102630693
CA,798,2007,110474584
CA,798,2007,437237375
CA,798,2007,175545953
CA,889,2007,386681
CA,999,2007,624524099
CZ,89,2007,0
CZ,298,2007,0
CZ,298,2007,0
CZ,498,2007,0
CZ,498,2007,0
CZ,798,2007,0
CZ,798,2007,0
CZ,798,2007,0
CZ,889,2007,0
CZ,999,2007,0
DK,89,2007,0
DK,298,2007,49450571
DK,298,2007,708061023
DK,498,2007,51230915
DK,498,2007,28938881
DK,798,2007,69358724
DK,798,2007,135154658
DK,798,2007,122079457
DK,889,2007,147330
DK,999,2007,364142963
FI,89,2007,16144790
FI,298,2007,6727137
FI,298,2007,231625286
FI,498,2007,33188483
FI,498,2007,12441422
FI,798,2007,18456074
FI,798,2007,68846984
FI,798,2007,61661000
FI,889,2007,0
FI,999,2007,158914901
FR,89,2007,262272837
FR,298,2007,1083016935
FR,298,2007,3358965694
FR,498,2007,166483897
FR,498,2007,242736663
FR,798,2007,1009902285
FR,798,2007,288872846
FR,798,2007,565345598
FR,889,2007,131039044
FR,999,2007,568560223
DE,89,2007,502527616
DE,298,2007,524731109
DE,298,2007,2074667733
DE,498,2007,177760316
DE,498,2007,426989763
DE,798,2007,2543694237
DE,798,2007,985449680
DE,798,2007,1096258494
DE,889,2007,911520
DE,999,2007,954338207
GR,89,2007,99548499
GR,298,2007,9919075
GR,298,2007,20367987
GR,498,2007,2585880
GR,498,2007,2276480
GR,798,2007,20229692
GR,798,2007,33673212
GR,798,2007,1242755
GR,889,2007,600982
GR,999,2007,62258620
IS,89,2007,0
IS,298,2007,0
IS,298,2007,0
IS,498,2007,0
IS,498,2007,0
IS,798,2007,0
IS,798,2007,0
IS,798,2007,0
IS,889,2007,0
IS,999,2007,0
IE,89,2007,4871224
IE,298,2007,462144
IE,298,2007,422171255
IE,498,2007,15190057
IE,498,2007,7879579
IE,798,2007,15271408
IE,798,2007,25410164
IE,798,2007,36388332
IE,889,2007,19020
IE,999,2007,195861820
IT,89,2007,72990644
IT,298,2007,146456338
IT,298,2007,313051223
IT,498,2007,85505294
IT,498,2007,64141296
IT,798,2007,597437843
IT,798,2007,72030517
IT,798,2007,125895872
IT,889,2007,378625
IT,999,2007,119597193
JP,89,2007,407998974
JP,298,2007,434692485
JP,298,2007,2703931608
JP,498,2007,321536025
JP,498,2007,568953594
JP,798,2007,1441750536
JP,798,2007,2012201329
JP,798,2007,6191497254
JP,889,2007,128055102
JP,999,2007,1608314372
KR,89,2007,16557122
KR,298,2007,13170570
KR,298,2007,55699045
KR,498,2007,23094237
KR,498,2007,28693877
KR,798,2007,67350595
KR,798,2007,74072114
KR,798,2007,165695114
KR,889,2007,4016007
KR,999,2007,42043804
LU,89,2007,13777151
LU,298,2007,2465603
LU,298,2007,141539587
LU,498,2007,26567460
LU,498,2007,11349669
LU,798,2007,8205113
LU,798,2007,12744165
LU,798,2007,33029000
LU,889,2007,0
LU,999,2007,26739480
NL,89,2007,65689036
NL,298,2007,15817127
NL,298,2007,1706155760
NL,498,2007,66862261
NL,498,2007,210979921
NL,798,2007,71737330
NL,798,2007,285637312
NL,798,2007,225325612
NL,889,2007,0
NL,999,2007,2124207330
NZ,89,2007,0
NZ,298,2007,0
NZ,298,2007,12504148
NZ,498,2007,2466078
NZ,498,2007,3448567
NZ,798,2007,3513048
NZ,798,2007,15150079
NZ,798,2007,49592840
NZ,889,2007,153145818
NZ,999,2007,49043133
NO,89,2007,140295766
NO,298,2007,4588745
NO,298,2007,1119025050
NO,498,2007,79829448
NO,498,2007,260775456
NO,798,2007,202335206
NO,798,2007,417022127
NO,798,2007,180068789
NO,889,2007,759828
NO,999,2007,1150409353
PT,89,2007,34352160
PT,298,2007,619071
PT,298,2007,143269415
PT,498,2007,328984
PT,498,2007,4442337
PT,798,2007,12090599
PT,798,2007,9304425
PT,798,2007,50639205
PT,889,2007,0
PT,999,2007,18787734
ES,89,2007,144424103
ES,298,2007,256747765
ES,298,2007,499749614
ES,498,2007,679811545
ES,498,2007,435667939
ES,798,2007,166724433
ES,798,2007,87708682
ES,798,2007,202125565
ES,889,2007,142389
ES,999,2007,939437127
SE,89,2007,183554583
SE,298,2007,6577011
SE,298,2007,1078505279
SE,498,2007,141452666
SE,498,2007,78005656
SE,798,2007,124611756
SE,798,2007,209591938
SE,798,2007,159813464
SE,889,2007,412149
SE,999,2007,1189236373
CH,89,2007,143714377
CH,298,2007,17535852
CH,298,2007,397949667
CH,498,2007,73355500
CH,498,2007,78702626
CH,798,2007,44170679
CH,798,2007,215374027
CH,798,2007,76872658
CH,889,2007,278383
CH,999,2007,634848250
GB,89,2007,57512404
GB,298,2007,1355417
GB,298,2007,2508024581
GB,498,2007,90984006
GB,498,2007,16925570
GB,798,2007,120170612
GB,798,2007,1406237974
GB,798,2007,390240826
GB,889,2007,5641178
GB,999,2007,1993819525
US,89,2007,456696358
US,298,2007,772840175
US,298,2007,4933002835
US,498,2007,880201891
US,498,2007,890895391
US,798,2007,4853749355
US,798,2007,3270321317
US,798,2007,768970927
US,889,2007,185245540
US,999,2007,4342084058
1,89,2007,0
1,298,2007,0
1,298,2007,188526475
1,498,2007,0
1,498,2007,0
1,798,2007,0
1,798,2007,0
1,798,2007,0
1,889,2007,0
1,999,2007,0
2,89,2007,0
2,298,2007,5500413
2,298,2007,1544142631
2,498,2007,0
2,498,2007,0
2,798,2007,0
2,798,2007,0
2,798,2007,0
2,889,2007,0
2,999,2007,0
4,89,2007,0
4,298,2007,0
4,298,2007,0
4,498,2007,0
4,498,2007,0
4,798,2007,0
4,798,2007,0
4,798,2007,0
4,889,2007,0
4,999,2007,0
5,89,2007,0
5,298,2007,0
5,298,2007,0
5,498,2007,0
5,498,2007,0
5,798,2007,0
5,798,2007,0
5,798,2007,0
5,889,2007,0
5,999,2007,0
6,89,2007,0
6,298,2007,0
6,298,2007,0
6,498,2007,0
6,498,2007,0
6,798,2007,0
6,798,2007,0
6,798,2007,0
6,889,2007,0
6,999,2007,0
7,89,2007,0
7,298,2007,0
7,298,2007,0
7,498,2007,0
7,498,2007,0
7,798,2007,0
7,798,2007,0
7,798,2007,0
7,889,2007,0
7,999,2007,0
9,89,2007,0
9,298,2007,0
9,298,2007,0
9,498,2007,0
9,498,2007,0
9,798,2007,0
9,798,2007,0
9,798,2007,0
9,889,2007,0
9,999,2007,0
EU,89,2007,1468096957
EU,298,2007,961235813
EU,298,2007,4312825501
EU,498,2007,663296184
EU,498,2007,406332317
EU,798,2007,895626710
EU,798,2007,886799557
EU,798,2007,457975771
EU,889,2007,96606413
EU,999,2007,1298341626
10,89,2007,892005
10,298,2007,0
10,298,2007,299886060
10,498,2007,189829
10,498,2007,235795
10,798,2007,10713321
10,798,2007,78900347
10,798,2007,20625637
10,889,2007,3158587
10,999,2007,586341108
11,89,2007,11365363
11,298,2007,7177353
11,298,2007,58308739
11,498,2007,26023489
11,498,2007,37168589
11,798,2007,898679
11,798,2007,24834081
11,798,2007,36213762
11,889,2007,-442913
11,999,2007,23080797
12,89,2007,56811143
12,298,2007,13914076
12,298,2007,1076794856
12,498,2007,84722569
12,498,2007,55043950
12,798,2007,13254221
12,798,2007,203804316
12,798,2007,224495436
12,889,2007,11585070
12,999,2007,0
14,89,2007,0
14,298,2007,0
14,298,2007,0
14,498,2007,0
14,498,2007,0
14,798,2007,0
14,798,2007,0
14,798,2007,0
14,889,2007,0
14,999,2007,0
15,89,2007,225795581
15,298,2007,14425345
15,298,2007,6298040419
15,498,2007,173301817
15,498,2007,17703084
15,798,2007,130376769
15,798,2007,3534146370
15,798,2007,1175414337
15,889,2007,12398896
15,999,2007,0
16,89,2007,0
16,298,2007,0
16,298,2007,0
16,498,2007,0
16,498,2007,0
16,798,2007,0
16,798,2007,0
16,798,2007,0
16,889,2007,0
16,999,2007,0
17,89,2007,0
17,298,2007,0
17,298,2007,0
17,498,2007,0
17,498,2007,0
17,798,2007,0
17,798,2007,0
17,798,2007,0
17,889,2007,0
17,999,2007,0
18,89,2007,0
18,298,2007,0
18,298,2007,0
18,498,2007,0
18,498,2007,0
18,798,2007,0
18,798,2007,0
18,798,2007,0
18,889,2007,0
18,999,2007,0
21,89,2007,39473787
21,298,2007,0
21,298,2007,331725257
21,498,2007,31998258
21,498,2007,0
21,798,2007,0
21,798,2007,154162731
21,798,2007,0
21,889,2007,0
21,999,2007,0
22,89,2007,0
22,298,2007,0
22,298,2007,0
22,498,2007,0
22,498,2007,0
22,798,2007,0
22,798,2007,0
22,798,2007,0
22,889,2007,0
22,999,2007,0
24,89,2007,0
24,298,2007,0
24,298,2007,0
24,498,2007,0
24,498,2007,0
24,798,2007,0
24,798,2007,0
24,798,2007,0
24,889,2007,0
24,999,2007,0
25,89,2007,0
25,298,2007,0
25,298,2007,0
25,498,2007,0
25,498,2007,0
25,798,2007,0
25,798,2007,0
25,798,2007,0
25,889,2007,0
25,999,2007,0
26,89,2007,0
26,298,2007,0
26,298,2007,0
26,498,2007,0
26,498,2007,0
26,798,2007,0
26,798,2007,0
26,798,2007,0
26,889,2007,0
26,999,2007,0
27,89,2007,3091433
27,298,2007,2379011
27,298,2007,48696259
27,498,2007,11119565
27,498,2007,4018280
27,798,2007,484224
27,798,2007,8777851
27,798,2007,10205234
27,889,2007,2075591
27,999,2007,115619128
28,89,2007,18980317
28,298,2007,5271282
28,298,2007,251523200
28,498,2007,16818352
28,498,2007,11275848
28,798,2007,14505378
28,798,2007,109670706
28,798,2007,49918251
28,889,2007,5923777
28,999,2007,271881
29,89,2007,0
29,298,2007,0
29,298,2007,0
29,498,2007,0
29,498,2007,0
29,798,2007,0
29,798,2007,0
29,798,2007,0
29,889,2007,0
29,999,2007,0
31,89,2007,4524294
31,298,2007,5124254
31,298,2007,105408997
31,498,2007,13092197
31,498,2007,10309009
31,798,2007,10024954
31,798,2007,49764506
31,798,2007,30927995
31,889,2007,3506872
31,999,2007,0
32,89,2007,0
32,298,2007,0
32,298,2007,0
32,498,2007,0
32,498,2007,0
32,798,2007,0
32,798,2007,0
32,798,2007,0
32,889,2007,0
32,999,2007,0
33,89,2007,10238799
33,298,2007,6882707
33,298,2007,474933587
33,498,2007,20912682
33,498,2007,13401751
33,798,2007,35358146
33,798,2007,142901484
33,798,2007,48410026
33,889,2007,9480478
33,999,2007,287998845
34,89,2007,0
34,298,2007,0
34,298,2007,10207270
34,498,2007,0
34,498,2007,0
34,798,2007,0
34,798,2007,0
34,798,2007,0
34,889,2007,0
34,999,2007,0
35,89,2007,0
35,298,2007,0
35,298,2007,0
35,498,2007,0
35,498,2007,0
35,798,2007,415426349
35,798,2007,0
35,798,2007,0
35,889,2007,0
35,999,2007,0
37,89,2007,0
37,298,2007,0
37,298,2007,0
37,498,2007,0
37,498,2007,0
37,798,2007,0
37,798,2007,0
37,798,2007,0
37,889,2007,0
37,999,2007,0
38,89,2007,0
38,298,2007,0
38,298,2007,0
38,498,2007,0
38,498,2007,0
38,798,2007,0
38,798,2007,0
38,798,2007,0
38,889,2007,0
38,999,2007,0
KW,89,2007,0
KW,298,2007,0
KW,298,2007,0
KW,498,2007,0
KW,498,2007,0
KW,798,2007,0
KW,798,2007,0
KW,798,2007,0
KW,889,2007,0
KW,999,2007,0
AE,89,2007,0
AE,298,2007,0
AE,298,2007,0
AE,498,2007,0
AE,498,2007,0
AE,798,2007,0
AE,798,2007,0
AE,798,2007,0
AE,889,2007,0
AE,999,2007,0
AU,89,2008,1693930
AU,298,2008,10510953
AU,298,2008,94805304
AU,498,2008,262110
AU,498,2008,1448335
AU,798,2008,424267637
AU,798,2008,422383362
AU,798,2008,958243687
AU,889,2008,991098004
AU,999,2008,688159965
AT,89,2008,156215443
AT,298,2008,29716007
AT,298,2008,165528290
AT,498,2008,20762311
AT,498,2008,5841076
AT,798,2008,660582388
AT,798,2008,32509518
AT,798,2008,33515182
AT,889,2008,1377960
AT,999,2008,117097446
BE,89,2008,9994204
BE,298,2008,38576192
BE,298,2008,579079994
BE,498,2008,39064146
BE,498,2008,80973906
BE,798,2008,134606565
BE,798,2008,43108203
BE,798,2008,62257396
BE,889,2008,18640
BE,999,2008,431493656
CA,89,2008,55002130
CA,298,2008,49481628
CA,298,2008,1368043704
CA,498,2008,317869210
CA,498,2008,124644234
CA,798,2008,302001294
CA,798,2008,610563509
CA,798,2008,317700041
CA,889,2008,1053769
CA,999,2008,563850923
CZ,89,2008,0
CZ,298,2008,0
CZ,298,2008,0
CZ,498,2008,0
CZ,498,2008,0
CZ,798,2008,0
CZ,798,2008,0
CZ,798,2008,0
CZ,889,2008,0
CZ,999,2008,0
DK,89,2008,8380638
DK,298,2008,31680901
DK,298,2008,682767745
DK,498,2008,47760654
DK,498,2008,25917556
DK,798,2008,55436076
DK,798,2008,138706782
DK,798,2008,105502036
DK,889,2008,-44440
DK,999,2008,331108464
FI,89,2008,27636195
FI,298,2008,2291310
FI,298,2008,250944092
FI,498,2008,30018211
FI,498,2008,19046705
FI,798,2008,24971989
FI,798,2008,79528804
FI,798,2008,55052395
FI,889,2008,94920
FI,999,2008,175735961
FR,89,2008,411526687
FR,298,2008,882541463
FR,298,2008,2985897305
FR,498,2008,111645078
FR,498,2008,152965111
FR,798,2008,723617361
FR,798,2008,217904891
FR,798,2008,723213857
FR,889,2008,133642436
FR,999,2008,1055681642
DE,89,2008,647475068
DE,298,2008,473810096
DE,298,2008,2810720807
DE,498,2008,278367085
DE,498,2008,604159697
DE,798,2008,2220832752
DE,798,2008,1133725901
DE,798,2008,1154000566
DE,889,2008,4507440
DE,999,2008,1005841574
GR,89,2008,119933191
GR,298,2008,15656306
GR,298,2008,25258733
GR,498,2008,1613699
GR,498,2008,5327010
GR,798,2008,22999398
GR,798,2008,27242929
GR,798,2008,10873752
GR,889,2008,2070315
GR,999,2008,58004133
IS,89,2008,0
IS,298,2008,0
IS,298,2008,0
IS,498,2008,0
IS,498,2008,0
IS,798,2008,0
IS,798,2008,0
IS,798,2008,0
IS,889,2008,0
IS,999,2008,0
IE,89,2008,6700891
IE,298,2008,451193
IE,298,2008,502901777
IE,498,2008,15437947
IE,498,2008,6480503
IE,798,2008,12767537
IE,798,2008,36871742
IE,798,2008,45594802
IE,889,2008,55513
IE,999,2008,168665088
IT,89,2008,83601753
IT,298,2008,41894948
IT,298,2008,364885679
IT,498,2008,63837418
IT,498,2008,91302512
IT,798,2008,980544998
IT,798,2008,155905227
IT,798,2008,54915922
IT,889,2008,1737631
IT,999,2008,103088132
JP,89,2008,637955367
JP,298,2008,652150277
JP,298,2008,1693128883
JP,498,2008,349584603
JP,498,2008,594039950
JP,798,2008,2551552827
JP,798,2008,3941250452
JP,798,2008,5451212461
JP,889,2008,204983974
