country,bundle,year,in-oda-gross-bundle
DJ,C,2006,4863921
DJ,D,2006,118179
DJ,E,2006,14767852
DJ,F,2006,21706513
DJ,G,2006,22219893
DM,A,2006,98601
DM,B,2006,11516589
DM,E,2006,7482838
DM,F,2006,1634389
DM,G,2006,1335518
DO,A,2006,44878689
DO,B,2006,14234174
DO,C,2006,9236254
DO,D,2006,942322
DO,E,2006,63671333
DO,F,2006,22024174
DO,G,2006,76435743
DZ,A,2006,127126551
DZ,B,2006,31926763
DZ,C,2006,5878229
DZ,D,2006,651978
DZ,E,2006,31050658
DZ,F,2006,193373857
DZ,G,2006,61411212
EC,A,2006,4442631
EC,B,2006,22956928
EC,C,2006,15544102
EC,D,2006,4203701
EC,E,2006,79450362
EC,F,2006,9814292
EC,G,2006,155712183
EG,A,2006,308750154
EG,B,2006,174170863
EG,C,2006,105639989
EG,D,2006,700441
EG,E,2006,208620809
EG,F,2006,195232317
EG,G,2006,447349247
ER,A,2006,29421327
ER,B,2006,15769542
ER,C,2006,14801528
ER,D,2006,989957
ER,E,2006,53787792
ER,F,2006,8526698
ER,G,2006,22713683
ET,A,2006,377157428
ET,B,2006,359264790
ET,C,2006,304014167
ET,D,2006,2621362
ET,E,2006,555053038
ET,F,2006,4634172679
ET,G,2006,367139318
FJ,B,2006,3880278
FJ,D,2006,591848
FJ,E,2006,22943358
FJ,F,2006,585061
FJ,G,2006,49722993
GA,A,2006,14464206
GA,B,2006,4361171
GA,E,2006,23345144
GA,F,2006,27787203
GA,G,2006,22941352
GD,A,2006,8569755
GD,B,2006,3251380
GD,C,2006,12171
GD,E,2006,3258608
GD,F,2006,28279
GD,G,2006,1340068
GE,A,2006,83712625
GE,B,2006,157211683
GE,C,2006,25732846
GE,D,2006,369350
GE,E,2006,37206632
GE,F,2006,30031386
GE,G,2006,119729900
GH,A,2006,216665483
GH,B,2006,601440853
GH,C,2006,60873477
GH,D,2006,1454325
GH,E,2006,248072163
GH,F,2006,5321473450
GH,G,2006,165920818
GM,A,2006,24125364
GM,B,2006,3651090
GM,C,2006,7756796
GM,D,2006,104359
GM,E,2006,20945506
GM,F,2006,962037
GM,G,2006,12117840
GN,A,2006,38053767
GN,B,2006,19136134
GN,C,2006,19429840
GN,D,2006,1106905
GN,E,2006,66472555
GN,F,2006,63074505
GN,G,2006,55265922
GQ,A,2006,886203
GQ,B,2006,3223043
GQ,D,2006,45116
GQ,E,2006,13468266
GQ,F,2006,3831501
GQ,G,2006,14927518
GT,A,2006,11817551
GT,B,2006,58680152
GT,C,2006,56367932
GT,D,2006,3125644
GT,E,2006,143434402
GT,F,2006,198217634
GT,G,2006,124171507
GW,A,2006,10509342
GW,B,2006,12893233
GW,C,2006,7391888
GW,D,2006,2319051
GW,E,2006,46796266
GW,F,2006,22383989
GW,G,2006,12981374
GY,A,2006,4334172
GY,B,2006,64903578
GY,E,2006,22337926
GY,F,2006,337970677
GY,G,2006,39263122
HN,A,2006,61381826
HN,B,2006,82576164
HN,C,2006,47493243
HN,D,2006,1776515
HN,E,2006,83712755
HN,F,2006,1644238779
HN,G,2006,111499683
HR,A,2006,711095
HR,B,2006,16933858
HR,E,2006,146509933
HR,F,2006,13868895
HR,G,2006,59309715
HT,A,2006,-19469
HT,B,2006,117158001
HT,C,2006,68112497
HT,D,2006,4869229
HT,E,2006,177209786
HT,F,2006,35123615
HT,G,2006,211167544
ID,A,2006,1413792653
ID,B,2006,335879428
ID,C,2006,28727690
ID,D,2006,4355552
ID,E,2006,723342156
ID,F,2006,152302955
ID,G,2006,784834203
IN,A,2006,1892569759
IN,B,2006,252841520
IN,C,2006,52985092
IN,D,2006,4554559
IN,E,2006,718426887
IN,F,2006,53882029
IN,G,2006,429698941
IQ,A,2006,3929180
IQ,B,2006,1224531039
IQ,C,2006,9858875
IQ,D,2006,263019
IQ,E,2006,3662587094
IQ,F,2006,4154942725
IQ,G,2006,1015873674
IR,A,2006,12469786
IR,B,2006,12995291
IR,C,2006,4251660
IR,E,2006,31121288
IR,F,2006,59642165
IR,G,2006,23767272
JM,A,2006,8112423
JM,B,2006,21481561
JM,C,2006,8464576
JM,D,2006,34965
JM,E,2006,49351677
JM,F,2006,10907643
JM,G,2006,30344442
JO,A,2006,25438484
JO,B,2006,239390247
JO,C,2006,21987441
JO,D,2006,140410
JO,E,2006,157605455
JO,F,2006,45096950
JO,G,2006,113930787
KE,A,2006,123384042
KE,B,2006,101520502
KE,C,2006,211375393
KE,D,2006,1831737
KE,E,2006,284725447
KE,F,2006,84841905
KE,G,2006,367222040
KG,A,2006,40651557
KG,B,2006,15562181
KG,C,2006,1903831
KG,D,2006,139393
KG,E,2006,44986060
KG,F,2006,17428278
KG,G,2006,102258137
KH,A,2006,42087478
KH,B,2006,55371241
KH,C,2006,4899982
KH,D,2006,5779037
KH,E,2006,212196067
KH,F,2006,103148569
KH,G,2006,236083172
KI,A,2006,699187
KI,B,2006,2061341
KI,C,2006,73224
KI,D,2006,14548
KI,E,2006,18101072
KI,F,2006,13213
KI,G,2006,13523227
KM,A,2006,3469339
KM,B,2006,3859483
KM,D,2006,251489
KM,E,2006,12474158
KM,F,2006,12557519
KM,G,2006,3516249
KN,A,2006,2328908
KN,E,2006,5735076
KN,F,2006,42419
KN,G,2006,458165
KP,B,2006,2942486
KP,C,2006,11730017
KP,D,2006,92893
KP,E,2006,36918701
KP,F,2006,1410364
KP,G,2006,3772857
KZ,A,2006,31183202
KZ,B,2006,2625749
KZ,C,2006,13077301
KZ,D,2006,181989
KZ,E,2006,22646694
KZ,F,2006,8050737
KZ,G,2006,68408782
LA,A,2006,54841591
LA,B,2006,43284277
LA,C,2006,5001957
LA,D,2006,3490758
LA,E,2006,130363883
LA,F,2006,4553696
LA,G,2006,94332971
LB,A,2006,128833393
LB,B,2006,48733246
LB,C,2006,41801434
LB,D,2006,1988214
LB,E,2006,355195630
LB,F,2006,54282280
LB,G,2006,87726032
LC,A,2006,15893061
LC,B,2006,1743788
LC,E,2006,1204111
LC,F,2006,720995
LC,G,2006,3785784
LK,A,2006,550117090
LK,B,2006,87148420
LK,C,2006,29361311
LK,D,2006,2925998
LK,E,2006,249873543
LK,F,2006,96061056
LK,G,2006,163501016
LR,B,2006,12405102
LR,C,2006,45929973
LR,D,2006,480441
LR,E,2006,150807668
LR,F,2006,784466
LR,G,2006,76161368
LS,A,2006,26317326
LS,B,2006,4955701
LS,C,2006,2231288
LS,D,2006,296019
LS,E,2006,33134401
LS,F,2006,1565063
LS,G,2006,19608220
LY,B,2006,132634
LY,E,2006,1986423
LY,F,2006,6251900
LY,G,2006,29800679
MA,A,2006,363683480
MA,B,2006,277646298
MA,C,2006,1240735
MA,D,2006,1740826
MA,E,2006,166002538
MA,F,2006,262920488
MA,G,2006,188897477
MD,A,2006,27697181
MD,B,2006,92920067
MD,C,2006,3920651
MD,D,2006,74493
MD,E,2006,53317843
MD,F,2006,10096094
MD,G,2006,51626023
ME,A,2006,5645435
ME,B,2006,10687392
ME,E,2006,25531565
ME,F,2006,26235655
ME,G,2006,30810960
MG,A,2006,186046451
MG,B,2006,208925877
MG,C,2006,46270048
MG,D,2006,2397085
MG,E,2006,199322706
MG,F,2006,2830585874
MG,G,2006,93203079
MH,B,2006,54812940
MH,E,2006,2872180
MH,G,2006,4514188
MK,A,2006,29260954
MK,B,2006,2462799
MK,D,2006,176623
MK,E,2006,103540229
MK,F,2006,7910593
MK,G,2006,99133326
ML,A,2006,127381270
ML,B,2006,328432351
ML,C,2006,32412726
ML,D,2006,3170189
ML,E,2006,208448154
ML,F,2006,2115579337
ML,G,2006,134581941
MM,A,2006,6639003
MM,B,2006,11164604
MM,C,2006,7216637
MM,D,2006,2451095
MM,E,2006,85834935
MM,F,2006,8467906
MM,G,2006,48244998
MN,A,2006,25259737
MN,B,2006,11501344
MN,C,2006,2469304
MN,D,2006,1152075
MN,E,2006,55279181
MN,F,2006,28595643
MN,G,2006,76081052
MR,A,2006,72586827
MR,B,2006,21601834
MR,C,2006,16075353
MR,D,2006,1273565
MR,E,2006,70927538
MR,F,2006,1006801781
MR,G,2006,36273261
MS,B,2006,23635909
MS,E,2006,4573472
MS,F,2006,15538
MS,G,2006,3848113
MU,A,2006,25075059
MU,B,2006,14988321
MU,D,2006,14402
MU,E,2006,3308690
MU,F,2006,15536854
MU,G,2006,11571081
MV,A,2006,6630166
MV,B,2006,3829931
MV,C,2006,2408238
MV,E,2006,16286243
MV,F,2006,127578
MV,G,2006,9625817
MW,A,2006,47080150
MW,B,2006,232445276
MW,C,2006,72664559
MW,D,2006,2933701
MW,E,2006,160634611
MW,F,2006,2670051049
MW,G,2006,149502233
MX,A,2006,63035034
MX,B,2006,59050954
MX,C,2006,23137
MX,D,2006,716139
MX,E,2006,55738634
MX,F,2006,25408646
MX,G,2006,169550521
MY,A,2006,373619484
MY,B,2006,200149
MY,D,2006,149128
MY,E,2006,21616775
MY,F,2006,12219517
MY,G,2006,46928637
MZ,A,2006,264779519
MZ,B,2006,544498548
MZ,C,2006,45129635
MZ,D,2006,5322811
MZ,E,2006,392372317
MZ,F,2006,2134889609
MZ,G,2006,300327902
NA,A,2006,4480431
NA,B,2006,8732790
NA,C,2006,851014
NA,D,2006,1006779
NA,E,2006,69533766
NA,F,2006,1991113
NA,G,2006,85115834
NE,A,2006,48027710
NE,B,2006,107798259
NE,C,2006,61666174
NE,D,2006,2199773
NE,E,2006,204843814
NE,F,2006,1495220596
NE,G,2006,93771039
NG,A,2006,465255112
NG,B,2006,26173882
NG,C,2006,116896
NG,D,2006,811090
NG,E,2006,197819283
NG,F,2006,12902109518
NG,G,2006,443290161
NI,A,2006,56007813
NI,B,2006,260070334
NI,C,2006,29877264
NI,D,2006,4823042
NI,E,2006,189126512
NI,F,2006,1386666115
NI,G,2006,139093861
NP,A,2006,73160403
NP,B,2006,88460767
NP,C,2006,26521972
NP,D,2006,3132214
NP,E,2006,155402774
NP,F,2006,48843552
NP,G,2006,167647667
NR,B,2006,108213535
NR,C,2006,1483203
NR,E,2006,11139125
NR,F,2006,123932
NR,G,2006,27355948
NU,B,2006,7189363
NU,E,2006,3384444
NU,F,2006,56236
NU,G,2006,1993212
OM,E,2006,443317
OM,F,2006,547609
OM,G,2006,6875466
PA,B,2006,3380656
PA,E,2006,21044813
PA,F,2006,772590
PA,G,2006,38724035
PE,A,2006,139817448
PE,B,2006,49285023
PE,C,2006,34578850
PE,D,2006,3390883
PE,E,2006,131995771
PE,F,2006,15540938
PE,G,2006,333875145
PG,B,2006,77809966
PG,C,2006,4470
PG,D,2006,2274776
PG,E,2006,84822471
PG,F,2006,7644348
PG,G,2006,300893921
PH,A,2006,985978865
PH,B,2006,12588111
PH,C,2006,48396984
PH,D,2006,3116980
PH,E,2006,105359376
PH,F,2006,5249193
PH,G,2006,322628968
PK,A,2006,987346432
PK,B,2006,623708761
PK,C,2006,67385167
PK,D,2006,944899
PK,E,2006,464361960
PK,F,2006,27219910
PK,G,2006,365149992
PS,A,2006,1833351
PS,B,2006,183279588
PS,C,2006,69670798
PS,D,2006,1053173
PS,E,2006,674954961
PS,F,2006,10337322
PS,G,2006,243665147
PW,B,2006,29490343
PW,E,2006,6787443
PW,G,2006,7138435
PY,A,2006,59986605
PY,B,2006,4352661
PY,C,2006,541079
PY,D,2006,656355
PY,E,2006,16471260
PY,F,2006,1230779
PY,G,2006,58418858
RS,A,2006,67479345
RS,B,2006,62911732
RS,C,2006,86377
RS,D,2006,2749691
RS,E,2006,485099450
RS,F,2006,800498980
RS,G,2006,355939495
RW,A,2006,74973987
RW,B,2006,126630467
RW,C,2006,25662582
RW,D,2006,1128041
RW,E,2006,183915706
RW,F,2006,1455251976
RW,G,2006,182407931
SA,E,2006,3559
SA,F,2006,2797962
SA,G,2006,10779064
SB,A,2006,403965
SB,B,2006,35884066
SB,C,2006,476323
SB,D,2006,1226908
SB,E,2006,24199633
SB,F,2006,60619
SB,G,2006,245540188
SC,E,2006,5704950
SC,F,2006,2997188
SC,G,2006,5330385
SD,A,2006,513452
SD,B,2006,538297089
SD,C,2006,577274682
SD,D,2006,2782803
SD,E,2006,646270339
SD,F,2006,13426359
SD,G,2006,326820373
SH,B,2006,5753423
SH,E,2006,4422394
SH,F,2006,14003432
SH,G,2006,4339066
SL,A,2006,23360695
SL,B,2006,101719419
SL,C,2006,18350038
SL,D,2006,994891
SL,E,2006,106068244
SL,F,2006,263668122
SL,G,2006,76373654
SN,A,2006,136027946
SN,B,2006,131618107
SN,C,2006,10534610
SN,D,2006,5881824
SN,E,2006,340867540
SN,F,2006,2776273051
SN,G,2006,146441402
SO,B,2006,15771444
SO,C,2006,142264685
SO,D,2006,493772
SO,E,2006,193154857
SO,F,2006,16866003
SO,G,2006,54863453
SR,A,2006,430075
SR,B,2006,18659424
SR,C,2006,1766166
SR,D,2006,369177
SR,E,2006,19836016
SR,F,2006,19060112
SR,G,2006,6768374
ST,A,2006,1885088
ST,B,2006,1803907
ST,C,2006,4609
ST,D,2006,662310
ST,E,2006,12998447
ST,F,2006,9650791
ST,G,2006,9005369
SV,A,2006,30891118
SV,B,2006,34574500
SV,C,2006,2396789
SV,D,2006,2457649
SV,E,2006,65977782
SV,F,2006,4730296
SV,G,2006,79138472
SY,A,2006,467634
SY,B,2006,33484485
SY,C,2006,1219911
SY,D,2006,74170
SY,E,2006,30350329
SY,F,2006,55528436
SY,G,2006,47376172
SZ,A,2006,20082970
SZ,B,2006,2137070
SZ,C,2006,253889
SZ,D,2006,51986
SZ,E,2006,23629620
SZ,F,2006,14139
SZ,G,2006,7048830
TC,F,2006,19932
TC,G,2006,88711
TD,A,2006,55833080
TD,B,2006,27057440
TD,C,2006,48384776
TD,D,2006,4275930
TD,E,2006,145524150
TD,F,2006,21833822
TD,G,2006,48438855
TG,B,2006,4525268
TG,C,2006,192297
TG,D,2006,1243644
TG,E,2006,46597998
TG,F,2006,24811816
TG,G,2006,17933764
TH,A,2006,340596018
TH,B,2006,14151475
TH,C,2006,2814726
TH,D,2006,1467693
TH,E,2006,205847428
TH,F,2006,23963220
TH,G,2006,127074486
TJ,A,2006,18789381
TJ,B,2006,54307625
TJ,C,2006,29383426
TJ,D,2006,149674
TJ,E,2006,52649590
TJ,F,2006,119279082
TJ,G,2006,67206487
TK,B,2006,14167619
TK,D,2006,371513
TK,E,2006,1152628
TK,F,2006,6950
TK,G,2006,598345
TL,B,2006,55357907
TL,C,2006,5027731
TL,D,2006,2824419
TL,E,2006,94274278
TL,F,2006,2772171
TL,G,2006,113895151
TM,B,2006,163710
TM,E,2006,4879219
TM,F,2006,1374537
TM,G,2006,7319509
TN,A,2006,329793799
TN,B,2006,143671279
TN,C,2006,6814425
TN,D,2006,84788
TN,E,2006,62389359
TN,F,2006,106514348
TN,G,2006,64893842
TO,A,2006,3254873
TO,B,2006,4247694
TO,D,2006,184215
TO,E,2006,5741753
TO,F,2006,279227
TO,G,2006,19206992
TR,A,2006,434021325
TR,B,2006,107663407
TR,D,2006,40325
TR,E,2006,327694608
TR,F,2006,119208690
TR,G,2006,106222361
TT,A,2006,18928751
TT,B,2006,101753
TT,E,2006,4812199
TT,F,2006,734713
TT,G,2006,3124406
TV,B,2006,4438802
TV,E,2006,10845569
TV,F,2006,89511
TV,G,2006,4292548
TZ,A,2006,258580825
TZ,B,2006,936773390
TZ,C,2006,62563694
TZ,D,2006,3701857
TZ,E,2006,456601626
TZ,F,2006,4866220544
TZ,G,2006,261933110
UA,A,2006,4580957
UA,B,2006,51441510
UA,C,2006,1262899
UA,D,2006,2880
UA,E,2006,163048676
UA,F,2006,62407123
UA,G,2006,224844521
UG,A,2006,231784150
UG,B,2006,520728790
UG,C,2006,143558752
UG,D,2006,1538985
UG,E,2006,387870253
UG,F,2006,4012007337
UG,G,2006,329857698
UY,A,2006,230965
UY,B,2006,1753323
UY,D,2006,272667
UY,E,2006,12527891
UY,F,2006,1614135
UY,G,2006,11777750
UZ,A,2006,36845449
UZ,B,2006,5073728
UZ,C,2006,338355
UZ,D,2006,196880
UZ,E,2006,41332594
UZ,F,2006,7101739
UZ,G,2006,84191635
VC,A,2006,1990453
VC,B,2006,1065031
VC,E,2006,2229400
VC,F,2006,42419
VC,G,2006,2679109
VE,A,2006,5159004
VE,B,2006,1786919
VE,D,2006,37732
VE,E,2006,23086264
VE,F,2006,7676860
VE,G,2006,24625630
VN,A,2006,1211505019
VN,B,2006,257266313
VN,C,2006,28132986
VN,D,2006,6083919
VN,E,2006,262311573
VN,F,2006,147080130
VN,G,2006,358304980
VU,B,2006,5949088
VU,D,2006,1033533
VU,E,2006,10352711
VU,F,2006,1992559
VU,G,2006,50706999
WF,A,2006,1060488
WF,E,2006,469917
WF,G,2006,45436
WS,A,2006,3257206
WS,B,2006,3616072
WS,D,2006,527049
WS,E,2006,25593888
WS,F,2006,305212
WS,G,2006,34012633
YE,A,2006,192156448
YE,B,2006,26748281
YE,C,2006,24360596
YE,D,2006,198337
YE,E,2006,64213519
YE,F,2006,30700892
YE,G,2006,70484481
YT,A,2006,2827969
YT,E,2006,1524565
ZA,A,2006,186701752
ZA,B,2006,139825474
ZA,C,2006,3217624
ZA,D,2006,6305411
ZA,E,2006,199813375
ZA,F,2006,9061584
ZA,G,2006,343294031
ZM,A,2006,87653519
ZM,B,2006,364377944
ZM,C,2006,21486896
ZM,D,2006,1193372
ZM,E,2006,201352871
ZM,F,2006,4477813774
ZM,G,2006,224299245
ZW,B,2006,13906367
ZW,C,2006,44911796
ZW,D,2006,1033425
ZW,E,2006,125775465
ZW,F,2006,1865411
ZW,G,2006,112467397
51,A,2007,215448681
51,B,2007,268524066
51,C,2007,35116091
51,D,2007,3037098
51,E,2007,334991344
51,F,2007,19814348
51,G,2007,288668179
52,A,2007,43276456
52,B,2007,90390362
52,C,2007,16181
52,D,2007,548107
52,E,2007,152013279
52,F,2007,4113069
52,G,2007,179029242
53,A,2007,86595688
53,B,2007,78209450
53,C,2007,-62168
53,D,2007,870412
53,E,2007,105859510
53,F,2007,2067689
53,G,2007,201120244
54,A,2007,2746617
54,B,2007,22089459
54,E,2007,132741564
54,F,2007,655792
54,G,2007,108248921
55,A,2007,202895326
55,B,2007,2758831332
55,C,2007,628921067
55,D,2007,1216814121
55,E,2007,4100605431
55,F,2007,8212983659
55,G,2007,3434542735
56,A,2007,26918206
56,B,2007,100446353
56,C,2007,133804
56,D,2007,150940
56,E,2007,120386204
56,F,2007,68096605
56,G,2007,136718701
57,A,2007,30026140
57,B,2007,25653717
57,C,2007,97690
57,D,2007,359938
57,E,2007,68676054
57,F,2007,26263478
57,G,2007,51678871
58,A,2007,33222891
58,B,2007,124297090
58,D,2007,227581
58,E,2007,56421176
58,F,2007,7346082
58,G,2007,34034729
59,A,2007,21721118
59,B,2007,18600866
59,C,2007,7163201
59,D,2007,25316
59,E,2007,157914837
59,F,2007,18256614
59,G,2007,44533043
60,A,2007,2313514
60,B,2007,23410631
60,C,2007,5512723
60,E,2007,145650589
60,F,2007,17105586
60,G,2007,76301344
61,A,2007,883563
61,B,2007,28721466
61,C,2007,2289393
61,E,2007,48953466
61,F,2007,33735698
61,G,2007,76803001
62,A,2007,120699
62,B,2007,10548599
62,C,2007,1474736
62,E,2007,63629946
62,F,2007,116822776
62,G,2007,28959161
63,A,2007,52064806
63,B,2007,13064887
63,C,2007,2485688
63,D,2007,565662
63,E,2007,49154580
63,F,2007,3387297
63,G,2007,52814673
64,A,2007,20809437
64,B,2007,56632933
64,E,2007,20319802
64,F,2007,21697
64,G,2007,6684585
65,A,2007,72174647
65,B,2007,348549121
65,C,2007,162714829
65,D,2007,2322243
65,E,2007,629634322
65,F,2007,139386151
65,G,2007,243372717
66,B,2007,4256082
66,D,2007,160623
66,E,2007,11528058
66,F,2007,769100
66,G,2007,8786693
67,B,2007,3607183
67,E,2007,66152601
67,F,2007,57652
67,G,2007,11149671
AF,A,2007,49015151
AF,B,2007,1149857047
AF,C,2007,153604695
AF,D,2007,6292693
AF,E,2007,1474951933
AF,F,2007,72099000
AF,G,2007,945201632
AG,B,2007,108766
AG,E,2007,874695
AG,F,2007,36047
AG,G,2007,2390730
AI,E,2007,201930
AL,A,2007,77048257
AL,B,2007,39057298
AL,C,2007,106946
AL,E,2007,114287247
AL,F,2007,35545850
AL,G,2007,60585224
AM,A,2007,81538681
AM,B,2007,75006106
AM,C,2007,2792825
AM,D,2007,136737
AM,E,2007,91107969
AM,F,2007,9999776
AM,G,2007,32758621
AO,A,2007,28299933
AO,B,2007,90039448
AO,C,2007,28393496
AO,D,2007,559335
AO,E,2007,165065621
AO,F,2007,7241090
AO,G,2007,65609528
AR,A,2007,35265707
