country,year,oof-bundle,in-oof-bundle
AF,2009,A,5540000
51,2009,A,0
AL,2009,A,0
52,2009,A,180000
AO,2009,A,0
AI,2009,A,0
AG,2009,A,0
AR,2009,A,1790000
AM,2009,A,0
53,2009,A,700000
AZ,2009,A,0
BD,2009,A,2470000
BB,2009,A,0
BY,2009,A,0
BZ,2009,A,0
BJ,2009,A,0
BT,2009,A,0
BO,2009,A,10000
BA,2009,A,10000
BW,2009,A,0
BR,2009,A,2880000
BF,2009,A,0
BI,2009,A,0
KH,2009,A,4220000
CM,2009,A,0
CV,2009,A,0
CF,2009,A,0
54,2009,A,0
TD,2009,A,0
CL,2009,A,3350000
CN,2009,A,51630000
CO,2009,A,560000
KM,2009,A,0
CD,2009,A,0
CG,2009,A,0
CK,2009,A,0
CR,2009,A,0
CI,2009,A,0
HR,2009,A,1690000
CU,2009,A,0
CY,2009,A,0
55,2009,A,283420000
DJ,2009,A,0
DM,2009,A,0
DO,2009,A,0
EC,2009,A,10000
EG,2009,A,248180000
SV,2009,A,0
GQ,2009,A,0
ER,2009,A,0
ET,2009,A,0
56,2009,A,1200000
57,2009,A,0
FJ,2009,A,5160000
MK,2009,A,10000
GA,2009,A,0
GM,2009,A,0
GE,2009,A,0
GH,2009,A,1100000
GD,2009,A,0
GT,2009,A,0
GN,2009,A,0
GW,2009,A,0
GY,2009,A,0
HT,2009,A,20000
HN,2009,A,0
IN,2009,A,13240000
ID,2009,A,17210000
IR,2009,A,3110000
JM,2009,A,0
JO,2009,A,4920000
KZ,2009,A,0
KE,2009,A,4140000
KI,2009,A,550000
KR,2009,A,0
KP,2009,A,5290000
XK,2009,A,0
KG,2009,A,0
LA,2009,A,1100000
LB,2009,A,3720000
LS,2009,A,0
LR,2009,A,32710000
MG,2009,A,0
MW,2009,A,0
MY,2009,A,8830000
MV,2009,A,0
ML,2009,A,0
MT,2009,A,0
MH,2009,A,0
MR,2009,A,0
MU,2009,A,910000
YT,2009,A,0
MX,2009,A,2390000
NR,2009,A,640000
58,2009,A,0
MD,2009,A,0
MN,2009,A,10000
ME,2009,A,0
MS,2009,A,0
MA,2009,A,0
MZ,2009,A,0
MM,2009,A,2500000
NA,2009,A,0
NR,2009,A,590000
NP,2009,A,740000
NI,2009,A,0
NE,2009,A,0
NG,2009,A,1820000
59,2009,A,0
60,2009,A,0
61,2009,A,8610000
OM,2009,A,0
PK,2009,A,6280000
PW,2009,A,0
PA,2009,A,0
PG,2009,A,9540000
PY,2009,A,0
PE,2009,A,10000
PH,2009,A,9140000
RW,2009,A,0
WS,2009,A,710000
ST,2009,A,0
SN,2009,A,0
RS,2009,A,2310000
SC,2009,A,0
SL,2009,A,0
SI,2009,A,0
SB,2009,A,12670000
SO,2009,A,0
62,2009,A,10000
ZA,2009,A,4940000
63,2009,A,40000
64,2009,A,0
65,2009,A,0
SS,2009,A,0
LK,2009,A,2810000
SH,2009,A,0
KN,2009,A,0
LC,2009,A,0
VC,2009,A,0
66,2009,A,8130000
SD,2009,A,0
SR,2009,A,0
SZ,2009,A,0
SY,2009,A,0
TJ,2009,A,0
TZ,2009,A,10000
TH,2009,A,11860000
TL,2009,A,2590000
TG,2009,A,0
TO,2009,A,590000
TT,2009,A,1340000
TN,2009,A,0
TR,2009,A,4420000
TM,2009,A,0
TC,2009,A,0
TV,2009,A,0
UG,2009,A,0
UA,2009,A,0
UY,2009,A,0
UZ,2009,A,0
VU,2009,A,2650000
VE,2009,A,0
VN,2009,A,7680000
WF,2009,A,0
PS,2009,A,580000
67,2009,A,0
YE,2009,A,0
ZM,2009,A,0
ZW,2009,A,2230000
AF,2010,A,17650000
51,2010,A,0
AL,2010,A,0
52,2010,A,100000
AO,2010,A,0
AI,2010,A,0
AG,2010,A,0
AR,2010,A,1910000
AM,2010,A,0
53,2010,A,2190000
AZ,2010,A,0
BD,2010,A,1480000
BB,2010,A,0
BY,2010,A,50000
BZ,2010,A,0
BJ,2010,A,0
BT,2010,A,0
BO,2010,A,10000
BA,2010,A,10000
BW,2010,A,0
BR,2010,A,2810000
BF,2010,A,0
BI,2010,A,0
KH,2010,A,3260000
CM,2010,A,0
CV,2010,A,0
CF,2010,A,0
54,2010,A,0
TD,2010,A,0
CL,2010,A,2740000
CN,2010,A,60180000
CO,2010,A,630000
KM,2010,A,0
CD,2010,A,0
CG,2010,A,0
CK,2010,A,0
CR,2010,A,0
CI,2010,A,0
HR,2010,A,1600000
CU,2010,A,0
CY,2010,A,0
55,2010,A,95250000
DJ,2010,A,0
DM,2010,A,0
DO,2010,A,0
EC,2010,A,10000
EG,2010,A,182580000
SV,2010,A,0
GQ,2010,A,0
ER,2010,A,0
ET,2010,A,100000
56,2010,A,590000
57,2010,A,0
FJ,2010,A,6400000
MK,2010,A,10000
GA,2010,A,0
GM,2010,A,0
GE,2010,A,0
GH,2010,A,1320000
GD,2010,A,0
GT,2010,A,0
GN,2010,A,0
GW,2010,A,0
GY,2010,A,0
HT,2010,A,0
HN,2010,A,0
IN,2010,A,13260000
ID,2010,A,19860000
IR,2010,A,3220000
JM,2010,A,0
JO,2010,A,3670000
KZ,2010,A,0
KE,2010,A,4030000
KI,2010,A,980000
KR,2010,A,0
KP,2010,A,1400000
XK,2010,A,0
KG,2010,A,0
LA,2010,A,1050000
LB,2010,A,3480000
LS,2010,A,0
LR,2010,A,0
MG,2010,A,0
MW,2010,A,0
MY,2010,A,9020000
MV,2010,A,0
ML,2010,A,0
MT,2010,A,0
MH,2010,A,0
MR,2010,A,0
MU,2010,A,970000
YT,2010,A,0
MX,2010,A,2120000
NR,2010,A,900000
58,2010,A,0
MD,2010,A,0
MN,2010,A,10000
ME,2010,A,10000
MS,2010,A,0
MA,2010,A,0
MZ,2010,A,10000
MM,2010,A,2050000
NA,2010,A,0
NR,2010,A,610000
NP,2010,A,850000
NI,2010,A,0
NE,2010,A,0
NG,2010,A,2020000
59,2010,A,0
60,2010,A,0
61,2010,A,7770000
OM,2010,A,0
PK,2010,A,7800000
PW,2010,A,0
PA,2010,A,0
PG,2010,A,11060000
PY,2010,A,0
PE,2010,A,290000
PH,2010,A,8660000
RW,2010,A,0
WS,2010,A,980000
ST,2010,A,0
SN,2010,A,0
RS,2010,A,2120000
SC,2010,A,0
SL,2010,A,0
SI,2010,A,0
SB,2010,A,23830000
SO,2010,A,0
62,2010,A,0
ZA,2010,A,5450000
63,2010,A,200000
64,2010,A,0
65,2010,A,0
SS,2010,A,0
LK,2010,A,3690000
SH,2010,A,0
KN,2010,A,0
LC,2010,A,0
VC,2010,A,0
66,2010,A,5860000
SD,2010,A,0
SR,2010,A,0
SZ,2010,A,0
SY,2010,A,0
TJ,2010,A,0
TZ,2010,A,0
TH,2010,A,9520000
TL,2010,A,6790000
TG,2010,A,0
TO,2010,A,780000
TT,2010,A,710000
TN,2010,A,0
TR,2010,A,4530000
TM,2010,A,0
TC,2010,A,0
TV,2010,A,0
UG,2010,A,0
UA,2010,A,0
UY,2010,A,10000
UZ,2010,A,0
VU,2010,A,2910000
VE,2010,A,0
VN,2010,A,7440000
WF,2010,A,0
PS,2010,A,540000
67,2010,A,0
YE,2010,A,0
ZM,2010,A,0
ZW,2010,A,2160000
AF,2011,A,16180000
51,2011,A,190000
AL,2011,A,0
52,2011,A,0
AO,2011,A,0
AI,2011,A,0
AG,2011,A,0
AR,2011,A,2430000
AM,2011,A,0
53,2011,A,1680000
AZ,2011,A,0
BD,2011,A,1870000
BB,2011,A,0
BY,2011,A,70000
BZ,2011,A,0
BJ,2011,A,0
BT,2011,A,0
BO,2011,A,10000
BA,2011,A,10000
BW,2011,A,0
BR,2011,A,3810000
BF,2011,A,0
BI,2011,A,0
KH,2011,A,1720000
CM,2011,A,0
CV,2011,A,0
CF,2011,A,0
54,2011,A,0
TD,2011,A,0
CL,2011,A,3090000
CN,2011,A,37190000
CO,2011,A,140000
KM,2011,A,0
CD,2011,A,244960000
CG,2011,A,0
CK,2011,A,0
CR,2011,A,0
CI,2011,A,0
HR,2011,A,0
CU,2011,A,20000
CY,2011,A,0
55,2011,A,234170000
DJ,2011,A,0
DM,2011,A,0
DO,2011,A,0
EC,2011,A,10000
EG,2011,A,127550000
SV,2011,A,0
GQ,2011,A,0
ER,2011,A,0
ET,2011,A,450000
56,2011,A,260000
57,2011,A,420000
FJ,2011,A,4570000
MK,2011,A,10000
GA,2011,A,0
GM,2011,A,0
GE,2011,A,0
GH,2011,A,550000
GD,2011,A,10000
GT,2011,A,0
GN,2011,A,0
GW,2011,A,0
GY,2011,A,10000
HT,2011,A,0
HN,2011,A,0
IN,2011,A,21280000
ID,2011,A,14370000
IR,2011,A,1960000
JM,2011,A,0
JO,2011,A,2980000
KZ,2011,A,10000
KE,2011,A,2360000
KI,2011,A,900000
KR,2011,A,0
KP,2011,A,1870000
XK,2011,A,0
KG,2011,A,0
LA,2011,A,990000
LB,2011,A,1960000
LS,2011,A,0
LR,2011,A,0
MG,2011,A,0
MW,2011,A,0
MY,2011,A,6710000
MV,2011,A,0
ML,2011,A,0
MT,2011,A,0
MH,2011,A,0
MR,2011,A,0
MU,2011,A,710000
YT,2011,A,0
MX,2011,A,1820000
NR,2011,A,520000
58,2011,A,20000
MD,2011,A,0
MN,2011,A,210000
ME,2011,A,0
MS,2011,A,0
MA,2011,A,10000
MZ,2011,A,10000
MM,2011,A,990000
NA,2011,A,0
NR,2011,A,410000
NP,2011,A,360000
NI,2011,A,0
NE,2011,A,0
NG,2011,A,940000
59,2011,A,0
60,2011,A,0
61,2011,A,8120000
OM,2011,A,0
PK,2011,A,3480000
PW,2011,A,0
PA,2011,A,10000
PG,2011,A,15000000
PY,2011,A,10000
PE,2011,A,3270000
PH,2011,A,5010000
RW,2011,A,0
WS,2011,A,1250000
ST,2011,A,0
SN,2011,A,0
RS,2011,A,830000
SC,2011,A,0
SL,2011,A,0
SI,2011,A,0
SB,2011,A,13630000
SO,2011,A,120000
62,2011,A,0
ZA,2011,A,4490000
63,2011,A,210000
64,2011,A,0
65,2011,A,0
SS,2011,A,0
LK,2011,A,2750000
SH,2011,A,0
KN,2011,A,0
LC,2011,A,0
VC,2011,A,0
66,2011,A,3060000
SD,2011,A,0
SR,2011,A,0
SZ,2011,A,0
SY,2011,A,0
TJ,2011,A,0
TZ,2011,A,20000
TH,2011,A,7040000
TL,2011,A,1850000
TG,2011,A,0
TO,2011,A,780000
TT,2011,A,0
TN,2011,A,0
TR,2011,A,3110000
TM,2011,A,0
TC,2011,A,0
TV,2011,A,0
UG,2011,A,10000
UA,2011,A,0
UY,2011,A,10000
UZ,2011,A,0
VU,2011,A,1280000
VE,2011,A,0
VN,2011,A,9410000
WF,2011,A,0
PS,2011,A,290000
67,2011,A,0
YE,2011,A,0
ZM,2011,A,80000
ZW,2011,A,1080000
AF,2012,A,36700000
51,2012,A,0
AL,2012,A,0
52,2012,A,0
AO,2012,A,0
AI,2012,A,0
AG,2012,A,0
AR,2012,A,1850000
AM,2012,A,0
53,2012,A,3440000
AZ,2012,A,0
BD,2012,A,1380000
BB,2012,A,0
BY,2012,A,0
BZ,2012,A,0
BJ,2012,A,0
BT,2012,A,0
BO,2012,A,10000
BA,2012,A,0
BW,2012,A,0
BR,2012,A,3800000
BF,2012,A,0
BI,2012,A,0
KH,2012,A,2200000
CM,2012,A,0
CV,2012,A,0
CF,2012,A,0
54,2012,A,0
TD,2012,A,0
CL,2012,A,4410000
CN,2012,A,37770000
CO,2012,A,110000
KM,2012,A,0
CD,2012,A,0
CG,2012,A,0
CK,2012,A,70000
CR,2012,A,0
CI,2012,A,0
HR,2012,A,0
CU,2012,A,0
CY,2012,A,0
55,2012,A,173210000
DJ,2012,A,0
DM,2012,A,0
DO,2012,A,0
EC,2012,A,10000
EG,2012,A,75860000
SV,2012,A,0
GQ,2012,A,0
ER,2012,A,0
ET,2012,A,590000
56,2012,A,1310000
57,2012,A,2190000
FJ,2012,A,3840000
MK,2012,A,10000
GA,2012,A,0
GM,2012,A,0
GE,2012,A,0
GH,2012,A,1120000
GD,2012,A,10000
GT,2012,A,0
GN,2012,A,0
GW,2012,A,0
GY,2012,A,10000
HT,2012,A,0
HN,2012,A,0
IN,2012,A,21020000
ID,2012,A,16390000
IR,2012,A,3410000
JM,2012,A,10000
JO,2012,A,3510000
KZ,2012,A,10000
KE,2012,A,4270000
KI,2012,A,840000
KR,2012,A,0
KP,2012,A,2260000
XK,2012,A,0
KG,2012,A,0
LA,2012,A,1010000
LB,2012,A,2900000
LS,2012,A,0
LR,2012,A,0
MG,2012,A,0
MW,2012,A,0
MY,2012,A,8150000
MV,2012,A,0
ML,2012,A,0
MT,2012,A,0
MH,2012,A,40000
MR,2012,A,0
MU,2012,A,810000
YT,2012,A,0
MX,2012,A,1870000
NR,2012,A,640000
58,2012,A,40000
MD,2012,A,0
MN,2012,A,290000
ME,2012,A,0
MS,2012,A,0
MA,2012,A,30000
MZ,2012,A,10000
MM,2012,A,1320000
NA,2012,A,10000
NR,2012,A,550000
NP,2012,A,730000
NI,2012,A,0
NE,2012,A,0
NG,2012,A,1890000
59,2012,A,0
60,2012,A,0
61,2012,A,9060000
OM,2012,A,0
PK,2012,A,6940000
PW,2012,A,60000
PA,2012,A,10000
PG,2012,A,10220000
PY,2012,A,10000
PE,2012,A,2710000
PH,2012,A,7510000
RW,2012,A,0
WS,2012,A,1000000
ST,2012,A,0
SN,2012,A,0
RS,2012,A,1630000
SC,2012,A,0
SL,2012,A,0
SI,2012,A,0
SB,2012,A,30660000
SO,2012,A,0
62,2012,A,0
ZA,2012,A,4660000
63,2012,A,2000000
64,2012,A,30000
65,2012,A,0
SS,2012,A,0
LK,2012,A,3130000
SH,2012,A,0
KN,2012,A,0
LC,2012,A,0
VC,2012,A,0
66,2012,A,2310000
SD,2012,A,500000
SR,2012,A,0
SZ,2012,A,0
SY,2012,A,0
TJ,2012,A,0
TZ,2012,A,10000
TH,2012,A,8220000
TL,2012,A,1900000
TG,2012,A,0
TO,2012,A,1000000
TT,2012,A,0
TN,2012,A,0
TR,2012,A,4310000
TM,2012,A,0
TC,2012,A,0
TV,2012,A,200000
UG,2012,A,10000
UA,2012,A,0
UY,2012,A,10000
UZ,2012,A,0
VU,2012,A,2320000
VE,2012,A,0
VN,2012,A,5690000
WF,2012,A,0
PS,2012,A,690000
67,2012,A,0
YE,2012,A,0
ZM,2012,A,60000
ZW,2012,A,1440000
AF,2006,B,0
51,2006,B,0
AL,2006,B,1940000
52,2006,B,0
AO,2006,B,0
AI,2006,B,0
AG,2006,B,0
AR,2006,B,24660000
AM,2006,B,0
53,2006,B,0
AZ,2006,B,0
BD,2006,B,7590000
BB,2006,B,87750000
BY,2006,B,0
BZ,2006,B,0
BJ,2006,B,0
BT,2006,B,0
BO,2006,B,10270000
BA,2006,B,660000
BW,2006,B,0
BR,2006,B,347020000
BF,2006,B,0
BI,2006,B,0
KH,2006,B,0
CM,2006,B,0
CV,2006,B,0
CF,2006,B,0
54,2006,B,0
TD,2006,B,0
CL,2006,B,114300000
CN,2006,B,108060000
CO,2006,B,350000
KM,2006,B,0
CD,2006,B,0
CG,2006,B,250000
CK,2006,B,0
CR,2006,B,0
CI,2006,B,0
HR,2006,B,0
CU,2006,B,0
CY,2006,B,0
55,2006,B,520000
DJ,2006,B,0
DM,2006,B,0
DO,2006,B,85960000
EC,2006,B,43730000
EG,2006,B,0
SV,2006,B,11940000
GQ,2006,B,0
ER,2006,B,0
ET,2006,B,0
56,2006,B,0
57,2006,B,0
FJ,2006,B,0
MK,2006,B,0
GA,2006,B,0
GM,2006,B,0
GE,2006,B,0
GH,2006,B,0
GD,2006,B,0
GT,2006,B,0
GN,2006,B,0
GW,2006,B,0
GY,2006,B,0
HT,2006,B,28880000
HN,2006,B,670000
IN,2006,B,461320000
ID,2006,B,163780000
IR,2006,B,432670000
JM,2006,B,62850000
JO,2006,B,1300000
KZ,2006,B,89410000
KE,2006,B,5690000
KI,2006,B,0
KR,2006,B,0
KP,2006,B,0
XK,2006,B,0
KG,2006,B,0
LA,2006,B,0
LB,2006,B,0
LS,2006,B,0
LR,2006,B,0
MG,2006,B,0
MW,2006,B,0
MY,2006,B,0
MV,2006,B,0
ML,2006,B,0
MT,2006,B,0
MH,2006,B,0
MR,2006,B,25670000
MU,2006,B,5360000
YT,2006,B,0
MX,2006,B,1356920000
NR,2006,B,0
58,2006,B,0
MD,2006,B,0
MN,2006,B,510000
ME,2006,B,5870000
MS,2006,B,0
MA,2006,B,6940000
MZ,2006,B,0
MM,2006,B,0
NA,2006,B,0
NR,2006,B,0
NP,2006,B,0
NI,2006,B,0
NE,2006,B,0
NG,2006,B,39200000
59,2006,B,0
60,2006,B,0
61,2006,B,0
OM,2006,B,97770000
PK,2006,B,0
PW,2006,B,0
PA,2006,B,80000
PG,2006,B,0
PY,2006,B,0
PE,2006,B,22460000
PH,2006,B,34330000
RW,2006,B,0
WS,2006,B,0
ST,2006,B,0
SN,2006,B,0
RS,2006,B,0
SC,2006,B,0
SL,2006,B,0
