country,year,from-oda-interest
CV,2011,16729922
DJ,2011,3550501
DM,2011,2119167
DO,2011,16892378
DZ,2011,40575188
EC,2011,20637796
EG,2011,289629755
ER,2011,3497637
ET,2011,27060747
FJ,2011,455407
GA,2011,1422435
GD,2011,3216571
GE,2011,19640130
GH,2011,29521177
GM,2011,4570828
GN,2011,31150115
GQ,2011,911472
GT,2011,15673926
GW,2011,5888327
GY,2011,7063631
HN,2011,16673106
HT,2011,1551452
ID,2011,652750831
IN,2011,580608073
IQ,2011,6759484
IR,2011,7415222
JM,2011,15644965
JO,2011,55150381
KE,2011,68447325
KG,2011,18204361
KH,2011,17912724
KI,2011,146022
KM,2011,2090035
KN,2011,1199255
KP,2011,1178061
KZ,2011,23085364
LA,2011,20718665
LB,2011,29647182
LC,2011,2846885
LK,2011,160205917
LR,2011,3198667
LS,2011,9955208
MA,2011,142912207
MD,2011,5713337
ME,2011,5102730
MG,2011,21139245
MH,2011,819942
MK,2011,11568880
ML,2011,15490671
MM,2011,1063750
MN,2011,19414925
MR,2011,10742666
MS,2011,60359
MU,2011,4792842
MV,2011,2740041
MW,2011,6550012
MX,2011,27517483
MY,2011,47247304
MZ,2011,31640032
NA,2011,9479854
NE,2011,8001905
NG,2011,35716240
NI,2011,17672065
NP,2011,31674471
NR,2011,575912
PA,2011,13843454
PE,2011,53562918
PG,2011,11096382
PH,2011,268729330
PK,2011,337908005
PS,2011,637598
PY,2011,22006974
RS,2011,35975514
RW,2011,6433415
SB,2011,1015883
SC,2011,2604365
SD,2011,8763994
SH,2011,4420561
SL,2011,2583409
SN,2011,21199782
SO,2011,56312
SR,2011,579814
ST,2011,678570
SV,2011,21693369
SY,2011,27218966
SZ,2011,4357505
TD,2011,12262824
TG,2011,9497814
TH,2011,97647577
TJ,2011,7880945
TM,2011,1315193
TN,2011,84080547
TO,2011,723524
TR,2011,272748155
TV,2011,144046
TZ,2011,39675248
UA,2011,6256518
UG,2011,26220187
UY,2011,1468252
UZ,2011,20584207
VC,2011,1569986
VE,2011,258800
VN,2011,269582456
VU,2011,955131
WF,2011,93854
WS,2011,2302443
XK,2011,75040
YE,2011,26000825
ZA,2011,29386986
ZM,2011,13127491
ZW,2011,112390
51,2012,4800000
52,2012,5860000
55,2012,25960000
59,2012,5950000
61,2012,840000
63,2012,20000
65,2012,2310000
67,2012,230000
AF,2012,10790000
AG,2012,290000
AI,2012,130000
AL,2012,18540000
AM,2012,17330000
AO,2012,7150000
AR,2012,9540000
AZ,2012,14270000
BA,2012,30680000
BD,2012,171620000
BF,2012,15340000
BI,2012,3030000
BJ,2012,8200000
BO,2012,20600000
BR,2012,70200000
BT,2012,3750000
BW,2012,3820000
BY,2012,1850000
BZ,2012,1920000
CD,2012,9400000
CF,2012,830000
CG,2012,6310000
CI,2012,30840000
CK,2012,300000
CL,2012,7900000
CM,2012,25270000
CN,2012,526960000
CO,2012,5840000
CR,2012,6220000
CU,2012,820000
CV,2012,11310000
DJ,2012,3640000
DM,2012,2130000
DO,2012,18070000
DZ,2012,36740000
EC,2012,20500000
EG,2012,280610000
ER,2012,1400000
ET,2012,33410000
FJ,2012,420000
GA,2012,1720000
GD,2012,2330000
GE,2012,23410000
GH,2012,32720000
GM,2012,2780000
GN,2012,16030000
GQ,2012,770000
GT,2012,15770000
GW,2012,1150000
GY,2012,7740000
HN,2012,23300000
HT,2012,1720000
ID,2012,591920000
IN,2012,586960000
IQ,2012,10560000
IR,2012,780000
JM,2012,14460000
JO,2012,53130000
KE,2012,90830000
KG,2012,17170000
KH,2012,21040000
KI,2012,150000
KM,2012,2070000
KN,2012,1200000
KP,2012,730000
KZ,2012,21940000
LA,2012,20840000
LB,2012,25320000
LC,2012,2810000
LK,2012,156920000
LR,2012,420000
LS,2012,5510000
MA,2012,150880000
MD,2012,6550000
ME,2012,6060000
MG,2012,14890000
MH,2012,820000
MK,2012,10920000
ML,2012,15230000
MM,2012,690000
MN,2012,18940000
MR,2012,9300000
MS,2012,60000
MU,2012,11420000
MV,2012,2830000
MW,2012,7390000
MX,2012,15720000
MY,2012,44910000
MZ,2012,33870000
NA,2012,15290000
NE,2012,6090000
NG,2012,37720000
NI,2012,20460000
NP,2012,30310000
NR,2012,570000
PA,2012,14390000
PE,2012,55530000
PG,2012,10130000
PH,2012,243460000
PK,2012,343070000
PS,2012,630000
PW,2012,30000
PY,2012,20400000
RS,2012,56370000
RW,2012,8130000
SB,2012,920000
SC,2012,1070000
SD,2012,10840000
SL,2012,3340000
SN,2012,23630000
SR,2012,650000
ST,2012,1040000
SV,2012,21400000
SY,2012,4630000
SZ,2012,3650000
TD,2012,10930000
TG,2012,550000
TH,2012,92190000
TJ,2012,7990000
TM,2012,1150000
TN,2012,103780000
TO,2012,630000
TR,2012,325960000
TV,2012,150000
TZ,2012,40970000
UA,2012,10060000
UG,2012,24540000
UY,2012,1080000
UZ,2012,20660000
VC,2012,1440000
VN,2012,286030000
VU,2012,860000
WF,2012,80000
WS,2012,2320000
XK,2012,100000
YE,2012,25840000
ZA,2012,40550000
ZM,2012,12140000
ZW,2012,180000
