country,year,university-college-enrolment
MN,2002,35.79969
MP,2002,
MZ,2002,
MR,2002,2.9743
MU,2002,15.84492
MW,2002,0.40601
MY,2002,27.40855
NA,2002,5.79907
NC,2002,
NE,2002,
NG,2002,
NI,2002,17.57105
NL,2002,55.4669
NO,2002,73.3761
NP,2002,5.38423
NZ,2002,67.23538
OM,2002,15.04269
PK,2002,
PA,2002,40.16633
PE,2002,31.51531
PH,2002,30.19553
PW,2002,37.87167
PG,2002,
PL,2002,58.40031
PR,2002,
KP,2002,
PT,2002,52.76117
PY,2002,25.75047
PF,2002,
QA,2002,16.44719
RO,2002,32.94613
RU,2002,66.65435
RW,2002,1.81209
SA,2002,23.37281
SD,2002,
SN,2002,
SG,2002,
SB,2002,
SL,2002,2.03433
SV,2002,20.29027
SM,2002,
SO,2002,
RS,2002,
SS,2002,
ST,2002,
SR,2002,12.07816
SK,2002,32.11241
SI,2002,66.3009
SE,2002,75.3067
SZ,2002,4.53612
SX,2002,
SC,2002,
SY,2002,12.37874
TC,2002,
TD,2002,
TG,2002,
TH,2002,40.0442
TJ,2002,17.8046
TM,2002,
TL,2002,8.56607
TO,2002,5.57621
TT,2002,8.70332
TN,2002,22.67412
TR,2002,26.19813
TV,2002,
TZ,2002,0.72508
UG,2002,3.46239
UA,2002,56.47875
UY,2002,39.26434
US,2002,78.7994
UZ,2002,13.72589
VC,2002,
VE,2002,38.04859
VI,2002,
VN,2002,9.62983
VU,2002,4.78379
PS,2002,28.03629
WS,2002,
YE,2002,10.56133
ZA,2002,
CD,2002,
ZM,2002,
ZW,2002,
AW,2003,26.75628
AD,2003,
AF,2003,1.27942
AO,2003,3.19307
AL,2003,15.81263
AE,2003,
AR,2003,64.86005
AM,2003,36.20652
AS,2003,
AG,2003,
AU,2003,71.98739
AT,2003,45.70464
AZ,2003,
BI,2003,1.8572
BE,2003,60.17912
BJ,2003,5.81991
BF,2003,1.60085
BD,2003,6.15993
BG,2003,41.51951
BH,2003,27.6243
BS,2003,
BA,2003,25.0706
BY,2003,61.87503
BZ,2003,16.01254
BM,2003,
BO,2003,39.59124
BR,2003,
BB,2003,
BN,2003,15.48998
BT,2003,
BW,2003,7.50668
CF,2003,
CA,2003,
CH,2003,43.94383
CL,2003,42.71669
CN,2003,14.96737
CI,2003,
CM,2003,5.08996
CG,2003,3.88115
CO,2003,24.5713
KM,2003,2.98813
CV,2003,4.54182
CR,2003,
CU,2003,32.58655
CW,2003,
KY,2003,23.27515
CY,2003,31.96361
CZ,2003,37.30648
DE,2003,
DJ,2003,1.27423
DM,2003,
DK,2003,67.53728
DO,2003,33.32915
DZ,2003,17.744
EC,2003,
EG,2003,28.98658
ER,2003,
ES,2003,64.06026
EE,2003,65.28051
ET,2003,2.31394
FI,2003,87.08364
FJ,2003,15.76992
FR,2003,54.1899
FO,2003,
FM,2003,
GA,2003,8.5306
GB,2003,61.65748
GE,2003,42.81473
GH,2003,
GN,2003,2.15226
GM,2003,
GW,2003,
GQ,2003,
GR,2003,72.91338
GD,2003,
GL,2003,
GT,2003,
GU,2003,
GY,2003,7.29253
HK,2003,31.16715
HN,2003,17.00513
HR,2003,39.58246
HT,2003,
HU,2003,52.28572
ID,2003,16.29826
IN,2003,10.88897
IE,2003,54.18706
IR,2003,19.87151
IQ,2003,
IS,2003,62.16292
IL,2003,56.77512
IT,2003,57.75019
JM,2003,21.63609
JO,2003,34.69397
JP,2003,51.83603
KZ,2003,45.17211
KE,2003,
KG,2003,40.77013
KH,2003,2.85997
KI,2003,
KN,2003,
KR,2003,87.76533
XK,2003,
KW,2003,23.08873
LA,2003,4.9338
LB,2003,43.03044
LR,2003,
LY,2003,60.87731
LC,2003,
LI,2003,20.70588
LK,2003,
LS,2003,2.95755
LT,2003,68.0175
LU,2003,12.19145
LV,2003,72.40145
MO,2003,75.89115
MF,2003,
MA,2003,10.70623
MC,2003,
MD,2003,33.29884
MG,2003,2.36969
MV,2003,0.22137
MX,2003,21.94156
MH,2003,
MK,2003,27.44383
ML,2003,
MT,2003,28.29759
MM,2003,
ME,2003,16.84081
MN,2003,37.98429
MP,2003,
MZ,2003,0.90611
MR,2003,3.16256
MU,2003,16.556
MW,2003,0.42258
MY,2003,30.52997
NA,2003,6.16231
NC,2003,
NE,2003,0.98241
NG,2003,9.64106
NI,2003,17.85635
NL,2003,55.87475
NO,2003,79.11961
NP,2003,5.44491
NZ,2003,68.93803
OM,2003,15.11176
PK,2003,2.60502
PA,2003,44.00233
PE,2003,31.5712
PH,2003,29.08678
PW,2003,
PG,2003,
PL,2003,59.83943
PR,2003,
KP,2003,
PT,2003,54.81727
PY,2003,24.49355
PF,2003,
QA,2003,15.33608
RO,2003,38.03346
RU,2003,66.50214
RW,2003,2.20443
SA,2003,26.46539
SD,2003,
SN,2003,
SG,2003,
SB,2003,
SL,2003,
SV,2003,20.70612
SM,2003,
SO,2003,
RS,2003,
SS,2003,
ST,2003,
SR,2003,
SK,2003,33.9356
SI,2003,69.14746
SE,2003,81.44551
SZ,2003,4.56288
SX,2003,
SC,2003,
SY,2003,12.98673
TC,2003,
TD,2003,0.92217
TG,2003,
TH,2003,40.88762
TJ,2003,19.10845
TM,2003,
TL,2003,
TO,2003,6.348
TT,2003,8.77808
TN,2003,25.9802
TR,2003,29.83509
TV,2003,
TZ,2003,0.9284
UG,2003,3.69115
UA,2003,60.49191
UY,2003,41.1374
US,2003,80.66302
UZ,2003,14.07078
VC,2003,
VE,2003,39.62945
VI,2003,
VN,2003,10.00931
VU,2003,4.69127
PS,2003,32.29959
WS,2003,
YE,2003,10.03606
ZA,2003,
CD,2003,
ZM,2003,
ZW,2003,
AW,2004,26.30441
AD,2004,
AF,2004,1.29312
AO,2004,2.39667
AL,2004,20.00498
AE,2004,
AR,2004,65.35837
AM,2004,36.80103
AS,2004,
AG,2004,
AU,2004,70.53541
AT,2004,46.33501
AZ,2004,
BI,2004,2.28567
BE,2004,61.74322
BJ,2004,5.87204
BF,2004,
BD,2004,5.67942
BG,2004,41.93789
BH,2004,24.12136
BS,2004,
BA,2004,27.01843
BY,2004,63.83589
BZ,2004,15.48362
BM,2004,
BO,2004,39.6282
BR,2004,
BB,2004,
BN,2004,17.1869
BT,2004,
BW,2004,7.39334
CF,2004,1.71541
CA,2004,
CH,2004,45.51139
CL,2004,42.67269
CN,2004,17.01648
CI,2004,
CM,2004,5.05736
CG,2004,
CO,2004,27.45562
KM,2004,3.00913
CV,2004,5.98368
CR,2004,25.63912
CU,2004,53.51187
