country,bundle,year,out-oda-gross-bundle
SE,A,2008,49520354
SE,B,2008,615416737
SE,C,2008,47325825
SE,D,2008,12964520
SE,E,2008,1639550557
SE,F,2008,650175671
SE,G,2008,253391231
US,B,2008,5466302870
US,C,2008,3526147606
US,E,2008,10891429263
US,F,2008,3127144237
US,G,2008,2830131718
1,F,2009,175351284
2,A,2009,1045856995
2,B,2009,1680480520
2,C,2009,1055083
2,E,2009,45960107
2,F,2009,355477506
2,G,2009,25750975
10,B,2009,256929778
10,C,2009,127046807
10,E,2009,112586878
10,F,2009,59368175
11,A,2009,4226240
11,B,2009,5204043
11,E,2009,423785630
11,G,2009,10550006
12,B,2009,1531186847
12,C,2009,801775077
12,E,2009,83091183
12,G,2009,34583385
15,A,2009,6585696903
15,B,2009,3158223265
15,F,2009,1490564889
15,G,2009,2020153230
17,A,2009,455889355
17,B,2009,62227187
17,E,2009,113572385
17,F,2009,440599918
17,G,2009,2318518
21,B,2009,2608250813
21,F,2009,123211153
24,A,2009,72684145
24,E,2009,606055
24,F,2009,6622797
25,A,2009,300981631
25,B,2009,40485554
27,B,2009,70613865
27,E,2009,165831023
27,G,2009,18405642
28,B,2009,35660132
28,C,2009,24424
28,E,2009,602028456
28,F,2009,11252
28,G,2009,23499960
29,B,2009,2411893
29,E,2009,10690500
29,G,2009,258817
31,B,2009,346845
31,E,2009,362111107
31,G,2009,886346
33,B,2009,9754361
33,C,2009,36263
33,E,2009,782583271
33,F,2009,336631035
33,G,2009,10124194
37,C,2009,168254582
37,E,2009,124412651
37,F,2009,11769000
38,E,2009,458061040
AE,A,2009,99286229
AE,B,2009,12181638
AE,C,2009,203708966
AE,E,2009,768377636
AE,F,2009,4596429
AE,G,2009,601950
AT,B,2009,29747522
AT,C,2009,4266347
AT,D,2009,18738059
AT,E,2009,92359804
AT,F,2009,248355416
AT,G,2009,113552976
AU,A,2009,127454595
AU,B,2009,630065725
AU,C,2009,148415783
AU,D,2009,16562932
AU,E,2009,579859425
AU,F,2009,170935899
AU,G,2009,1669286589
BE,A,2009,38686625
BE,B,2009,248824129
BE,C,2009,60963257
BE,E,2009,329578008
BE,F,2009,399610150
BE,G,2009,551990714
CA,B,2009,546083784
CA,C,2009,258058689
CA,D,2009,1787836
CA,E,2009,175922798
CA,F,2009,864293472
CA,G,2009,2068103113
CH,A,2009,30475969
CH,B,2009,120794345
CH,C,2009,59357073
CH,D,2009,1411753
CH,E,2009,834398414
CH,F,2009,790182536
CH,G,2009,215542790
DE,A,2009,1502497580
DE,B,2009,550978460
DE,C,2009,184137594
DE,E,2009,881376050
DE,F,2009,1395879804
DE,G,2009,3493296326
DK,B,2009,565319334
DK,C,2009,17395325
DK,D,2009,94349887
DK,E,2009,574913659
DK,F,2009,242237237
DK,G,2009,158304883
ES,A,2009,696018036
ES,B,2009,807611259
ES,C,2009,402673582
ES,D,2009,9051476
ES,E,2009,1180818497
ES,F,2009,475394257
ES,G,2009,806845576
EU,A,2009,131265384
EU,B,2009,3200204771
EU,C,2009,887925290
EU,E,2009,5457357019
EU,F,2009,939272852
EU,G,2009,1936688818
FI,A,2009,25723068
FI,B,2009,144829608
FI,C,2009,18017181
FI,D,2009,303856
FI,E,2009,128986131
FI,F,2009,146053948
FI,G,2009,306255193
FR,A,2009,1509031306
FR,B,2009,350747668
FR,C,2009,59997377
FR,D,2009,13873424
FR,E,2009,1022034064
FR,F,2009,3520539013
FR,G,2009,1602360958
GB,A,2009,602361044
GB,B,2009,2812970260
GB,C,2009,178241415
GB,D,2009,320975975
GB,E,2009,3186212646
GB,F,2009,530583694
GB,G,2009,757732137
GR,B,2009,30285746
GR,C,2009,4302491
GR,E,2009,19808426
GR,F,2009,110212077
GR,G,2009,113238606
IE,B,2009,498456850
IE,C,2009,14096219
IE,D,2009,9846147
IE,E,2009,41144787
IE,F,2009,52443211
IE,G,2009,26091249
IT,A,2009,166827371
IT,B,2009,172843404
IT,C,2009,43419859
IT,D,2009,7457346
IT,E,2009,279801791
IT,F,2009,231097427
IT,G,2009,103102558
JP,A,2009,7430603090
JP,B,2009,1501780477
JP,C,2009,771707797
JP,D,2009,137111952
JP,E,2009,1088892626
JP,F,2009,931279507
JP,G,2009,2599437271
KR,A,2009,299034261
KR,B,2009,18114862
KR,C,2009,9422712
KR,E,2009,107332735
KR,F,2009,40362031
KR,G,2009,265126996
LU,B,2009,20046855
LU,C,2009,11467814
LU,D,2009,7943660
LU,E,2009,207965865
LU,F,2009,22223513
LU,G,2009,11960942
NL,B,2009,1718299060
NL,C,2009,33821309
NL,E,2009,1876398466
NL,F,2009,750917325
NL,G,2009,348152609
NO,A,2009,54477717
NO,B,2009,2155524742
NO,C,2009,52846104
NO,E,2009,296900195
NO,F,2009,826240271
NO,G,2009,594973344
NZ,B,2009,62710274
NZ,C,2009,394537
NZ,D,2009,29957465
NZ,E,2009,92461276
NZ,F,2009,48507677
NZ,G,2009,73591794
PT,A,2009,22191990
PT,B,2009,5357924
PT,C,2009,58720841
PT,D,2009,547983
PT,E,2009,39564386
PT,F,2009,56065052
PT,G,2009,107414019
SE,A,2009,100269635
SE,B,2009,798370756
SE,C,2009,56444401
SE,D,2009,4281684
SE,E,2009,1547424182
SE,F,2009,682255753
SE,G,2009,332537001
US,B,2009,5385336703
US,C,2009,3075641261
US,E,2009,11938707981
US,F,2009,3305706318
US,G,2009,3587028532
1,F,2010,163974442
2,A,2010,1062221636
2,B,2010,725750405
2,E,2010,41300257
2,F,2010,582601065
2,G,2010,23608477
3,A,2010,1045002999
3,B,2010,398975
3,E,2010,21984393
3,G,2010,718216
6,A,2010,1631824884
6,B,2010,355749959
6,C,2010,2605966
6,E,2010,10707301
6,F,2010,765435
6,G,2010,2488481
10,B,2010,512181458
10,C,2010,190063258
10,E,2010,36093225
10,F,2010,74937758
11,A,2010,8979851
11,B,2010,7237092
11,E,2010,423503092
11,G,2010,7140084
12,B,2010,2604722832
12,C,2010,19328424
12,E,2010,508374159
12,G,2010,15203698
15,A,2010,6202979675
15,B,2010,3945279478
15,C,2010,23358463
15,E,2010,46159435
15,F,2010,2079236175
15,G,2010,294152023
17,A,2010,438410943
17,B,2010,155720855
17,E,2010,150668786
17,F,2010,502974987
17,G,2010,3123751
21,B,2010,1397529665
21,F,2010,1689963170
24,A,2010,51354878
24,B,2010,5502422
24,E,2010,2764967
24,F,2010,4857057
24,G,2010,3026332
25,A,2010,301538119
25,B,2010,6699180
25,C,2010,2284880
25,E,2010,14058626
25,F,2010,14020860
25,G,2010,1100584
27,B,2010,218961
27,E,2010,254991702
28,B,2010,59290651
28,E,2010,552135720
28,F,2010,157381
28,G,2010,25107743
29,B,2010,2680996
29,E,2010,9566069
29,G,2010,468192
31,B,2010,9646235
31,E,2010,836654685
33,B,2010,7971720
33,C,2010,116269
33,E,2010,809527519
33,F,2010,261998808
33,G,2010,10994286
34,B,2010,1304519
34,E,2010,50247968
34,G,2010,1466319
35,E,2010,469095395
35,F,2010,96906762
37,C,2010,113703749
37,E,2010,130517125
37,F,2010,8908904
37,G,2010,4384
38,E,2010,380378292
AE,A,2010,132007109
AE,B,2010,366564007
AE,C,2010,11190879
AE,D,2010,5514931
AE,F,2010,43996493
AT,B,2010,98148394
AT,C,2010,1988602
AT,D,2010,17844548
AT,E,2010,24575936
AT,F,2010,367507939
AT,G,2010,111618191
AU,A,2010,37888758
AU,B,2010,913945604
AU,C,2010,33340505
AU,D,2010,378478500
AU,E,2010,147276486
AU,F,2010,597218097
AU,G,2010,1684752949
BE,A,2010,43988547
BE,B,2010,275777664
BE,C,2010,2339982
BE,D,2010,272487569
BE,E,2010,87428856
BE,F,2010,882010392
BE,G,2010,582650125
CA,B,2010,615856486
CA,C,2010,208234226
CA,D,2010,74291753
CA,E,2010,295863123
CA,F,2010,996832842
CA,G,2010,2104805123
CH,A,2010,33045497
CH,B,2010,248370666
CH,C,2010,53289538
CH,D,2010,243278126
CH,E,2010,376524551
CH,F,2010,757454571
CH,G,2010,219396946
DE,A,2010,1656403632
DE,B,2010,888129334
DE,C,2010,121436341
DE,D,2010,792773598
DE,E,2010,745486116
DE,F,2010,1793717327
DE,G,2010,3408686058
DK,A,2010,38690174
DK,B,2010,615875429
DK,C,2010,3018701
DK,D,2010,237146180
DK,E,2010,669696621
DK,F,2010,462048090
DK,G,2010,158649161
ES,A,2010,494184125
ES,B,2010,1154663144
ES,C,2010,76994179
ES,D,2010,565605124
ES,E,2010,412622674
ES,F,2010,908224734
ES,G,2010,637320481
EU,B,2010,4614417791
EU,C,2010,818305261
EU,D,2010,41501667
EU,E,2010,4538240728
EU,F,2010,848870479
EU,G,2010,1645091937
FI,A,2010,39571110
FI,B,2010,160560765
FI,C,2010,20118920
FI,D,2010,61293273
FI,E,2010,119689840
FI,F,2010,153922025
FI,G,2010,305995988
FR,A,2010,2075590629
FR,B,2010,1070034773
FR,C,2010,46334241
FR,D,2010,19771822
FR,E,2010,452237530
FR,F,2010,3768845403
FR,G,2010,1696777071
GB,A,2010,683164388
GB,B,2010,3087551858
GB,C,2010,333028453
GB,D,2010,2003023462
GB,E,2010,1237193019
GB,F,2010,803683528
GB,G,2010,779630090
GR,B,2010,26354660
GR,C,2010,587409
GR,D,2010,2441479
GR,E,2010,1031541
GR,F,2010,140093807
GR,G,2010,35533915
IE,B,2010,315359089
IE,C,2010,14821644
IE,D,2010,157651101
IE,E,2010,20830439
IE,F,2010,54981647
IE,G,2010,13659848
IT,A,2010,126105859
IT,B,2010,53750067
IT,C,2010,5706931
IT,D,2010,14048415
IT,E,2010,276339500
IT,F,2010,336930763
IT,G,2010,160483112
JP,A,2010,7645577975
JP,B,2010,1572264899
JP,C,2010,667091705
JP,D,2010,201803462
JP,E,2010,2115839757
JP,F,2010,1478257464
JP,G,2010,2517128344
KR,A,2010,375520115
KR,B,2010,34255732
KR,C,2010,3951413
KR,D,2010,1420709
KR,E,2010,21768995
KR,F,2010,392321008
KR,G,2010,152460955
KW,A,2010,621511361
KW,B,2010,27347981
LU,B,2010,41867586
LU,C,2010,20010280
LU,D,2010,53073018
LU,E,2010,174693201
LU,F,2010,23343040
LU,G,2010,11457715
NL,B,2010,1555860942
NL,C,2010,144867302
NL,D,2010,271339940
NL,E,2010,1210453817
NL,F,2010,1333571410
NL,G,2010,407194984
NO,A,2010,119749444
NO,B,2010,1113326328
NO,C,2010,40252754
NO,D,2010,775246096
NO,E,2010,806254082
NO,F,2010,746108497
NO,G,2010,451896084
NZ,B,2010,104992360
NZ,C,2010,3330501
NZ,D,2010,20459352
NZ,E,2010,54124975
NZ,F,2010,80023765
NZ,G,2010,46809278
PT,A,2010,211833317
PT,B,2010,15862094
PT,C,2010,156182
PT,D,2010,1537828
PT,E,2010,14684857
PT,F,2010,71675223
PT,G,2010,103094148
SE,A,2010,15097566
SE,B,2010,1194978593
SE,C,2010,33272762
SE,D,2010,437353672
SE,E,2010,519719044
SE,F,2010,765411350
SE,G,2010,218614364
US,B,2010,5812763084
US,C,2010,2624292187
US,D,2010,1448652345
US,E,2010,11191285006
US,F,2010,3829367191
US,G,2010,3504112335
1,B,2011,986287
1,E,2011,1824719
1,F,2011,111738956
1,G,2011,7998652
2,A,2011,1105989649
2,B,2011,1032752769
2,E,2011,37009424
2,F,2011,391061
4,A,2011,790644666
4,B,2011,7924748
4,D,2011,26525
4,E,2011,13037439
6,A,2011,1356048991
6,B,2011,512728662
6,C,2011,6743834
6,E,2011,15056829
6,F,2011,1014827
6,G,2011,1959208
7,A,2011,88442668
7,E,2011,1736561
7,G,2011,3556910
9,B,2011,38236
10,B,2011,392016230
10,C,2011,281964903
10,D,2011,6352139
10,E,2011,49471392
10,F,2011,70043342
12,B,2011,2244912656
12,C,2011,42473372
12,E,2011,284272070
12,G,2011,11846363
14,B,2011,189916158
14,E,2011,15696277
15,A,2011,6827370120
15,B,2011,3580895198
15,C,2011,33486751
15,E,2011,62711740
15,F,2011,773187775
15,G,2011,146376370
17,A,2011,710778816
17,B,2011,169496333
17,E,2011,4665533
17,F,2011,603243487
17,G,2011,180867658
21,B,2011,1420172535
24,A,2011,38690620
24,D,2011,10857866
24,E,2011,12337250
24,F,2011,2110391
24,G,2011,4071699
25,A,2011,256548923
25,B,2011,8969639
25,C,2011,3660458
25,D,2011,712132
25,E,2011,14767925
25,G,2011,1460818
26,B,2011,12292773
26,E,2011,134896119
27,E,2011,259112337
28,B,2011,35034825
28,D,2011,6245452
28,E,2011,636952749
28,G,2011,10638592
29,B,2011,2193639
29,E,2011,9999592
31,D,2011,3478684
31,E,2011,304317246
32,E,2011,335123915
32,F,2011,95687985
33,B,2011,25239205
33,C,2011,3584213
33,D,2011,438579
33,E,2011,745698272
33,F,2011,296623999
33,G,2011,6405646
34,B,2011,1062655
34,C,2011,127091
34,E,2011,58004823
34,G,2011,1467142
35,E,2011,486811342
35,F,2011,106601429
37,C,2011,224509123
37,E,2011,96604335
37,F,2011,15556824
38,E,2011,441428942
AE,A,2011,114554166
AE,B,2011,225426145
AE,C,2011,25432138
AE,D,2011,6004341
AE,E,2011,164179820
AE,F,2011,205760339
AE,G,2011,2638544
AT,B,2011,62046871
AT,C,2011,2372129
AT,D,2011,24226266
AT,E,2011,17489410
AT,F,2011,256671316
AT,G,2011,102463671
AU,A,2011,61859405
AU,B,2011,1058846691
AU,C,2011,130893146
AU,D,2011,419321844
AU,E,2011,192124447
AU,F,2011,526358993
AU,G,2011,1751256612
BE,A,2011,5504236
BE,B,2011,143212654
BE,C,2011,21603529
BE,D,2011,347163009
BE,E,2011,92966856
BE,F,2011,668929951
BE,G,2011,596877579
CA,B,2011,1527550229
CA,C,2011,264163054
CA,D,2011,356857435
CA,E,2011,134314461
CA,F,2011,892172082
CA,G,2011,1006424695
CH,A,2011,36197356
CH,B,2011,316284861
CH,C,2011,58448081
CH,D,2011,330079850
CH,E,2011,460506094
CH,F,2011,882728834
CH,G,2011,190567992
CZ,B,2011,1106282
CZ,C,2011,667646
CZ,D,2011,976407
CZ,E,2011,25705586
CZ,F,2011,27692360
CZ,G,2011,14589152
DE,A,2011,2107066659
DE,B,2011,1018381844
DE,C,2011,237936206
DE,D,2011,172256017
DE,E,2011,610968918
DE,F,2011,1998827015
DE,G,2011,3459312917
DK,A,2011,42868382
DK,B,2011,731224930
DK,C,2011,5252119
DK,D,2011,284204871
DK,E,2011,566314123
DK,F,2011,340897707
DK,G,2011,124962624
