country,year,from-oof-capital
MS,2009,0
MA,2009,594340000
MZ,2009,79230000
MM,2009,15100000
NA,2009,43890000
NR,2009,100000
NP,2009,11120000
NI,2009,33530000
NE,2009,20970000
NG,2009,315870000
59,2009,33340000
60,2009,0
61,2009,300000
OM,2009,26180000
PK,2009,619270000
PW,2009,0
PA,2009,188980000
PG,2009,117720000
PY,2009,117060000
PE,2009,801960000
PH,2009,1151750000
RW,2009,2650000
WS,2009,740000
ST,2009,290000
SN,2009,41360000
RS,2009,190090000
SC,2009,12890000
SL,2009,1050000
SI,2009,0
SB,2009,0
SO,2009,0
62,2009,0
ZA,2009,224400000
63,2009,95690000
64,2009,157300000
65,2009,21360000
SS,2009,0
LK,2009,128880000
SH,2009,0
KN,2009,6300000
LC,2009,11360000
VC,2009,3860000
66,2009,5830000
SD,2009,7580000
SR,2009,7290000
SZ,2009,27240000
SY,2009,54440000
TJ,2009,13460000
TZ,2009,22990000
TH,2009,510550000
TL,2009,0
TG,2009,730000
TO,2009,0
TT,2009,92000000
TN,2009,531010000
TR,2009,1886250000
TM,2009,94900000
TC,2009,0
TV,2009,80000
UG,2009,29700000
UA,2009,748400000
UY,2009,278180000
UZ,2009,538560000
VU,2009,550000
VE,2009,285280000
VN,2009,286220000
WF,2009,1480000
PS,2009,5180000
67,2009,810000
YE,2009,3000000
ZM,2009,141280000
ZW,2009,6150000
AF,2010,16820000
51,2010,120500000
AL,2010,60820000
52,2010,29980000
AO,2010,12410000
AI,2010,2360000
AG,2010,12850000
AR,2010,1927980000
AM,2010,63270000
53,2010,1010000
AZ,2010,173530000
BD,2010,95500000
BB,2010,51240000
BY,2010,32730000
BZ,2010,22970000
BJ,2010,29230000
BT,2010,4340000
BO,2010,155410000
BA,2010,205620000
BW,2010,14500000
BR,2010,4487680000
BF,2010,20930000
BI,2010,530000
KH,2010,10150000
CM,2010,41960000
CV,2010,6050000
CF,2010,330000
54,2010,0
TD,2010,10990000
CL,2010,861950000
CN,2010,3006170000
CO,2010,836090000
KM,2010,10000
CD,2010,60060000
CG,2010,9900000
CK,2010,360000
CR,2010,76180000
CI,2010,79550000
HR,2010,381110000
CU,2010,0
CY,2010,0
55,2010,437220000
DJ,2010,10120000
DM,2010,5340000
DO,2010,202780000
EC,2010,241350000
EG,2010,708210000
SV,2010,218900000
GQ,2010,15990000
ER,2010,710000
ET,2010,20280000
56,2010,10260000
57,2010,4850000
FJ,2010,8280000
MK,2010,77090000
GA,2010,103120000
GM,2010,9300000
GE,2010,122560000
GH,2010,164730000
GD,2010,13090000
GT,2010,160540000
GN,2010,17150000
GW,2010,610000
GY,2010,5430000
HT,2010,10000
HN,2010,55570000
IN,2010,1641490000
ID,2010,4016520000
IR,2010,1008220000
JM,2010,175270000
JO,2010,268280000
KZ,2010,642820000
KE,2010,51150000
KI,2010,330000
KR,2010,0
KP,2010,0
XK,2010,840000
KG,2010,19490000
LA,2010,60310000
LB,2010,179620000
LS,2010,19550000
LR,2010,48710000
MG,2010,11380000
MW,2010,10670000
MY,2010,351970000
MV,2010,35400000
ML,2010,2370000
MT,2010,0
MH,2010,330000
MR,2010,30860000
MU,2010,26280000
YT,2010,8940000
MX,2010,2175250000
NR,2010,0
58,2010,3840000
MD,2010,49090000
MN,2010,28690000
ME,2010,30960000
MS,2010,0
MA,2010,554390000
MZ,2010,82430000
MM,2010,3660000
NA,2010,30090000
NR,2010,220000
NP,2010,7760000
NI,2010,53900000
NE,2010,35610000
NG,2010,363870000
59,2010,33410000
60,2010,40000
61,2010,0
OM,2010,142320000
PK,2010,619010000
PW,2010,0
PA,2010,173310000
PG,2010,51820000
PY,2010,136130000
PE,2010,1647900000
PH,2010,1392780000
RW,2010,3680000
WS,2010,1820000
ST,2010,290000
SN,2010,41760000
RS,2010,367840000
SC,2010,1630000
SL,2010,1920000
SI,2010,0
SB,2010,0
SO,2010,0
62,2010,40000
ZA,2010,356140000
63,2010,74520000
64,2010,0
65,2010,60000
SS,2010,0
LK,2010,50260000
SH,2010,0
KN,2010,10700000
LC,2010,34750000
VC,2010,10500000
66,2010,2600000
SD,2010,18450000
SR,2010,8850000
SZ,2010,25280000
SY,2010,78330000
TJ,2010,24250000
TZ,2010,48260000
TH,2010,577960000
TL,2010,0
TG,2010,3480000
TO,2010,420000
TT,2010,199970000
TN,2010,570320000
TR,2010,2228200000
TM,2010,80380000
TC,2010,0
TV,2010,90000
UG,2010,35980000
UA,2010,895020000
UY,2010,704680000
UZ,2010,372990000
VU,2010,1210000
VE,2010,317950000
VN,2010,334820000
WF,2010,1440000
PS,2010,14040000
67,2010,1960000
YE,2010,264950000
ZM,2010,190410000
ZW,2010,4890000
AF,2011,19020000
51,2011,302090000
AL,2011,75680000
52,2011,72230000
AO,2011,2030000
AI,2011,1180000
AG,2011,2600000
AR,2011,1700090000
AM,2011,90880000
53,2011,3250000
AZ,2011,190220000
BD,2011,140850000
BB,2011,0
BY,2011,47880000
BZ,2011,16450000
BJ,2011,4060000
BT,2011,2730000
BO,2011,157530000
BA,2011,209190000
BW,2011,8080000
BR,2011,9815700000
BF,2011,4160000
BI,2011,0
KH,2011,19310000
CM,2011,79330000
CV,2011,930000
CF,2011,20000
54,2011,0
TD,2011,5590000
CL,2011,636070000
CN,2011,3622550000
CO,2011,823330000
KM,2011,10000
CD,2011,91450000
CG,2011,29190000
CK,2011,360000
CR,2011,135620000
CI,2011,56120000
HR,2011,0
CU,2011,1720000
CY,2011,0
55,2011,729740000
DJ,2011,11400000
DM,2011,2190000
DO,2011,214790000
EC,2011,237270000
EG,2011,536190000
SV,2011,197120000
GQ,2011,14360000
ER,2011,0
ET,2011,18260000
56,2011,1350390000
57,2011,236380000
FJ,2011,6830000
MK,2011,60300000
GA,2011,92210000
GM,2011,6670000
GE,2011,143040000
GH,2011,196930000
GD,2011,7140000
GT,2011,222860000
GN,2011,6870000
GW,2011,0
GY,2011,1750000
HT,2011,340000
HN,2011,128850000
IN,2011,2077320000
ID,2011,3626670000
IR,2011,1585020000
JM,2011,122970000
JO,2011,153760000
KZ,2011,549820000
KE,2011,41830000
KI,2011,0
KR,2011,0
KP,2011,1760000
XK,2011,17860000
KG,2011,17700000
LA,2011,15990000
LB,2011,185580000
LS,2011,710000
LR,2011,76080000
MG,2011,11940000
MW,2011,9640000
MY,2011,371960000
MV,2011,39640000
ML,2011,3130000
MT,2011,0
MH,2011,340000
MR,2011,15450000
MU,2011,29500000
YT,2011,0
MX,2011,2507650000
NR,2011,10000
58,2011,251150000
MD,2011,75850000
MN,2011,40840000
ME,2011,42220000
MS,2011,0
MA,2011,553330000
MZ,2011,62370000
MM,2011,1830000
NA,2011,14110000
NR,2011,340000
NP,2011,8370000
NI,2011,37730000
NE,2011,20780000
NG,2011,222740000
59,2011,6200090000
60,2011,1780000
61,2011,185680000
OM,2011,0
PK,2011,658710000
PW,2011,0
PA,2011,183030000
PG,2011,50990000
PY,2011,138730000
PE,2011,919730000
PH,2011,1064700000
RW,2011,2850000
WS,2011,0
ST,2011,340000
SN,2011,94260000
RS,2011,508510000
SC,2011,2560000
SL,2011,2790000
SI,2011,0
SB,2011,9100000
SO,2011,0
62,2011,0
ZA,2011,459990000
63,2011,57650000
64,2011,0
65,2011,38990000
SS,2011,0
LK,2011,49360000
SH,2011,0
KN,2011,6370000
LC,2011,10960000
VC,2011,6270000
66,2011,930000
SD,2011,11570000
SR,2011,5880000
SZ,2011,15140000
SY,2011,98540000
TJ,2011,19770000
TZ,2011,87340000
TH,2011,561520000
TL,2011,13660000
TG,2011,6790000
TO,2011,0
TT,2011,0
TN,2011,536400000
TR,2011,1901600000
TM,2011,71300000
TC,2011,0
TV,2011,0
UG,2011,26520000
UA,2011,991000000
UY,2011,226270000
UZ,2011,407960000
VU,2011,0
VE,2011,260240000
VN,2011,405220000
WF,2011,1180000
PS,2011,6510000
67,2011,940000
YE,2011,34810000
ZM,2011,60740000
ZW,2011,0
AF,2012,25310000
51,2012,130350000
AL,2012,66750000
52,2012,63880000
AO,2012,4270000
AI,2012,1530000
AG,2012,21970000
AR,2012,1846290000
AM,2012,84490000
53,2012,3470000
AZ,2012,169210000
BD,2012,167630000
BB,2012,0
BY,2012,53820000
BZ,2012,15360000
BJ,2012,6530000
BT,2012,1640000
BO,2012,104540000
BA,2012,219960000
BW,2012,8130000
BR,2012,3132460000
BF,2012,4610000
BI,2012,100000
KH,2012,28600000
CM,2012,56260000
CV,2012,5030000
CF,2012,0
54,2012,0
TD,2012,10070000
CL,2012,486810000
CN,2012,3970280000
CO,2012,1011770000
KM,2012,240000
CD,2012,131470000
CG,2012,10700000
CK,2012,180000
CR,2012,112250000
CI,2012,27850000
HR,2012,0
CU,2012,3150000
CY,2012,0
55,2012,850870000
DJ,2012,24890000
DM,2012,1980000
DO,2012,320320000
EC,2012,266190000
EG,2012,580560000
SV,2012,200330000
GQ,2012,14500000
ER,2012,0
ET,2012,48090000
56,2012,182870000
57,2012,18000000
FJ,2012,7960000
MK,2012,45700000
GA,2012,86830000
GM,2012,7920000
GE,2012,160780000
GH,2012,301490000
GD,2012,3700000
GT,2012,182590000
GN,2012,6390000
GW,2012,0
GY,2012,1980000
HT,2012,21580000
HN,2012,23730000
IN,2012,1920560000
ID,2012,3201590000
IR,2012,1833800000
JM,2012,175910000
JO,2012,222300000
KZ,2012,620000000
KE,2012,62480000
KI,2012,0
KR,2012,0
KP,2012,0
XK,2012,27970000
KG,2012,8750000
LA,2012,3520000
LB,2012,214970000
LS,2012,3840000
LR,2012,143370000
MG,2012,19770000
MW,2012,7310000
MY,2012,565230000
MV,2012,49760000
ML,2012,6170000
MT,2012,0
MH,2012,380000
MR,2012,23620000
MU,2012,145210000
YT,2012,0
MX,2012,2939490000
NR,2012,60000
58,2012,116780000
MD,2012,73030000
MN,2012,83560000
ME,2012,56900000
MS,2012,0
MA,2012,614060000
MZ,2012,51190000
MM,2012,0
NA,2012,59500000
NR,2012,270000
NP,2012,1210000
NI,2012,33230000
NE,2012,8790000
NG,2012,199520000
59,2012,47530000
60,2012,2660000
61,2012,3610000
OM,2012,0
PK,2012,738340000
PW,2012,0
PA,2012,234390000
PG,2012,81720000
PY,2012,184340000
PE,2012,911410000
PH,2012,1103640000
RW,2012,6210000
WS,2012,0
ST,2012,0
SN,2012,122660000
RS,2012,526490000
SC,2012,1170000
SL,2012,4060000
SI,2012,0
SB,2012,34210000
SO,2012,0
62,2012,0
ZA,2012,236490000
63,2012,66820000
64,2012,0
65,2012,25440000
SS,2012,0
LK,2012,65890000
SH,2012,0
KN,2012,6220000
LC,2012,16360000
VC,2012,6820000
66,2012,130000
SD,2012,44620000
SR,2012,9600000
SZ,2012,15590000
SY,2012,75930000
TJ,2012,14770000
TZ,2012,26440000
TH,2012,392310000
TL,2012,0
TG,2012,17980000
TO,2012,0
TT,2012,0
TN,2012,573530000
TR,2012,2163290000
TM,2012,16540000
TC,2012,0
TV,2012,0
UG,2012,40720000
UA,2012,826660000
UY,2012,234990000
UZ,2012,446100000
VU,2012,0
VE,2012,214130000
VN,2012,464100000
WF,2012,980000
PS,2012,26360000
67,2012,70000
YE,2012,60010000
ZM,2012,29960000
ZW,2012,4820000
