country,year,from_trademispricing
BF,2004,402080000
BF,2005,254310000
BF,2006,255070000
BF,2007,395440000
BF,2008,406870000
BF,2009,434050000
BF,2010,402180000
BF,2011,516950000
BG,2001,1359690000
BG,2002,2541130000
BG,2003,3174630000
BG,2004,3755270000
BG,2005,2724800000
BG,2006,2044700000
BG,2007,1844930000
BG,2008,1152920000
BG,2009,911390000
BG,2010,765460000
BG,2011,1711210000
BH,2001,
BH,2002,
BH,2003,
BH,2004,
BH,2005,
BH,2006,
BH,2007,
BH,2008,
BH,2009,
BH,2010,
BH,2011,
BI,2001,0
BI,2002,12470000
BI,2003,4220000
BI,2004,0
BI,2005,46100000
BI,2006,201880000
BI,2007,37730000
BI,2008,33830000
BI,2009,56840000
BI,2010,57600000
BI,2011,163760000
BJ,2001,0
BJ,2002,0
BJ,2003,93350000
BJ,2004,147750000
BJ,2005,44500000
BJ,2006,0
BJ,2007,0
BJ,2008,0
BJ,2009,0
BJ,2010,206090000
BJ,2011,0
BN,2001,0
BN,2002,1132150000
BN,2003,1503690000
BN,2004,799230000
BN,2005,1066660000
BN,2006,0
BN,2007,1346210000
BN,2008,232290000
BN,2009,554600000
BN,2010,0
BN,2011,0
BO,2001,344510000
BO,2002,475560000
BO,2003,0
BO,2004,0
BO,2005,0
BO,2006,0
BO,2007,0
BO,2008,0
BO,2009,0
BO,2010,0
BO,2011,0
BR,2001,0
BR,2002,27289650000
BR,2003,32202460000
BR,2004,34985370000
BR,2005,32787340000
BR,2006,17756320000
BR,2007,19975170000
BR,2008,27095330000
BR,2009,27374390000
BR,2010,29054970000
BR,2011,29509560000
BS,2001,
BS,2002,
BS,2003,
BS,2004,
BS,2005,
BS,2006,
BS,2007,
BS,2008,
BS,2009,
BS,2010,
BS,2011,
BT,2001,
BT,2002,
BT,2003,
BT,2004,
BT,2005,
BT,2006,
BT,2007,
BT,2008,
BT,2009,
BT,2010,
BT,2011,
BW,2001,115020000
BW,2002,115760000
BW,2003,0
BW,2004,195860000
BW,2005,243010000
BW,2006,628470000
BW,2007,1253230000
BW,2008,1257000000
BW,2009,1180650000
BW,2010,215170000
BW,2011,1289910000
BY,2001,
BY,2002,4939640000
BY,2003,6019470000
BY,2004,6443640000
BY,2005,5713830000
BY,2006,6595070000
BY,2007,9984600000
BY,2008,13360690000
BY,2009,10288370000
BY,2010,8974910000
BY,2011,14747460000
BZ,2001,131540000
BZ,2002,76060000
BZ,2003,102970000
BZ,2004,103630000
BZ,2005,106360000
BZ,2006,85020000
BZ,2007,142910000
BZ,2008,146170000
BZ,2009,106080000
BZ,2010,76670000
BZ,2011,114900000
CD,2001,629730000
CD,2002,597450000
CD,2003,744960000
CD,2004,997730000
CD,2005,1416700000
CD,2006,741880000
CD,2007,262060000
CD,2008,0
CD,2009,347880000
CD,2010,333070000
CD,2011,0
CF,2001,63690000
CF,2002,122850000
CF,2003,19160000
CF,2004,7860000
CF,2005,16000000
CF,2006,0
CF,2007,3170000
CF,2008,0
CF,2009,35060000
CF,2010,33800000
CF,2011,28350000
CG,2001,3434570000
CG,2002,0
CG,2003,2333100000
CG,2004,5831640000
CG,2005,1077490000
CG,2006,2916850000
CG,2007,1871410000
CG,2008,2406700000
CG,2009,750770000
CG,2010,1861610000
CG,2011,754490000
CI,2001,90980000
CI,2002,2214150000
CI,2003,3192820000
CI,2004,3475550000
CI,2005,4868880000
CI,2006,3205540000
CI,2007,3624530000
CI,2008,2248770000
CI,2009,1207350000
CI,2010,1834570000
CI,2011,978730000
CL,2001,2519550000
CL,2002,4569280000
CL,2003,4176980000
CL,2004,4797990000
CL,2005,5462610000
CL,2006,4780000000
CL,2007,5098230000
CL,2008,10217640000
CL,2009,4579060000
CL,2010,5606440000
CL,2011,5339710000
CM,2001,589760000
CM,2002,164630000
CM,2003,367070000
CM,2004,1071640000
CM,2005,527460000
CM,2006,1086890000
CM,2007,1316430000
CM,2008,1434670000
CM,2009,200550000
CM,2010,331010000
CM,2011,458290000
CN,2001,2.90086E+11
CN,2002,1.4158E+11
CN,2003,1.41663E+11
CN,2004,1.67803E+11
CN,2005,1.64522E+11
CN,2006,1.6146E+11
CN,2007,1.69599E+11
CN,2008,1.32092E+11
CN,2009,1.1742E+11
CN,2010,1.33175E+11
CN,2011,1.4364E+11
CO,2001,3118160000
CO,2002,2413150000
CO,2003,3201640000
CO,2004,3804620000
CO,2005,2405940000
CO,2006,932380000
CO,2007,867460000
CO,2008,3359090000
CO,2009,1756380000
CO,2010,0
CO,2011,1624190000
CR,2001,3179460000
CR,2002,3841780000
CR,2003,5861740000
CR,2004,7788510000
CR,2005,8733920000
CR,2006,8557850000
CR,2007,8138080000
CR,2008,9016230000
CR,2009,11686150000
CR,2010,19563850000
CR,2011,21864050000
CV,2001,
CV,2002,19340000
CV,2003,28190000
CV,2004,6790000
CV,2005,10130000
CV,2006,21510000
CV,2007,11880000
CV,2008,14210000
CV,2009,3580000
CV,2010,4640000
CV,2011,0
DJ,2001,306760000
DJ,2002,245470000
DJ,2003,302580000
DJ,2004,303250000
DJ,2005,318870000
DJ,2006,402220000
DJ,2007,351880000
DJ,2008,397250000
DJ,2009,339840000
DJ,2010,395330000
DJ,2011,456570000
DM,2001,20290000
DM,2002,14770000
DM,2003,22280000
DM,2004,30180000
DM,2005,48680000
DM,2006,53310000
DM,2007,85130000
DM,2008,166520000
DM,2009,131680000
DM,2010,124480000
DM,2011,172350000
DO,2001,1455910000
DO,2002,654630000
DO,2003,524450000
DO,2004,0
DO,2005,0
DO,2006,863640000
DO,2007,390060000
DO,2008,1130390000
DO,2009,4127570000
DO,2010,4275560000
DO,2011,3924350000
DZ,2001,4031320000
DZ,2002,1217300000
DZ,2003,1108710000
DZ,2004,1410930000
DZ,2005,0
DZ,2006,438370000
DZ,2007,0
DZ,2008,0
DZ,2009,1441320000
DZ,2010,0
DZ,2011,0
EC,2001,2118570000
EC,2002,587470000
EC,2003,42280000
EC,2004,1461110000
EC,2005,2075080000
EC,2006,945370000
EC,2007,917070000
EC,2008,5768910000
EC,2009,452950000
EC,2010,780020000
EC,2011,1406720000
EG,2001,1863950000
EG,2002,2922110000
EG,2003,2646540000
EG,2004,7058410000
EG,2005,5573620000
EG,2006,8334740000
EG,2007,7756450000
EG,2008,4475730000
EG,2009,0
EG,2010,1184500000
EG,2011,3875030000
ER,2001,
ER,2002,
ER,2003,
ER,2004,
ER,2005,
ER,2006,
ER,2007,
ER,2008,
ER,2009,
ER,2010,
ER,2011,
ET,2001,1384200000
ET,2002,692060000
ET,2003,204060000
ET,2004,95260000
ET,2005,1341780000
ET,2006,1783300000
ET,2007,1815620000
ET,2008,2043830000
ET,2009,2537290000
ET,2010,3071680000
ET,2011,2873330000
FJ,2001,282590000
FJ,2002,113540000
FJ,2003,296950000
FJ,2004,306940000
FJ,2005,194130000
FJ,2006,306400000
FJ,2007,260550000
FJ,2008,403470000
FJ,2009,254850000
FJ,2010,295640000
FJ,2011,342440000
GA,2001,1962940000
GA,2002,966930000
GA,2003,506710000
GA,2004,467740000
GA,2005,0
GA,2006,0
GA,2007,0
GA,2008,0
GA,2009,218970000
GA,2010,355630000
GA,2011,131700000
GD,2001,
GD,2002,42340000
GD,2003,53030000
GD,2004,29680000
GD,2005,62020000
GD,2006,51020000
GD,2007,65780000
GD,2008,60820000
GD,2009,51180000
GD,2010,62840000
GD,2011,72030000
GE,2001,605980000
GE,2002,601460000
GE,2003,880200000
GE,2004,857110000
GE,2005,680490000
GE,2006,984770000
GE,2007,515130000
GE,2008,893480000
GE,2009,627350000
GE,2010,345080000
GE,2011,226440000
GH,2001,1195910000
GH,2002,0
GH,2003,0
GH,2004,0
GH,2005,0
GH,2006,0
GH,2007,0
GH,2008,0
GH,2009,0
GH,2010,0
GH,2011,0
GM,2001,18830000
GM,2002,21270000
GM,2003,12680000
GM,2004,33970000
GM,2005,22650000
GM,2006,25580000
GM,2007,28540000
GM,2008,26990000
GM,2009,37460000
GM,2010,44180000
GM,2011,34670000
GN,2001,423610000
GN,2002,158670000
GN,2003,205680000
GN,2004,523390000
GN,2005,466560000
GN,2006,478030000
GN,2007,745380000
GN,2008,285390000
GN,2009,0
GN,2010,394610000
GN,2011,432480000
GQ,2001,1947950000
GQ,2002,244630000
GQ,2003,0
GQ,2004,860500000
GQ,2005,324850000
GQ,2006,579860000
GQ,2007,1344460000
GQ,2008,2141650000
GQ,2009,4723440000
GQ,2010,3815860000
GQ,2011,3276190000
GT,2001,3683660000
GT,2002,2358440000
GT,2003,2219530000
GT,2004,2212870000
GT,2005,2246290000
GT,2006,1254380000
GT,2007,1309600000
GT,2008,1120530000
GT,2009,4046960000
GT,2010,2313220000
GT,2011,2936330000
GW,2001,25380000
GW,2002,63670000
GW,2003,7700000
GW,2004,41720000
GW,2005,22000000
GW,2006,14490000
GW,2007,201100000
GW,2008,1850000
GW,2009,29620000
GW,2010,65740000
GW,2011,102310000
GY,2001,149940000
GY,2002,106430000
GY,2003,105720000
GY,2004,142450000
GY,2005,223060000
GY,2006,135330000
GY,2007,282020000
GY,2008,251830000
GY,2009,223040000
GY,2010,246410000
GY,2011,276470000
HN,2001,3922380000
HN,2002,4203110000
HN,2003,4265540000
HN,2004,4511060000
HN,2005,4434050000
HN,2006,4280640000
HN,2007,4028490000
HN,2008,4048520000
HN,2009,3275490000
HN,2010,3770380000
HN,2011,3593040000
HR,2001,982850000
HR,2002,658200000
HR,2003,894220000
HR,2004,396950000
HR,2005,155510000
HR,2006,0
HR,2007,0
HR,2008,0
HR,2009,0
HR,2010,0
HR,2011,0
HT,2001,3870000
HT,2002,20950000
HT,2003,74540000
HT,2004,77410000
HT,2005,66000000
HT,2006,131290000
HT,2007,119320000
HT,2008,136760000
HT,2009,38890000
HT,2010,66700000
HT,2011,56000000
HU,2001,0
HU,2002,0
HU,2003,0
HU,2004,0
HU,2005,0
HU,2006,0
HU,2007,0
HU,2008,0
HU,2009,0
HU,2010,0
HU,2011,0
ID,2001,964070000
ID,2002,33604650000
ID,2003,29349210000
ID,2004,33140790000
ID,2005,26947010000
ID,2006,27247920000
ID,2007,25989380000
ID,2008,37025720000
ID,2009,23837720000
ID,2010,14589840000
ID,2011,15834340000
IN,2001,12274950000
IN,2002,12906050000
IN,2003,15409600000
IN,2004,26466350000
IN,2005,26194020000
IN,2006,35428860000
IN,2007,35802770000
IN,2008,50783360000
IN,2009,31324810000
IN,2010,65038050000
IN,2011,78555170000
IQ,2001,
IQ,2002,
IQ,2003,
IQ,2004,
IQ,2005,
IQ,2006,
IQ,2007,
IQ,2008,12604570000
IQ,2009,18132910000
IQ,2010,18388340000
IQ,2011,12401830000
IR,2001,0
IR,2002,0
IR,2003,0
IR,2004,0
IR,2005,0
IR,2006,0
IR,2007,0
IR,2008,0
IR,2009,0
IR,2010,0
IR,2011,0
JM,2001,355100000
JM,2002,431080000
JM,2003,661990000
JM,2004,596860000
JM,2005,906030000
JM,2006,411210000
JM,2007,33520000
JM,2008,607800000
JM,2009,576160000
JM,2010,179150000
JM,2011,228860000
JO,2001,0
JO,2002,0
JO,2003,0
JO,2004,224810000
JO,2005,0
JO,2006,0
JO,2007,0
JO,2008,116520000
JO,2009,152640000
JO,2010,0
JO,2011,0
KE,2001,142340000
KE,2002,0
KE,2003,0
KE,2004,22830000
KE,2005,0
KE,2006,0
KE,2007,0
KE,2008,0
KE,2009,0
KE,2010,0
KE,2011,0
KG,2001,
KG,2002,0
KG,2003,0
KG,2004,0
KG,2005,0
KG,2006,0
KG,2007,0
KG,2008,0
KG,2009,0
KG,2010,0
KG,2011,0
KH,2001,392420000
KH,2002,427690000
KH,2003,498000000
KH,2004,592390000
KH,2005,0
KH,2006,0
KH,2007,0
KH,2008,0
KH,2009,0
KH,2010,0
KH,2011,0
KI,2001,
KI,2002,
KI,2003,
KI,2004,
KI,2005,
KI,2006,
KI,2007,
KI,2008,
KI,2009,
KI,2010,
KI,2011,
KM,2001,45240000
KM,2002,17950000
KM,2003,9150000
KM,2004,21600000
KM,2005,21630000
KM,2006,32220000
KM,2007,23310000
KM,2008,21610000
KM,2009,29190000
KM,2010,27740000
KM,2011,100290000
KN,2001,
KN,2002,66340000
KN,2003,20880000
KN,2004,34160000
KN,2005,55100000
KN,2006,46050000
KN,2007,49430000
KN,2008,29530000
KN,2009,52180000
KN,2010,71210000
KN,2011,46560000
KW,2001,754640000
KW,2002,1063330000
KW,2003,0
KW,2004,153510000
KW,2005,1509640000
KW,2006,1568040000
KW,2007,730490000
KW,2008,0
KW,2009,2314760000
KW,2010,0
KW,2011,2235540000
KZ,2001,1716320000
KZ,2002,3986240000
KZ,2003,354840000
KZ,2004,0
KZ,2005,0
KZ,2006,0
KZ,2007,0
KZ,2008,0
KZ,2009,0
KZ,2010,909210000
KZ,2011,2677200000
LA,2001,0
LA,2002,0
LA,2003,0
LA,2004,12700000
LA,2005,0
LA,2006,185030000
LA,2007,169550000
LA,2008,228190000
LA,2009,232870000
LA,2010,86930000
LA,2011,491230000
LB,2001,1473100000
LB,2002,717210000
LB,2003,0
LB,2004,288480000
LB,2005,1428760000
LB,2006,495160000
LB,2007,1297340000
LB,2008,1558440000
LB,2009,1059280000
LB,2010,571990000
LB,2011,285570000
LC,2001,
LC,2002,26310000
LC,2003,76990000
LC,2004,79690000
LC,2005,94050000
LC,2006,229120000
LC,2007,29290000
LC,2008,0
LC,2009,8780000
LC,2010,0
LC,2011,0
LK,2001,0
LK,2002,0
LK,2003,0
LK,2004,0
LK,2005,0
LK,2006,0
LK,2007,0
LK,2008,0
LK,2009,0
LK,2010,0
LK,2011,0
LR,2001,
LR,2002,1827910000
LR,2003,1506420000
LR,2004,1426660000
LR,2005,1453440000
LR,2006,2191200000
LR,2007,2458970000
LR,2008,740830000
LR,2009,1280090000
LR,2010,805850000
LR,2011,403010000
LS,2001,37690000
LS,2002,38380000
LS,2003,0
LS,2004,0
LS,2005,0
LS,2006,194500000
LS,2007,340580000
LS,2008,377540000
LS,2009,391330000
LS,2010,0
LS,2011,373060000
LT,2001,0
LT,2002,2633380000
LT,2003,3125780000
LT,2004,1648000000
LT,2005,1972510000
LT,2006,1111750000
LT,2007,1144070000
LT,2008,1813860000
LT,2009,999590000
LT,2010,1577110000
LT,2011,4044910000
LV,2001,1956140000
LV,2002,2210530000
LV,2003,2380550000
LV,2004,3413040000
LV,2005,3279810000
LV,2006,3673730000
LV,2007,3337350000
LV,2008,2554080000
LV,2009,2101380000
LV,2010,1715110000
LV,2011,3750600000
LY,2001,4716210000
LY,2002,186840000
LY,2003,0
LY,2004,0
LY,2005,0
LY,2006,0
LY,2007,0
LY,2008,0
LY,2009,0
LY,2010,0
LY,2011,0
MA,2001,537970000
MA,2002,91540000
MA,2003,334650000
MA,2004,746760000
MA,2005,3630510000
MA,2006,186710000
MA,2007,619290000
MA,2008,1333070000
MA,2009,1617070000
MA,2010,605720000
MA,2011,314360000
MD,2001,624340000
MD,2002,308910000
MD,2003,584790000
MD,2004,721270000
MD,2005,478640000
MD,2006,339030000
MD,2007,633280000
MD,2008,555740000
MD,2009,266330000
MD,2010,0
MD,2011,180090000
ME,2001,
ME,2002,
ME,2003,
ME,2004,1468120000
ME,2005,1325880000
ME,2006,569270000
ME,2007,542520000
ME,2008,418330000
ME,2009,262510000
ME,2010,252750000
ME,2011,205040000
MG,2001,40520000
MG,2002,187100000
MG,2003,79610000
MG,2004,1288620000
MG,2005,667790000
MG,2006,2495240000
MG,2007,92980000
MG,2008,664330000
MG,2009,182600000
MG,2010,117480000
MG,2011,259690000
MK,2001,0
MK,2002,311700000
MK,2003,373750000
MK,2004,518270000
MK,2005,638860000
MK,2006,382610000
MK,2007,808420000
MK,2008,969030000
MK,2009,549460000
MK,2010,572230000
MK,2011,845760000
ML,2001,113530000
ML,2002,95150000
ML,2003,477160000
ML,2004,153540000
ML,2005,209080000
ML,2006,256050000
ML,2007,225510000
ML,2008,1011570000
ML,2009,266050000
ML,2010,968180000
ML,2011,517670000
MM,2001,1005420000
MM,2002,0
MM,2003,78750000
MM,2004,1199940000
MM,2005,0
MM,2006,0
MM,2007,0
MM,2008,0
MM,2009,0
MM,2010,0
MM,2011,0
MN,2001,0
MN,2002,0
MN,2003,0
MN,2004,0
MN,2005,0
MN,2006,0
MN,2007,0
MN,2008,0
MN,2009,0
MN,2010,0
MN,2011,0
MR,2001,
MR,2002,
MR,2003,
MR,2004,
MR,2005,
MR,2006,
MR,2007,
MR,2008,
MR,2009,
MR,2010,
MR,2011,
MU,2001,26620000
MU,2002,0
MU,2003,148850000
MU,2004,41040000
MU,2005,0
MU,2006,2420000
MU,2007,0
MU,2008,186090000
MU,2009,354880000
MU,2010,487130000
MU,2011,0
MV,2001,147280000
MV,2002,205590000
MV,2003,146580000
MV,2004,88990000
MV,2005,45100000
MV,2006,85370000
MV,2007,54230000
MV,2008,55960000
MV,2009,35860000
MV,2010,56670000
MV,2011,69990000
MW,2001,189360000
MW,2002,103370000
MW,2003,198000000
MW,2004,166120000
MW,2005,476840000
MW,2006,382460000
MW,2007,390160000
MW,2008,677400000
MW,2009,510700000
MW,2010,500020000
MW,2011,661630000
MX,2001,41551180000
MX,2002,41547380000
MX,2003,43751090000
MX,2004,45088140000
MX,2005,50226270000
MX,2006,51580400000
MX,2007,60611380000
MX,2008,59641810000
MX,2009,39304250000
MX,2010,33548260000
MX,2011,26653990000
MY,2001,20288890000
MY,2002,35658370000
MY,2003,37039920000
MY,2004,44995520000
MY,2005,44133340000
MY,2006,41841860000
MY,2007,40387570000
MY,2008,36512050000
MY,2009,36953900000
MY,2010,47848310000
MY,2011,44128180000
MZ,2001,13650000
MZ,2002,344240000
MZ,2003,133680000
MZ,2004,0
MZ,2005,0
MZ,2006,481920000
MZ,2007,159890000
MZ,2008,0
MZ,2009,0
MZ,2010,40370000
MZ,2011,0
NA,2001,100420000
NA,2002,82300000
NA,2003,0
NA,2004,152180000
NA,2005,183000000
NA,2006,518090000
NA,2007,936890000
NA,2008,1005100000
NA,2009,1273930000
NA,2010,220680000
NA,2011,1137560000
NE,2001,103470000
NE,2002,0
NE,2003,0
NE,2004,125480000
NE,2005,166940000
NE,2006,0
NE,2007,95310000
NE,2008,39320000
NE,2009,0
NE,2010,549110000
NE,2011,155750000
NG,2001,2187360000
NG,2002,0
NG,2003,0
NG,2004,3015180000
NG,2005,772230000
NG,2006,2440760000
NG,2007,5504570000
NG,2008,3254750000
NG,2009,0
NG,2010,4273810000
NG,2011,5731570000
NI,2001,591520000
NI,2002,619030000
NI,2003,737270000
NI,2004,882680000
NI,2005,1242880000
NI,2006,1411900000
NI,2007,1414250000
NI,2008,1430320000
NI,2009,1341510000
NI,2010,1897940000
NI,2011,2105930000
NP,2001,1278310000
NP,2002,989250000
NP,2003,747260000
NP,2004,773230000
NP,2005,865140000
NP,2006,1089570000
NP,2007,836470000
NP,2008,987890000
NP,2009,2013950000
NP,2010,1861520000
NP,2011,615940000
OM,2001,67260000
OM,2002,456860000
OM,2003,806570000
OM,2004,231690000
OM,2005,0
OM,2006,3517330000
OM,2007,0
OM,2008,0
OM,2009,0
OM,2010,0
OM,2011,0
PA,2001,2337950000
PA,2002,2967720000
PA,2003,3169110000
PA,2004,3487600000
PA,2005,4518090000
PA,2006,5740090000
PA,2007,6124740000
PA,2008,6610700000
PA,2009,5847280000
PA,2010,5614080000
PA,2011,0
PE,2001,2157840000
PE,2002,1375880000
PE,2003,1356120000
PE,2004,1102140000
PE,2005,1457000000
PE,2006,856420000
PE,2007,608030000
PE,2008,1555870000
PE,2009,1867670000
PE,2010,0
PE,2011,0
PG,2001,0
PG,2002,148130000
PG,2003,290560000
PG,2004,202190000
PG,2005,0
PG,2006,0
PG,2007,54770000
PG,2008,153630000
PG,2009,694330000
PG,2010,464690000
PG,2011,974390000
PH,2001,12524720000
PH,2002,9110140000
PH,2003,13932290000
PH,2004,16590010000
PH,2005,20014480000
PH,2006,12827820000
PH,2007,10650170000
PH,2008,8252650000
PH,2009,7024250000
PH,2010,5901140000
PH,2011,11374140000
PK,2001,0
PK,2002,0
PK,2003,0
PK,2004,0
PK,2005,0
PK,2006,0
PK,2007,0
PK,2008,0
PK,2009,0
PK,2010,0
PK,2011,0
PL,2001,0
PL,2002,210680000
PL,2003,0
PL,2004,586230000
PL,2005,0
PL,2006,0
PL,2007,0
PL,2008,0
PL,2009,0
PL,2010,0
PL,2011,0
PY,2001,347320000
PY,2002,2188910000
PY,2003,4845700000
PY,2004,5064020000
PY,2005,5521570000
PY,2006,6099010000
PY,2007,5080900000
PY,2008,6520540000
PY,2009,6404240000
PY,2010,8124630000
PY,2011,8360440000
QA,2001,938500000
QA,2002,0
QA,2003,0
QA,2004,0
QA,2005,0
QA,2006,298290000
QA,2007,341330000
QA,2008,4742250000
QA,2009,26635310000
QA,2010,1477200000
QA,2011,5889690000
RO,2001,86040000
RO,2002,0
RO,2003,0
RO,2004,0
RO,2005,0
RO,2006,0
RO,2007,2771850000
RO,2008,1707360000
RO,2009,0
RO,2010,0
RO,2011,0
RS,2001,9984990000
RS,2002,10534180000
RS,2003,11326030000
RS,2004,13590430000
RS,2005,8852640000
RS,2006,6427670000
RS,2007,3912260000
RS,2008,0
RS,2009,5178090000
RS,2010,2756890000
RS,2011,2176030000
RU,2001,
RU,2002,
RU,2003,
RU,2004,
RU,2005,
RU,2006,
RU,2007,
RU,2008,
RU,2009,
RU,2010,
RU,2011,
RW,2001,89930000
RW,2002,80420000
RW,2003,54070000
RW,2004,369780000
RW,2005,115050000
RW,2006,186890000
RW,2007,202590000
RW,2008,104350000
RW,2009,413170000
RW,2010,467960000
RW,2011,536260000
SA,2001,0
SA,2002,0
SA,2003,0
SA,2004,0
SA,2005,2835140000
SA,2006,1313760000
SA,2007,1597820000
SA,2008,4095280000
SA,2009,6464380000
SA,2010,5494090000
SA,2011,5657110000
SB,2001,40740000
SB,2002,36570000
SB,2003,62270000
SB,2004,119310000
SB,2005,144350000
SB,2006,145270000
SB,2007,204920000
SB,2008,232420000
SB,2009,120650000
SB,2010,191330000
SB,2011,165610000
SC,2001,107230000
SC,2002,249960000
SC,2003,163720000
SC,2004,73880000
SC,2005,66700000
SC,2006,3450000
SC,2007,0
SC,2008,0
SC,2009,0
SC,2010,0
SC,2011,0
SD,2001,1164120000
SD,2002,840290000
SD,2003,0
SD,2004,0
SD,2005,180860000
SD,2006,85180000
SD,2007,1487700000
SD,2008,449820000
SD,2009,1950300000
SD,2010,733790000
SD,2011,3916780000
SL,2001,34260000
SL,2002,84080000
SL,2003,69840000
SL,2004,64870000
SL,2005,46570000
SL,2006,0
SL,2007,60540000
SL,2008,20700000
SL,2009,0
SL,2010,0
SL,2011,231470000
SN,2001,16380000
SN,2002,0
SN,2003,0
SN,2004,0
SN,2005,10200000
SN,2006,0
SN,2007,0
SN,2008,0
SN,2009,0
SN,2010,0
SN,2011,0
SO,2001,
SO,2002,
SO,2003,
SO,2004,
SO,2005,
SO,2006,
SO,2007,
SO,2008,
SO,2009,
SO,2010,
SO,2011,
SR,2001,145760000
SR,2002,225020000
SR,2003,144000000
SR,2004,216330000
SR,2005,183240000
SR,2006,46420000
SR,2007,9630000
SR,2008,212660000
SR,2009,56940000
SR,2010,0
SR,2011,0
ST,2001,
ST,2002,7140000
ST,2003,8410000
ST,2004,6460000
ST,2005,16000000
ST,2006,1330000
ST,2007,3160000
ST,2008,7810000
ST,2009,11130000
ST,2010,8640000
ST,2011,25410000
SV,2001,188990000
SV,2002,649970000
SV,2003,670790000
SV,2004,857460000
SV,2005,775430000
SV,2006,535630000
SV,2007,1176100000
SV,2008,959960000
SV,2009,1044390000
SV,2010,992150000
SV,2011,561230000
SY,2001,
SY,2002,
SY,2003,
SY,2004,
SY,2005,
SY,2006,
SY,2007,
SY,2008,
SY,2009,
SY,2010,
SY,2011,
SZ,2001,85990000
SZ,2002,69410000
SZ,2003,159150000
SZ,2004,134450000
SZ,2005,196530000
SZ,2006,602940000
SZ,2007,1352320000
SZ,2008,447800000
SZ,2009,510850000
SZ,2010,69920000
SZ,2011,401330000
TD,2001,
TD,2002,2689720000
TD,2003,832250000
TD,2004,862940000
TD,2005,600790000
TD,2006,928420000
TD,2007,1108270000
TD,2008,840120000
TD,2009,1303720000
TD,2010,1316380000
TD,2011,1555030000
TG,2001,322690000
TG,2002,426790000
TG,2003,354790000
TG,2004,385210000
TG,2005,1354350000
TG,2006,2404670000
TG,2007,3657730000
TG,2008,4616960000
TG,2009,4545980000
TG,2010,2648280000
TG,2011,1122260000
TH,2001,3772540000
TH,2002,9444230000
TH,2003,11044340000
TH,2004,11158070000
TH,2005,19592900000
TH,2006,16840820000
TH,2007,13434350000
TH,2008,24586720000
TH,2009,17837940000
TH,2010,21968270000
TH,2011,28944280000
TJ,2001,
TJ,2002,512550000
TJ,2003,307820000
TJ,2004,332630000
TJ,2005,105470000
TJ,2006,0
TJ,2007,0
TJ,2008,0
TJ,2009,1784620000
TJ,2010,0
TJ,2011,0
TL,2001,
TL,2002,
TL,2003,
TL,2004,
TL,2005,
TL,2006,
TL,2007,
TL,2008,
TL,2009,
TL,2010,
TL,2011,
TM,2001,958520000
TM,2002,877550000
TM,2003,684330000
TM,2004,0
TM,2005,0
TM,2006,0
TM,2007,0
TM,2008,0
TM,2009,0
TM,2010,0
TM,2011,0
TN,2001,0
TN,2002,0
TN,2003,0
TN,2004,0
TN,2005,0
