country,channel,year,out-oda-gross-channel
AT,G,2008,2231314
AT,H,2008,76562138
AT,I,2008,120779061
AU,A,2008,1395462838
AU,D,2008,95816065
AU,E,2008,148131762
AU,F,2008,19244993
AU,H,2008,784944753
AU,I,2008,779210508
AU,J,2008,370062381
BE,A,2008,955876809
BE,D,2008,53324133
BE,E,2008,227697960
BE,F,2008,10828189
BE,G,2008,1380618
BE,H,2008,170065204
CA,A,2008,895170479
CA,D,2008,165651129
CA,E,2008,76737692
CA,F,2008,4191326
CA,G,2008,26378
CA,H,2008,641561612
CA,I,2008,250340197
CA,J,2008,1676531630
CH,A,2008,870169039
CH,D,2008,43132783
CH,E,2008,391495667
CH,F,2008,97998104
CH,G,2008,8186760
CH,H,2008,245340525
CH,I,2008,177292025
DE,A,2008,8568495950
DE,D,2008,126310609
DE,E,2008,752713809
DE,F,2008,353440
DE,G,2008,3557300
DE,H,2008,326635268
DE,I,2008,555374620
DK,A,2008,535444739
DK,D,2008,49411833
DK,E,2008,143427972
DK,F,2008,7143791
DK,G,2008,2259894
DK,H,2008,85502555
DK,I,2008,57392139
DK,J,2008,546633487
ES,A,2008,1066666495
ES,B,2008,871743
ES,D,2008,522074878
ES,E,2008,735471314
ES,F,2008,53007008
ES,G,2008,45779024
ES,H,2008,1707031986
ES,I,2008,31601689
ES,J,2008,667299560
EU,A,2008,8449952671
EU,D,2008,376933678
EU,E,2008,318915158
EU,F,2008,11600446
EU,G,2008,902348
EU,H,2008,1782033249
EU,I,2008,1029748319
FI,A,2008,183486239
FI,E,2008,153426750
FI,G,2008,3448118
FI,H,2008,193185529
FI,I,2008,133640164
FR,A,2008,4447897679
FR,D,2008,8427643
FR,E,2008,57384592
FR,F,2008,19446147
FR,G,2008,193563469
FR,H,2008,41625211
FR,J,2008,2630291092
GB,A,2008,5011660831
GB,D,2008,15448211
GB,E,2008,731702557
GB,F,2008,196134095
GB,G,2008,36484350
GB,H,2008,1543905180
GR,A,2008,265704115
GR,E,2008,1391055
GR,G,2008,478811
GR,H,2008,21405493
IE,A,2008,237968638
IE,E,2008,259884315
IE,F,2008,37419508
IE,G,2008,8790664
IE,H,2008,183868284
IE,I,2008,67839923
IE,J,2008,155646
IT,A,2008,582244919
IT,D,2008,116009941
IT,G,2008,467487
IT,H,2008,260337700
IT,J,2008,982654180
JP,A,2008,8081157013
JP,D,2008,190932509
JP,E,2008,48491562
JP,H,2008,1332104481
JP,I,2008,623604131
JP,J,2008,5660588949
KR,A,2008,560837529
KR,E,2008,10751162
KR,G,2008,7877674
KR,H,2008,47237775
KR,I,2008,48782
LU,A,2008,136599494
LU,E,2008,80883622
LU,F,2008,3517489
LU,G,2008,133080
LU,H,2008,59969188
LU,I,2008,6786257
NL,A,2008,2049674353
NL,D,2008,4934226
NL,E,2008,1439945335
NL,F,2008,182240133
NL,G,2008,72508430
NL,H,2008,1050861212
NL,I,2008,258770410
NO,A,2008,1125813577
NO,E,2008,802439964
NO,F,2008,119411139
NO,G,2008,45841659
NO,H,2008,1107052028
NO,I,2008,125784432
NZ,A,2008,202278927
NZ,D,2008,58852061
NZ,E,2008,8647562
NZ,G,2008,289170
NZ,H,2008,57855224
NZ,J,2008,10056811
PT,A,2008,332913569
PT,D,2008,4030107
PT,E,2008,6389522
PT,F,2008,6523
PT,G,2008,26092
PT,H,2008,3156510
PT,I,2008,83920
PT,J,2008,104061
SE,A,2008,1289042615
SE,E,2008,702030897
SE,F,2008,92691181
SE,G,2008,14995816
SE,H,2008,737141800
SE,I,2008,259966017
SE,J,2008,172476570
US,A,2008,11122594905
US,D,2008,260966822
US,E,2008,4434472117
US,G,2008,57381330
US,H,2008,3824489064
US,I,2008,6141251456
1,J,2009,175351284
2,A,2009,3140695044
2,J,2009,13886145
10,A,2009,40888872
10,H,2009,436658083
10,I,2009,23211286
10,J,2009,55173396
11,H,2009,443765919
12,A,2009,1744405410
12,D,2009,637075585
12,G,2009,69155497
15,H,2009,1490564889
15,J,2009,11764073399
17,J,2009,1074607365
21,A,2009,2731461967
24,A,2009,79306943
24,H,2009,606055
25,J,2009,341467186
27,H,2009,70613865
27,I,2009,184236665
28,A,2009,83561722
28,E,2009,270143
28,H,2009,367468649
28,J,2009,209923710
29,J,2009,13361211
31,A,2009,86186290
31,D,2009,36683543
31,H,2009,237385167
31,J,2009,3089297
33,J,2009,1139129126
37,J,2009,304436234
38,J,2009,458061040
AE,A,2009,561111497
AE,D,2009,50562820
AE,E,2009,61748198
AE,H,2009,25656318
AE,I,2009,389674016
AT,A,2009,250010241
AT,E,2009,63128307
AT,F,2009,3779179
AT,G,2009,5603606
AT,H,2009,72741316
AT,I,2009,111757474
AU,A,2009,283538032
AU,B,2009,904426673
AU,C,2009,69951200
AU,D,2009,24019636
AU,E,2009,254063716
AU,F,2009,88376255
AU,G,2009,438316
AU,H,2009,783952850
AU,I,2009,933814268
BE,A,2009,1072040543
BE,D,2009,68497713
BE,E,2009,246320598
BE,F,2009,14029206
BE,G,2009,1630366
BE,H,2009,199341254
BE,I,2009,27793200
CA,A,2009,1338687704
CA,D,2009,225989787
CA,E,2009,530441023
CA,F,2009,30241071
CA,G,2009,18989076
CA,H,2009,1226088694
CA,I,2009,543494582
CA,J,2009,317753
