country,year,oof-bundle,out-oof-bundle
NL,2008,C,0
NZ,2008,C,0
NO,2008,C,660000
PT,2008,C,0
ES,2008,C,0
SE,2008,C,66110000
CH,2008,C,0
GB,2008,C,14150000
US,2008,C,130440000
1,2008,C,1139660000
5,2008,C,6582520000
8,2008,C,103100000
9,2008,C,2806300000
EU,2008,C,5758930000
14,2008,C,13621280000
16,2008,C,7279280000
18,2008,C,54140000
19,2008,C,5107480000
22,2008,C,0
24,2008,C,0
TR,2008,C,0
AU,2009,C,0
AT,2009,C,6700000
BE,2009,C,124610000
CA,2009,C,540000
DK,2009,C,36750000
FI,2009,C,64980000
FR,2009,C,927170000
DE,2009,C,1421960000
GR,2009,C,0
IT,2009,C,55860000
JP,2009,C,13486510000
KR,2009,C,2133110000
LU,2009,C,0
NL,2009,C,0
NZ,2009,C,0
NO,2009,C,150000
PT,2009,C,0
ES,2009,C,0
SE,2009,C,89640000
CH,2009,C,0
GB,2009,C,8360000
US,2009,C,311700000
1,2009,C,3803070000
5,2009,C,8282310000
8,2009,C,119780000
9,2009,C,3781980000
EU,2009,C,6365600000
14,2009,C,22450110000
16,2009,C,11971220000
18,2009,C,39550000
19,2009,C,4688730000
22,2009,C,0
24,2009,C,0
TR,2009,C,0
AU,2010,C,0
AT,2010,C,1680000
BE,2010,C,19360000
CA,2010,C,650000
DK,2010,C,39450000
FI,2010,C,52090000
FR,2010,C,801790000
DE,2010,C,1305670000
GR,2010,C,0
IT,2010,C,26990000
JP,2010,C,9159830000
KR,2010,C,0
LU,2010,C,0
NL,2010,C,0
NZ,2010,C,0
NO,2010,C,750000
PT,2010,C,0
ES,2010,C,0
SE,2010,C,0
CH,2010,C,0
GB,2010,C,1220000
US,2010,C,448470000
1,2010,C,2120970000
5,2010,C,5474940000
8,2010,C,256690000
9,2010,C,3769120000
EU,2010,C,8217370000
14,2010,C,27534370000
16,2010,C,10567600000
18,2010,C,45900000
19,2010,C,4345450000
22,2010,C,1548800000
24,2010,C,0
TR,2010,C,0
AU,2011,C,0
AT,2011,C,0
BE,2011,C,9990000
CA,2011,C,0
DK,2011,C,41450000
FI,2011,C,18310000
FR,2011,C,1199310000
DE,2011,C,1254840000
GR,2011,C,0
IT,2011,C,0
JP,2011,C,9250040000
KR,2011,C,4751400000
LU,2011,C,0
NL,2011,C,0
NZ,2011,C,0
NO,2011,C,0
PT,2011,C,0
ES,2011,C,0
SE,2011,C,50650000
CH,2011,C,0
GB,2011,C,730000
US,2011,C,2146050000
1,2011,C,2977940000
5,2011,C,5491840000
8,2011,C,81130000
9,2011,C,3937660000
EU,2011,C,919540000
14,2011,C,15589690000
16,2011,C,7015850000
18,2011,C,47700000
19,2011,C,4619840000
22,2011,C,1643650000
24,2011,C,0
TR,2011,C,0
AU,2012,C,0
AT,2012,C,0
BE,2012,C,146760000
CA,2012,C,0
DK,2012,C,36980000
FI,2012,C,7240000
FR,2012,C,1272330000
DE,2012,C,1272380000
GR,2012,C,0
IT,2012,C,89440000
JP,2012,C,11646820000
KR,2012,C,3981510000
LU,2012,C,0
NL,2012,C,0
NZ,2012,C,0
NO,2012,C,0
PT,2012,C,2060000
ES,2012,C,0
SE,2012,C,49220000
CH,2012,C,0
GB,2012,C,49120000
US,2012,C,219720000
1,2012,C,3510110000
5,2012,C,6899660000
8,2012,C,36000000
9,2012,C,3336320000
EU,2012,C,762060000
14,2012,C,15136130000
16,2012,C,6508460000
18,2012,C,63390000
19,2012,C,6414080000
22,2012,C,1304530000
24,2012,C,0
TR,2012,C,0
