country,year,govtspend_USD
AU,2009,543516.54
AU,2010,543063.56
AU,2011,549338.15
AU,2012,572423.38
AT,1990,123564.66
AT,1991,130628.71
AT,1992,137310.08
AT,1993,152137.85
AT,1994,155819.56
AT,1995,165315.56
AT,1996,164919.13
AT,1997,156868.22
AT,1998,163198.37
AT,1999,169157.45
AT,2000,170337.56
AT,2001,169574.46
AT,2002,170347.98
AT,2003,174062.60
AT,2004,187074.69
AT,2005,178085.45
AT,2006,181591.04
AT,2007,186255.21
AT,2008,191783.11
AT,2009,196704.92
AT,2010,200930.38
AT,2011,198517.67
AT,2012,203861.99
AZ,1990,
AZ,1991,
AZ,1992,
AZ,1993,
AZ,1994,
AZ,1995,
AZ,1996,
AZ,1997,
AZ,1998,
AZ,1999,
AZ,2000,3695.57
AZ,2001,3525.33
AZ,2002,5637.37
AZ,2003,6388.99
AZ,2004,6432.93
AZ,2005,7104.26
AZ,2006,11361.43
AZ,2007,13709.19
AZ,2008,18227.39
AZ,2009,21625.16
AZ,2010,21279.33
AZ,2011,22830.51
AZ,2012,25181.99
BH,1990,3693.03
BH,1991,3330.72
BH,1992,3675.91
BH,1993,3257.86
BH,1994,3173.48
BH,1995,3548.26
BH,1996,3300.38
BH,1997,4634.82
BH,1998,3704.58
BH,1999,4498.42
BH,2000,3765.79
BH,2001,4837.70
BH,2002,5760.83
BH,2003,5624.89
BH,2004,5354.04
BH,2005,5468.75
BH,2006,5633.08
BH,2007,5906.92
BH,2008,6354.88
BH,2009,7065.29
BH,2010,8208.13
BH,2011,8072.55
BH,2012,9088.29
BD,1990,4756.46
BD,1991,4806.89
BD,1992,5000.27
BD,1993,5775.72
BD,1994,6228.03
BD,1995,6793.78
BD,1996,6676.74
BD,1997,7088.62
BD,1998,7353.53
BD,1999,6764.55
BD,2000,8124.29
BD,2001,9504.18
BD,2002,9627.64
BD,2003,9965.57
BD,2004,10139.56
BD,2005,11280.18
BD,2006,11896.74
BD,2007,12150.68
BD,2008,15379.03
BD,2009,14862.91
BD,2010,15876.97
BD,2011,18581.01
BD,2012,19963.51
BB,1990,
BB,1991,
BB,1992,
BB,1993,
BB,1994,922.01
BB,1995,1005.33
BB,1996,1124.49
BB,1997,1232.93
BB,1998,1193.72
BB,1999,1225.99
BB,2000,1320.13
BB,2001,1348.08
BB,2002,1458.23
BB,2003,1446.54
BB,2004,1368.43
BB,2005,1479.59
BB,2006,1417.89
BB,2007,1647.90
BB,2008,1694.24
BB,2009,1596.06
BB,2010,1741.75
BB,2011,1745.49
BB,2012,1855.79
BY,1990,
BY,1991,
BY,1992,
BY,1993,182.54
BY,1994,45.78
BY,1995,137.10
BY,1996,121.41
BY,1997,136.69
BY,1998,2904.82
BY,1999,2695.18
BY,2000,3056.79
BY,2001,13848.88
BY,2002,14458.32
BY,2003,14854.81
BY,2004,16927.74
BY,2005,18933.54
BY,2006,21925.55
BY,2007,23864.30
BY,2008,26785.21
BY,2009,25383.30
BY,2010,24916.10
BY,2011,21587.49
BY,2012,24716.34
BE,1990,178847.02
BE,1991,186332.42
BE,1992,190161.13
BE,1993,192191.26
BE,1994,190056.33
BE,1995,187416.67
BE,1996,191256.58
BE,1997,193622.02
BE,1998,194267.08
BE,1999,200177.55
BE,2000,203217.73
BE,2001,205014.18
BE,2002,210594.79
BE,2003,217693.87
BE,2004,216584.35
BE,2005,232482.20
BE,2006,223049.46
BE,2007,228374.44
BE,2008,238062.64
BE,2009,249712.02
BE,2010,249973.61
BE,2011,258702.18
BE,2012,265922.45
BZ,1990,
BZ,1991,
BZ,1992,
BZ,1993,
BZ,1994,
BZ,1995,
BZ,1996,195.41
BZ,1997,208.37
BZ,1998,230.72
BZ,1999,268.33
BZ,2000,313.43
BZ,2001,359.17
BZ,2002,350.60
BZ,2003,374.55
BZ,2004,388.51
BZ,2005,359.17
BZ,2006,402.84
BZ,2007,394.33
BZ,2008,403.70
BZ,2009,407.95
BZ,2010,430.00
BZ,2011,434.42
BZ,2012,423.12
BJ,1990,669.44
BJ,1991,663.23
BJ,1992,729.45
BJ,1993,687.12
BJ,1994,793.17
BJ,1995,916.66
BJ,1996,859.43
BJ,1997,868.62
BJ,1998,774.70
BJ,1999,870.22
BJ,2000,1099.58
BJ,2001,1135.61
BJ,2002,1158.34
BJ,2003,1096.06
BJ,2004,1093.87
BJ,2005,1175.30
BJ,2006,1122.03
BJ,2007,1392.93
BJ,2008,1327.61
BJ,2009,1578.19
BJ,2010,1330.93
BJ,2011,1509.60
BJ,2012,1531.73
BT,1990,175.33
BT,1991,158.05
BT,1992,180.46
BT,1993,190.31
BT,1994,211.89
BT,1995,229.04
BT,1996,238.66
BT,1997,251.16
BT,1998,218.02
BT,1999,300.91
BT,2000,343.20
BT,2001,428.23
BT,2002,366.46
BT,2003,348.96
BT,2004,334.64
BT,2005,416.97
BT,2006,421.67
BT,2007,463.83
BT,2008,501.58
BT,2009,511.25
BT,2010,749.89
BT,2011,700.04
BT,2012,721.82
BO,1990,2657.36
BO,1991,2969.89
BO,1992,3152.60
BO,1993,3538.15
BO,1994,3646.87
BO,1995,3676.85
BO,1996,3876.94
BO,1997,4417.67
BO,1998,4917.60
BO,1999,4838.25
BO,2000,4951.15
BO,2001,5488.11
BO,2002,5860.05
BO,2003,5748.00
BO,2004,6038.48
BO,2005,6525.39
BO,2006,6137.62
BO,2007,7036.59
BO,2008,8077.28
BO,2009,8468.70
BO,2010,7754.70
BO,2011,9155.35
BO,2012,9831.46
BA,1990,
BA,1991,
BA,1992,
BA,1993,
BA,1994,
BA,1995,
BA,1996,
BA,1997,
BA,1998,5802.63
BA,1999,6836.75
BA,2000,7063.64
BA,2001,6216.02
BA,2002,6061.10
BA,2003,6272.17
BA,2004,6413.00
BA,2005,6656.02
BA,2006,7050.94
BA,2007,7617.01
BA,2008,8493.56
BA,2009,8535.48
BA,2010,8586.79
BA,2011,8379.50
BA,2012,8323.39
BW,1990,2007.29
BW,1991,2251.93
BW,1992,2313.52
BW,1993,2387.21
BW,1994,2123.20
BW,1995,2215.79
BW,1996,2270.97
BW,1997,2564.45
BW,1998,2874.85
BW,1999,3195.13
BW,2000,3424.06
BW,2001,3757.61
BW,2002,4260.17
BW,2003,4222.23
BW,2004,4021.77
BW,2005,3569.09
BW,2006,3729.14
BW,2007,4493.15
BW,2008,6112.96
BW,2009,6116.67
BW,2010,5212.27
BW,2011,5056.83
BW,2012,5143.67
BR,1990,
BR,1991,
BR,1992,
BR,1993,
BR,1994,
BR,1995,
BR,1996,543933.68
BR,1997,568010.30
BR,1998,607863.08
BR,1999,588587.97
BR,2000,532273.29
BR,2001,556010.06
BR,2002,618517.53
BR,2003,622704.78
BR,2004,609634.28
BR,2005,657102.67
BR,2006,688831.30
BR,2007,737758.01
BR,2008,773932.84
BR,2009,767366.59
BR,2010,864160.78
BR,2011,872916.73
BR,2012,909167.90
BN,1990,5077.85
BN,1991,5099.39
BN,1992,5530.67
BN,1993,6362.25
BN,1994,8777.56
BN,1995,8816.70
BN,1996,7086.70
BN,1997,7106.89
BN,1998,8024.40
BN,1999,7646.80
BN,2000,5890.61
BN,2001,5726.84
BN,2002,6946.29
BN,2003,5329.42
BN,2004,5749.43
BN,2005,5057.81
BN,2006,5051.72
BN,2007,5337.62
BN,2008,4853.67
BN,2009,6120.39
BN,2010,6508.33
BN,2011,5536.42
BN,2012,5903.03
BG,1990,
BG,1991,
BG,1992,
BG,1993,
BG,1994,
BG,1995,
BG,1996,
BG,1997,
BG,1998,
BG,1999,
BG,2000,12802.89
BG,2001,13051.30
BG,2002,13182.23
BG,2003,14133.88
BG,2004,14765.18
BG,2005,15428.98
BG,2006,15717.00
BG,2007,17370.87
BG,2008,18568.80
BG,2009,18054.57
BG,2010,18388.59
BG,2011,17565.70
BG,2012,17664.53
BF,1990,304.14
BF,1991,556.12
BF,1992,540.12
BF,1993,733.60
BF,1994,741.80
BF,1995,854.84
BF,1996,964.46
BF,1997,1039.61
BF,1998,1099.68
BF,1999,1279.16
BF,2000,1207.85
BF,2001,1277.23
BF,2002,1173.24
BF,2003,1170.22
BF,2004,1425.49
BF,2005,1548.06
BF,2006,1774.88
BF,2007,2017.59
BF,2008,1631.57
BF,2009,1968.25
BF,2010,2133.92
BF,2011,2194.36
BF,2012,2610.50
BI,1990,
BI,1991,
BI,1992,428.90
BI,1993,417.43
BI,1994,354.53
BI,1995,333.65
BI,1996,340.61
BI,1997,258.87
BI,1998,299.21
BI,1999,329.26
BI,2000,316.53
BI,2001,336.33
BI,2002,305.19
BI,2003,442.44
BI,2004,455.98
BI,2005,405.66
BI,2006,482.50
BI,2007,724.53
BI,2008,787.48
BI,2009,756.82
BI,2010,862.78
BI,2011,910.20
BI,2012,864.65
KH,1990,
KH,1991,
KH,1992,
KH,1993,
KH,1994,
KH,1995,
KH,1996,659.63
KH,1997,552.25
KH,1998,626.10
KH,1999,721.58
KH,2000,855.27
KH,2001,930.37
KH,2002,1050.87
KH,2003,1078.65
KH,2004,1082.04
KH,2005,1095.63
KH,2006,1274.66
KH,2007,1549.64
KH,2008,1803.83
KH,2009,2319.72
KH,2010,2442.68
KH,2011,2582.47
KH,2012,2922.71
CM,1990,
CM,1991,
CM,1992,
CM,1993,
CM,1994,
CM,1995,
CM,1996,
CM,1997,
CM,1998,
CM,1999,
CM,2000,2770.84
CM,2001,2950.02
CM,2002,2777.50
CM,2003,2874.01
CM,2004,3119.83
CM,2005,2917.91
CM,2006,2872.09
CM,2007,3320.71
CM,2008,3965.15
CM,2009,4001.00
CM,2010,4298.11
CM,2011,5189.35
CM,2012,5175.38
CA,1990,576307.44
CA,1991,608442.83
CA,1992,626511.10
CA,1993,627626.59
CA,1994,626719.12
CA,1995,628161.60
CA,1996,605666.09
CA,1997,589483.58
CA,1998,620258.27
CA,1999,632939.02
CA,2000,631836.63
CA,2001,653356.74
CA,2002,656150.26
CA,2003,672402.85
CA,2004,670795.27
CA,2005,698046.99
CA,2006,710241.23
CA,2007,723026.61
CA,2008,742272.70
CA,2009,798252.59
CA,2010,826460.72
CA,2011,820759.68
CA,2012,816717.72
CV,1990,
CV,1991,
CV,1992,
CV,1993,
CV,1994,
CV,1995,
CV,1996,
CV,1997,
CV,1998,
CV,1999,
CV,2000,
CV,2001,
CV,2002,401.76
CV,2003,332.98
CV,2004,393.93
CV,2005,432.22
CV,2006,485.00
CV,2007,451.70
CV,2008,491.50
CV,2009,536.46
CV,2010,626.75
CV,2011,582.69
CV,2012,582.40
CF,1990,346.79
CF,1991,341.85
CF,1992,303.97
CF,1993,162.15
CF,1994,342.27
CF,1995,281.75
CF,1996,263.28
CF,1997,211.43
CF,1998,295.91
CF,1999,295.15
CF,2000,293.83
CF,2001,248.49
CF,2002,297.73
CF,2003,214.49
CF,2004,207.22
CF,2005,284.48
CF,2006,244.06
CF,2007,190.60
CF,2008,281.73
CF,2009,250.66
CF,2010,337.79
CF,2011,327.60
CF,2012,325.08
TD,1990,
TD,1991,
TD,1992,
TD,1993,
TD,1994,
TD,1995,654.04
TD,1996,651.12
TD,1997,688.86
TD,1998,622.60
TD,1999,785.51
TD,2000,847.94
TD,2001,808.58
TD,2002,936.75
TD,2003,1228.43
TD,2004,1096.80
TD,2005,1041.62
TD,2006,1293.91
TD,2007,1661.21
TD,2008,1886.05
TD,2009,2522.65
TD,2010,2888.28
TD,2011,2651.82
TD,2012,2963.43
CL,1990,18348.36
CL,1991,20105.60
CL,1992,22130.06
CL,1993,24025.44
CL,1994,24793.00
CL,1995,25798.83
CL,1996,29377.49
CL,1997,31336.11
CL,1998,34179.17
CL,1999,36614.24
CL,2000,36879.24
CL,2001,38623.30
CL,2002,39502.02
CL,2003,39183.90
CL,2004,38984.20
CL,2005,40149.70
CL,2006,39305.41
CL,2007,42797.64
CL,2008,49497.33
CL,2009,55825.70
CL,2010,57075.08
CL,2011,58692.15
CL,2012,63179.60
CN,1990,200785.54
CN,1991,199146.38
CN,1992,201261.54
CN,1993,210146.48
CN,1994,218471.07
CN,1995,217190.65
CN,1996,230971.21
CN,1997,270004.54
CN,1998,329865.39
CN,1999,399590.54
CN,2000,440120.60
CN,2001,500636.90
CN,2002,575683.55
CN,2003,624135.79
CN,2004,669869.02
CN,2005,765036.69
CN,2006,875964.30
CN,2007,999330.85
CN,2008,1182414.52
CN,2009,1472214.95
CN,2010,1596992.46
CN,2011,1826084.30
CN,2012,2043849.07
CO,1990,29840.47
CO,1991,30974.59
CO,1992,33631.94
CO,1993,38632.10
CO,1994,41777.61
CO,1995,47419.45
CO,1996,54658.28
CO,1997,59030.93
CO,1998,59740.83
CO,1999,61396.27
CO,2000,58968.00
CO,2001,62480.48
CO,2002,64879.91
CO,2003,67276.90
CO,2004,67260.06
CO,2005,68544.12
CO,2006,80418.87
CO,2007,85211.45
CO,2008,83861.16
CO,2009,94475.89
CO,2010,97805.90
CO,2011,101622.52
CO,2012,104498.67
KM,1990,134.22
KM,1991,126.64
KM,1992,142.32
KM,1993,128.88
KM,1994,156.73
KM,1995,135.11
KM,1996,111.90
KM,1997,109.76
KM,1998,108.15
KM,1999,87.12
KM,2000,75.59
KM,2001,105.05
KM,2002,118.00
KM,2003,108.14
KM,2004,100.00
KM,2005,103.97
KM,2006,112.01
KM,2007,120.51
KM,2008,136.11
KM,2009,108.41
KM,2010,108.76
KM,2011,125.67
KM,2012,145.95
CD,1990,
CD,1991,
CD,1992,
CD,1993,
CD,1994,
CD,1995,
CD,1996,395.38
CD,1997,432.34
CD,1998,471.06
CD,1999,347.73
CD,2000,377.56
CD,2001,769.49
CD,2002,-29.59
CD,2003,1516.01
CD,2004,1691.51
CD,2005,2423.65
CD,2006,2744.98
CD,2007,2609.62
CD,2008,3194.32
CD,2009,3403.55
CD,2010,4004.16
CD,2011,4736.94
CD,2012,5375.67
CG,1990,2222.84
CG,1991,2731.12
CG,1992,2705.23
CG,1993,2686.40
CG,1994,2479.77
CG,1995,2300.72
CG,1996,1316.55
CG,1997,1871.46
CG,1998,2286.11
CG,1999,2428.72
CG,2000,2060.15
CG,2001,2057.59
CG,2002,2431.67
CG,2003,2639.02
CG,2004,2435.49
CG,2005,2370.97
CG,2006,2858.99
CG,2007,3083.96
CG,2008,2575.83
CG,2009,2884.92
CG,2010,2729.79
CG,2011,3430.22
CG,2012,4950.34
CR,1990,
CR,1991,
CR,1992,
CR,1993,
CR,1994,
CR,1995,
CR,1996,
CR,1997,
CR,1998,
CR,1999,
CR,2000,4284.31
CR,2001,4588.33
CR,2002,5122.40
CR,2003,5170.77
CR,2004,5297.31
CR,2005,5486.52
CR,2006,5615.83
CR,2007,5866.81
CR,2008,6419.04
CR,2009,6936.56
CR,2010,7838.94
CR,2011,7787.22
CR,2012,8307.26
CI,1990,
CI,1991,
CI,1992,
CI,1993,
CI,1994,
CI,1995,
CI,1996,
CI,1997,4589.46
CI,1998,4595.98
CI,1999,4365.60
CI,2000,3878.25
CI,2001,3554.70
CI,2002,3682.93
CI,2003,4001.21
CI,2004,4157.52
CI,2005,4163.62
CI,2006,4356.46
CI,2007,4385.08
CI,2008,4660.72
CI,2009,4477.43
CI,2010,5058.36
CI,2011,5091.90
CI,2012,5711.20
HR,1990,
HR,1991,
HR,1992,
HR,1993,
HR,1994,
HR,1995,
HR,1996,
HR,1997,
HR,1998,
HR,1999,
HR,2000,
HR,2001,
HR,2002,22044.55
HR,2003,22619.73
HR,2004,22800.09
HR,2005,23190.75
HR,2006,24204.63
HR,2007,25908.92
HR,2008,25575.79
HR,2009,25314.11
HR,2010,24847.39
HR,2011,24426.72
HR,2012,23726.20
CY,1990,
CY,1991,
CY,1992,
CY,1993,
CY,1994,
CY,1995,4994.77
CY,1996,5388.13
CY,1997,5671.52
CY,1998,6059.86
CY,1999,6364.28
CY,2000,6718.70
CY,2001,7133.59
CY,2002,7685.98
CY,2003,8583.57
CY,2004,8558.12
CY,2005,9115.22
CY,2006,9376.84
CY,2007,9454.05
CY,2008,9940.07
CY,2009,10709.65
CY,2010,10830.84
CY,2011,10841.01
CY,2012,10565.28
CZ,1990,
CZ,1991,
CZ,1992,
CZ,1993,
CZ,1994,
CZ,1995,67627.34
CZ,1996,55575.47
CZ,1997,56294.09
CZ,1998,56667.79
CZ,1999,56634.73
CZ,2000,58199.14
CZ,2001,63247.50
CZ,2002,67105.60
CZ,2003,76352.05
CZ,2004,69226.17
CZ,2005,73435.87
CZ,2006,76690.57
CZ,2007,79297.62
CZ,2008,81970.20
CZ,2009,84996.63
CZ,2010,85448.06
CZ,2011,85805.57
CZ,2012,87345.78
DK,1990,127706.99
DK,1991,130854.29
DK,1992,135874.94
DK,1993,143024.28
DK,1994,150550.90
DK,1995,152738.39
DK,1996,156101.34
DK,1997,155607.91
DK,1998,157991.04
DK,1999,159439.69
DK,2000,159416.90
DK,2001,162002.47
DK,2002,163718.48
DK,2003,165686.46
DK,2004,167997.97
DK,2005,166437.96
DK,2006,168004.40
DK,2007,167995.89
DK,2008,168822.01
DK,2009,179045.17
DK,2010,180048.28
DK,2011,181910.18
DK,2012,186586.54
DJ,1990,
DJ,1991,392.57
DJ,1992,500.60
DJ,1993,474.70
DJ,1994,425.07
DJ,1995,338.26
DJ,1996,286.62
DJ,1997,290.77
DJ,1998,277.07
DJ,1999,279.61
DJ,2000,277.00
DJ,2001,254.65
DJ,2002,273.59
DJ,2003,325.42
DJ,2004,354.92
DJ,2005,359.64
DJ,2006,382.55
DJ,2007,376.74
DJ,2008,425.94
DJ,2009,467.95
DJ,2010,415.34
DJ,2011,423.37
DJ,2012,453.73
DM,1990,100.62
DM,1991,94.74
DM,1992,92.21
DM,1993,86.81
DM,1994,96.54
DM,1995,103.91
DM,1996,105.71
DM,1997,106.95
DM,1998,129.08
DM,1999,139.60
DM,2000,154.27
DM,2001,118.84
DM,2002,109.01
DM,2003,121.09
DM,2004,128.59
DM,2005,128.34
DM,2006,121.64
DM,2007,160.82
DM,2008,169.96
DM,2009,177.07
DM,2010,192.09
DM,2011,171.57
DM,2012,174.60
DO,1990,
DO,1991,
DO,1992,
DO,1993,
DO,1994,
DO,1995,
DO,1996,
DO,1997,3732.66
DO,1998,3827.20
DO,1999,4328.60
DO,2000,4776.87
DO,2001,5343.83
DO,2002,5701.00
DO,2003,6740.11
DO,2004,6208.53
DO,2005,6205.34
DO,2006,7314.53
DO,2007,8029.62
DO,2008,9394.29
DO,2009,8449.43
DO,2010,8919.10
DO,2011,9440.88
DO,2012,12173.69
EC,1990,
EC,1991,
EC,1992,
EC,1993,0.00
EC,1994,0.00
EC,1995,10063.53
EC,1996,10603.18
EC,1997,10686.10
EC,1998,10818.33
EC,1999,11548.90
EC,2000,11738.44
EC,2001,10703.54
EC,2002,11960.15
EC,2003,11645.66
EC,2004,12671.41
EC,2005,13773.86
EC,2006,14378.15
EC,2007,16702.64
EC,2008,25609.51
EC,2009,24586.52
EC,2010,26745.69
EC,2011,32292.25
EC,2012,35349.93
EG,1990,
EG,1991,
EG,1992,
EG,1993,
EG,1994,
EG,1995,
EG,1996,
EG,1997,
EG,1998,
EG,1999,
EG,2000,
EG,2001,
EG,2002,61177.01
EG,2003,60321.86
EG,2004,60502.99
EG,2005,62109.60
EG,2006,75384.72
EG,2007,75087.63
EG,2008,82494.30
EG,2009,82718.96
EG,2010,84267.75
EG,2011,81623.15
EG,2012,85652.47
SV,1990,
SV,1991,
SV,1992,2695.30
SV,1993,2609.36
SV,1994,2692.85
SV,1995,2839.44
SV,1996,3218.13
SV,1997,2697.79
SV,1998,2998.91
SV,1999,3171.74
SV,2000,3480.45
SV,2001,3558.68
SV,2002,3572.15
SV,2003,3867.42
SV,2004,3773.69
SV,2005,3980.09
SV,2006,4291.28
SV,2007,4152.48
SV,2008,4487.41
SV,2009,4836.03
SV,2010,4940.75
SV,2011,5041.39
SV,2012,5244.35
GQ,1990,166.54
GQ,1991,158.13
GQ,1992,180.86
GQ,1993,201.92
GQ,1994,145.53
GQ,1995,128.65
GQ,1996,196.99
GQ,1997,367.04
GQ,1998,919.41
GQ,1999,726.76
GQ,2000,968.18
GQ,2001,975.22
GQ,2002,969.13
GQ,2003,1518.10
GQ,2004,2471.60
GQ,2005,2177.91
GQ,2006,2980.16
GQ,2007,3768.50
GQ,2008,4271.71
GQ,2009,9839.31
GQ,2010,6672.19
GQ,2011,5960.06
GQ,2012,7881.12
ER,1990,
ER,1991,
ER,1992,417.48
ER,1993,971.16
ER,1994,879.66
ER,1995,1451.42
ER,1996,1339.20
ER,1997,1266.13
ER,1998,1888.64
ER,1999,2280.74
ER,2000,1806.00
ER,2001,1828.75
ER,2002,1706.67
ER,2003,1779.55
ER,2004,1477.55
ER,2005,1561.25
ER,2006,1126.37
ER,2007,1108.68
ER,2008,1055.12
ER,2009,796.94
ER,2010,920.47
ER,2011,970.91
ER,2012,898.50
EE,1990,
EE,1991,
EE,1992,
EE,1993,
EE,1994,
EE,1995,4084.41
EE,1996,4128.28
EE,1997,4309.98
EE,1998,4964.21
EE,1999,5149.24
EE,2000,5029.70
EE,2001,5150.46
EE,2002,5640.51
EE,2003,5916.71
EE,2004,6141.65
EE,2005,6609.83
EE,2006,7277.87
EE,2007,7910.67
EE,2008,8851.78
EE,2009,8587.59
EE,2010,7972.30
EE,2011,8103.40
EE,2012,8835.20
ET,1990,2404.66
ET,1991,1852.70
ET,1992,1386.95
ET,1993,1521.33
ET,1994,2014.59
ET,1995,2109.31
ET,1996,2579.01
ET,1997,2533.07
ET,1998,2858.29
ET,1999,3848.36
ET,2000,4038.02
ET,2001,3801.54
ET,2002,4121.66
ET,2003,4441.65
ET,2004,4144.51
ET,2005,4780.23
ET,2006,5221.47
ET,2007,5429.32
ET,2008,5517.61
ET,2009,5367.88
ET,2010,6440.22
ET,2011,7150.27
ET,2012,7180.95
FJ,1990,
FJ,1991,
FJ,1992,712.31
FJ,1993,745.67
FJ,1994,737.09
FJ,1995,731.82
FJ,1996,883.48
FJ,1997,942.22
FJ,1998,899.47
FJ,1999,882.56
FJ,2000,892.51
FJ,2001,966.18
FJ,2002,1028.38
FJ,2003,1002.26
FJ,2004,979.77
FJ,2005,1001.60
FJ,2006,1083.90
FJ,2007,1011.49
FJ,2008,922.85
FJ,2009,1049.22
FJ,2010,1021.37
FJ,2011,1098.78
FJ,2012,1120.16
FI,1990,80372.39
FI,1991,89606.58
FI,1992,94452.74
FI,1993,97949.53
FI,1994,99716.92
FI,1995,100010.85
FI,1996,100781.79
FI,1997,100705.49
FI,1998,98942.38
FI,1999,100604.12
FI,2000,99059.13
FI,2001,100444.78
FI,2002,104509.69
FI,2003,109429.91
FI,2004,113727.68
FI,2005,117294.44
FI,2006,119663.70
FI,2007,121420.42
FI,2008,126462.03
FI,2009,131904.07
FI,2010,135543.18
FI,2011,137763.58
FI,2012,140051.97
FR,1990,935181.41
FR,1991,966012.55
FR,1992,1005603.87
FR,1993,1051933.04
FR,1994,1061958.89
FR,1995,1090130.95
FR,1996,1104001.81
FR,1997,1121551.52
FR,1998,1128987.40
FR,1999,1162617.18
FR,2000,1184524.68
FR,2001,1205665.78
FR,2002,1245390.22
FR,2003,1269110.79
FR,2004,1297997.79
FR,2005,1329367.22
FR,2006,1347058.65
FR,2007,1368293.73
FR,2008,1384649.13
FR,2009,1428942.13
FR,2010,1448419.37
FR,2011,1459910.69
FR,2012,1479892.97
GA,1990,2566.21
GA,1991,3023.72
GA,1992,3100.14
GA,1993,3264.04
GA,1994,3011.11
GA,1995,3314.91
GA,1996,3045.29
GA,1997,4301.83
GA,1998,6820.03
GA,1999,3480.10
GA,2000,2718.30
GA,2001,3807.59
GA,2002,3499.83
GA,2003,2930.12
GA,2004,2931.23
GA,2005,2905.74
GA,2006,2863.31
GA,2007,2889.78
GA,2008,2853.70
GA,2009,3401.09
GA,2010,3602.05
GA,2011,4341.65
GA,2012,4897.58
GM,1990,
GM,1991,
GM,1992,
GM,1993,
GM,1994,
GM,1995,
GM,1996,
GM,1997,
GM,1998,
GM,1999,
GM,2000,98.05
GM,2001,105.25
GM,2002,98.82
GM,2003,107.37
GM,2004,156.93
GM,2005,155.63
GM,2006,163.64
GM,2007,128.24
GM,2008,142.99
GM,2009,174.14
GM,2010,215.41
GM,2011,220.34
GM,2012,253.44
GE,1990,
GE,1991,
