country,channel,bundle,year,out-oda-gross-channel-bundle
CH,J,E,2006,375253511
CH,J,F,2006,410533418
CH,J,G,2006,140301893
DE,A,A,2006,693201563
DE,A,B,2006,194539777
DE,A,C,2006,33145501
DE,A,E,2006,852653569
DE,A,F,2006,4623452473
DE,A,G,2006,1554501385
DE,D,B,2006,7458761
DE,D,C,2006,14738645
DE,D,E,2006,87211838
DE,D,F,2006,9203554
DE,D,G,2006,642235639
DE,E,D,2006,8328217
DE,H,B,2006,207345
DE,H,C,2006,65313347
DE,H,E,2006,57136277
DE,H,G,2006,113265507
DE,I,A,2006,417570766
DE,I,E,2006,5442276
DE,I,F,2006,40647
DE,I,G,2006,145323855
DK,A,E,2006,239400
DK,D,E,2006,2920758
DK,D,G,2006,96224
DK,H,E,2006,3746834
DK,I,E,2006,445891
DK,I,G,2006,506836
DK,J,B,2006,91811480
DK,J,C,2006,12076029
DK,J,D,2006,84827859
DK,J,E,2006,870295536
DK,J,F,2006,141734786
DK,J,G,2006,40978742
ES,J,A,2006,350743638
ES,J,B,2006,377482596
ES,J,C,2006,61319439
ES,J,D,2006,8144906
ES,J,E,2006,434384798
ES,J,F,2006,755377518
ES,J,G,2006,492599299
EU,A,A,2006,618336326
EU,A,B,2006,2525362817
EU,A,C,2006,343897224
EU,A,D,2006,230926
EU,A,E,2006,4824436265
EU,A,F,2006,809661568
EU,A,G,2006,553700731
EU,D,B,2006,20666465
EU,D,C,2006,91334446
EU,D,D,2006,2414591
EU,D,E,2006,530842591
EU,D,F,2006,19035872
EU,D,G,2006,13667198
EU,E,B,2006,123776
EU,E,C,2006,9273714
EU,E,E,2006,1401316
EU,H,B,2006,162899293
EU,H,C,2006,70145703
EU,H,E,2006,617321107
EU,H,F,2006,950878
EU,H,G,2006,64488837
EU,I,F,2006,7752242
FI,A,B,2006,200643
FI,A,F,2006,13494219
FI,A,G,2006,10254346
FI,D,B,2006,117412
FI,D,C,2006,1467659
FI,D,D,2006,146765
FI,D,E,2006,5687004
FI,D,F,2006,10338428
FI,D,G,2006,8039358
FI,H,B,2006,660446
FI,H,C,2006,2354334
FI,H,E,2006,23164898
FI,H,G,2006,15855432
FI,I,B,2006,2858956
FI,I,E,2006,11663769
FI,I,F,2006,757262
FI,I,G,2006,3987812
FI,J,A,2006,14753976
FI,J,B,2006,69524366
FI,J,C,2006,7338297
FI,J,D,2006,22960432
FI,J,E,2006,167149986
FI,J,F,2006,3360858
FI,J,G,2006,166387724
FR,A,A,2006,810011968
FR,A,B,2006,355944292
FR,A,C,2006,28967727
FR,A,E,2006,447252907
FR,A,F,2006,493889369
FR,A,G,2006,743611731
FR,D,B,2006,2036469
FR,D,E,2006,21762075
FR,E,C,2006,690378
FR,E,D,2006,75049165
FR,F,B,2006,4452047
FR,H,C,2006,28569316
FR,H,E,2006,16967819
FR,H,G,2006,22723209
FR,J,E,2006,740664067
FR,J,F,2006,6054162736
GB,H,G,2006,1328594
GB,J,B,2006,1045714318
GB,J,C,2006,269781426
GB,J,E,2006,730071178
GB,J,F,2006,3582420705
GB,J,G,2006,2601417133
GR,A,B,2006,4973323
GR,A,C,2006,11249
GR,A,E,2006,81631318
GR,A,F,2006,17773916
GR,A,G,2006,77950533
GR,D,B,2006,2086712
GR,D,C,2006,1138209
GR,D,D,2006,25959
GR,D,E,2006,6226908
GR,D,F,2006,415683
GR,D,G,2006,9052918
GR,E,E,2006,50476
GR,G,G,2006,129797
GR,H,B,2006,43265
GR,H,C,2006,259595
GR,H,E,2006,769165
GR,H,G,2006,2362402
GR,I,F,2006,21921366
IE,J,B,2006,29035403
IE,J,C,2006,13993807
IE,J,E,2006,516627167
IE,J,F,2006,44523296
IE,J,G,2006,10333193
IT,A,B,2006,59958916
IT,A,C,2006,6546541
IT,A,D,2006,106928
IT,A,E,2006,65191944
IT,A,F,2006,55169671
IT,A,G,2006,136826161
IT,D,B,2006,644897
IT,D,C,2006,52623
IT,D,D,2006,1543811
IT,D,E,2006,22861431
IT,D,F,2006,7128
IT,D,G,2006,8227335
IT,G,B,2006,48474
IT,G,D,2006,17963
IT,G,E,2006,286568
IT,G,G,2006,47761
IT,H,B,2006,48487836
IT,H,C,2006,13071729
IT,H,D,2006,5774143
IT,H,E,2006,31826509
IT,H,G,2006,21069238
IT,J,A,2006,234004118
IT,J,B,2006,12514583
IT,J,C,2006,712857
IT,J,D,2006,3453386
IT,J,E,2006,113231981
IT,J,F,2006,1807028820
IT,J,G,2006,17020419
JP,A,A,2006,153423267
JP,A,B,2006,388105934
JP,A,C,2006,25046358
JP,A,E,2006,86704269
JP,A,F,2006,135668064
JP,A,G,2006,2584645145
JP,D,E,2006,1288148
JP,D,F,2006,28200
JP,D,G,2006,1216673
JP,E,B,2006,1697674
JP,E,D,2006,4803446
JP,E,E,2006,6838189
JP,E,G,2006,5837
JP,G,G,2006,42241
JP,H,B,2006,23761979
JP,H,C,2006,51531750
JP,H,E,2006,364789635
JP,H,G,2006,7675247
JP,I,G,2006,27626135
JP,J,A,2006,6949102663
JP,J,B,2006,264305409
JP,J,C,2006,51606679
JP,J,D,2006,19794669
JP,J,E,2006,845749993
JP,J,F,2006,5384117982
JP,J,G,2006,30247371
KR,A,A,2006,138932236
KR,A,B,2006,33556635
KR,A,C,2006,217439
KR,A,E,2006,56738021
KR,A,F,2006,27156152
KR,A,G,2006,124265460
KR,D,E,2006,71468
KR,E,B,2006,19510
KR,E,D,2006,5208150
KR,E,G,2006,51050
KR,H,B,2006,4256007
KR,H,E,2006,195245
KR,H,G,2006,789490
KR,I,B,2006,97398
LU,J,B,2006,2481207
LU,J,C,2006,21780664
LU,J,D,2006,1248152
LU,J,E,2006,170612555
LU,J,F,2006,24968339
LU,J,G,2006,24299230
NL,A,B,2006,568131721
NL,A,C,2006,144848453
NL,A,E,2006,502089849
NL,A,F,2006,726014747
NL,A,G,2006,168750007
NL,E,B,2006,82982835
NL,E,C,2006,5585381
NL,E,D,2006,981214620
NL,E,E,2006,265265443
NL,E,F,2006,31281407
NL,E,G,2006,90949700
NL,F,B,2006,58833709
NL,F,C,2006,399021
NL,F,E,2006,78734095
NL,F,G,2006,29227250
NL,G,B,2006,17826790
NL,G,C,2006,8971543
NL,G,E,2006,17083581
NL,G,F,2006,24209641
NL,G,G,2006,10003566
NL,H,B,2006,617612101
NL,H,C,2006,52599280
NL,H,E,2006,355764537
NL,H,F,2006,22515486
NL,H,G,2006,107404960
NL,I,B,2006,10933841
NL,I,E,2006,69199052
NL,I,F,2006,1722424
NL,I,G,2006,147436320
NL,J,A,2006,214259
NO,A,A,2006,50046437
NO,A,B,2006,380989232
NO,A,E,2006,66324463
NO,A,F,2006,128851805
NO,A,G,2006,132546366
NO,D,B,2006,343220320
NO,D,C,2006,8841848
NO,D,E,2006,260734773
NO,D,F,2006,28905642
NO,D,G,2006,200603541
NO,E,B,2006,31930531
NO,E,E,2006,24788072
NO,E,F,2006,238009
NO,E,G,2006,25644908
NO,G,C,2006,5409313
NO,G,E,2006,5409313
NO,H,A,2006,218969
NO,H,B,2006,525770168
NO,H,C,2006,99823046
NO,H,E,2006,172133024
NO,H,F,2006,23885799
NO,H,G,2006,147671674
NO,I,A,2006,53292128
NO,I,B,2006,64797738
NO,I,C,2006,113162
NO,I,E,2006,39930257
NO,I,F,2006,184545019
NO,I,G,2006,33745031
NO,J,E,2006,5409313
NZ,A,B,2006,3349796
NZ,A,C,2006,429239
NZ,A,E,2006,20509069
NZ,A,G,2006,18968938
NZ,D,B,2006,4829869
NZ,D,C,2006,1012920
NZ,D,D,2006,4658
NZ,D,E,2006,6686480
NZ,D,G,2006,1808137
NZ,E,E,2006,1444221
NZ,E,G,2006,973600
NZ,G,B,2006,222482
NZ,H,B,2006,8434913
NZ,H,C,2006,2973231
NZ,H,E,2006,31804273
NZ,H,G,2006,3473930
NZ,J,B,2006,56027407
NZ,J,D,2006,24017338
NZ,J,E,2006,19221846
NZ,J,F,2006,39545624
NZ,J,G,2006,36943409
PT,A,B,2006,2045313
PT,A,D,2006,429274
PT,A,E,2006,28551656
PT,A,F,2006,49712080
PT,A,G,2006,90413358
PT,D,D,2006,7414028
PT,D,E,2006,1678287
PT,D,F,2006,522863
PT,D,G,2006,1491396
PT,E,D,2006,259215
PT,G,G,2006,41446
PT,H,B,2006,272555
PT,H,E,2006,16328571
PT,H,G,2006,6052721
PT,J,A,2006,21266122
PT,J,B,2006,7007190
PT,J,F,2006,485148
PT,J,G,2006,496050
SE,A,B,2006,315569919
SE,A,C,2006,4944996
SE,A,E,2006,215836497
SE,A,F,2006,265319570
SE,A,G,2006,60383472
SE,D,A,2006,494499
SE,D,B,2006,26190983
SE,D,C,2006,2983751
SE,D,D,2006,18416484
SE,D,E,2006,717695194
SE,D,F,2006,8886707
SE,D,G,2006,14949941
SE,G,E,2006,4944996
SE,H,B,2006,147938120
SE,H,C,2006,1813165
SE,H,E,2006,499187460
SE,H,F,2006,425221
SE,H,G,2006,39628841
SE,I,A,2006,18802886
SE,I,B,2006,49379521
SE,I,E,2006,414837592
SE,I,F,2006,515328034
SE,I,G,2006,85516889
US,A,B,2006,618789264
US,A,C,2006,196100835
US,A,E,2006,308124442
US,A,F,2006,3692682762
US,A,G,2006,1349409447
US,D,B,2006,79498123
US,D,C,2006,689674020
US,D,E,2006,65903665
US,D,F,2006,29843357
US,D,G,2006,334383142
US,E,B,2006,219942077
US,E,C,2006,95971825
US,E,E,2006,63099725
US,E,G,2006,209482672
US,F,B,2006,1769627
US,F,C,2006,6935654
US,F,F,2006,18367357
US,G,B,2006,668870
US,G,C,2006,94140183
US,G,G,2006,46570653
US,H,B,2006,880449363
US,H,C,2006,1169930705
US,H,E,2006,171580756
US,H,G,2006,679633213
US,I,B,2006,1614326414
US,I,C,2006,126162906
US,I,E,2006,2976056808
US,I,F,2006,1771842
US,I,G,2006,4267020938
US,J,B,2006,74880260
US,J,C,2006,81502520
US,J,E,2006,873710826
US,J,F,2006,413061789
US,J,G,2006,3071649903
1,J,F,2007,188526475
2,A,A,2007,681228071
2,A,B,2007,445490143
2,A,C,2007,3380326
2,A,E,2007,58578751
2,A,G,2007,6328877
2,J,F,2007,15441876
10,A,B,2007,147254689
10,A,C,2007,4381044
10,H,B,2007,621882883
10,H,C,2007,116405780
10,H,E,2007,47141572
10,H,F,2007,30931385
10,I,C,2007,44411753
10,J,C,2007,3907808
10,J,E,2007,128335
10,J,F,2007,24041097
11,H,E,2007,206576989
12,A,B,2007,29641060
12,A,C,2007,4353698
12,A,E,2007,1234596832
12,A,G,2007,302871
12,D,B,2007,3940405
12,D,C,2007,1109265
12,D,E,2007,168759518
12,D,G,2007,17737815
12,E,E,2007,42282767
12,H,B,2007,3648624
12,H,E,2007,169080774
12,I,E,2007,64163041
15,H,F,2007,1639095911
15,J,A,2007,5216254151
15,J,B,2007,3985499888
15,J,E,2007,50389914
15,J,F,2007,1005837
15,J,G,2007,689955159
21,A,B,2007,536933336
21,A,F,2007,20426695
27,H,B,2007,64525898
27,I,E,2007,141940676
28,J,B,2007,2985842
28,J,C,2007,721471
28,J,E,2007,478739217
28,J,G,2007,1712465
31,A,B,2007,6718151
31,A,E,2007,60777217
31,A,G,2007,2055045
31,D,E,2007,18918725
31,D,G,2007,333354
31,H,B,2007,44569
31,H,E,2007,138118290
31,H,G,2007,4435917
33,J,B,2007,3299200
33,J,C,2007,12025762
33,J,E,2007,764665336
33,J,F,2007,257312581
33,J,G,2007,11949884
AT,A,B,2007,8987690
AT,A,C,2007,629880
AT,A,D,2007,10498
AT,A,E,2007,26533341
AT,A,F,2007,1126426422
AT,A,G,2007,4983501
AT,D,C,2007,34
AT,D,E,2007,295853
AT,D,G,2007,1531111
AT,E,B,2007,1047477
AT,E,C,2007,40464
AT,E,D,2007,1367959
AT,E,E,2007,12049435
AT,E,F,2007,9348077
AT,E,G,2007,48038511
AT,F,B,2007,132974
AT,F,E,2007,1084394
AT,F,G,2007,3211122
AT,G,B,2007,142772
AT,G,E,2007,504748
AT,G,G,2007,652586
AT,H,B,2007,7475128
AT,H,C,2007,1945629
AT,H,E,2007,21004846
AT,H,G,2007,13209814
AT,I,B,2007,1828082
AT,I,D,2007,39332
AT,I,E,2007,13662785
AT,I,F,2007,1900915
AT,I,G,2007,38512257
AT,J,F,2007,36083561
AU,A,A,2007,4579549
AU,A,B,2007,39957650
AU,A,C,2007,604218
AU,A,D,2007,146911
AU,A,E,2007,108937733
AU,A,F,2007,549419152
AU,A,G,2007,537032597
AU,D,B,2007,30344822
AU,D,C,2007,1807416
AU,D,D,2007,4073948
AU,D,E,2007,24279927
AU,D,F,2007,601933
AU,D,G,2007,153176361
AU,E,B,2007,1661479
AU,E,D,2007,13555621
AU,E,E,2007,7526543
AU,E,G,2007,7398930
AU,F,B,2007,1009116
AU,F,G,2007,1226104
AU,G,G,2007,301236
AU,H,B,2007,173324293
AU,H,C,2007,63685254
AU,H,E,2007,86631621
AU,H,G,2007,125049162
AU,I,B,2007,199605523
AU,I,C,2007,640423
AU,I,D,2007,2954937
AU,I,E,2007,150431633
AU,I,F,2007,3590876
AU,I,G,2007,722161952
AU,J,B,2007,40453173
AU,J,C,2007,447078
AU,J,D,2007,1499150
AU,J,E,2007,27075287
AU,J,F,2007,2028782
AU,J,G,2007,179135506
BE,A,A,2007,36041859
BE,A,B,2007,72982766
BE,A,C,2007,211519
BE,A,E,2007,65170104
BE,A,F,2007,407812103
BE,A,G,2007,348817357
BE,D,B,2007,3477964
BE,D,E,2007,2201703
BE,D,F,2007,445584
BE,D,G,2007,35160353
BE,E,B,2007,9435736
BE,E,C,2007,2296892
BE,E,D,2007,22963559
BE,E,E,2007,115046780
BE,E,F,2007,22715574
BE,E,G,2007,43853859
BE,F,B,2007,947497
BE,F,C,2007,3525
BE,F,E,2007,2111624
BE,F,G,2007,6045173
BE,H,B,2007,28693672
BE,H,C,2007,24475117
BE,H,E,2007,43199714
BE,H,G,2007,62558936
CA,J,B,2007,558995614
CA,J,C,2007,244060051
CA,J,D,2007,23275284
CA,J,E,2007,395873997
CA,J,F,2007,324584148
CA,J,G,2007,1130221568
CH,A,B,2007,67969194
CH,A,C,2007,3919352
CH,A,E,2007,168966805
CH,A,F,2007,408327918
CH,A,G,2007,108952950
CH,D,B,2007,814239
CH,D,C,2007,27508
CH,D,E,2007,41628545
CH,D,F,2007,89126
CH,D,G,2007,3755404
CH,E,B,2007,223365
CH,E,C,2007,8687055
CH,E,E,2007,338220795
CH,E,F,2007,6146408
CH,E,G,2007,26481490
CH,F,B,2007,1108025
CH,F,E,2007,77022657
CH,F,F,2007,74822
CH,F,G,2007,16197864
CH,G,E,2007,8363560
CH,H,B,2007,23009968
CH,H,C,2007,35636183
CH,H,E,2007,105181041
CH,H,F,2007,6216828
CH,H,G,2007,44083368
CH,I,A,2007,32134953
CH,I,B,2007,6994757
CH,I,C,2007,364207
CH,I,E,2007,82078645
CH,I,F,2007,19674887
CH,I,G,2007,35083820
CH,J,E,2007,5104401
CH,J,G,2007,261877
DE,A,A,2007,882172513
DE,A,B,2007,190142433
DE,A,C,2007,23833308
DE,A,E,2007,864495993
DE,A,F,2007,4208899138
DE,A,G,2007,1566502453
DE,D,B,2007,391890
DE,D,C,2007,15572874
DE,D,E,2007,58187525
DE,D,F,2007,16198266
DE,D,G,2007,665749125
DE,E,B,2007,1666201
DE,E,E,2007,14927806
DE,E,F,2007,46097
DE,E,G,2007,9831738
DE,G,E,2007,465471
DE,G,G,2007,3441404
DE,H,C,2007,69216055
DE,H,E,2007,25401118
DE,H,F,2007,136016
DE,H,G,2007,107446039
DE,I,A,2007,332666483
DE,I,B,2007,1727408
DE,I,E,2007,1424114
DE,I,F,2007,136290
DE,I,G,2007,226650882
DK,A,B,2007,19783503
DK,A,E,2007,32218013
DK,A,F,2007,186450904
DK,A,G,2007,3074665
DK,D,B,2007,2277487
DK,D,C,2007,973118
DK,D,D,2007,113909771
DK,D,E,2007,92510696
DK,D,G,2007,5846107
DK,G,B,2007,40870
DK,G,E,2007,536577
DK,H,B,2007,2042965
DK,H,C,2007,6162371
DK,H,E,2007,65852499
DK,H,G,2007,494344
DK,I,B,2007,389247
DK,I,E,2007,56604173
DK,I,G,2007,3760909
DK,J,B,2007,147082220
DK,J,C,2007,1044740
DK,J,D,2007,1783142
DK,J,E,2007,608864799
DK,J,F,2007,133578057
DK,J,G,2007,43283346
ES,J,A,2007,331244945
ES,J,B,2007,1035764419
ES,J,C,2007,101448021
ES,J,D,2007,1308264
ES,J,E,2007,770539828
ES,J,F,2007,486774819
ES,J,G,2007,685458839
EU,A,A,2007,195190286
EU,A,B,2007,2425679566
EU,A,C,2007,408748824
EU,A,D,2007,424245
EU,A,E,2007,4173058716
EU,A,F,2007,163727958
EU,A,G,2007,721342256
EU,D,B,2007,3546494
EU,D,C,2007,8124948
EU,D,E,2007,159478213
EU,D,G,2007,18511514
EU,E,B,2007,22774
EU,E,C,2007,68854605
EU,E,E,2007,376207882
EU,E,F,2007,725208
EU,E,G,2007,2349463
EU,G,E,2007,1683513
EU,H,B,2007,466501092
EU,H,C,2007,406687374
EU,H,E,2007,489725377
EU,H,F,2007,82860
EU,H,G,2007,82038069
EU,I,B,2007,24370927
EU,I,C,2007,31146451
EU,I,E,2007,562073995
EU,I,F,2007,575587061
EU,I,G,2007,81247167
FI,A,A,2007,9515692
FI,A,B,2007,14057867
FI,A,E,2007,2213666
FI,A,F,2007,62441882
FI,A,G,2007,22104813
FI,D,G,2007,4203936
FI,E,B,2007,6977727
FI,E,C,2007,1140050
FI,E,D,2007,7338623
FI,E,E,2007,40254063
FI,E,F,2007,7819314
FI,E,G,2007,70671452
FI,F,G,2007,2461770
FI,G,E,2007,357672
FI,G,G,2007,1467815
FI,H,B,2007,22073770
FI,H,C,2007,13711245
FI,H,E,2007,45780944
FI,H,F,2007,588219
FI,H,G,2007,66831811
FI,I,B,2007,70689247
FI,I,E,2007,40352753
FI,I,F,2007,9327648
FI,I,G,2007,85624096
FR,A,A,2007,879731311
FR,A,B,2007,220164479
FR,A,C,2007,41902313
FR,A,D,2007,29861416
FR,A,E,2007,412480283
FR,A,F,2007,564857514
FR,A,G,2007,731275363
FR,D,C,2007,348234
FR,D,D,2007,62715
FR,D,E,2007,1502000
FR,E,D,2007,54751394
FR,F,B,2007,163972
FR,F,E,2007,26001854
FR,H,G,2007,6616154
FR,J,B,2007,266367895
FR,J,E,2007,173997502
FR,J,F,2007,3301566476
FR,J,G,2007,965545133
GB,A,A,2007,700217628
GB,A,B,2007,1010140481
GB,A,C,2007,37088212
GB,A,E,2007,790177313
GB,A,F,2007,138344623
GB,A,G,2007,789798596
GB,E,B,2007,159028568
GB,E,C,2007,9622586
GB,E,D,2007,92856436
GB,E,E,2007,275882107
GB,E,F,2007,7262806
GB,E,G,2007,129255715
GB,F,B,2007,10407834
GB,F,C,2007,29134601
GB,F,E,2007,136532773
GB,F,F,2007,490584
GB,F,G,2007,12310460
GB,G,E,2007,27583900
GB,G,G,2007,19540797
GB,H,B,2007,850887496
GB,H,C,2007,102133543
GB,H,E,2007,707195666
GB,H,F,2007,40340614
GB,H,G,2007,64219930
GB,J,F,2007,450458825
GR,A,B,2007,13976763
GR,A,C,2007,115475
GR,A,E,2007,42783803
GR,A,F,2007,77271306
GR,A,G,2007,93298687
GR,G,G,2007,125632
GR,H,B,2007,12417261
GR,H,C,2007,7077287
GR,H,E,2007,5299590
GR,H,F,2007,20938
GR,H,G,2007,46679
GR,I,G,2007,269760
IE,A,B,2007,168851465
IE,A,C,2007,10310661
IE,A,E,2007,14092450
IE,A,F,2007,43046359
IE,A,G,2007,1411529
IE,D,B,2007,3149167
IE,D,C,2007,1427178
IE,D,D,2007,171407
IE,D,E,2007,118266143
IE,D,F,2007,6715154
IE,D,G,2007,23950198
IE,E,B,2007,9785260
IE,E,C,2007,283459
IE,E,E,2007,86941034
IE,E,F,2007,682341
IE,E,G,2007,2548946
IE,F,B,2007,60615
IE,F,E,2007,2992099
IE,F,F,2007,1791181
IE,F,G,2007,841792
IE,G,B,2007,20730576
IE,G,E,2007,1212314
IE,H,B,2007,49852931
IE,H,C,2007,6239371
IE,H,E,2007,138603274
IE,H,G,2007,5843958
IE,I,B,2007,1369570
IE,I,E,2007,1397790
IE,I,F,2007,462326
IE,I,G,2007,477738
IE,J,B,2007,0
IE,J,E,2007,16696
IT,A,B,2007,71247817
IT,A,C,2007,7294694
IT,A,E,2007,107755896
IT,A,F,2007,83036742
IT,A,G,2007,73362461
IT,D,B,2007,33365194
IT,D,C,2007,785707
IT,D,D,2007,20889731
IT,D,E,2007,37509235
IT,D,F,2007,9236830
IT,D,G,2007,29803355
IT,G,B,2007,7050
IT,G,E,2007,78294
IT,G,G,2007,37601
IT,H,B,2007,33772240
IT,H,C,2007,1392648
IT,H,D,2007,2506767
IT,H,E,2007,37988685
IT,H,G,2007,20279131
IT,J,A,2007,344084128
IT,J,B,2007,12034319
IT,J,C,2007,10168114
IT,J,E,2007,74382765
IT,J,F,2007,582254887
IT,J,G,2007,4210549
JP,A,A,2007,612778728
JP,A,B,2007,893330595
JP,A,C,2007,74735507
JP,A,E,2007,569886204
JP,A,G,2007,9066610
JP,E,D,2007,4427996
JP,E,E,2007,6651312
JP,H,B,2007,7349267
JP,H,C,2007,124663145
JP,H,E,2007,366252943
JP,H,G,2007,24051235
JP,I,A,2007,12147384
JP,I,E,2007,44161
JP,J,A,2007,6307371548
JP,J,B,2007,188526877
JP,J,C,2007,4987804
JP,J,D,2007,154776396
JP,J,E,2007,321683440
JP,J,F,2007,3632985811
JP,J,G,2007,2503214318
KR,A,A,2007,155990345
KR,A,B,2007,28828779
KR,A,C,2007,537703
KR,A,E,2007,64304382
KR,A,F,2007,33535449
KR,A,G,2007,184321857
KR,E,B,2007,706547
KR,E,E,2007,5792927
KR,E,G,2007,639933
KR,G,B,2007,210908
KR,H,B,2007,8541689
KR,H,E,2007,3347262
KR,H,G,2007,3170874
KR,I,B,2007,463820
LU,J,B,2007,13600103
LU,J,C,2007,12355478
LU,J,D,2007,7730835
LU,J,E,2007,208697373
LU,J,F,2007,19470984
LU,J,G,2007,14562448
NL,A,B,2007,714677740
NL,A,C,2007,788115
NL,A,E,2007,231520084
NL,A,F,2007,767000721
NL,A,G,2007,153473727
NL,D,B,2007,2503862
NL,D,D,2007,227678
NL,D,E,2007,2353947
NL,D,F,2007,43437
NL,E,B,2007,86407830
NL,E,C,2007,5988380
NL,E,D,2007,712180273
NL,E,E,2007,354879754
NL,E,F,2007,48685176
NL,E,G,2007,107516492
NL,F,B,2007,59446732
NL,F,E,2007,72885593
NL,F,G,2007,24771859
NL,G,B,2007,7303847
NL,G,C,2007,7292742
NL,G,E,2007,27466219
NL,G,F,2007,21870007
NL,G,G,2007,9881408
NL,H,B,2007,611660965
NL,H,C,2007,16471323
NL,H,E,2007,327258572
NL,H,F,2007,9962701
NL,H,G,2007,95718013
NL,I,B,2007,20974512
NL,I,C,2007,27434
NL,I,E,2007,122710136
NL,I,F,2007,3850283
NL,I,G,2007,144612110
NO,A,A,2007,261728019
NO,A,B,2007,423542848
NO,A,C,2007,170436
NO,A,E,2007,82284668
NO,A,F,2007,336302059
NO,A,G,2007,157556042
