country,year,from-oof-interest
XK,2010,900000
KG,2010,4890000
LA,2010,4490000
LB,2010,52980000
LS,2010,2650000
LR,2010,199410000
MG,2010,43500000
MW,2010,2020000
MY,2010,8610000
MV,2010,4010000
ML,2010,1490000
MT,2010,0
MH,2010,120000
MR,2010,7680000
MU,2010,8550000
YT,2010,2000000
MX,2010,698540000
NR,2010,40000
58,2010,9530000
MD,2010,12370000
MN,2010,11760000
ME,2010,20050000
MS,2010,0
MA,2010,230520000
MZ,2010,19240000
MM,2010,0
NA,2010,22590000
NR,2010,50000
NP,2010,2010000
NI,2010,12180000
NE,2010,940000
NG,2010,49970000
59,2010,11810000
60,2010,0
61,2010,0
OM,2010,11630000
PK,2010,123620000
PW,2010,0
PA,2010,98830000
PG,2010,48080000
PY,2010,45300000
PE,2010,279800000
PH,2010,269310000
RW,2010,2670000
WS,2010,500000
ST,2010,0
SN,2010,18920000
RS,2010,175710000
SC,2010,3240000
SL,2010,430000
SI,2010,0
SB,2010,2580000
SO,2010,0
62,2010,0
ZA,2010,159870000
63,2010,13710000
64,2010,0
65,2010,420000
SS,2010,0
LK,2010,9280000
SH,2010,0
KN,2010,2480000
LC,2010,7000000
VC,2010,3590000
66,2010,290000
SD,2010,1440000
SR,2010,4200000
SZ,2010,11500000
SY,2010,38530000
TJ,2010,3210000
TZ,2010,6520000
TH,2010,12940000
TL,2010,0
TG,2010,17490000
TO,2010,320000
TT,2010,91510000
TN,2010,210210000
TR,2010,599160000
TM,2010,580000
TC,2010,0
TV,2010,0
UG,2010,23430000
UA,2010,244410000
UY,2010,152080000
UZ,2010,24160000
VU,2010,550000
VE,2010,84260000
VN,2010,66560000
WF,2010,380000
PS,2010,3470000
67,2010,1090000
YE,2010,12120000
ZM,2010,6270000
ZW,2010,2780000
AF,2011,10890000
51,2011,22750000
AL,2011,27840000
52,2011,10960000
AO,2011,660000
AI,2011,2640000
AG,2011,1900000
AR,2011,539010000
AM,2011,26360000
53,2011,450000
AZ,2011,37590000
BD,2011,35390000
BB,2011,0
BY,2011,13210000
BZ,2011,5240000
BJ,2011,180000
BT,2011,780000
BO,2011,9990000
BA,2011,43940000
BW,2011,12490000
BR,2011,930370000
BF,2011,890000
BI,2011,610000
KH,2011,1580000
CM,2011,23910000
CV,2011,990000
CF,2011,2410000
54,2011,560000
TD,2011,2190000
CL,2011,60090000
CN,2011,491560000
CO,2011,510430000
KM,2011,400000
CD,2011,777740000
CG,2011,72550000
CK,2011,80000
CR,2011,40030000
CI,2011,20180000
HR,2011,0
CU,2011,1880000
CY,2011,0
55,2011,55730000
DJ,2011,3920000
DM,2011,690000
DO,2011,155990000
EC,2011,105810000
EG,2011,209270000
SV,2011,74080000
GQ,2011,10000
ER,2011,0
ET,2011,10620000
56,2011,155360000
57,2011,5390000
FJ,2011,1030000
MK,2011,16510000
GA,2011,16750000
GM,2011,890000
GE,2011,50500000
GH,2011,46630000
GD,2011,1500000
GT,2011,138060000
GN,2011,400000
GW,2011,4310000
GY,2011,1180000
HT,2011,1880000
HN,2011,17890000
IN,2011,325330000
ID,2011,591840000
IR,2011,31100000
JM,2011,68750000
JO,2011,47530000
KZ,2011,103850000
KE,2011,15420000
KI,2011,0
KR,2011,0
KP,2011,290000
XK,2011,12880000
KG,2011,7720000
LA,2011,5730000
LB,2011,37340000
LS,2011,1200000
LR,2011,57200000
MG,2011,17280000
MW,2011,1620000
MY,2011,6480000
MV,2011,3130000
ML,2011,1700000
MT,2011,0
MH,2011,90000
MR,2011,4320000
MU,2011,10320000
YT,2011,0
MX,2011,815010000
NR,2011,40000
58,2011,53020000
MD,2011,14240000
MN,2011,20320000
ME,2011,21060000
MS,2011,0
MA,2011,206820000
MZ,2011,12940000
MM,2011,0
NA,2011,25820000
NR,2011,50000
NP,2011,1010000
NI,2011,13140000
NE,2011,240000
NG,2011,42860000
59,2011,627620000
60,2011,0
61,2011,42020000
OM,2011,0
PK,2011,113630000
PW,2011,0
PA,2011,83510000
PG,2011,99520000
PY,2011,40970000
PE,2011,253080000
PH,2011,242370000
RW,2011,3680000
WS,2011,0
ST,2011,0
SN,2011,18180000
RS,2011,185100000
SC,2011,800000
SL,2011,340000
SI,2011,0
SB,2011,3000000
SO,2011,0
62,2011,0
ZA,2011,175530000
63,2011,8370000
64,2011,0
65,2011,5030000
SS,2011,0
LK,2011,11870000
SH,2011,0
KN,2011,2230000
LC,2011,4710000
VC,2011,4390000
66,2011,130000
SD,2011,2100000
SR,2011,3460000
SZ,2011,9230000
SY,2011,32020000
TJ,2011,3120000
TZ,2011,6760000
TH,2011,14500000
TL,2011,0
TG,2011,32190000
TO,2011,0
TT,2011,0
TN,2011,192180000
TR,2011,582200000
TM,2011,1090000
TC,2011,0
TV,2011,0
UG,2011,21860000
UA,2011,255450000
UY,2011,122900000
UZ,2011,25190000
VU,2011,0
VE,2011,74130000
VN,2011,81260000
WF,2011,220000
PS,2011,2180000
67,2011,1090000
YE,2011,7410000
