currency,month,year,value
Australian Dollar,08,1998,1.6962521309
Australian Dollar,09,1998,1.6981204895
Australian Dollar,10,1998,1.6159066777
Australian Dollar,11,1998,1.5767423003
Australian Dollar,12,1998,1.6149995001
Australian Dollar,01,1999,1.5832277849
Australian Dollar,02,1999,1.5626587075
Australian Dollar,03,1999,1.5872139565
Australian Dollar,04,1999,1.5580283561
Australian Dollar,05,1999,1.510269835
Australian Dollar,06,1999,1.5254200352
Australian Dollar,07,1999,1.5201873976
Australian Dollar,08,1999,1.5504219362
Australian Dollar,09,1999,1.5413070284
Australian Dollar,10,1999,1.5349194167
Australian Dollar,11,1999,1.5636327454
Australian Dollar,12,1999,1.5622094105
Australian Dollar,01,2000,1.5199148849
Australian Dollar,02,2000,1.5895242781
Australian Dollar,03,2000,1.6403848485
Australian Dollar,04,2000,1.6719776546
Australian Dollar,05,2000,1.7287513906
Australian Dollar,06,2000,1.6834881875
Australian Dollar,07,2000,1.6986443201
Australian Dollar,08,2000,1.7190863431
Australian Dollar,09,2000,1.8054126271
Australian Dollar,10,2000,1.8949990074
Australian Dollar,11,2000,1.9147251065
Australian Dollar,12,2000,1.8305891447
Australian Dollar,01,2001,1.7975758406
Australian Dollar,02,2001,1.8687397219
Australian Dollar,03,2001,1.9850647508
Australian Dollar,04,2001,1.9991115061
Australian Dollar,05,2001,1.922803615
Australian Dollar,06,2001,1.9307069283
Australian Dollar,07,2001,1.9602776465
Australian Dollar,08,2001,1.9043826769
Australian Dollar,09,2001,1.9752891329
Australian Dollar,10,2001,1.9785418146
Australian Dollar,11,2001,1.9331732531
Australian Dollar,12,2001,1.9433235407
Australian Dollar,01,2002,1.9347349412
Australian Dollar,02,2002,1.949146761
Australian Dollar,03,2002,1.9071776631
Australian Dollar,04,2002,1.8677798635
Australian Dollar,05,2002,1.8212372825
Australian Dollar,06,2002,1.7562346329
Australian Dollar,07,2002,1.8038932724
Australian Dollar,08,2002,1.8463299576
Australian Dollar,09,2002,1.8285582299
Australian Dollar,10,2002,1.8184179765
Australian Dollar,11,2002,1.7821227629
Australian Dollar,12,2002,1.7754180688
Australian Dollar,01,2003,1.7176375613
Australian Dollar,02,2003,1.683113938
Australian Dollar,03,2003,1.6602365442
Australian Dollar,04,2003,1.641965173
Australian Dollar,05,2003,1.5456059128
Australian Dollar,06,2003,1.5054459507
Australian Dollar,07,2003,1.5102566124
Australian Dollar,08,2003,1.5356737001
Australian Dollar,09,2003,1.5119131886
Australian Dollar,10,2003,1.4407900768
Australian Dollar,11,2003,1.3969114288
Australian Dollar,12,2003,1.3544192767
Australian Dollar,01,2004,1.2995958257
Australian Dollar,02,2004,1.2858180696
Australian Dollar,03,2004,1.3337199188
Australian Dollar,04,2004,1.3437248052
Australian Dollar,05,2004,1.4184296565
Australian Dollar,06,2004,1.4405465845
Australian Dollar,07,2004,1.3958859434
Australian Dollar,08,2004,1.4075916108
Australian Dollar,09,2004,1.4258308706
Australian Dollar,10,2004,1.3640052651
Australian Dollar,11,2004,1.2986611422
Australian Dollar,12,2004,1.3041129238
Australian Dollar,01,2005,1.3076303672
Australian Dollar,02,2005,1.2808279272
Australian Dollar,03,2005,1.2724881991
Australian Dollar,04,2005,1.2946156933
Australian Dollar,05,2005,1.3051654891
Australian Dollar,06,2005,1.3042668158
Australian Dollar,07,2005,1.3292481108
Australian Dollar,08,2005,1.3134029645
Australian Dollar,09,2005,1.3067081645
Australian Dollar,10,2005,1.3271595835
Australian Dollar,11,2005,1.360650002
Australian Dollar,12,2005,1.3460666515
Australian Dollar,01,2006,1.333929155
Australian Dollar,02,2006,1.34991119
Australian Dollar,03,2006,1.3741023527
Australian Dollar,04,2006,1.3605006643
Australian Dollar,05,2006,1.3106784548
Australian Dollar,06,2006,1.3508993131
Australian Dollar,07,2006,1.3317707224
Australian Dollar,08,2006,1.3105014852
Australian Dollar,09,2006,1.3216607612
Australian Dollar,10,2006,1.3265112753
Australian Dollar,11,2006,1.2957060302
Australian Dollar,12,2006,1.272085752
Australian Dollar,01,2007,1.2756729175
Australian Dollar,02,2007,1.2783146699
Australian Dollar,03,2007,1.2627494647
Australian Dollar,04,2007,1.2116530734
Australian Dollar,05,2007,1.2114670867
Australian Dollar,06,2007,1.1877598225
Australian Dollar,07,2007,1.1527075528
Australian Dollar,08,2007,1.2074775793
Australian Dollar,09,2007,1.1815332571
Australian Dollar,10,2007,1.1120819763
Australian Dollar,11,2007,1.1127633961
Australian Dollar,12,2007,1.1457451481
Australian Dollar,01,2008,1.1344115645
Australian Dollar,02,2008,1.0949005009
Australian Dollar,03,2008,1.079925883
Australian Dollar,04,2008,1.0743677346
Australian Dollar,05,2008,1.0535893875
Australian Dollar,06,2008,1.0516844479
Australian Dollar,07,2008,1.0389281875
Australian Dollar,08,2008,1.1350673379
Australian Dollar,09,2008,1.2187487881
Australian Dollar,10,2008,1.4555706219
Australian Dollar,11,2008,1.5251342118
Australian Dollar,12,2008,1.4963339817
Australian Dollar,01,2009,1.4740783325
Australian Dollar,02,2009,1.5407964377
Australian Dollar,03,2009,1.504685042
Australian Dollar,04,2009,1.404129545
Australian Dollar,05,2009,1.3113689442
Australian Dollar,06,2009,1.2464905355
Australian Dollar,07,2009,1.2438550855
Australian Dollar,08,2009,1.1984372378
Australian Dollar,09,2009,1.161293047
Australian Dollar,10,2009,1.1001330637
Australian Dollar,11,2009,1.0866921608
Australian Dollar,12,2009,1.1077117839
Australian Dollar,01,2010,1.0931162443
Australian Dollar,02,2010,1.1283243255
Australian Dollar,03,2010,1.0964755462
Australian Dollar,04,2010,1.0793369463
Australian Dollar,05,2010,1.145678786
Australian Dollar,06,2010,1.1724507571
Australian Dollar,07,2010,1.1434059777
Australian Dollar,08,2010,1.1110523253
Australian Dollar,09,2010,1.0675776663
Australian Dollar,10,2010,1.0194664434
Australian Dollar,11,2010,1.0069159226
Australian Dollar,12,2010,1.0111923022
Australian Dollar,01,2011,1.0056034458
Australian Dollar,02,2011,0.9916389182
Australian Dollar,03,2011,0.9898762655
Australian Dollar,04,2011,0.9474831164
Australian Dollar,05,2011,0.935570386
Australian Dollar,06,2011,0.9431420102
Australian Dollar,07,2011,0.9287206873
Australian Dollar,08,2011,0.9537475777
Australian Dollar,09,2011,0.9782958087
Australian Dollar,10,2011,0.9851450496
Australian Dollar,11,2011,0.9860571519
Australian Dollar,12,2011,0.9884304219
Australian Dollar,01,2012,0.9621081309
Australian Dollar,02,2012,0.9325748391
Australian Dollar,03,2012,0.9484720977
Australian Dollar,04,2012,0.9661524589
Australian Dollar,05,2012,1.0001500225
Australian Dollar,06,2012,1.0013618521
Australian Dollar,07,2012,0.9715790009
Australian Dollar,08,2012,0.9552486761
Australian Dollar,09,2012,0.9614070952
Australian Dollar,10,2012,0.9715290845
Australian Dollar,11,2012,0.9603979889
Australian Dollar,12,2012,0.954466341
Australian Dollar,01,2013,0.9521327774
Australian Dollar,02,2013,0.9689131854
Australian Dollar,03,2013,0.9674873335
Australian Dollar,04,2013,0.9627187177
Australian Dollar,05,2013,1.006759014
Australian Dollar,06,2013,1.0601850302
Australian Dollar,07,2013,1.0897655448
Australian Dollar,08,2013,1.1057985972
Australian Dollar,09,2013,1.0760440317
Australian Dollar,10,2013,1.0505830736
Australian Dollar,11,2013,1.0690433187
Australian Dollar,12,2013,1.1130004638
Australian Dollar,01,2014,1.1271816898
Australian Dollar,02,2014,1.1158551268
Australian Dollar,03,2014,1.1012769016
Australian Dollar,04,2014,1.0736768345
Australian Dollar,05,2014,1.0738172669
Australian Dollar,06,2014,1.06743522
Australian Dollar,07,2014,1.0645968323
Australian Dollar,08,2014,1.074818087
Australian Dollar,09,2014,1.1029857825
Australian Dollar,10,2014,1.1381188522
Australian Dollar,11,2014,1.1544603859
Australian Dollar,12,2014,1.2112752421
Australian Dollar,01,2015,1.2371899293
Australian Dollar,02,2015,1.284542141
Bahrain Dinar,07,1998,0.376
Bahrain Dinar,08,1998,0.376
Bahrain Dinar,09,1998,0.376
Bahrain Dinar,10,1998,0.376
Bahrain Dinar,11,1998,0.376
Bahrain Dinar,12,1998,0.376
Bahrain Dinar,01,1999,0.376
Bahrain Dinar,02,1999,0.376
Bahrain Dinar,03,1999,0.376
Bahrain Dinar,04,1999,0.376
Bahrain Dinar,05,1999,0.376
Bahrain Dinar,06,1999,0.376
Bahrain Dinar,07,1999,0.376
Bahrain Dinar,08,1999,0.376
Bahrain Dinar,09,1999,0.376
Bahrain Dinar,10,1999,0.376
Bahrain Dinar,11,1999,0.376
Bahrain Dinar,12,1999,0.376
Bahrain Dinar,01,2000,0.376
Bahrain Dinar,02,2000,0.376
Bahrain Dinar,03,2000,0.376
Bahrain Dinar,04,2000,0.376
Bahrain Dinar,05,2000,0.376
Bahrain Dinar,06,2000,0.376
Bahrain Dinar,07,2000,0.376
Bahrain Dinar,08,2000,0.376
Bahrain Dinar,09,2000,0.376
Bahrain Dinar,10,2000,0.376
Bahrain Dinar,11,2000,0.376
Bahrain Dinar,12,2000,0.376
Bahrain Dinar,01,2001,0.376
Bahrain Dinar,02,2001,0.376
Bahrain Dinar,03,2001,0.376
Bahrain Dinar,04,2001,0.376
Bahrain Dinar,05,2001,0.376
Bahrain Dinar,06,2001,0.376
Bahrain Dinar,07,2001,0.376
Bahrain Dinar,08,2001,0.376
Bahrain Dinar,09,2001,0.376
Bahrain Dinar,10,2001,0.376
Bahrain Dinar,11,2001,0.376
Bahrain Dinar,12,2001,0.376
Bahrain Dinar,01,2002,0.376
Bahrain Dinar,02,2002,0.376
Bahrain Dinar,03,2002,0.376
Bahrain Dinar,04,2002,0.376
Bahrain Dinar,05,2002,0.376
Bahrain Dinar,06,2002,0.376
Bahrain Dinar,07,2002,0.376
Bahrain Dinar,08,2002,0.376
Bahrain Dinar,09,2002,0.376
Bahrain Dinar,10,2002,0.376
Bahrain Dinar,11,2002,0.376
Bahrain Dinar,12,2002,0.376
Bahrain Dinar,01,2003,0.376
Bahrain Dinar,02,2003,0.376
Bahrain Dinar,03,2003,0.376
Bahrain Dinar,04,2003,0.376
Bahrain Dinar,05,2003,0.376
Bahrain Dinar,06,2003,0.376
Bahrain Dinar,07,2003,0.376
Bahrain Dinar,08,2003,0.376
Bahrain Dinar,09,2003,0.376
Bahrain Dinar,10,2003,0.376
Bahrain Dinar,11,2003,0.376
Bahrain Dinar,12,2003,0.376
Bahrain Dinar,01,2004,0.376
Bahrain Dinar,02,2004,0.376
Bahrain Dinar,03,2004,0.376
Bahrain Dinar,04,2004,0.376
Bahrain Dinar,05,2004,0.376
Bahrain Dinar,06,2004,0.376
Bahrain Dinar,07,2004,0.376
Bahrain Dinar,08,2004,0.376
Bahrain Dinar,09,2004,0.376
Bahrain Dinar,10,2004,0.376
Bahrain Dinar,11,2004,0.376
Bahrain Dinar,12,2004,0.376
Bahrain Dinar,01,2005,0.376
Bahrain Dinar,02,2005,0.376
Bahrain Dinar,03,2005,0.376
Bahrain Dinar,04,2005,0.376
Bahrain Dinar,05,2005,0.376
Bahrain Dinar,06,2005,0.376
Bahrain Dinar,07,2005,0.376
Bahrain Dinar,08,2005,0.376
Bahrain Dinar,09,2005,0.376
Bahrain Dinar,10,2005,0.376
Bahrain Dinar,11,2005,0.376
Bahrain Dinar,12,2005,0.376
Bahrain Dinar,01,2006,0.376
Bahrain Dinar,02,2006,0.376
Bahrain Dinar,03,2006,0.376
Bahrain Dinar,04,2006,0.376
Bahrain Dinar,05,2006,0.376
Bahrain Dinar,06,2006,0.376
Bahrain Dinar,07,2006,0.376
Bahrain Dinar,08,2006,0.376
Bahrain Dinar,09,2006,0.376
Bahrain Dinar,10,2006,0.376
Bahrain Dinar,11,2006,0.376
Bahrain Dinar,12,2006,0.376
Bahrain Dinar,01,2007,0.376
Bahrain Dinar,02,2007,0.376
Bahrain Dinar,03,2007,0.376
Bahrain Dinar,04,2007,0.376
Bahrain Dinar,05,2007,0.376
Bahrain Dinar,06,2007,0.376
Bahrain Dinar,07,2007,0.376
Bahrain Dinar,08,2007,0.376
Bahrain Dinar,09,2007,0.376
Bahrain Dinar,10,2007,0.376
Bahrain Dinar,11,2007,0.376
Bahrain Dinar,12,2007,0.376
Bahrain Dinar,01,2008,0.376
Bahrain Dinar,02,2008,0.376
Bahrain Dinar,03,2008,0.376
Bahrain Dinar,04,2008,0.376
Bahrain Dinar,05,2008,0.376
Bahrain Dinar,06,2008,0.376
Bahrain Dinar,07,2008,0.376
Bahrain Dinar,08,2008,0.376
Bahrain Dinar,09,2008,0.376
Bahrain Dinar,10,2008,0.376
Bahrain Dinar,11,2008,0.376
Bahrain Dinar,12,2008,0.376
Bahrain Dinar,01,2009,0.376
Bahrain Dinar,02,2009,0.376
Bahrain Dinar,03,2009,0.376
Bahrain Dinar,04,2009,0.376
Bahrain Dinar,05,2009,0.376
Bahrain Dinar,06,2009,0.376
Bahrain Dinar,07,2009,0.376
Bahrain Dinar,08,2009,0.376
Bahrain Dinar,09,2009,0.376
Bahrain Dinar,10,2009,0.376
Bahrain Dinar,11,2009,0.376
Bahrain Dinar,12,2009,0.376
Bahrain Dinar,01,2010,0.376
Bahrain Dinar,02,2010,0.376
Bahrain Dinar,03,2010,0.376
Bahrain Dinar,04,2010,0.376
Bahrain Dinar,05,2010,0.376
Bahrain Dinar,06,2010,0.376
Bahrain Dinar,07,2010,0.376
Bahrain Dinar,08,2010,0.376
Bahrain Dinar,09,2010,0.376
Bahrain Dinar,10,2010,0.376
Bahrain Dinar,11,2010,0.376
Bahrain Dinar,12,2010,0.376
Bahrain Dinar,01,2011,0.376
Bahrain Dinar,02,2011,0.376
Bahrain Dinar,03,2011,0.376
Bahrain Dinar,04,2011,0.376
Bahrain Dinar,05,2011,0.376
Bahrain Dinar,06,2011,0.376
Bahrain Dinar,07,2011,0.376
Bahrain Dinar,08,2011,0.376
Bahrain Dinar,09,2011,0.376
Bahrain Dinar,10,2011,0.376
Bahrain Dinar,11,2011,0.376
Bahrain Dinar,12,2011,0.376
Bahrain Dinar,01,2012,0.376
Bahrain Dinar,02,2012,0.376
Bahrain Dinar,03,2012,0.376
Bahrain Dinar,04,2012,0.376
Bahrain Dinar,05,2012,0.376
Bahrain Dinar,06,2012,0.376
Bahrain Dinar,07,2012,0.376
Bahrain Dinar,08,2012,0.376
Bahrain Dinar,09,2012,0.376
Bahrain Dinar,10,2012,0.376
Bahrain Dinar,11,2012,0.376
Bahrain Dinar,12,2012,0.376
Bahrain Dinar,01,2013,0.376
Bahrain Dinar,02,2013,0.376
Bahrain Dinar,03,2013,0.376
Bahrain Dinar,04,2013,0.376
Bahrain Dinar,05,2013,0.376
Bahrain Dinar,06,2013,0.376
Bahrain Dinar,07,2013,0.376
Bahrain Dinar,08,2013,0.376
Bahrain Dinar,09,2013,0.376
Bahrain Dinar,10,2013,0.376
Bahrain Dinar,11,2013,0.376
Bahrain Dinar,12,2013,0.376
Bahrain Dinar,01,2014,0.376
Bahrain Dinar,02,2014,0.376
Bahrain Dinar,03,2014,0.376
Bahrain Dinar,04,2014,0.376
Bahrain Dinar,05,2014,0.376
Bahrain Dinar,06,2014,0.376
Bahrain Dinar,07,2014,0.376
Bahrain Dinar,08,2014,0.376
Bahrain Dinar,09,2014,0.376
Bahrain Dinar,10,2014,0.376
Bahrain Dinar,11,2014,0.376
Bahrain Dinar,12,2014,0.376
Bahrain Dinar,01,2015,0.376
Bahrain Dinar,02,2015,0.376
Bolivar Fuerte,07,1998,NaN
Bolivar Fuerte,08,1998,NaN
Bolivar Fuerte,09,1998,NaN
Bolivar Fuerte,10,1998,NaN
Bolivar Fuerte,11,1998,NaN
Bolivar Fuerte,12,1998,NaN
Bolivar Fuerte,01,1999,NaN
Bolivar Fuerte,02,1999,NaN
Bolivar Fuerte,03,1999,NaN
Bolivar Fuerte,04,1999,NaN
Bolivar Fuerte,05,1999,NaN
Bolivar Fuerte,06,1999,NaN
Bolivar Fuerte,07,1999,NaN
Bolivar Fuerte,08,1999,NaN
Bolivar Fuerte,09,1999,NaN
Bolivar Fuerte,10,1999,NaN
Bolivar Fuerte,11,1999,NaN
Bolivar Fuerte,12,1999,NaN
Bolivar Fuerte,01,2000,NaN
Bolivar Fuerte,02,2000,NaN
Bolivar Fuerte,03,2000,NaN
Bolivar Fuerte,04,2000,NaN
Bolivar Fuerte,05,2000,NaN
Bolivar Fuerte,06,2000,NaN
Bolivar Fuerte,07,2000,NaN
Bolivar Fuerte,08,2000,NaN
Bolivar Fuerte,09,2000,NaN
Bolivar Fuerte,10,2000,NaN
Bolivar Fuerte,11,2000,NaN
Bolivar Fuerte,12,2000,NaN
Bolivar Fuerte,01,2001,NaN
Bolivar Fuerte,02,2001,NaN
Bolivar Fuerte,03,2001,NaN
Bolivar Fuerte,04,2001,NaN
Bolivar Fuerte,05,2001,NaN
Bolivar Fuerte,06,2001,NaN
Bolivar Fuerte,07,2001,NaN
Bolivar Fuerte,08,2001,NaN
Bolivar Fuerte,09,2001,NaN
Bolivar Fuerte,10,2001,NaN
Bolivar Fuerte,11,2001,NaN
Bolivar Fuerte,12,2001,NaN
Bolivar Fuerte,01,2002,NaN
Bolivar Fuerte,02,2002,NaN
Bolivar Fuerte,03,2002,NaN
Bolivar Fuerte,04,2002,NaN
Bolivar Fuerte,05,2002,NaN
Bolivar Fuerte,06,2002,NaN
Bolivar Fuerte,07,2002,NaN
Bolivar Fuerte,08,2002,NaN
Bolivar Fuerte,09,2002,NaN
Bolivar Fuerte,10,2002,NaN
Bolivar Fuerte,11,2002,NaN
Bolivar Fuerte,12,2002,NaN
Bolivar Fuerte,01,2003,NaN
Bolivar Fuerte,02,2003,NaN
Bolivar Fuerte,03,2003,NaN
Bolivar Fuerte,04,2003,NaN
Bolivar Fuerte,05,2003,NaN
Bolivar Fuerte,06,2003,NaN
Bolivar Fuerte,07,2003,NaN
Bolivar Fuerte,08,2003,NaN
Bolivar Fuerte,09,2003,NaN
Bolivar Fuerte,10,2003,NaN
Bolivar Fuerte,11,2003,NaN
Bolivar Fuerte,12,2003,NaN
Bolivar Fuerte,01,2004,NaN
Bolivar Fuerte,02,2004,NaN
Bolivar Fuerte,03,2004,NaN
Bolivar Fuerte,04,2004,NaN
Bolivar Fuerte,05,2004,NaN
Bolivar Fuerte,06,2004,NaN
Bolivar Fuerte,07,2004,NaN
Bolivar Fuerte,08,2004,NaN
Bolivar Fuerte,09,2004,NaN
Bolivar Fuerte,10,2004,NaN
Bolivar Fuerte,11,2004,NaN
Bolivar Fuerte,12,2004,NaN
Bolivar Fuerte,01,2005,NaN
Bolivar Fuerte,02,2005,NaN
Bolivar Fuerte,03,2005,NaN
Bolivar Fuerte,04,2005,NaN
Bolivar Fuerte,05,2005,NaN
Bolivar Fuerte,06,2005,NaN
Bolivar Fuerte,07,2005,NaN
Bolivar Fuerte,08,2005,NaN
Bolivar Fuerte,09,2005,NaN
Bolivar Fuerte,10,2005,NaN
Bolivar Fuerte,11,2005,NaN
Bolivar Fuerte,12,2005,NaN
Bolivar Fuerte,01,2006,NaN
Bolivar Fuerte,02,2006,NaN
Bolivar Fuerte,03,2006,NaN
Bolivar Fuerte,04,2006,NaN
Bolivar Fuerte,05,2006,NaN
Bolivar Fuerte,06,2006,NaN
Bolivar Fuerte,07,2006,NaN
Bolivar Fuerte,08,2006,NaN
Bolivar Fuerte,09,2006,NaN
Bolivar Fuerte,10,2006,NaN
Bolivar Fuerte,11,2006,NaN
Bolivar Fuerte,12,2006,NaN
Bolivar Fuerte,01,2007,NaN
Bolivar Fuerte,02,2007,NaN
Bolivar Fuerte,03,2007,NaN
Bolivar Fuerte,04,2007,NaN
Bolivar Fuerte,05,2007,NaN
Bolivar Fuerte,06,2007,NaN
Bolivar Fuerte,07,2007,NaN
Bolivar Fuerte,08,2007,NaN
Bolivar Fuerte,09,2007,NaN
Bolivar Fuerte,10,2007,NaN
Bolivar Fuerte,11,2007,NaN
Bolivar Fuerte,12,2007,NaN
Bolivar Fuerte,01,2008,NaN
Bolivar Fuerte,02,2008,2.1446
Bolivar Fuerte,03,2008,2.1446
Bolivar Fuerte,04,2008,2.1446
Bolivar Fuerte,05,2008,2.1446
Bolivar Fuerte,06,2008,2.1446
Bolivar Fuerte,07,2008,2.1446
Bolivar Fuerte,08,2008,2.1446
