id,level,name,color-id
banana-bacterial-wild----bbw----control,3,Banana Bacterial Wild    Bbw    Control,
banana-bacterial-wilt,3,Banana Bacterial Wilt,
banana-bacterial-wilt----naro---,3,Banana Bacterial Wilt    Naro   ,
banana-bacteria-wilt,3,Banana Bacteria Wilt,
banana-disease-control----maiif---,3,Banana Disease Control    Maiif   ,
banana-wilt-research,3,Banana Wilt Research,
bank-loan,3,Bank Loan,
barylor,3,Barylor,
bat-tobacco-supervision,3,Bat Tobacco Supervision,
baylor,3,Baylor,
baylor-college,3,Baylor College,
baylor-college-of-medicine,3,Baylor College Of Medicine,
baylor-health,3,Baylor Health,
baylor-international----u---,3,Baylor International    U   ,
bayloror-makerereor-mbarara-joint-aids-prog,3,Bayloror Makerereor Mbarara Joint Aids Prog,
baylor-ovc,3,Baylor Ovc,
baylor----u---,3,Baylor    U   ,
baylor-uganda,3,Baylor Uganda,
bbw,3,Bbw,
bbw-control,3,Bbw Control,
bbw-control-funds,3,Bbw Control Funds,
bbw-controll,3,Bbw Controll,
bbw-fund,3,Bbw Fund,
bbw-release,3,Bbw Release,
belgium-technical-cooperation----btc---,3,Belgium Technical Cooperation    Btc   ,
belgium-uganda,3,Belgium Uganda,
beligium-techinical-cooperation,3,Beligium Techinical Cooperation,
bernard-van-leer-foundation,3,Bernard Van Leer Foundation,
bicycle-funds-from-molg,3,Bicycle Funds From Molg,
bid-document-sales,3,Bid Document Sales,
bilharzia,3,Bilharzia,
bilhazia-health,3,Bilhazia Health,
bill-&-melinda-gates-foundation,3,Bill & Melinda Gates Foundation,
bird-flu-surveillance,3,Bird Flu Surveillance,
birth-and-death-registration,3,Birth And Death Registration,
britain-public-libraries-association,3,Britain Public Libraries Association,
bududa--nabweya-gravity-flow-scheme,3,Bududa  Nabweya Gravity Flow Scheme,
busesa-technical-institute,3,Busesa Technical Institute,
business-licences,3,Business Licences,
busoga-forest-company,3,Busoga Forest Company,
bussiness-registration,3,Bussiness Registration,
bvlf,3,Bvlf,
caaip--under-roads-sector,3,Caaip  Under Roads Sector,
caiip,3,Caiip,
caiip-1,3,Caiip 1,
caiip-111,3,Caiip 111,
caiip--111,3,Caiip  111,
caiip-1-project,3,Caiip 1 Project,
caiip2,3,Caiip2,
caiip-2,3,Caiip 2,
caiip-2-project,3,Caiip 2 Project,
caiip-3,3,Caiip 3,
caiip---3,3,Caiip   3,
caiip-3-ministry-of-local-government,3,Caiip 3 Ministry Of Local Government,
caiip-3---ministry-of-local-govt---,3,Caiip 3   Ministry Of Local Govt   ,
caiip-3-program,3,Caiip 3 Program,
caiip-funds,3,Caiip Funds,
caiip-ii,3,Caiip Ii,
caiipiii,3,Caiipiii,
caiip-iii,3,Caiip Iii,
caiip-iii-project,3,Caiip Iii Project,
caiip-operational-costs,3,Caiip Operational Costs,
caiip--roads,3,Caiip  Roads,
caiip---road-supervision,3,Caiip   Road Supervision,
caiip-to-works,3,Caiip To Works,
caip,3,Caip,
caip3,3,Caip3,
cancelled-cheques-in-production,3,Cancelled Cheques In Production,
caos-salary,3,Caos Salary,
capacity-building-under-usmid,3,Capacity Building Under Usmid,
care-international---community,3,Care International   Community,
caritas-uganda,3,Caritas Uganda,
carter-centre,3,Carter Centre,
cater-centre,3,Cater Centre,
catholic-relief-services,3,Catholic Relief Services,
cattle-branding---opm,3,Cattle Branding   Opm,
cconditional-trasfer-from-the-ministry-of-local-government,3,Cconditional Trasfer From The Ministry Of Local Government,
cdc,3,Cdc,
cdd-grant-topup,3,Cdd Grant Topup,
cdd-top-up-funds,3,Cdd Top Up Funds,
cedovic,3,Cedovic,
cedovip,3,Cedovip,
ceford,3,Ceford,
census,3,Census,
census-2014,3,Census 2014,
census-2014----by-ubos---,3,Census 2014    By Ubos   ,
census-2014-ubos,3,Census 2014 Ubos,
census-2014---ubos,3,Census 2014   Ubos,
census-fund,3,Census Fund,
census-fund-from-ubos,3,Census Fund From Ubos,
census-funds,3,Census Funds,
census---ubos,3,Census   Ubos,
ces,3,Ces,
ces---sight-savers------education,3,Ces   Sight Savers      Education,
ces----sight-savers------health,3,Ces    Sight Savers      Health,
cess-on-produce,3,Cess On Produce,
chai,3,Chai,
child-fund,3,Child Fund,
cipesa,3,Cipesa,
---cis---,3,   Cis   ,
civic-soc-fund-ovc,3,Civic Soc Fund Ovc,
clean-development-management,3,Clean Development Management,
climate-change-support,3,Climate Change Support,
climate-smart-agriculture,3,Climate Smart Agriculture,
cnooc,3,Cnooc,
code-project,3,Code Project,
codes-project-child-fund-uganda,3,Codes Project Child Fund Uganda,
co-funding-sds,3,Co Funding Sds,
cold-chain,3,Cold Chain,
committed-funds-for-buyinja,3,Committed Funds For Buyinja,
community-access-road-fund,3,Community Access Road Fund,
community-access-roads,3,Community Access Roads,
community-access-roads-urf,3,Community Access Roads Urf,
community-acess-roads---urf---,3,Community Acess Roads   Urf   ,
community-agricultural-infrastructural-improvement-project----caiip---,3,Community Agricultural Infrastructural Improvement Project    Caiip   ,
community-contributions,3,Community Contributions,
community-contribution-to-water,3,Community Contribution To Water,
community-contribution---water---,3,Community Contribution   Water   ,
community-development-workers,3,Community Development Workers,
community-donors---sne---,3,Community Donors   Sne   ,
community-information-system_unspent,3,Community Information System_Unspent,
community-road-access,3,Community Road Access,
community-serv-prog,3,Community Serv Prog,
community--unspent-balance,3,Community  Unspent Balance,
communty-contribution--water,3,Communty Contribution  Water,
concern,3,Concern,
concern-worldwide,3,Concern Worldwide,
conditional-grant-for-naads,3,Conditional Grant For Naads,
conditional-grant-from-maaf-to-production-sector,3,Conditional Grant From Maaf To Production Sector,
conditional-grant-from-maaif,3,Conditional Grant From Maaif,
conditional-grant-to-agric-ext-salaries,3,Conditional Grant To Agric Ext Salaries,
conditional-grant-to-community-devt-assistants-non-wage,3,Conditional Grant To Community Devt Assistants Non Wage,
conditional-grant-to-district-community-roads,3,Conditional Grant To District Community Roads,
conditional-grant-to-district-hospitals,3,Conditional Grant To District Hospitals,
conditional-grant-to-district-natural-res--wetlands-non-wage,3,Conditional Grant To District Natural Res  Wetlands Non Wage,
conditional-grant-to-district-natural-res---wetlands----non-wage---,3,Conditional Grant To District Natural Res   Wetlands    Non Wage   ,
conditional-grant-to-dsc-chairsâ€™-salaries,3,Conditional Grant To Dsc Chairsâ€™ Salaries,
conditional-grant-to-dsc-chairsâ-salaries,3,Conditional Grant To Dsc Chairsâ Salaries,
conditional-grant-to-feeder-roads-maintenance-workshops----urf---,3,Conditional Grant To Feeder Roads Maintenance Workshops    Urf   ,
conditional-grant-to-functional-adult-lit,3,Conditional Grant To Functional Adult Lit,
conditional-grant-to-health-training-schools,3,Conditional Grant To Health Training Schools,
conditional-grant-to-ifms-running-costs,3,Conditional Grant To Ifms Running Costs,
conditional-grant-to-ipps-recurrent-costs,3,Conditional Grant To Ipps Recurrent Costs,
conditional-grant-to-ngo-hospitals,3,Conditional Grant To Ngo Hospitals,
conditional-grant-to-paf-monitoring,3,Conditional Grant To Paf Monitoring,
conditional-grant-to-phc--development,3,Conditional Grant To Phc  Development,
conditional-grant-to-phc---development,3,Conditional Grant To Phc   Development,
conditional-grant-to-phc-non-wage,3,Conditional Grant To Phc Non Wage,
conditional-grant-to-phc--non-wage,3,Conditional Grant To Phc  Non Wage,
conditional-grant-to-phc-salaries,3,Conditional Grant To Phc Salaries,
conditional-grant-to-primary-education,3,Conditional Grant To Primary Education,
conditional-grant-to-primary-salaries,3,Conditional Grant To Primary Salaries,
conditional-grant-to-public-libraries,3,Conditional Grant To Public Libraries,
conditional-grant-to-puclic-library----thru-the-district---,3,Conditional Grant To Puclic Library    Thru The District   ,
conditional-grant-to-secondary-education,3,Conditional Grant To Secondary Education,
conditional-grant-to-secondary-salaries,3,Conditional Grant To Secondary Salaries,
conditional-grant-to-sfg,3,Conditional Grant To Sfg,
conditional-grant-to-tertiary-salaries,3,Conditional Grant To Tertiary Salaries,
conditional-grant-to-urban-water,3,Conditional Grant To Urban Water,
conditional-grant-to-women-youth-and-disability-grant,3,Conditional Grant To Women Youth And Disability Grant,
conditional-transfer-for-rural-water,3,Conditional Transfer For Rural Water,
conditional-transfer-for-rural-water-,3,Conditional Transfer For Rural Water ,
conditional-transfers-for-non-wage-community-polytechnics,3,Conditional Transfers For Non Wage Community Polytechnics,
conditional-transfers-for-non-wage-technical-&-farm-schools,3,Conditional Transfers For Non Wage Technical & Farm Schools,
conditional-transfers-for-non-wage-technical-institutes,3,Conditional Transfers For Non Wage Technical Institutes,
conditional-transfers-for-primary-teachers-colleges,3,Conditional Transfers For Primary Teachers Colleges,
conditional-transfers-for-wage-community-polytechnics,3,Conditional Transfers For Wage Community Polytechnics,
conditional-transfers-for-wage-technical-&-farm-schools,3,Conditional Transfers For Wage Technical & Farm Schools,
conditional-transfers-for-wage-technical-institutes,3,Conditional Transfers For Wage Technical Institutes,
conditional-transfers-to-councillors-allowances-and-ex-gratia-for-llgs,3,Conditional Transfers To Councillors Allowances And Ex Gratia For Llgs,
conditional-transfers-to-councillors-allowances-and-ex--gratia-for-llgs,3,Conditional Transfers To Councillors Allowances And Ex  Gratia For Llgs,
conditional-transfers-to-dsc-operational-costs,3,Conditional Transfers To Dsc Operational Costs,
conditional-transfers-to-production-and-marketing,3,Conditional Transfers To Production And Marketing,
conditional-transfers-to-school-inspection-grant,3,Conditional Transfers To School Inspection Grant,
conditional-transfers-to-special-grant-for-pwds,3,Conditional Transfers To Special Grant For Pwds,
conditional-transfer-to-road-maintenance-district,3,Conditional Transfer To Road Maintenance District,
conditional-transfer-to-road-maintenance-sor-c,3,Conditional Transfer To Road Maintenance Sor C,
conditional-transfer-to-road-maintenance-urban,3,Conditional Transfer To Road Maintenance Urban,
conditional-trasfer-from-the-moh,3,Conditional Trasfer From The Moh,
construction-of-secondary-schools,3,Construction Of Secondary Schools,
construction-of-sec-schools-and-presidential-pledges,3,Construction Of Sec Schools And Presidential Pledges,
contigency-transfers,3,Contigency Transfers,
contract-fees,3,Contract Fees,
contribution-for-ple-and-mock,3,Contribution For Ple And Mock,
contribution-on-monitoring---meos---,3,Contribution On Monitoring   Meos   ,
contribution-to-district-administration-block-poject-by-molg,3,Contribution To District Administration Block Poject By Molg,
contribution-to-ple-exams-from-uneb,3,Contribution To Ple Exams From Uneb,
contribution-to-ple----uneb---,3,Contribution To Ple    Uneb   ,
court-filing-fees,3,Court Filing Fees,
crane-bank,3,Crane Bank,
credit-line-kambuga-hospital,3,Credit Line Kambuga Hospital,
credit-line-nda,3,Credit Line Nda,
crop-cess-fees,3,Crop Cess Fees,
csf----hiv--project---,3,Csf    Hiv  Project   ,
cuam,3,Cuam,
danida,3,Danida,
danida-drugs-credit-line,3,Danida Drugs Credit Line,
danida-rrp----unspent-balance---,3,Danida Rrp    Unspent Balance   ,
danida----rti---,3,Danida    Rti   ,
dar-ii-programme-funds,3,Dar Ii Programme Funds,
death-and-birth-registation-unicef,3,Death And Birth Registation Unicef,
deo-monitoring,3,Deo Monitoring,
deo-operational-costs,3,Deo Operational Costs,
deo-operation-cost,3,Deo Operation Cost,
deoor-meo-facilitation,3,Deoor Meo Facilitation,
deo's-conditional-facilitation----moes---,3,Deo'S Conditional Facilitation    Moes   ,
deos-facilitation,3,Deos Facilitation,
deo's-facilitation-from-moes,3,Deo'S Facilitation From Moes,
deo's-grant,3,Deo'S Grant,
deos-monitoring,3,Deos Monitoring,
deo-s-monitoring,3,Deo S Monitoring,
deos-monitoring-component,3,Deos Monitoring Component,
deos-operational-fund,3,Deos Operational Fund,
"deos-operations,-census-,-validation-for-primary-teachers",3,"Deos Operations, Census , Validation For Primary Teachers",
deposits----sepspel---,3,Deposits    Sepspel   ,
dept-revenue,3,Dept Revenue,
derrote-uac,3,Derrote Uac,
development-expenditure,3,Development Expenditure,
development-fees,3,Development Fees,
development-grant,3,Development Grant,
development-tax,3,Development Tax,
dev't-transfers-to-kaliro-tc-form-molg,3,Dev'T Transfers To Kaliro Tc Form Molg,
diccos-project,3,Diccos Project,
dicos,3,Dicos,
dicos-project,3,Dicos Project,
dicos--project,3,Dicos  Project,
dicoss,3,Dicoss,
dicoss-ministry-of-trade,3,Dicoss Ministry Of Trade,
dicoss-ministry-of-trade-and-tourism,3,Dicoss Ministry Of Trade And Tourism,
dicoss-project,3,Dicoss Project,
dicoss----world-bank---,3,Dicoss    World Bank   ,
disease-surveilance,3,Disease Surveilance,
disease-surveilance----bbw-maaif---,3,Disease Surveilance    Bbw Maaif   ,
disease-survillence----who-----health,3,Disease Survillence    Who     Health,
disposal-of-assets,3,Disposal Of Assets,
disposal-of-assets-for-llgs,3,Disposal Of Assets For Llgs,
district-and-urban-road-maintenance,3,District And Urban Road Maintenance,
district-commercial-service-support,3,District Commercial Service Support,
district-cost-share-for-sds-program,3,District Cost Share For Sds Program,
district-discretionary,3,District Discretionary,
district-discretionary-development-equalization-grant,3,District Discretionary Development Equalization Grant,
district-discretionary-development-grant,3,District Discretionary Development Grant,
district-equalisation,3,District Equalisation,
district-equalisation-grant,3,District Equalisation Grant,
district-feeder-raods,3,District Feeder Raods,
district-liveihood-support-programme---dlsp---,3,District Liveihood Support Programme   Dlsp   ,
district-livelihood-support-programme,3,District Livelihood Support Programme,
district-livilihood-support-programme,3,District Livilihood Support Programme,
district-road-fund--grant,3,District Road Fund  Grant,
district-road-maintanance-urf,3,District Road Maintanance Urf,
district-roads-maintenance---uganda-road-fund,3,District Roads Maintenance   Uganda Road Fund,
district-roads---urf---,3,District Roads   Urf   ,
district-unconditional-grant,3,District Unconditional Grant,
district-unconditional-grant-nonwage,3,District Unconditional Grant Nonwage,
district-unconditional-grant--non-wage,3,District Unconditional Grant  Non Wage,
district-unconditional-grant---non-wage,3,District Unconditional Grant   Non Wage,
district-unconditional-grant-wage,3,District Unconditional Grant Wage,
dlsp,3,Dlsp,
dlsp_unspent,3,Dlsp_Unspent,
donation-by-mrc-to-kyamulibwa-sor-c,3,Donation By Mrc To Kyamulibwa Sor C,
donations-from-llgs-&-others,3,Donations From Llgs & Others,
donation---town-council,3,Donation   Town Council,
donor--alrep,3,Donor  Alrep,
donor--carter-centre,3,Donor  Carter Centre,
donor-funding,3,Donor Funding,
donor-funding-ahis,3,Donor Funding Ahis,
donor-funding---alrep,3,Donor Funding   Alrep,
donor-funding---avian-flu---,3,Donor Funding   Avian Flu   ,
donor-funding--cater-center,3,Donor Funding  Cater Center,
donor-funding--global-fund,3,Donor Funding  Global Fund,
donor-funding-health,3,Donor Funding Health,
donor-funding----health-sector---,3,Donor Funding    Health Sector   ,
donor-funding--jica,3,Donor Funding  Jica,
donor-funding--labe,3,Donor Funding  Labe,
donor-funding--led,3,Donor Funding  Led,
donor-funding--mayors-charity-fund,3,Donor Funding  Mayors Charity Fund,
donor-funding----ministry-of-gender---,3,Donor Funding    Ministry Of Gender   ,
donor-funding---nema---,3,Donor Funding   Nema   ,
donor-funding---ntds&-others---,3,Donor Funding   Ntds& Others   ,
donor-funding--nudeil,3,Donor Funding  Nudeil,
donor-funding---nudeil,3,Donor Funding   Nudeil,
donor-funding--nuhites,3,Donor Funding  Nuhites,
donor-funding--nu-hites,3,Donor Funding  Nu Hites,
donor-funding----pcv---,3,Donor Funding    Pcv   ,
donor-funding---the-carter-centre,3,Donor Funding   The Carter Centre,
donor-funding-to-planning-unit,3,Donor Funding To Planning Unit,
donor-funding-unepi---sias---,3,Donor Funding Unepi   Sias   ,
donor-funding-un-habitat-one-stop-youth-centre-grant,3,Donor Funding Un Habitat One Stop Youth Centre Grant,
donor-funding----unhcr---,3,Donor Funding    Unhcr   ,
donor-funding--unicef,3,Donor Funding  Unicef,
donor-funding---unicef,3,Donor Funding   Unicef,
donor-funding----unicef---,3,Donor Funding    Unicef   ,
donor-funding--unpent-balances,3,Donor Funding  Unpent Balances,
donor-funding-usf-and-mtrac,3,Donor Funding Usf And Mtrac,
donor-funding---vng-international,3,Donor Funding   Vng International,
donor-funding--world-vision,3,Donor Funding  World Vision,
driving-permits,3,Driving Permits,
drpt,3,Drpt,
drugs,3,Drugs,
drugs-and-supplies-from-national-medical-stores,3,Drugs And Supplies From National Medical Stores,
ecde,3,Ecde,
edf,3,Edf,
education,3,Education,
education-administration-funds-from-moe,3,Education Administration Funds From Moe,
educationalor-instruction-related-levies,3,Educationalor Instruction Related Levies,
education-funds-for-dialogue,3,Education Funds For Dialogue,
education----pupils-and-students-verification---,3,Education    Pupils And Students Verification   ,
eicos,3,Eicos,
emergency-road-fund,3,Emergency Road Fund,
emergency-road-maintanance,3,Emergency Road Maintanance,
emergency-road-rehabilitation----urf---,3,Emergency Road Rehabilitation    Urf   ,
envision,3,Envision,
envision---ntd----health,3,Envision   Ntd    Health,
envision--usaid,3,Envision  Usaid,
epi,3,Epi,
epi-polio,3,Epi Polio,
eradication-of-banana-bacterial-wilt---maif,3,Eradication Of Banana Bacterial Wilt   Maif,
eskom-royalties,3,Eskom Royalties,
eu---kalip---,3,Eu   Kalip   ,
expanded-program-on-immunisation-[epi],3,Expanded Program On Immunisation [Epi],
eye-care----sight-savers---,3,Eye Care    Sight Savers   ,
fao,3,Fao,
fao_bbw,3,Fao_Bbw,
fao---c-assava-multiplication,3,Fao   C Assava Multiplication,
fao---support-to-commercial-sector---,3,Fao   Support To Commercial Sector   ,
farm-income-&enhancement,3,Farm Income &Enhancement,
farm-income-and-forestry-conservation-project,3,Farm Income And Forestry Conservation Project,
feeder-road-fund---district---,3,Feeder Road Fund   District   ,
fees-from-appeals,3,Fees From Appeals,
fees-from-forestry,3,Fees From Forestry,
fees-from-hospital-private-wings,3,Fees From Hospital Private Wings,
feifoc,3,Feifoc,
fgm-grant-from-mogl,3,Fgm Grant From Mogl,
fiefoc,3,Fiefoc,
fiefoc-forestry,3,Fiefoc Forestry,
fiefoc---forestry,3,Fiefoc   Forestry,
fisheries-licemces,3,Fisheries Licemces,
fisheries-training,3,Fisheries Training,
fish-movement-permits,3,Fish Movement Permits,
fish-permits,3,Fish Permits,
forest-or--timber-permits,3,Forest Or  Timber Permits,
forest-produce-revenues,3,Forest Produce Revenues,
forest-products,3,Forest Products,
forest-revenues,3,Forest Revenues,
forestry-charges,3,Forestry Charges,
forestry-dues,3,Forestry Dues,
forestry----forest-products---,3,Forestry    Forest Products   ,
forestry-products,3,Forestry Products,
forestry-products-levy,3,Forestry Products Levy,
forestry-revenue,3,Forestry Revenue,
form-x,3,Form X,
"form-x,-ple-registration-&-mock-for-private-schools",3,"Form X, Ple Registration & Mock For Private Schools",
fund-for-polio-immunization,3,Fund For Polio Immunization,
funds-for-bicycles-to-lcs,3,Funds For Bicycles To Lcs,
funds-for-dho's-office-hor-sub-district,3,Funds For Dho'S Office Hor Sub District,
funds-for-gender-based-violence,3,Funds For Gender Based Violence,
funds-for-lukudolo-bridge,3,Funds For Lukudolo Bridge,
funds-for-population-and-housing-census-2014,3,Funds For Population And Housing Census 2014,
funds-from-trade-ministry,3,Funds From Trade Ministry,
funds-to-carry-out-census,3,Funds To Carry Out Census,
gavi,3,Gavi,
gavi-fund,3,Gavi Fund,
gavi-fund----moh---,3,Gavi Fund    Moh   ,
gavi-funds,3,Gavi Funds,
gavi-funds----moh---,3,Gavi Funds    Moh   ,
gavi-health,3,Gavi Health,
gavi----immunisation---,3,Gavi    Immunisation   ,
gavi----immunization-moh---,3,Gavi    Immunization Moh   ,
gavii--moh,3,Gavii  Moh,
gavi--moh,3,Gavi  Moh,
gavi----moh---,3,Gavi    Moh   ,
gbv,3,Gbv,
gccor-fao,3,Gccor Fao,
gender-and-community-devt,3,Gender And Community Devt,
gender-based-violence---gbv---,3,Gender Based Violence   Gbv   ,
gender-based-violence----mglsd---,3,Gender Based Violence    Mglsd   ,
gender-based-violence-prevention---gbv---,3,Gender Based Violence Prevention   Gbv   ,
german-leprosy-services--health,3,German Leprosy Services  Health,
ggp-japanese,3,Ggp Japanese,
giz,3,Giz,
giz-climate-change-adaptation,3,Giz Climate Change Adaptation,
global-climate-change,3,Global Climate Change,
global-fund,3,Global Fund,
global-fund-for-hivor-aids,3,Global Fund For Hivor Aids,
global-fund-for-malariaor-hiv,3,Global Fund For Malariaor Hiv,
global-fund----gavi---,3,Global Fund    Gavi   ,
global-fund-hiv--health,3,Global Fund Hiv  Health,
"global-fund---hivor-aids,-malaria-&-tb---",3,"Global Fund   Hivor Aids, Malaria & Tb   ",
global-fund-ii,3,Global Fund Ii,
global-fund----imm---,3,Global Fund    Imm   ,
"global-fund-malaria,-hiv-and-tb",3,"Global Fund Malaria, Hiv And Tb",
global-fund----malaria-control---,3,Global Fund    Malaria Control   ,
global-fund----malaria-grant---,3,Global Fund    Malaria Grant   ,
global-fund-malaria---health,3,Global Fund Malaria   Health,
global-fund-ministry-of-health,3,Global Fund Ministry Of Health,
global-fund----moh---,3,Global Fund    Moh   ,
global-fund-on-maralia,3,Global Fund On Maralia,
global-fund-on-tb,3,Global Fund On Tb,
global-fund-or-gavi,3,Global Fund Or Gavi,
global-fundor-gavi-fund,3,Global Fundor Gavi Fund,
global-fundor-hivor-rti,3,Global Fundor Hivor Rti,
global-funds,3,Global Funds,
global-funds---malaria,3,Global Funds   Malaria,
global-fund-tb-health,3,Global Fund Tb Health,
globle-fund,3,Globle Fund,
gran-municipal-council,3,Gran Municipal Council,
grant-for-women-igas,3,Grant For Women Igas,
green-charcoal-project-gcp,3,Green Charcoal Project Gcp,
ground-rent,3,Ground Rent,
ground-rent-&rate---non-produced-assests,3,Ground Rent &Rate   Non Produced Assests,
groung-rent,3,Groung Rent,
group-registration,3,Group Registration,
haip,3,Haip,
hard-to-reach-allowances,3,Hard To Reach Allowances,
haulage-fees,3,Haulage Fees,
head-count----education---,3,Head Count    Education   ,
head-count-exercise,3,Head Count Exercise,
head-count--grant,3,Head Count  Grant,
head-count----moes---,3,Head Count    Moes   ,
head-count-pri-schools,3,Head Count Pri Schools,
head-count-sec-schools,3,Head Count Sec Schools,
health,3,Health,
health---baylor---hivor-aids,3,Health   Baylor   Hivor Aids,
health---global-fund---hivor-aids,3,Health   Global Fund   Hivor Aids,
health---ntd-bilharzia,3,Health   Ntd Bilharzia,
health---ntd---hivor-aids,3,Health   Ntd   Hivor Aids,
health---prefa-pmtct,3,Health   Prefa Pmtct,
health-workers-interviews,3,Health Workers Interviews,
hewasa,3,Hewasa,
hiv,3,Hiv,
hiv-aidsor-global-fund,3,Hiv Aidsor Global Fund,
hivor-aids,3,Hivor Aids,
hivor-aids-and-surveillence,3,Hivor Aids And Surveillence,
hivor-aids----moh---,3,Hivor Aids    Moh   ,
hivor-aids-support--program,3,Hivor Aids Support  Program,
hivor-aids---uganda-aids-commission,3,Hivor Aids   Uganda Aids Commission,
hivor-chai,3,Hivor Chai,
hotel-tax,3,Hotel Tax,
house-rent,3,House Rent,
housing-finance-bank-----street-lighting---,3,Housing Finance Bank     Street Lighting   ,
hpv-campaign,3,Hpv Campaign,
hu-hietes,3,Hu Hietes,
icb,3,Icb,
icb--btc,3,Icb  Btc,
icb-mohor-btc,3,Icb Mohor Btc,
icbor-btc,3,Icbor Btc,
icbp,3,Icbp,
iceland-grant,3,Iceland Grant,
icobi,3,Icobi,
identity-cards,3,Identity Cards,
idi,3,Idi,
idi-funds,3,Idi Funds,
idrc,3,Idrc,
ids,3,Ids,
ifad,3,Ifad,
ifad---district-livelihood-support-programme,3,Ifad   District Livelihood Support Programme,
ifadi-dlsp,3,Ifadi Dlsp,
ifms-running-costs,3,Ifms Running Costs,
igaad,3,Igaad,
igad,3,Igad,
iga-fund-for-women---mglsd---,3,Iga Fund For Women   Mglsd   ,
igas-for-women-groups-by-nwc-secreteriate,3,Igas For Women Groups By Nwc Secreteriate,
ilo,3,Ilo,
iloor-snap,3,Iloor Snap,
immunasation,3,Immunasation,
immunisation-fund-from-moh,3,Immunisation Fund From Moh,
immunization,3,Immunization,
immunization-&eye-treatment----moh---,3,Immunization &Eye Treatment    Moh   ,
