id,year,estimate,value
GT,1982,FALSE,2.4426789645
GY,1982,FALSE,20.9255354201
HK,1982,FALSE,239.4193548387
HN,1982,FALSE,2.6281977544
HR,1982,FALSE,18.9400602944
HT,1982,FALSE,
HU,1982,FALSE,35.4365594851
ID,1982,FALSE,25.0247824442
IO,1982,FALSE,30.5563321219
IE,1982,FALSE,9.0396073789
IR,1982,FALSE,2.790859606
IQ,1982,FALSE,318.2066574203
IS,1982,FALSE,
IL,1982,FALSE,21.6886698416
IT,1982,FALSE,434.92
JM,1982,FALSE,3.6391082803
JO,1982,FALSE,167.1060735672
JP,1982,FALSE,4.7516009509
KZ,1982,FALSE,0.9506095459
KE,1982,FALSE,
KG,1982,FALSE,14.1165090751
KH,1982,FALSE,
KI,1982,FALSE,
KN,1982,FALSE,3.1958716423
KP,1982,FALSE,3.1454549516
KW,1982,FALSE,3.4717855703
LA,1982,FALSE,2.3459461537
LB,1982,FALSE,630.7218934911
LR,1982,FALSE,1622.9325842697
LY,1982,FALSE,
LC,1982,FALSE,9.876276958
LK,1982,FALSE,2.7821996792
LS,1982,FALSE,18.2386808657
LT,1982,FALSE,16.3543878755
LU,1982,FALSE,
LV,1982,FALSE,2.4895212924
MA,1982,FALSE,
MD,1982,FALSE,2.6722670692
MG,1982,FALSE,
MV,1982,FALSE,48.6308552433
MX,1982,FALSE,6.5360041791
MH,1982,FALSE,666.4222222222
MK,1982,FALSE,
ML,1982,FALSE,
MT,1982,FALSE,4.1470527175
MM,1982,FALSE,
ME,1982,FALSE,
MN,1982,FALSE,
MZ,1982,FALSE,454.8391719745
MR,1982,FALSE,643.2127139364
MU,1982,FALSE,
MW,1982,FALSE,6.5260240878
MY,1982,FALSE,363.3579335793
NA,1982,FALSE,2.7528840449
NE,1982,FALSE,
NG,1982,FALSE,2.5646920374
NI,1982,FALSE,271.8690987124
NL,1982,FALSE,
NO,1982,FALSE,1.7278091545
NP,1982,FALSE,3.4215892539
NZ,1982,FALSE,14.5911191119
OM,1982,FALSE,3.4270491803
PK,1982,FALSE,2.4732469608
PA,1982,FALSE,12.4670368556
PE,1982,FALSE,2.0305137985
PH,1982,FALSE,
PW,1982,FALSE,11.8916678278
PG,1982,FALSE,
PL,1982,FALSE,5.4712416347
PT,1982,FALSE,1119.8256880734
PY,1982,FALSE,7.5081396967
QA,1982,FALSE,72.7952099439
RO,1982,FALSE,3.4326810871
RU,1982,FALSE,5442.5757575758
RW,1982,FALSE,
SA,1982,FALSE,10.1385700081
SD,1982,FALSE,1.9887762197
SN,1982,FALSE,6477.2916666667
SG,1982,FALSE,2.8523869877
SB,1982,FALSE,1.5669771924
SL,1982,FALSE,17.0135455148
SV,1982,FALSE,5139.9268292683
SM,1982,FALSE,3.1143805364
CS,1982,FALSE,
SS,1982,FALSE,
ST,1982,FALSE,
SR,1982,FALSE,867.4273504274
SK,1982,FALSE,3735
SI,1982,FALSE,
SE,1982,FALSE,
SZ,1982,FALSE,2.7311211252
SC,1982,FALSE,10.8953416786
SY,1982,FALSE,5.250234688
TD,1982,FALSE,
TG,1982,FALSE,3.7739891024
TH,1982,FALSE,4.4202560158
TJ,1982,FALSE,2.8600242277
TM,1982,FALSE,
TL,1982,FALSE,
TO,1982,FALSE,
TT,1982,FALSE,4.230678394
TN,1982,FALSE,4.6873155651
TR,1982,FALSE,4.1759370187
TV,1982,FALSE,29671.2558139535
TW,1982,FALSE,
TZ,1982,FALSE,164.673857868
UG,1982,FALSE,2790.4886363636
UA,1982,FALSE,
UY,1982,FALSE,3244.5
US,1982,FALSE,2.0712386719
XK,1982,FALSE,
UZ,1982,FALSE,
VC,1982,FALSE,2.3806401442
VE,1982,FALSE,3324.9822263798
VN,1982,FALSE,28182.8
VU,1982,FALSE,2.9204331121
AS,1982,FALSE,5.8967376505
YE,1982,FALSE,
ZA,1982,FALSE,20.2246040252
ZM,1982,FALSE,13657.2222222222
ZW,1982,FALSE,
AF,1983,FALSE,
AO,1983,FALSE,
AL,1983,FALSE,34.603718368
AE,1983,FALSE,3.1727092331
AR,1983,FALSE,
AM,1983,FALSE,
AG,1983,FALSE,2.4571823969
AU,1983,FALSE,2.8270461435
AT,1983,FALSE,1.8614418845
