country,admin1,admin1-name,lat,long,geonames-id
BF,BF.07,Centre-Sud,,,6930708
BF,BF.08,Est,,,6930709
BF,BF.09,High-Basins,,,6930710
BF,BF.10,Nord,,,6930711
BF,BF.11,Plateau-Central,,,6930712
BF,BF.12,Sahel,,,6930713
BF,BF.13,Southwest,,,6930714
BG,BG.52,Razgrad,,,453751
BG,BG.47,Montana,,,453753
BG,BG.64,Vratsa,,,725713
BG,BG.61,Varna,,,726051
BG,BG.40,Dobrich,,,726419
BG,BG.58,Sofiya,,,727012
BG,BG.53,Ruse,,,727524
BG,BG.51,Plovdiv,,,728194
BG,BG.50,Pleven,,,728204
BG,BG.49,Pernik,,,728331
BG,BG.48,Pazardzhik,,,728379
BG,BG.46,Lovech,,,729560
BG,BG.43,Khaskovo,,,730436
BG,BG.42,Sofia-Capital,,,731061
BG,BG.39,Burgas,,,732771
BG,BG.38,Blagoevgrad,,,733192
BG,BG.41,Gabrovo,,,864552
BG,BG.44,Kurdzhali,,,864553
BG,BG.45,Kyustendil,,,864554
BG,BG.54,Shumen,,,864555
BG,BG.55,Silistra,,,864556
BG,BG.56,Sliven,,,864557
BG,BG.57,Smolyan,,,864558
BG,BG.59,Stara Zagora,,,864559
BG,BG.60,Turgovishte,,,864560
BG,BG.62,Veliko Turnovo,,,864561
BG,BG.63,Vidin,,,864562
BG,BG.65,Yambol,,,864563
BH,BH.15,Muharraq,,,290333
BH,BH.16,Manama,,,7090954
BH,BH.17,Southern Governorate,,,7090972
BH,BH.18,Central Governorate,,,7090973
BH,BH.19,Northern,,,7090974
BI,BI.17,Makamba,,,422233
BI,BI.10,Bururi,,,423327
BI,BI.22,Muramvya,,,425550
BI,BI.13,Gitega,,,426271
BI,BI.21,Ruyigi,,,426699
BI,BI.11,Cankuzo,,,427700
BI,BI.14,Karuzi,,,428218
BI,BI.09,Bubanza,,,428514
BI,BI.12,Cibitoke,,,430020
BI,BI.19,Ngozi,,,430567
BI,BI.15,Kayanza,,,430951
BI,BI.18,Muyinga,,,431747
BI,BI.16,Kirundo,,,432455
BI,BI.20,Rutana,,,434147
BI,BI.23,Mwaro,,,434386
BI,BI.24,Bujumbura Mairie,,,7303939
BI,BI.25,Bujumbura Rural,,,7303940
BJ,BJ.18,Zou,,,2390719
BJ,BJ.16,Queme,,,2392325
BJ,BJ.15,Mono,,,2392716
BJ,BJ.10,Borgou,,,2394992
BJ,BJ.09,Atlantique,,,2395504
BJ,BJ.08,Atakora,,,2395524
BJ,BJ.07,Alibori Department,,,2597271
BJ,BJ.11,Collines,,,2597272
BJ,BJ.12,Kouffo,,,2597273
BJ,BJ.13,Donga Department,,,2597274
BJ,BJ.14,Littoral Department,,,2597275
BJ,BJ.17,Plateau,,,2597277
BM,BM.11,Warwick,,,3572972
BM,BM.10,Southampton,,,3573026
BM,BM.09,Smith's Parish,,,3573031
BM,BM.08,Sandys,,,3573050
BM,BM.07,Saint George's Parish,,,3573057
BM,BM.06,Saint George,,,3573062
BM,BM.05,Pembroke,,,3573095
BM,BM.04,Paget,,,3573103
BM,BM.02,Hamilton Parish,,,3573195
