id,year,direction,flow-type,flow-name,value
BA,2013,out,official,oda-capital-payments-out,81760000
BA,2013,out,official,oofs-capital-payments-out,217280000
BA,2013,in,commercial,net-portfolio-equity-in,0
BA,2013,out,official,oofs-interest-payments-out,19310000
BA,2013,in,official,oofs-in,330850000
BA,2013,out,official,oda-interest-payments-out,27960000
BA,2013,in,commercial,fdi-in,309265919.1
BA,2013,in,private,remittances-in,1804351991
BA,2012,out,illicit,trade-mispricing-out,na
BA,2013,out,private,remittances-out,45184566.6
BA,2012,in,official,dfis-in,512708121.1
BA,2012,out,illicit,illicit-financing-out,0
BA,2013,in,commercial,long-debt-disbursement-commercial-in,102521000
BA,2013,in,commercial,short-debt-net-flow-in,43819108.16
BA,2013,out,commercial,long-debt-capital-payments-out,638882000
BA,2013,out,commercial,long-debt-interest-payments-out,124566000
BA,2013,out,commercial,short-debt-interest-out,53932931.25
BB,2011,in,private,pda-in,na
BB,2013,in,official,ssc-in,na
BB,2013,in,official,oda-in,0
BB,2013,in,commercial,fdi-in-profits-out,na
BB,2013,out,commercial,fdi-out,3419039.767
BB,2013,out,official,oda-capital-payments-out,0
BB,2013,out,official,oofs-capital-payments-out,0
BB,2013,in,commercial,net-portfolio-equity-in,0
BB,2013,out,official,oofs-interest-payments-out,0
BB,2013,in,official,oofs-in,0
BB,2013,out,official,oda-interest-payments-out,0
BB,2013,in,commercial,fdi-in,376166455.5
BB,2013,in,private,remittances-in,na
BB,2012,out,illicit,trade-mispricing-out,0
BB,2013,out,private,remittances-out,na
BB,2012,in,official,dfis-in,na
BB,2012,out,illicit,illicit-financing-out,na
BB,2013,in,commercial,long-debt-disbursement-commercial-in,na
BB,2013,in,commercial,short-debt-net-flow-in,na
BB,2013,out,commercial,long-debt-capital-payments-out,na
BB,2013,out,commercial,long-debt-interest-payments-out,na
BB,2013,out,commercial,short-debt-interest-out,na
BD,2011,in,private,pda-in,na
BD,2013,in,official,ssc-in,na
BD,2013,in,official,oda-in,3541390000
BD,2013,in,commercial,fdi-in-profits-out,1815807731
BD,2013,out,commercial,fdi-out,30040378.86
BD,2013,out,official,oda-capital-payments-out,819230000
BD,2013,out,official,oofs-capital-payments-out,412500000
BD,2013,in,commercial,net-portfolio-equity-in,251260109.8
BD,2013,out,official,oofs-interest-payments-out,40400000
BD,2013,in,official,oofs-in,501820000
BD,2013,out,official,oda-interest-payments-out,172360000
BD,2013,in,commercial,fdi-in,1488641805
BD,2013,in,private,remittances-in,13225670145
BD,2012,out,illicit,trade-mispricing-out,754604240.3
BD,2013,out,private,remittances-out,18166668.19
BD,2012,in,official,dfis-in,500662934.6
BD,2012,out,illicit,illicit-financing-out,1025641321
BD,2013,in,commercial,long-debt-disbursement-commercial-in,0
BD,2013,in,commercial,short-debt-net-flow-in,-247528253.4
BD,2013,out,commercial,long-debt-capital-payments-out,2271000
BD,2013,out,commercial,long-debt-interest-payments-out,586999.9997
BD,2013,out,commercial,short-debt-interest-out,16791706.04
BF,2011,in,private,pda-in,na
BF,2013,in,official,ssc-in,na
BF,2013,in,official,oda-in,1074100000
BF,2013,in,commercial,fdi-in-profits-out,0
BF,2013,out,commercial,fdi-out,82842861
BF,2013,out,official,oda-capital-payments-out,52770000
BF,2013,out,official,oofs-capital-payments-out,2720000
BF,2013,in,commercial,net-portfolio-equity-in,0
BF,2013,out,official,oofs-interest-payments-out,190000
BF,2013,in,official,oofs-in,2580000
BF,2013,out,official,oda-interest-payments-out,15320000
