country,year,in_longdebt
CG,2010,533.56
CG,2011,324.69
CG,2012,471.76
CH,1990,
CH,1991,
CH,1992,
CH,1993,
CH,1994,
CH,1995,
CH,1996,
CH,1997,
CH,1998,
CH,1999,
CH,2000,
CH,2001,
CH,2002,
CH,2003,
CH,2004,
CH,2005,
CH,2006,
CH,2007,
CH,2008,
CH,2009,
CH,2010,
CH,2011,
CH,2012,
CI,1990,369.65
CI,1991,344.76
CI,1992,277.06
CI,1993,297.05
CI,1994,658.73
CI,1995,124
CI,1996,668.97
CI,1997,91.17
CI,1998,95.05
CI,1999,98.31
CI,2000,0
CI,2001,0
CI,2002,0
CI,2003,0
CI,2004,0.92
CI,2005,71.21
CI,2006,142.42
CI,2007,84.8
CI,2008,259.91
CI,2009,327.89
CI,2010,391.58
CI,2011,407.62
CI,2012,833.08
CL,1990,
CL,1991,
CL,1992,
CL,1993,
CL,1994,
CL,1995,
CL,1996,
CL,1997,
CL,1998,
CL,1999,
CL,2000,
CL,2001,
CL,2002,
CL,2003,
CL,2004,
CL,2005,
CL,2006,
CL,2007,
CL,2008,
CL,2009,
CL,2010,
CL,2011,
CL,2012,
CM,1990,181.33
CM,1991,100.35
CM,1992,145.92
CM,1993,101.23
CM,1994,10.71
CM,1995,0
CM,1996,34.06
CM,1997,19.78
CM,1998,15.6
CM,1999,85.63
CM,2000,69.59
CM,2001,0
CM,2002,0
CM,2003,16.68
CM,2004,92.07
CM,2005,118.26
CM,2006,46.76
CM,2007,85.26
CM,2008,256.83
CM,2009,220.14
CM,2010,287.06
CM,2011,4.41
CM,2012,563.76
CN,1990,17377.22
CN,1991,15345.61
CN,1992,32762.19
CN,1993,31182.63
CN,1994,32869.72
CN,1995,51526.62
CN,1996,33860.99
CN,1997,38247.62
CN,1998,13314.25
CN,1999,43724
CN,2000,40935.26
CN,2001,20695.3
CN,2002,33118.75
CN,2003,46541.66
CN,2004,39055.97
CN,2005,47469.16
CN,2006,39165.08
CN,2007,50709.44
CN,2008,43993.22
CN,2009,25806.49
CN,2010,44902.81
CN,2011,44999.29
CN,2012,40638.33
CO,1990,6112.1
CO,1991,3254.19
CO,1992,5876.2
CO,1993,5290.9
CO,1994,9466.76
CO,1995,6754.06
CO,1996,11915.97
CO,1997,11271.65
CO,1998,4343.76
CO,1999,16650.28
CO,2000,7022.89
CO,2001,13881.79
CO,2002,7855.75
CO,2003,17691.48
CO,2004,9599.49
CO,2005,11853.51
CO,2006,15644.35
CO,2007,10581.68
CO,2008,9139.25
CO,2009,14689.22
CO,2010,12410.72
CO,2011,17312.18
CO,2012,17196.73
CR,1990,592.43
CR,1991,736.53
CR,1992,98.24
CR,1993,426.89
CR,1994,1.56
CR,1995,384.84
CR,1996,704.22
CR,1997,489.09
CR,1998,1041.7
CR,1999,861.06
CR,2000,1282.09
CR,2001,737.68
CR,2002,284.79
CR,2003,1623.65
CR,2004,1378.88
CR,2005,1502.69
CR,2006,728.55
CR,2007,896.88
CR,2008,1569.96
CR,2009,1780.04
CR,2010,1659.32
CR,2011,1683.99
CR,2012,3845.98
CV,1990,0
CV,1991,0
CV,1992,25.16
CV,1993,0
CV,1994,39.93
CV,1995,5.34
CV,1996,6.95
CV,1997,31.87
CV,1998,80.1
CV,1999,0
CV,2000,49.55
CV,2001,89.85
CV,2002,7.34
CV,2003,2.51
CV,2004,0.15
CV,2005,91.45
CV,2006,0.11
CV,2007,0
CV,2008,0
CV,2009,100.44
CV,2010,50.92
CV,2011,24.2
CV,2012,43.01
CY,1990,
CY,1991,
CY,1992,
CY,1993,
CY,1994,
CY,1995,
CY,1996,
CY,1997,
CY,1998,
CY,1999,
CY,2000,
CY,2001,
CY,2002,
CY,2003,
CY,2004,
CY,2005,
CY,2006,
CY,2007,
CY,2008,
CY,2009,
CY,2010,
CY,2011,
CY,2012,
CZ,1990,
CZ,1991,
CZ,1992,
CZ,1993,
CZ,1994,
CZ,1995,
CZ,1996,
CZ,1997,
CZ,1998,
CZ,1999,
CZ,2000,
CZ,2001,
CZ,2002,
CZ,2003,
CZ,2004,
CZ,2005,
CZ,2006,
CZ,2007,
CZ,2008,
CZ,2009,
CZ,2010,
CZ,2011,
CZ,2012,
DE,1990,
DE,1991,
DE,1992,
DE,1993,
DE,1994,
DE,1995,
DE,1996,
DE,1997,
DE,1998,
DE,1999,
DE,2000,
DE,2001,
DE,2002,
DE,2003,
DE,2004,
DE,2005,
DE,2006,
DE,2007,
DE,2008,
DE,2009,
DE,2010,
DE,2011,
DE,2012,
DJ,1990,
DJ,1991,113.56
DJ,1992,87.81
DJ,1993,0
DJ,1994,0
DJ,1995,31.87
DJ,1996,39.58
DJ,1997,0
DJ,1998,0
DJ,1999,0
DJ,2000,0
DJ,2001,0
DJ,2002,46.43
DJ,2003,44.93
DJ,2004,38.59
DJ,2005,36.53
DJ,2006,84.7
DJ,2007,49.48
DJ,2008,53.06
DJ,2009,0
DJ,2010,0
DJ,2011,58.03
DJ,2012,0
DK,1990,
DK,1991,
DK,1992,
DK,1993,
DK,1994,
DK,1995,
DK,1996,
DK,1997,
DK,1998,
DK,1999,
DK,2000,
DK,2001,
DK,2002,
DK,2003,
DK,2004,
DK,2005,
DK,2006,
DK,2007,
DK,2008,
DK,2009,
DK,2010,
DK,2011,
DK,2012,
DM,1990,0
DM,1991,0
DM,1992,12.6
DM,1993,8.81
DM,1994,6.06
DM,1995,12.54
DM,1996,0
DM,1997,0
DM,1998,10.44
DM,1999,34.24
DM,2000,67.53
DM,2001,39.63
DM,2002,19.56
DM,2003,23.27
DM,2004,12.24
DM,2005,0
DM,2006,0
DM,2007,5.47
DM,2008,8.73
DM,2009,0
DM,2010,31.3
DM,2011,18.66
DM,2012,36.32
DO,1990,329.72
DO,1991,229.19
DO,1992,273.88
DO,1993,15.69
DO,1994,14.09
DO,1995,12.28
DO,1996,27.61
DO,1997,30.43
DO,1998,27.43
DO,1999,79.7
DO,2000,424.3
DO,2001,861.1
DO,2002,959.54
DO,2003,3333.46
DO,2004,1517.61
DO,2005,749.42
DO,2006,1919.87
DO,2007,1406.68
DO,2008,1397.07
DO,2009,1598.42
DO,2010,984.77
DO,2011,2211.54
DO,2012,2392.76
DZ,1990,12506.16
DZ,1991,15284.14
DZ,1992,17000.81
DZ,1993,13886.17
DZ,1994,12126.86
DZ,1995,9766.44
DZ,1996,7117.48
DZ,1997,3997.29
DZ,1998,2853.4
DZ,1999,2976.04
DZ,2000,2933.79
DZ,2001,2592.79
DZ,2002,4058.77
DZ,2003,4378.92
DZ,2004,3968.99
DZ,2005,2039.01
DZ,2006,1204.4
DZ,2007,824.44
DZ,2008,721.03
DZ,2009,286.13
DZ,2010,51.15
DZ,2011,29.73
DZ,2012,28.54
EC,1990,922.13
EC,1991,1635.56
EC,1992,89.83
EC,1993,1719.85
EC,1994,272.1
EC,1995,619.39
EC,1996,2088.64
EC,1997,3411.52
EC,1998,1346.26
EC,1999,3195.86
EC,2000,2733.84
EC,2001,2958.26
EC,2002,2932.51
EC,2003,3413.12
EC,2004,4632.52
EC,2005,4965.67
EC,2006,3845.49
EC,2007,4167.01
EC,2008,1644.1
EC,2009,1407.73
EC,2010,3304.41
EC,2011,3515.88
EC,2012,2322.35
EE,1990,
EE,1991,
EE,1992,
EE,1993,
EE,1994,
EE,1995,
EE,1996,
EE,1997,
EE,1998,
EE,1999,
EE,2000,
EE,2001,
EE,2002,
EE,2003,
