id-to,year,debt-flow,destination-institution-type,creditor-type,creditor-institution,financing-type,id-from,value
AO,2013,TDS,PNG,Private,Private,COMMERCIAL BANKS,organisation-unspecified,0
AR,2013,DIS,PPG,Official,Bilateral,Concessional,organisation-unspecified,162518499.9
AR,2013,DIS,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
AR,2013,DIS,PPG,Official,Multilateral,Concessional,IDA,0
AR,2013,DIS,PPG,Official,Multilateral,Concessional,Other,472905405.2
AR,2013,DIS,PPG,Official,Multilateral,Non-concessional,IBRD,1158700852
AR,2013,DIS,PPG,Official,Multilateral,Non-concessional,Other,1096804128
AR,2013,DIS,PPG,Private,Private,Bonds,organisation-unspecified,214031932.8
AR,2013,DIS,PPG,Private,Private,Commercial Banks,organisation-unspecified,11357758.05
AR,2013,DIS,PPG,Private,Private,Other Private,organisation-unspecified,0
AR,2013,DIS,PNG,Private,Private,Bonds,organisation-unspecified,375951917.2
AR,2013,DIS,PNG,Private,Private,Commercial Banks,organisation-unspecified,6617305139
AR,2013,INT,PPG,Official,Bilateral,Concessional,organisation-unspecified,5732514.834
AR,2013,INT,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,21676886.28
AR,2013,INT,PPG,Official,Multilateral,Concessional,IDA,0
AR,2013,INT,PPG,Official,Multilateral,Concessional,Other,52746555.25
AR,2013,INT,PPG,Official,Multilateral,Non-concessional,IBRD,139687691.8
AR,2013,INT,PPG,Official,Multilateral,Non-concessional,Other,384369230
AR,2013,INT,PPG,Private,Private,Bonds,organisation-unspecified,1712893077
AR,2013,INT,PPG,Private,Private,Commercial Banks,organisation-unspecified,12161793.89
AR,2013,INT,PPG,Private,Private,Other Private,organisation-unspecified,12735245.88
AR,2013,INT,PNG,Private,Private,Bonds,organisation-unspecified,726726083.9
AR,2013,INT,PNG,Private,Private,Commercial Banks,organisation-unspecified,97704389.32
AR,2013,TDS,PPG,OFFICIAL,BILATERAL,CONCESSIONAL,organisation-unspecified,30544338.83
AR,2013,TDS,PPG,OFFICIAL,BILATERAL,NON-CONCESSIONAL,organisation-unspecified,236512854.9
AR,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,IDA,0
AR,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,OTHER,135670520.3
AR,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,IBRD,806441925.9
AR,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,OTHER,1346274793
AR,2013,TDS,PPG,PRIVATE,Private,BONDS,organisation-unspecified,2929694040
AR,2013,TDS,PPG,PRIVATE,Private,COMMERCIAL BANKS,organisation-unspecified,18463750.56
AR,2013,TDS,PPG,PRIVATE,Private,OTHER PRIVATE,organisation-unspecified,59802420.84
AR,2013,TDS,PNG,Private,Private,BONDS,organisation-unspecified,1728289060
AR,2013,TDS,PNG,Private,Private,COMMERCIAL BANKS,organisation-unspecified,6031314400
AZ,2013,DIS,PPG,Official,Bilateral,Concessional,organisation-unspecified,187145041.5
AZ,2013,DIS,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
AZ,2013,DIS,PPG,Official,Multilateral,Concessional,IDA,99539951.55
AZ,2013,DIS,PPG,Official,Multilateral,Concessional,Other,49005122.03
AZ,2013,DIS,PPG,Official,Multilateral,Non-concessional,IBRD,273282241
AZ,2013,DIS,PPG,Official,Multilateral,Non-concessional,Other,166964428
AZ,2013,DIS,PPG,Private,Private,Bonds,organisation-unspecified,0
AZ,2013,DIS,PPG,Private,Private,Commercial Banks,organisation-unspecified,332356191
AZ,2013,DIS,PPG,Private,Private,Other Private,organisation-unspecified,16285098.17
AZ,2013,DIS,PNG,Private,Private,Bonds,organisation-unspecified,0
AZ,2013,DIS,PNG,Private,Private,Commercial Banks,organisation-unspecified,209548969.6
AZ,2013,INT,PPG,Official,Bilateral,Concessional,organisation-unspecified,22402880.34
AZ,2013,INT,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,265079.4466
AZ,2013,INT,PPG,Official,Multilateral,Concessional,IDA,5895660.26
AZ,2013,INT,PPG,Official,Multilateral,Concessional,Other,9432846.867
AZ,2013,INT,PPG,Official,Multilateral,Non-concessional,IBRD,7646441.901
AZ,2013,INT,PPG,Official,Multilateral,Non-concessional,Other,9254730.243
AZ,2013,INT,PPG,Private,Private,Bonds,organisation-unspecified,28551047.11
AZ,2013,INT,PPG,Private,Private,Commercial Banks,organisation-unspecified,23186593.49
AZ,2013,INT,PPG,Private,Private,Other Private,organisation-unspecified,2350091.694
AZ,2013,INT,PNG,Private,Private,Bonds,organisation-unspecified,0
AZ,2013,INT,PNG,Private,Private,Commercial Banks,organisation-unspecified,865356568.2
AZ,2013,TDS,PPG,OFFICIAL,BILATERAL,CONCESSIONAL,organisation-unspecified,86321602.54
AZ,2013,TDS,PPG,OFFICIAL,BILATERAL,NON-CONCESSIONAL,organisation-unspecified,14391823.23
AZ,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,IDA,348011594.5
AZ,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,OTHER,39398349.52
AZ,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,IBRD,35093165.94
AZ,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,OTHER,49206289.05
AZ,2013,TDS,PPG,PRIVATE,Private,BONDS,organisation-unspecified,28551047.11
AZ,2013,TDS,PPG,PRIVATE,Private,COMMERCIAL BANKS,organisation-unspecified,149752075.6
AZ,2013,TDS,PPG,PRIVATE,Private,OTHER PRIVATE,organisation-unspecified,34886760.21
AZ,2013,TDS,PNG,Private,Private,BONDS,organisation-unspecified,0
AZ,2013,TDS,PNG,Private,Private,COMMERCIAL BANKS,organisation-unspecified,1821359830
BA,2013,DIS,PPG,Official,Bilateral,Concessional,organisation-unspecified,64512084.31
BA,2013,DIS,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
BA,2013,DIS,PPG,Official,Multilateral,Concessional,IDA,25147978.73
BA,2013,DIS,PPG,Official,Multilateral,Concessional,Other,2562420.933
BA,2013,DIS,PPG,Official,Multilateral,Non-concessional,IBRD,11308331.47
BA,2013,DIS,PPG,Official,Multilateral,Non-concessional,Other,566866717.3
BA,2013,DIS,PPG,Private,Private,Bonds,organisation-unspecified,0
BA,2013,DIS,PPG,Private,Private,Commercial Banks,organisation-unspecified,18918367.69
BA,2013,DIS,PPG,Private,Private,Other Private,organisation-unspecified,0
BA,2013,DIS,PNG,Private,Private,Bonds,organisation-unspecified,0
BA,2013,DIS,PNG,Private,Private,Commercial Banks,organisation-unspecified,91044778.58
BA,2013,INT,PPG,Official,Bilateral,Concessional,organisation-unspecified,11270790.77
BA,2013,INT,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,4215284.33
BA,2013,INT,PPG,Official,Multilateral,Concessional,IDA,9531047.47
BA,2013,INT,PPG,Official,Multilateral,Concessional,Other,1422256.24
BA,2013,INT,PPG,Official,Multilateral,Non-concessional,IBRD,7120934.521
BA,2013,INT,PPG,Official,Multilateral,Non-concessional,Other,23314919.97
BA,2013,INT,PPG,Private,Private,Bonds,organisation-unspecified,2538823.921
BA,2013,INT,PPG,Private,Private,Commercial Banks,organisation-unspecified,2625703.827
BA,2013,INT,PPG,Private,Private,Other Private,organisation-unspecified,0
BA,2013,INT,PNG,Private,Private,Bonds,organisation-unspecified,0
BA,2013,INT,PNG,Private,Private,Commercial Banks,organisation-unspecified,128443896.6
BA,2013,TDS,PPG,OFFICIAL,BILATERAL,CONCESSIONAL,organisation-unspecified,31642519.85
BA,2013,TDS,PPG,OFFICIAL,BILATERAL,NON-CONCESSIONAL,organisation-unspecified,7880329.255
BA,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,IDA,37165293.14
BA,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,OTHER,10707680.27
BA,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,IBRD,33019727.25
BA,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,OTHER,102179350.2
BA,2013,TDS,PPG,PRIVATE,Private,BONDS,organisation-unspecified,29327867.54
BA,2013,TDS,PPG,PRIVATE,Private,COMMERCIAL BANKS,organisation-unspecified,25081478.06
BA,2013,TDS,PPG,PRIVATE,Private,OTHER PRIVATE,organisation-unspecified,0
BA,2013,TDS,PNG,Private,Private,BONDS,organisation-unspecified,0
BA,2013,TDS,PNG,Private,Private,COMMERCIAL BANKS,organisation-unspecified,630850014.1
BD,2013,DIS,PPG,Official,Bilateral,Concessional,organisation-unspecified,1741104603
BD,2013,DIS,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
BD,2013,DIS,PPG,Official,Multilateral,Concessional,IDA,725114083.4
BD,2013,DIS,PPG,Official,Multilateral,Concessional,Other,598378586.9
BD,2013,DIS,PPG,Official,Multilateral,Non-concessional,IBRD,0
BD,2013,DIS,PPG,Official,Multilateral,Non-concessional,Other,327126016.9
BD,2013,DIS,PPG,Private,Private,Bonds,organisation-unspecified,0
BD,2013,DIS,PPG,Private,Private,Commercial Banks,organisation-unspecified,0
BD,2013,DIS,PPG,Private,Private,Other Private,organisation-unspecified,0
BD,2013,DIS,PNG,Private,Private,Bonds,organisation-unspecified,0
BD,2013,DIS,PNG,Private,Private,Commercial Banks,organisation-unspecified,0
BD,2013,INT,PPG,Official,Bilateral,Concessional,organisation-unspecified,76255712.38
BD,2013,INT,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
BD,2013,INT,PPG,Official,Multilateral,Concessional,IDA,89336499.14
BD,2013,INT,PPG,Official,Multilateral,Concessional,Other,77460988.13
BD,2013,INT,PPG,Official,Multilateral,Non-concessional,IBRD,0
BD,2013,INT,PPG,Official,Multilateral,Non-concessional,Other,27902885.45
BD,2013,INT,PPG,Private,Private,Bonds,organisation-unspecified,0
BD,2013,INT,PPG,Private,Private,Commercial Banks,organisation-unspecified,0
BD,2013,INT,PPG,Private,Private,Other Private,organisation-unspecified,630567.6134
BD,2013,INT,PNG,Private,Private,Bonds,organisation-unspecified,0
BD,2013,INT,PNG,Private,Private,Commercial Banks,organisation-unspecified,0
BD,2013,TDS,PPG,OFFICIAL,BILATERAL,CONCESSIONAL,organisation-unspecified,472807545.7
BD,2013,TDS,PPG,OFFICIAL,BILATERAL,NON-CONCESSIONAL,organisation-unspecified,1728421.278
BD,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,IDA,388160020.4
BD,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,OTHER,381188327.4
BD,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,IBRD,0
BD,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,OTHER,348788753.6
BD,2013,TDS,PPG,PRIVATE,Private,BONDS,organisation-unspecified,0
BD,2013,TDS,PPG,PRIVATE,Private,COMMERCIAL BANKS,organisation-unspecified,0
BD,2013,TDS,PPG,PRIVATE,Private,OTHER PRIVATE,organisation-unspecified,2439555.451
BD,2013,TDS,PNG,Private,Private,BONDS,organisation-unspecified,0
BD,2013,TDS,PNG,Private,Private,COMMERCIAL BANKS,organisation-unspecified,0
BF,2013,DIS,PPG,Official,Bilateral,Concessional,organisation-unspecified,6747429.232
BF,2013,DIS,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
BF,2013,DIS,PPG,Official,Multilateral,Concessional,IDA,29528512.26
BF,2013,DIS,PPG,Official,Multilateral,Concessional,Other,24287741.93
BF,2013,DIS,PPG,Official,Multilateral,Non-concessional,IBRD,0
BF,2013,DIS,PPG,Official,Multilateral,Non-concessional,Other,0
BF,2013,DIS,PPG,Private,Private,Bonds,organisation-unspecified,0
BF,2013,DIS,PPG,Private,Private,Commercial Banks,organisation-unspecified,0
BF,2013,DIS,PPG,Private,Private,Other Private,organisation-unspecified,0
BF,2013,DIS,PNG,Private,Private,Bonds,organisation-unspecified,0
BF,2013,DIS,PNG,Private,Private,Commercial Banks,organisation-unspecified,0
BF,2013,INT,PPG,Official,Bilateral,Concessional,organisation-unspecified,4973476.028
BF,2013,INT,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
BF,2013,INT,PPG,Official,Multilateral,Concessional,IDA,6755438.05
BF,2013,INT,PPG,Official,Multilateral,Concessional,Other,10631706
BF,2013,INT,PPG,Official,Multilateral,Non-concessional,IBRD,0
BF,2013,INT,PPG,Official,Multilateral,Non-concessional,Other,6006.61356
BF,2013,INT,PPG,Private,Private,Bonds,organisation-unspecified,0
BF,2013,INT,PPG,Private,Private,Commercial Banks,organisation-unspecified,0
BF,2013,INT,PPG,Private,Private,Other Private,organisation-unspecified,103113.5328
BF,2013,INT,PNG,Private,Private,Bonds,organisation-unspecified,0
BF,2013,INT,PNG,Private,Private,Commercial Banks,organisation-unspecified,0
BF,2013,TDS,PPG,OFFICIAL,BILATERAL,CONCESSIONAL,organisation-unspecified,22698992.64
BF,2013,TDS,PPG,OFFICIAL,BILATERAL,NON-CONCESSIONAL,organisation-unspecified,0
BF,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,IDA,12182413.4
BF,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,OTHER,33267629.2
BF,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,IBRD,0
BF,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,OTHER,172189.5887
BF,2013,TDS,PPG,PRIVATE,Private,BONDS,organisation-unspecified,0
BF,2013,TDS,PPG,PRIVATE,Private,COMMERCIAL BANKS,organisation-unspecified,0
BF,2013,TDS,PPG,PRIVATE,Private,OTHER PRIVATE,organisation-unspecified,2562821.786
BF,2013,TDS,PNG,Private,Private,BONDS,organisation-unspecified,0
BF,2013,TDS,PNG,Private,Private,COMMERCIAL BANKS,organisation-unspecified,0
BG,2013,DIS,PPG,Official,Bilateral,Concessional,organisation-unspecified,98635.2146
BG,2013,DIS,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
BG,2013,DIS,PPG,Official,Multilateral,Concessional,IDA,0
BG,2013,DIS,PPG,Official,Multilateral,Concessional,Other,0
BG,2013,DIS,PPG,Official,Multilateral,Non-concessional,IBRD,38903372.56
BG,2013,DIS,PPG,Official,Multilateral,Non-concessional,Other,351783520.3
BG,2013,DIS,PPG,Private,Private,Bonds,organisation-unspecified,400115802.9
BG,2013,DIS,PPG,Private,Private,Commercial Banks,organisation-unspecified,0
BG,2013,DIS,PPG,Private,Private,Other Private,organisation-unspecified,0
BG,2013,DIS,PNG,Private,Private,Bonds,organisation-unspecified,553769945.7
BG,2013,DIS,PNG,Private,Private,Commercial Banks,organisation-unspecified,4826985473
BG,2013,INT,PPG,Official,Bilateral,Concessional,organisation-unspecified,14496294.2
BG,2013,INT,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,1059301.107
BG,2013,INT,PPG,Official,Multilateral,Concessional,IDA,0
BG,2013,INT,PPG,Official,Multilateral,Concessional,Other,1211363.729
BG,2013,INT,PPG,Official,Multilateral,Non-concessional,IBRD,5922222.677
BG,2013,INT,PPG,Official,Multilateral,Non-concessional,Other,47954180.95
BG,2013,INT,PPG,Private,Private,Bonds,organisation-unspecified,144786220.5
BG,2013,INT,PPG,Private,Private,Commercial Banks,organisation-unspecified,109937.1663
BG,2013,INT,PPG,Private,Private,Other Private,organisation-unspecified,31850.95471
BG,2013,INT,PNG,Private,Private,Bonds,organisation-unspecified,12713668.18
BG,2013,INT,PNG,Private,Private,Commercial Banks,organisation-unspecified,632423309.8
BG,2013,TDS,PPG,OFFICIAL,BILATERAL,CONCESSIONAL,organisation-unspecified,82626513.78
BG,2013,TDS,PPG,OFFICIAL,BILATERAL,NON-CONCESSIONAL,organisation-unspecified,3819032.215
BG,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,IDA,0
BG,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,OTHER,24226247.14
BG,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,IBRD,105011570.2
BG,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,OTHER,131605062.5
BG,2013,TDS,PPG,PRIVATE,Private,BONDS,organisation-unspecified,446758957.5
BG,2013,TDS,PPG,PRIVATE,Private,COMMERCIAL BANKS,organisation-unspecified,109937.1663
