id,year,in-oof-gross,capital-repayment,interest-repayment
TC,2001,2050000,60000,330000
west-indies,2001,490000,8890000,1520000
north-central-america,2001,51610000,35840000,26610000
AR,2001,4870990000,2609590000,2255820000
BO,2001,65360000,218530000,73390000
BR,2001,7597390000,3866280000,2835030000
CL,2001,703780000,607560000,220440000
CO,2001,1956280000,952790000,668840000
EC,2001,448600000,315200000,257380000
FK,2001,0,0,0
GY,2001,410000,20810000,5910000
PY,2001,151220000,74310000,73980000
PE,2001,1212460000,589520000,742260000
SR,2001,270000,1220000,6240000
UY,2001,473490000,246850000,214960000
VE,2001,858450000,938990000,448900000
south-america,2001,153500000,67030000,75850000
america,2001,21690000,3710000,90000
BN,2001,0,0,0
KH,2001,730000,0,0
CN,2001,6261190000,3983100000,2289890000
KP,2001,51240000,0,0
ID,2001,3656970000,4178050000,2595390000
KR,2001,0,0,0
LA,2001,2060000,1240000,550000
MY,2001,1286180000,708250000,164470000
MN,2001,160000,0,0
PH,2001,1640910000,1709960000,693070000
SG,2001,0,0,0
TH,2001,1301890000,2418290000,634410000
TL,2001,700000,0,0
VN,2001,43040000,107860000,29500000
east-asia,2001,0,0,0
AF,2001,0,0,0
AM,2001,12680000,15960000,9910000
AZ,2001,81110000,94760000,43200000
BD,2001,236700000,238090000,12580000
BT,2001,0,260000,0
GE,2001,83110000,15140000,18250000
IN,2001,1762600000,2175260000,1128570000
KZ,2001,473590000,278610000,160120000
KG,2001,5310000,51880000,20590000
MV,2001,2290000,7750000,1620000
MM,2001,720000,34400000,0
NP,2001,5180000,9750000,13440000
PK,2001,800990000,865570000,597970000
LK,2001,39060000,30980000,21620000
TJ,2001,850000,1970000,1160000
TM,2001,129130000,48580000,7420000
UZ,2001,453570000,122980000,56520000
central-asia,2001,0,0,0
south-asia,2001,0,0,0
south-central-asia,2001,0,180000,180000
BH,2001,-2550000,530000,0
IR,2001,1390960000,680010000,77390000
IQ,2001,62890000,0,0
IL,2001,0,0,0
JO,2001,266920000,157880000,110860000
KW,2001,0,0,0
LB,2001,120660000,111220000,71760000
OM,2001,24890000,39100000,3870000
QA,2001,0,0,0
SA,2001,186450000,90900000,0
SY,2001,160000,38650000,128880000
AE,2001,0,0,0
PS,2001,3390000,4310000,7960000
YE,2001,0,5420000,1130000
middle-east,2001,0,0,0
asia,2001,37120000,6370000,170000
CK,2001,0,470000,0
FJ,2001,8200000,12860000,6060000
PF,2001,0,0,0
KI,2001,0,0,0
MH,2001,3220000,0,0
FM,2001,60000,50000,0
NR,2001,0,0,110000
NC,2001,0,0,0
MP,2001,0,0,0
PW,2001,0,2050000,0
PG,2001,240630000,103030000,42250000
WS,2001,150000,0,30000
SB,2001,610000,80000,0
TO,2001,150000,0,0
TV,2001,0,0,0
VU,2001,120000,1780000,280000
WF,2001,3340000,4770000,0
oceania,2001,0,6520000,0
bilateral-unspecified,2001,590190000,851900000,103200000
AL,2002,33030000,13550000,5950000
BY,2002,0,0,0
BA,2002,100520000,72770000,50580000
HR,2002,594050000,313410000,85490000
CY,2002,0,0,0
MK,2002,39170000,113350000,32170000
GI,2002,0,0,0
XK,2002,0,0,0
MT,2002,0,46030000,19230000
MD,2002,70400000,34970000,22360000
ME,2002,0,0,15780000
RS,2002,1470710000,723090000,376350000
SI,2002,531890000,139440000,55120000
ex-yugoslavia,2002,85430000,188010000,12250000
TR,2002,2587150000,1248070000,541890000
UA,2002,0,0,0
europe,2002,86080000,1900000,2360000
DZ,2002,858790000,1202800000,708780000
EG,2002,658650000,516300000,251890000
LY,2002,0,0,0
MA,2002,1062630000,1325010000,504940000
TN,2002,964530000,689870000,337740000
north-of-sahara,2002,0,0,0
AO,2002,79400000,25390000,8180000
BJ,2002,7610000,5500000,1030000
BW,2002,0,24940000,10210000
BF,2002,0,18100000,820000
BI,2002,0,0,0
CV,2002,0,490000,100000
CM,2002,636900000,367490000,64440000
CF,2002,0,920000,50000
TD,2002,13300000,2700000,880000
KM,2002,0,890000,0
CG,2002,19300000,66000000,12660000
CI,2002,686140000,503170000,203010000
CD,2002,10640000,139020000,109180000
DJ,2002,0,0,0
GQ,2002,0,1660000,120000
ER,2002,50000,0,0
ET,2002,14340000,99510000,18790000
GA,2002,76450000,76180000,40410000
GM,2002,120000,3370000,360000
GH,2002,45000000,84440000,25230000
GN,2002,2270000,36700000,11630000
GW,2002,6680000,2850000,40000
KE,2002,57110000,99440000,20700000
LS,2002,5240000,47520000,10600000
LR,2002,0,1060000,470000
MG,2002,5550000,18520000,2880000
MW,2002,5240000,11090000,3230000
ML,2002,9650000,13780000,650000
MR,2002,58300000,66620000,6460000
MU,2002,148090000,42660000,5770000
YT,2002,8310000,12760000,0
MZ,2002,464980000,765610000,71730000
NA,2002,3300000,2360000,2170000
NE,2002,3630000,159670000,-170000
NG,2002,5048970000,594040000,246860000
RW,2002,1760000,190000,420000
ST,2002,0,0,3250000
SN,2002,72590000,39390000,17420000
SC,2002,0,3570000,710000
SL,2002,57700000,34020000,90000
SO,2002,0,0,0
ZA,2002,427610000,502840000,97330000
SS,2002,0,0,0
SD,2002,30000,0,0
SZ,2002,20640000,12580000,13220000
TZ,2002,51150000,232680000,5120000
TG,2002,1980000,2110000,360000
UG,2002,30000,50450000,5100000
ZM,2002,13740000,105390000,22710000
ZW,2002,860000,34100000,10980000
south-of-sahara,2002,6170000,2130000,2310000
africa,2002,167440000,126090000,6020000
AI,2002,7850000,990000,930000
AG,2002,1780000,4870000,410000
AW,2002,0,0,0
BS,2002,0,0,0
BB,2002,31490000,21060000,20740000
BZ,2002,40930000,28600000,14190000
BM,2002,0,0,0
KY,2002,0,0,0
CR,2002,123400000,158750000,90760000
CU,2002,18120000,66480000,3010000
DM,2002,37700000,4030000,3210000
DO,2002,490490000,211360000,118750000
SV,2002,316720000,134300000,123940000
GD,2002,9560000,4280000,3400000
GT,2002,412570000,147370000,121860000
HT,2002,0,1590000,160000
HN,2002,13600000,90290000,44870000
JM,2002,386470000,182970000,111320000
MX,2002,4894700000,4216660000,1916940000
MS,2002,0,2980000,240000
NI,2002,4800000,21170000,7380000
PA,2002,262420000,177380000,116550000
KN,2002,36300000,3780000,3980000
LC,2002,27560000,13710000,5640000
VC,2002,8530000,3530000,2790000
TT,2002,139680000,182060000,79320000
TC,2002,2350000,530000,500000
west-indies,2002,3300000,1770000,640000
north-central-america,2002,87490000,44550000,26470000
AR,2002,1400410000,4095030000,1652930000
BO,2002,37610000,138680000,54470000
BR,2002,7278860000,5070760000,2392620000
CL,2002,406660000,935180000,152520000
CO,2002,1308240000,1404500000,583470000
EC,2002,697080000,589880000,233440000
FK,2002,0,0,0
GY,2002,9120000,14990000,6020000
PY,2002,118110000,75550000,67810000
PE,2002,848680000,830180000,597160000
SR,2002,1230000,1590000,2900000
UY,2002,1212630000,250800000,187600000
VE,2002,677650000,929530000,372260000
south-america,2002,98100000,82260000,54870000
america,2002,15610000,5900000,1890000
BN,2002,0,0,0
KH,2002,5500000,0,30000
CN,2002,5147290000,7402920000,1958510000
KP,2002,8930000,53810000,10730000
ID,2002,3370030000,5200550000,2338110000
KR,2002,0,0,0
LA,2002,2230000,1290000,710000
MY,2002,1143120000,772250000,151870000
MN,2002,4140000,0,0
PH,2002,1440640000,1930210000,639350000
SG,2002,0,0,0
TH,2002,683520000,5380640000,578640000
TL,2002,34820000,0,1270000
VN,2002,154340000,132660000,16270000
east-asia,2002,24850000,470000,2170000
AF,2002,0,0,0
AM,2002,13740000,12890000,6580000
AZ,2002,162600000,127350000,24920000
BD,2002,55150000,57120000,11180000
BT,2002,22350000,240000,80000
GE,2002,65100000,54610000,15560000
IN,2002,2499390000,3463320000,950450000
KZ,2002,568130000,319900000,142300000
KG,2002,11170000,94500000,7470000
MV,2002,0,4160000,860000
MM,2002,910000,44400000,0
NP,2002,860000,10960000,15900000
PK,2002,985270000,923080000,491330000
LK,2002,107410000,32880000,8450000
TJ,2002,410000,1220000,490000
TM,2002,112620000,64580000,6190000
UZ,2002,150970000,121890000,46350000
central-asia,2002,0,0,0
south-asia,2002,0,0,0
south-central-asia,2002,0,0,0
BH,2002,0,0,0
IR,2002,1395280000,134600000,68210000
IQ,2002,0,0,0
IL,2002,0,0,0
JO,2002,404460000,154570000,90520000
KW,2002,0,0,0
LB,2002,114360000,143260000,64050000
OM,2002,130050000,186620000,2220000
QA,2002,0,0,0
SA,2002,1370000,138070000,0
SY,2002,20060000,35580000,80310000
AE,2002,0,0,0
PS,2002,430000,49310000,2940000
YE,2002,0,960000,2120000
middle-east,2002,0,0,0
asia,2002,9590000,10960000,120000
CK,2002,0,430000,0
FJ,2002,9030000,12860000,5470000
PF,2002,0,0,0
KI,2002,240000,0,0
MH,2002,2280000,0,290000
FM,2002,430000,0,0
NR,2002,0,0,0
NC,2002,0,0,0
MP,2002,0,0,0
PW,2002,0,2300000,0
PG,2002,75560000,83830000,38670000
WS,2002,1210000,0,220000
SB,2002,540000,3040000,0
TO,2002,320000,0,0
TV,2002,0,0,0
VU,2002,780000,1260000,110000
WF,2002,3630000,4280000,0
oceania,2002,4890000,550000,0
bilateral-unspecified,2002,1848090000,442830000,79990000
AL,2003,41810000,15050000,1530000
BY,2003,0,0,0
BA,2003,118770000,87710000,46950000
HR,2003,622570000,265730000,68110000
CY,2003,0,0,0
MK,2003,69270000,62930000,31090000
GI,2003,0,0,0
XK,2003,0,0,0
MT,2003,0,0,0
MD,2003,22310000,36250000,18360000
ME,2003,0,0,11750000
RS,2003,364400000,7340000,238230000
SI,2003,0,0,0
ex-yugoslavia,2003,5270000,14750000,530000
TR,2003,1636750000,1183290000,394530000
UA,2003,0,0,0
europe,2003,116400000,42520000,6970000
DZ,2003,784930000,1135330000,458810000
EG,2003,832050000,593130000,148470000
LY,2003,0,0,0
MA,2003,505730000,1394900000,304220000
TN,2003,772790000,612880000,234460000
north-of-sahara,2003,0,0,0
AO,2003,300000,13760000,5130000
BJ,2003,2320000,7270000,210000
BW,2003,8020000,20810000,7270000
BF,2003,7060000,13360000,720000
BI,2003,0,820000,130000
CV,2003,-200000,390000,10000
CM,2003,141210000,714950000,46520000
CF,2003,0,130000,30000
TD,2003,40320000,10360000,1210000
KM,2003,0,0,0
CG,2003,464360000,38880000,479610000
CI,2003,59300000,262390000,81880000
CD,2003,4614900000,2882140000,1506530000
DJ,2003,1190000,0,0
GQ,2003,0,1460000,420000
ER,2003,0,470000,190000
ET,2003,30000000,63110000,13850000
GA,2003,74260000,156380000,65670000
GM,2003,11040000,0,80000
GH,2003,82270000,75700000,28190000
GN,2003,7360000,31930000,9940000
GW,2003,-2470000,64370000,10000
KE,2003,8810000,70980000,15230000
LS,2003,36400000,66530000,3240000
LR,2003,0,930000,280000
MG,2003,72600000,73490000,2960000
MW,2003,-290000,10330000,1820000
ML,2003,1810000,7650000,3160000
MR,2003,13070000,65330000,4350000
MU,2003,-160000,30650000,5840000
YT,2003,5200000,12940000,6900000
MZ,2003,-119210000,24630000,29270000
NA,2003,36200000,3850000,6170000
NE,2003,131300000,96410000,380000
NG,2003,1152630000,930400000,820600000
RW,2003,7450000,1620000,1710000
ST,2003,17350000,9160000,80000
SN,2003,44890000,25890000,16220000
SC,2003,0,700000,490000
SL,2003,780000,7350000,330000
SO,2003,0,0,0
ZA,2003,656290000,129410000,26810000
SS,2003,0,0,0
SD,2003,0,1280000,2250000
SZ,2003,12300000,10920000,11960000
TZ,2003,49400000,120760000,4380000
TG,2003,60000,1970000,480000
UG,2003,11650000,14850000,2740000
ZM,2003,188450000,334010000,13080000
ZW,2003,5850000,27790000,7760000
south-of-sahara,2003,6610000,21030000,5910000
africa,2003,206350000,89390000,21250000
AI,2003,1060000,670000,560000
AG,2003,3790000,660000,910000
AW,2003,0,0,0
BS,2003,0,0,0
BB,2003,55160000,21130000,19150000
BZ,2003,34010000,10460000,11310000
BM,2003,0,0,0
KY,2003,0,0,0
CR,2003,167430000,158990000,73230000
CU,2003,8230000,3110000,2720000
DM,2003,5820000,1190000,1480000
DO,2003,409900000,293580000,116380000
SV,2003,261850000,145180000,113050000
GD,2003,11740000,1470000,1960000
GT,2003,163990000,105180000,85350000
HT,2003,0,1350000,240000
HN,2003,3280000,71180000,29820000
JM,2003,198150000,179180000,101920000
MX,2003,4170610000,4026140000,1503350000
MS,2003,0,0,0
NI,2003,189550000,187840000,19770000
PA,2003,221830000,138910000,98080000
KN,2003,11030000,3830000,4080000
LC,2003,37630000,4290000,4720000
VC,2003,1740000,1360000,1570000
TT,2003,158280000,147010000,66820000
TC,2003,600000,150000,330000
west-indies,2003,1920000,1330000,500000
north-central-america,2003,-10430000,28950000,12240000
AR,2003,6267480000,7319970000,1355700000
BO,2003,145680000,133930000,49920000
BR,2003,6655460000,7363360000,1920980000
CL,2003,504300000,595830000,107680000
CO,2003,4041820000,1482350000,548630000
EC,2003,435470000,332180000,170270000
FK,2003,0,0,0
GY,2003,1810000,12280000,3470000
PY,2003,177250000,111730000,60090000
PE,2003,757040000,807670000,493300000
SR,2003,20940000,2870000,2700000
UY,2003,692220000,259860000,190100000
VE,2003,250560000,772110000,275780000
south-america,2003,101160000,106220000,58550000
america,2003,77560000,17880000,0
BN,2003,0,0,0
KH,2003,1600000,30000,200000
CN,2003,4226530000,8572890000,1406930000
KP,2003,0,0,0
ID,2003,3224270000,4439230000,1846010000
KR,2003,0,0,0
LA,2003,0,1320000,500000
MY,2003,941370000,770610000,116960000
MN,2003,-330000,0,30000
PH,2003,1120090000,1811660000,503210000
SG,2003,0,0,0
TH,2003,559420000,6969810000,303960000
TL,2003,178780000,0,0
VN,2003,510480000,92090000,16730000
east-asia,2003,0,22800000,4700000
AF,2003,790000,0,20000
AM,2003,5920000,13320000,5270000
AZ,2003,1553730000,125640000,15630000
BD,2003,70080000,63310000,10620000
BT,2003,18010000,0,360000
GE,2003,48610000,106790000,9140000
IN,2003,2486260000,7835330000,601820000
KZ,2003,712240000,436780000,123700000
KG,2003,6240000,14040000,4280000
MV,2003,33320000,2350000,1100000
MM,2003,0,42950000,600000
NP,2003,0,9710000,11470000
PK,2003,403040000,805490000,388090000
LK,2003,103780000,38240000,8080000
TJ,2003,7960000,1140000,280000
TM,2003,110620000,117540000,5690000
UZ,2003,189550000,115630000,40630000
central-asia,2003,0,0,0
south-asia,2003,0,0,0
south-central-asia,2003,0,0,0
BH,2003,30380000,0,0
IR,2003,1687240000,108090000,67760000
IQ,2003,0,0,0
IL,2003,0,0,0
JO,2003,532760000,333070000,101320000
KW,2003,0,0,0
LB,2003,875220000,98770000,47150000
OM,2003,91320000,15540000,1400000
QA,2003,0,0,0
SA,2003,0,170470000,80000
SY,2003,0,37120000,19100000
AE,2003,0,0,0
PS,2003,0,17220000,0
YE,2003,2900000,5470000,-2440000
middle-east,2003,0,10590000,710000
asia,2003,58300000,9750000,120000
CK,2003,0,0,0
FJ,2003,11730000,10350000,4380000
PF,2003,0,0,0
KI,2003,0,0,0
MH,2003,610000,0,320000
FM,2003,0,0,0
NR,2003,0,0,0
NC,2003,0,0,0
MP,2003,0,0,0
PW,2003,0,2320000,0
PG,2003,84600000,65680000,32540000
WS,2003,3720000,0,10000
SB,2003,0,0,0
TO,2003,0,0,0
TV,2003,0,0,0
VU,2003,0,860000,40000
WF,2003,1600000,4330000,1930000
oceania,2003,4850000,2060000,0
bilateral-unspecified,2003,2396290000,1383830000,11730000
AL,2004,120910000,20910000,9870000
BY,2004,0,0,0
BA,2004,159800000,97640000,36320000
HR,2004,592080000,241140000,62570000
CY,2004,0,0,0
MK,2004,111190000,63050000,15620000
GI,2004,0,0,0
XK,2004,0,0,0
MT,2004,0,0,0
MD,2004,51360000,52770000,16220000
ME,2004,0,0,25450000
RS,2004,423440000,65230000,173210000
SI,2004,0,0,0
ex-yugoslavia,2004,9880000,1570000,41390000
TR,2004,3446260000,1232130000,391490000
UA,2004,0,0,0
europe,2004,443970000,220130000,0
DZ,2004,244960000,2165940000,430100000
EG,2004,952510000,324800000,152430000
LY,2004,0,0,0
MA,2004,548330000,830410000,243810000
TN,2004,874780000,678320000,263480000
north-of-sahara,2004,0,0,0
AO,2004,290000,863670000,4450000
BJ,2004,980000,11000000,4470000
BW,2004,1960000,17160000,6040000
BF,2004,10000,2830000,740000
BI,2004,0,8870000,2090000
CV,2004,0,110000,90000
CM,2004,28270000,397960000,38580000
CF,2004,0,0,0
TD,2004,8800000,2220000,1680000
KM,2004,0,230000,0
CG,2004,0,104070000,94710000
CI,2004,23840000,121810000,44490000
CD,2004,145810000,285040000,141850000
DJ,2004,0,0,0
GQ,2004,0,1310000,290000
ER,2004,0,0,0
ET,2004,3850000,147000000,11080000
GA,2004,130800000,104660000,39290000
GM,2004,0,0,0
GH,2004,29870000,225530000,23850000
GN,2004,0,53400000,8120000
GW,2004,1970000,250000,90000
KE,2004,29470000,44530000,16160000
LS,2004,5440000,9230000,5550000
LR,2004,450300000,850000,170000
MG,2004,15420000,64900000,16170000
MW,2004,5580000,7060000,2120000
ML,2004,800000,11930000,3330000
MR,2004,33220000,13570000,6020000
MU,2004,17610000,30120000,3820000
YT,2004,0,12870000,6350000
MZ,2004,150600000,35650000,35290000
NA,2004,19560000,43970000,7090000
NE,2004,178560000,150910000,530000
NG,2004,2609520000,2423710000,975540000
RW,2004,1050000,0,760000
ST,2004,0,0,0
SN,2004,74320000,83330000,19160000
SC,2004,0,3250000,410000
SL,2004,1970000,2710000,210000
SO,2004,0,0,0
ZA,2004,580040000,224960000,95390000
SS,2004,0,0,0
SD,2004,0,5020000,3580000
SZ,2004,48560000,14740000,11790000
TZ,2004,8620000,104990000,2520000
TG,2004,12970000,1810000,540000
UG,2004,1660000,8370000,2250000
ZM,2004,108680000,60680000,14100000
ZW,2004,1520000,24550000,8110000
south-of-sahara,2004,145790000,19820000,3610000
africa,2004,222430000,194240000,21620000
AI,2004,950000,780000,520000
AG,2004,4830000,1640000,970000
AW,2004,0,0,0
BS,2004,0,0,0
BB,2004,36520000,22730000,16540000
BZ,2004,24180000,11500000,10170000
BM,2004,0,0,0
KY,2004,0,0,0
CR,2004,153160000,161730000,62360000
CU,2004,5280000,840000,2660000
DM,2004,6430000,7140000,1570000
