country-id,year,population-urban
NGA,2008,72.127
NGA,2009,75.128
NGA,2010,78.258
NGA,2011,81.465
NGA,2012,84.804
NIC,2005,3.051
NIC,2006,3.105
NIC,2007,3.159
NIC,2008,3.215
NIC,2009,3.273
NIC,2010,3.333
NIC,2011,3.399
NIC,2012,3.467
NPL,2005,3.823
NPL,2006,3.953
NPL,2007,4.082
NPL,2008,4.21
NPL,2009,4.339
NPL,2010,4.471
NPL,2011,4.615
NPL,2012,4.763
PAK,2005,54.47
PAK,2006,55.933
PAK,2007,57.443
PAK,2008,58.99
PAK,2009,60.557
PAK,2010,62.129
PAK,2011,63.8
PAK,2012,65.482
PAN,2005,2.381
PAN,2006,2.452
PAN,2007,2.524
PAN,2008,2.596
PAN,2009,2.67
PAN,2010,2.744
PAN,2011,2.813
PAN,2012,2.881
PER,2005,20.802
PER,2006,21.138
PER,2007,21.469
PER,2008,21.801
PER,2009,22.145
PER,2010,22.506
PER,2011,22.876
PER,2012,23.264
PHL,2005,41.223
PHL,2006,42.072
PHL,2007,42.908
PHL,2008,43.742
PHL,2009,44.588
PHL,2010,45.459
PHL,2011,46.467
PHL,2012,47.505
PLW,2005,0.015
PLW,2006,0.016
PLW,2007,0.016
PLW,2008,0.016
PLW,2009,0.017
PLW,2010,0.017
PLW,2011,0.017
PLW,2012,0.018
PNG,2005,0.766
PNG,2006,0.783
PNG,2007,0.801
PNG,2008,0.818
PNG,2009,0.835
PNG,2010,0.853
PNG,2011,0.877
PNG,2012,0.901
PRK,2005,14.242
PRK,2006,14.355
PRK,2007,14.459
PRK,2008,14.558
PRK,2009,14.655
PRK,2010,14.752
PRK,2011,14.863
PRK,2012,14.975
PRY,2005,3.452
PRY,2006,3.552
PRY,2007,3.652
PRY,2008,3.755
PRY,2009,3.859
PRY,2010,3.965
PRY,2011,4.069
PRY,2012,4.175
RWA,2005,1.654
RWA,2006,1.719
RWA,2007,1.792
RWA,2008,1.871
RWA,2009,1.954
RWA,2010,2.038
RWA,2011,2.131
RWA,2012,2.226
SDN,2005,10.348
SDN,2006,10.634
SDN,2007,10.925
SDN,2008,11.218
SDN,2009,11.508
SDN,2010,11.795
SDN,2011,12.108
SDN,2012,12.418
SEN,2005,4.635
SEN,2006,4.789
SEN,2007,4.949
SEN,2008,5.116
SEN,2009,5.29
SEN,2010,5.472
SEN,2011,5.674
SEN,2012,5.884
SLB,2005,0.084
SLB,2006,0.088
SLB,2007,0.092
SLB,2008,0.096
SLB,2009,0.101
SLB,2010,0.105
SLB,2011,0.11
SLB,2012,0.115
SLE,2005,1.908
SLE,2006,1.985
SLE,2007,2.053
SLE,2008,2.115
SLE,2009,2.175
SLE,2010,2.236
SLE,2011,2.303
SLE,2012,2.37
SLV,2005,3.744
SLV,2006,3.791
SLV,2007,3.839
SLV,2008,3.89
SLV,2009,3.942
