id,year,value,budget-type
CD,2016,142.4485338072,proj
CD,2017,154.8116887442,proj
CD,2018,170.8754332428,proj
CD,2019,193.8330835737,proj
CD,2020,213.6384689885,proj
CF,2000,,actual
CF,2001,47.31886267,actual
CF,2002,57.976836756,actual
CF,2003,43.8845413171,actual
CF,2004,47.2862857,actual
CF,2005,62.1309777117,actual
CF,2006,56.1570190807,actual
CF,2007,55.7785893439,actual
CF,2008,79.0307700948,actual
CF,2009,84.5879968984,actual
CF,2010,102.1158080399,actual
CF,2011,90.943830269,actual
CF,2012,101.8993276217,actual
CF,2013,66.0454358678,actual
CF,2014,91.4513732638,proj
CF,2015,107.932992979,proj
CF,2016,,proj
CF,2017,,proj
CF,2018,,proj
CF,2019,,proj
CF,2020,,proj
CG,2000,944.8052276546,actual
CG,2001,875.0352520745,actual
CG,2002,966.1231290373,actual
CG,2003,730.5347275928,actual
CG,2004,897.5102997531,actual
CG,2005,1200.1483587204,actual
CG,2006,2054.0889035703,actual
CG,2007,2137.1139636842,actual
CG,2008,2782.6817850665,actual
CG,2009,1910.5333461952,actual
CG,2010,2556.06652773,actual
CG,2011,3826.6010161027,actual
CG,2012,5229.1689036143,actual
CG,2013,4837.3324393707,actual
CG,2014,4697.8478581429,actual
CG,2015,2797.0989801121,proj
CG,2016,2751.884358164,proj
CG,2017,3079.2288599274,proj
CG,2018,3076.587220479,proj
CG,2019,3231.7018082319,proj
CG,2020,3061.9653875153,proj
CH,2000,13908.3678003054,actual
CH,2001,14699.7667551406,actual
CH,2002,15127.3852772311,actual
CH,2003,15659.2488184744,actual
CH,2004,15926.1301982726,actual
CH,2005,16221.3877466181,actual
CH,2006,16551.4573412888,actual
CH,2007,17245.6317465483,actual
CH,2008,18464.0517652069,actual
CH,2009,19025.7081724731,actual
CH,2010,19308.4583846086,actual
CH,2011,19804.2398673513,actual
CH,2012,19734.8325831732,actual
CH,2013,20054.83027544,actual
CH,2014,19893.070076396,proj
CH,2015,19339.9795244903,proj
CH,2016,19506.121458,proj
CH,2017,19650.5809689121,proj
CH,2018,19919.5236284488,proj
CH,2019,20380.1982837577,proj
CH,2020,20896.6349266076,proj
CH,2021,21357.347529608,proj
CI,2000,,actual
CI,2001,,actual
CI,2002,,actual
CI,2003,,actual
CI,2004,284.4145784348,actual
CI,2005,292.8413258076,actual
CI,2006,320.1967862604,actual
CI,2007,330.5903716019,actual
CI,2008,396.4739389283,actual
CI,2009,410.9476907476,actual
CI,2010,460.0388980089,actual
CI,2011,406.9142131748,actual
CI,2012,561.7564170731,actual
CI,2013,627.7651802017,actual
CI,2014,669.0721372437,actual
CI,2015,808.2804376593,actual
CI,2016,931.1784459167,proj
CI,2017,1004.2933244028,proj
CI,2018,1090.5992366553,proj
CI,2019,1203.9817171893,proj
CI,2020,1302.3669038468,proj
CL,2000,810.2100229921,actual
CL,2001,897.3179814508,actual
CL,2002,931.8807566815,actual
CL,2003,1006.7552848502,actual
CL,2004,1163.3295076814,actual
CL,2005,1344.0855929501,actual
CL,2006,1667.5143864482,actual
CL,2007,1980.0506483346,actual
CL,2008,2334.5365354879,actual
CL,2009,2845.1221365714,actual
CL,2010,3288.0984147434,actual
CL,2011,3590.3575526643,actual
CL,2012,3865.3742211435,actual
CL,2013,4114.0716157033,actual
CL,2014,4767.0692904678,actual
CL,2015,5472.1976477409,proj
CL,2016,5717.121769293,proj
CL,2017,,proj
CL,2018,,proj
CL,2019,,proj
CL,2020,,proj
CM,2000,,actual
CM,2001,,actual
CM,2002,238.4448710913,actual
CM,2003,242.9904727155,actual
CM,2004,249.4539712148,actual
CM,2005,235.0636318926,actual
CM,2006,258.2275453337,actual
CM,2007,287.8345046019,actual
CM,2008,367.9505888102,actual
CM,2009,363.847303205,actual
CM,2010,389.921949397,actual
CM,2011,493.2888886064,actual
CM,2012,502.8572837269,actual
CM,2013,608.6941867014,actual
