country-id,year,long-debt-usd-2012,,,,,,,,
 CI ,2007,84795829,,,,,,,,
 CI ,2008,259910888,,,,,,,,
 CI ,2009,327885165,,,,,,,,
 CI ,2010,391582084,,,,,,,,
 CI ,2011,407622440,,,,,,,,
 CI ,2012,833080000,,,,,,,,
 CM ,2000,69587177,,,,,,,,
 CM ,2001,,,,,,,,,
 CM ,2002,,,,,,,,,
 CM ,2003,16677991,,,,,,,,
 CM ,2004,92073970,,,,,,,,
 CM ,2005,118257592,,,,,,,,
 CM ,2006,46759075,,,,,,,,
 CM ,2007,85259196,,,,,,,,
 CM ,2008,256832135,,,,,,,,
 CM ,2009,220140120,,,,,,,,
 CM ,2010,287058105,,,,,,,,
 CM ,2011,4412272,,,,,,,,
 CM ,2012,563763683,,,,,,,,
 CN ,2000,40935256288,,,,,,,,
 CN ,2001,20695302660,,,,,,,,
 CN ,2002,33118748313,,,,,,,,
 CN ,2003,46541657149,,,,,,,,
 CN ,2004,39055972995,,,,,,,,
 CN ,2005,47469157654,,,,,,,,
 CN ,2006,39165081582,,,,,,,,
 CN ,2007,50709439547,,,,,,,,
 CN ,2008,43993216265,,,,,,,,
 CN ,2009,25806485722,,,,,,,,
 CN ,2010,44902814865,,,,,,,,
 CN ,2011,44999290008,,,,,,,,
 CN ,2012,40638325953,,,,,,,,
 CO ,2000,7022894192,,,,,,,,
 CO ,2001,13881793816,,,,,,,,
 CO ,2002,7855751132,,,,,,,,
 CO ,2003,17691480783,,,,,,,,
 CO ,2004,9599494820,,,,,,,,
 CO ,2005,11853511421,,,,,,,,
 CO ,2006,15644352558,,,,,,,,
 CO ,2007,10581683976,,,,,,,,
 CO ,2008,9139253905,,,,,,,,
 CO ,2009,14689223980,,,,,,,,
 CO ,2010,12410721784,,,,,,,,
 CO ,2011,17312178468,,,,,,,,
 CO ,2012,17196726298,,,,,,,,
 CR ,2000,1282088595,,,,,,,,
 CR ,2001,737675483,,,,,,,,
 CR ,2002,284788708,,,,,,,,
 CR ,2003,1623647779,,,,,,,,
 CR ,2004,1378879275,,,,,,,,
 CR ,2005,1502691324,,,,,,,,
 CR ,2006,728547967,,,,,,,,
 CR ,2007,896882985,,,,,,,,
 CR ,2008,1569961151,,,,,,,,
 CR ,2009,1780038382,,,,,,,,
 CR ,2010,1659316834,,,,,,,,
 CR ,2011,1683991914,,,,,,,,
