country,year,fdi-usd-2012
BH,2011,789425596
BH,2012,891223404
BI,2000,21590364
BI,2001,17058
BI,2002,
BI,2003,10085
BI,2004,86885
BI,2005,971873
BI,2006,48573
BI,2007,746860
BI,2008,5050315
BI,2009,432728
BI,2010,889679
BI,2011,3414500
BI,2012,604917
BJ,2000,119258004
BJ,2001,87929942
BJ,2002,25121961
BJ,2003,68332741
BJ,2004,88365196
BJ,2005,70157944
BJ,2006,67687405
BJ,2007,290167855
BJ,2008,167745784
BJ,2009,137458811
BJ,2010,186504034
BJ,2011,157934854
BJ,2012,158589230
BM,2000,
BM,2001,
BM,2002,
BM,2003,
BM,2004,
BM,2005,
BM,2006,
BM,2007,
BM,2008,
BM,2009,
BM,2010,
BM,2011,
BM,2012,
BN,2000,1298646480
BN,2001,1369286362
BN,2002,2681930127
BN,2003,7832575471
BN,2004,408779030
BN,2005,477199580
BN,2006,620612496
BN,2007,348945821
BN,2008,368801895
BN,2009,547562351
BN,2010,821136894
BN,2011,1215523404
BN,2012,850000000
BO,2000,1483353561
BO,2001,1486348372
BO,2002,1504182629
BO,2003,441020583
BO,2004,183206778
BO,2005,-591284251
BO,2006,502458072
BO,2007,597268335
BO,2008,698239736
BO,2009,572687410
BO,2010,799967484
BO,2011,922000059
BO,2012,1059965390
BQ,2000,
BQ,2001,
BQ,2002,
BQ,2003,
BQ,2004,
BQ,2005,
BQ,2006,
BQ,2007,
BQ,2008,
BQ,2009,
BQ,2010,
BQ,2011,
BQ,2012,
BR,2000,77197459531
BR,2001,62339348701
BR,2002,51773449556
BR,2003,29332182881
BR,2004,46164948649
BR,2005,29753847356
BR,2006,31290564348
BR,2007,48611176072
BR,2008,55057707037
BR,2009,32211563040
BR,2010,49020196056
BR,2011,59929821603
BR,2012,65271851649
BS,2000,
BS,2001,
BS,2002,
BS,2003,
BS,2004,
BS,2005,
BS,2006,
BS,2007,
BS,2008,
BS,2009,
BS,2010,
BS,2011,
BS,2012,
BT,2000,
BT,2001,
BT,2002,4170815
BT,2003,5744145
BT,2004,13996351
BT,2005,9100194
BT,2006,97399294
BT,2007,4021423
BT,2008,8360405
BT,2009,21276147
BT,2010,31698212
BT,2011,11158079
BT,2012,15914029
BW,2000,88181217
BW,2001,49923939
BW,2002,703914075
BW,2003,552311289
BW,2004,446043297
BW,2005,297183230
BW,2006,552539862
BW,2007,567270077
BW,2008,606640185
BW,2009,152453186
BW,2010,-5807651
BW,2011,373461429
BW,2012,292522015
BY,2000,331063472
BY,2001,235727817
BY,2002,540664647
BY,2003,329254093
BY,2004,269453531
BY,2005,422701157
BY,2006,442563822
BY,2007,1987400141
BY,2008,1977597741
BY,2009,2096986794
BY,2010,1495010378
BY,2011,4189843870
BY,2012,1441800000
BZ,2000,35573515
BZ,2001,73754907
BZ,2002,30273419
BZ,2003,51150331
BZ,2004,141947598
BZ,2005,181281922
BZ,2006,130569768
BZ,2007,160637992
BZ,2008,188315242
BZ,2009,121385222
BZ,2010,105692791
BZ,2011,100043985
BZ,2012,197899500
CA,2000,1.31E+11
CA,2001,55515243089
CA,2002,44535382530
CA,2003,12979798251
CA,2004,-694654380
CA,2005,36185291278
CA,2006,77399510971
CA,2007,1.38E+11
CA,2008,69837200794
CA,2009,27927388196
CA,2010,31476157808
CA,2011,41651714267
CA,2012,45374844373
CD,2000,57380873
CD,2001,146256569
CD,2002,247926632
CD,2003,707013367
CD,2004,683124395
CD,2005,408901501
CD,2006,345839412
CD,2007,2263204695
CD,2008,1972914542
CD,2009,821705819
CD,2010,3441039590
CD,2011,1812493499
CD,2012,3312142743
CF,2000,1753910
CF,2001,10129611
CF,2002,10300868
CF,2003,16668786
CF,2004,20187056
CF,2005,13007970
CF,2006,42811879
CF,2007,63074490
CF,2008,113628969
CF,2009,41787492
CF,2010,62529854
CF,2011,35048268
CF,2012,71176400
CG,2000,407422221
CG,2001,214544922
CG,2002,379870987
CG,2003,812745634
CG,2004,1009737267
CG,2005,2388740876
CG,2006,2610208713
CG,2007,2795002165
CG,2008,2311018497
CG,2009,2267764777
CG,2010,2341772780
CG,2011,2789721316
CG,2012,2757934448
CH,2000,38902823296
CH,2001,17661047226
CH,2002,11481509750
CH,2003,25868361776
CH,2004,1338948521
CH,2005,-1366181742
CH,2006,61795184863
CH,2007,42819989344
CH,2008,17779411853
CH,2009,33675270683
CH,2010,36375551966
CH,2011,11194219928
CH,2012,3612975607
CI,2000,475728776
CI,2001,547261421
CI,2002,384481633
CI,2003,246314422
CI,2004,380126137
CI,2005,403754993
CI,2006,392050454
CI,2007,467411823
CI,2008,421667440
CI,2009,386421815
CI,2010,348547689
CI,2011,267134499
CI,2012,478400215
CK,2000,
CK,2001,
CK,2002,
CK,2003,
CK,2004,
CK,2005,
CK,2006,
CK,2007,
CK,2008,
CK,2009,
CK,2010,
CK,2011,
CK,2012,
CL,2000,9983886590
CL,2001,9753602599
CL,2002,6152640949
CL,2003,9958656477
CL,2004,13622790047
CL,2005,11449628374
CL,2006,10084191859
CL,2007,16054315602
CL,2008,19705723581
CL,2009,16918742077
CL,2010,16894993227
CL,2011,23087080883
CL,2012,30323047000
CM,2000,286899638
CM,2001,133123100
CM,2002,1006376951
CM,2003,467356234
CM,2004,107187224
CM,2005,294911260
CM,2006,68235813
CM,2007,197666155
CM,2008,19478433
CM,2009,751934482
CM,2010,555368926
CM,2011,230775329
CM,2012,507029000
CN,2000,87694028521
CN,2001,98920462174
CN,2002,1.11E+11
CN,2003,1.09E+11
CN,2004,1.16E+11
CN,2005,1.32E+11
CN,2006,1.24E+11
CN,2007,1.26E+11
CN,2008,1.39E+11
CN,2009,1.21E+11
CN,2010,1.35E+11
CN,2011,1.29E+11
CN,2012,1.21E+11
CO,2000,5443560716
CO,2001,5872366078
CO,2002,5065515481
CO,2003,4393566783
CO,2004,6556872666
CO,2005,18644797120
CO,2006,11642845456
CO,2007,13263800577
CO,2008,13672821212
CO,2009,9768602124
CO,2010,7833946415
CO,2011,14176421486
CO,2012,15822936146
CR,2000,691082817
CR,2001,765176075
CR,2002,1098233822
CR,2003,979974425
CR,2004,1328708716
CR,2005,1421312410
CR,2006,2338017000
CR,2007,2787328898
CR,2008,2768709124
CR,2009,1803132353
CR,2010,1667467543
CR,2011,2256063697
CR,2012,2265394963
CU,2000,
CU,2001,
CU,2002,
CU,2003,
CU,2004,
CU,2005,
CU,2006,
CU,2007,
CU,2008,
CU,2009,
CU,2010,
CU,2011,
CU,2012,
CV,2000,74247561
CV,2001,21997030
CV,2002,63818398
CV,2003,45470280
CV,2004,84377900
CV,2005,100444804
CV,2006,154593336
CV,2007,200931779
CV,2008,198551644
CV,2009,117220399
CV,2010,114360666
CV,2011,88665382
CV,2012,70929089
CY,2000,1651409769
CY,2001,1786645777
CY,2002,1871428722
CY,2003,1300840235
CY,2004,1387368449
CY,2005,1438762142
CY,2006,2157764365
CY,2007,2329248786
CY,2008,1321309959
CY,2009,3425387552
CY,2010,777617015
CY,2011,1292428995
CY,2012,848648149
CZ,2000,11882679261
CZ,2001,12646160024
CZ,2002,15945964519
CZ,2003,3366881549
CZ,2004,6993713424
CZ,2005,15327391715
CZ,2006,6738230354
CZ,2007,11200943284
CZ,2008,5804300370
CZ,2009,2818314750
CZ,2010,6036441656
CZ,2011,2130307038
CZ,2012,10592486272
DE,2000,3.15E+11
DE,2001,42650675819
DE,2002,80965609337
DE,2003,40401003584
DE,2004,-11442351151
DE,2005,52922918081
DE,2006,61258842803
DE,2007,79695022823
DE,2008,7587590867
DE,2009,21515730583
DE,2010,57246072153
DE,2011,45903217500
DE,2012,6564537308
DJ,2000,5022214
DJ,2001,5086471
DJ,2002,5142584
DJ,2003,20870654
DJ,2004,54807421
DJ,2005,30580098
DJ,2006,144054732
DJ,2007,247634262
DJ,2008,264633061
DJ,2009,113455265
DJ,2010,29346216
DJ,2011,81302396
DJ,2012,100000000
DK,2000,62397214121
DK,2001,21335903112
DK,2002,11371100326
DK,2003,3812871906
DK,2004,-13075279094
DK,2005,15689456952
DK,2006,3182914146
DK,2007,12511777682
DK,2008,1760141999
DK,2009,3884864941
DK,2010,-11540026588
DK,2011,12008330550
DK,2012,2883048366
DM,2000,24460153
DM,2001,24424619
DM,2002,24291932
DM,2003,38817465
DM,2004,31970809
DM,2005,37907048
DM,2006,33153156
DM,2007,53855065
DM,2008,62890669
DM,2009,44175607
DM,2010,26216083
DM,2011,14529622
DM,2012,19674750
DO,2000,1288225429
DO,2001,1431606143
DO,2002,1210538900
DO,2003,1009899635
DO,2004,1468397720
DO,2005,1279791198
DO,2006,1292015030
DO,2007,1873393534
DO,2008,3059660851
DO,2009,2337172213
DO,2010,1996624460
DO,2011,2323934482
DO,2012,3609600000
DZ,2000,674283410
DZ,2001,2747254440
DZ,2002,2689715028
DZ,2003,1434979637
DZ,2004,1656603824
DZ,2005,1778182535
DZ,2006,2647948441
DZ,2007,2196648050
DZ,2008,2769335926
DZ,2009,3719412278
DZ,2010,2700981406
DZ,2011,2551132736
DZ,2012,1484000000
EC,2000,-65190622
EC,2001,1174186303
EC,2002,1532050871
EC,2003,1541388186
EC,2004,1419727080
EC,2005,776923149
EC,2006,395728119
EC,2007,265419427
EC,2008,1269695306
EC,2009,365361945
EC,2010,181037949
EC,2011,666919055
EC,2012,586516000
EE,2000,957230889
EE,2001,1278482454
EE,2002,620233438
EE,2003,1599786175
EE,2004,1436818314
EE,2005,4053582274
EE,2006,2312600292
EE,2007,2872130173
EE,2008,1618344232
EE,2009,1811761611
EE,2010,1647563988
EE,2011,245464465
EE,2012,1470398626
EG,2000,1932627554
EG,2001,845803630
EG,2002,1254580783
EG,2003,503552170
EG,2004,4896028378
EG,2005,11218778927
EG,2006,18669627060
EG,2007,18987351980
EG,2008,13388698662
EG,2009,8531906412
EG,2010,7358763635
EG,2011,-525725969
EG,2012,2797700000
EH,2000,
EH,2001,
EH,2002,
EH,2003,
EH,2004,
EH,2005,
EH,2006,
EH,2007,
EH,2008,
EH,2009,
EH,2010,
EH,2011,
EH,2012,
ER,2000,96137821
ER,2001,42727823
ER,2002,85198167
ER,2003,76312225
ER,2004,58558402
ER,2005,3603133
ER,2006,34748362
ER,2007,15177804
ER,2008,70773980
ER,2009,127478513
ER,2010,114275580
ER,2011,43204756
ER,2012,73666666
ES,2000,74835695076
ES,2001,53055895543
ES,2002,66706594169
ES,2003,35164255060
ES,2004,29475268017
ES,2005,28533593817
ES,2006,33399922033
ES,2007,61871793798
ES,2008,68719115878
ES,2009,9613290432
ES,2010,38694812691
ES,2011,24785845500
ES,2012,27749938731
ET,2000,257910586
ET,2001,719922823
ET,2002,559340822
ET,2003,908997193
ET,2004,1012102345
ET,2005,453251848
ET,2006,844295565
ET,2007,298117025
ET,2008,118967554
ET,2009,220881871
ET,2010,344840437
ET,2011,781507108
ET,2012,970356559
FI,2000,14837543902
FI,2001,6260783438
FI,2002,12666779790
FI,2003,4388385199
FI,2004,3382367876
FI,2005,5656380245
FI,2006,8947022345
FI,2007,12961635869
FI,2008,-1098047022
FI,2009,702994153
FI,2010,7552641321
FI,2011,2537898771
FI,2012,-1805615873
FK,2000,
FK,2001,
FK,2002,
FK,2003,
FK,2004,
FK,2005,
FK,2006,
FK,2007,
FK,2008,
FK,2009,
FK,2010,
FK,2011,
FK,2012,
FM,2000,
FM,2001,-305187
FM,2002,
FM,2003,
FM,2004,
FM,2005,51599
FM,2006,750843
FM,2007,20558630
FM,2008,-6215695
FM,2009,671961
FM,2010,865507
FM,2011,837671
FM,2012,800000
FR,2000,74694733862
FR,2001,87930649236
FR,2002,79409339043
FR,2003,56285499401
FR,2004,38573130579
FR,2005,98720614128
FR,2006,80938393191
FR,2007,96884932058
FR,2008,59815087974
FR,2009,23210720605
FR,2010,33558279927
FR,2011,36178239421
FR,2012,25093345188
GA,2000,-105773169
GA,2001,-242839664
GA,2002,94703419
GA,2003,439313113
GA,2004,578457662
GA,2005,359115585
GA,2006,357372400
GA,2007,322708245
GA,2008,751426137
GA,2009,709675499
GA,2010,542119578
GA,2011,626135451
GA,2012,702406408
GB,2000,1.70E+11
GB,2001,76945411703
GB,2002,33722511826
GB,2003,33027582992
GB,2004,59976478505
GB,2005,1.85E+11
GB,2006,1.56E+11
GB,2007,1.79E+11
GB,2008,85485528073
GB,2009,83016583675
GB,2010,54009332859
GB,2011,51392873044
GB,2012,62350820713
GD,2000,51484263
GD,2001,77903997
GD,2002,73208957
GD,2003,115471519
GD,2004,82955456
GD,2005,89458605
GD,2006,111432444
GD,2007,196288943
GD,2008,148655396
GD,2009,109965256
GD,2010,66915193
GD,2011,47382951
GD,2012,32637084
GE,2000,328279531
GE,2001,273050162
GE,2002,396659328
GE,2003,783040583
GE,2004,949424769
GE,2005,765069973
GE,2006,1790248746
GE,2007,2290320974
GE,2008,1665194310
GE,2009,802023353
GE,2010,973792281
GE,2011,1083770177
GE,2012,866074000
GH,2000,287933049
GH,2001,231548307
GH,2002,125326323
GH,2003,208581641
GH,2004,213675722
GH,2005,262432746
GH,2006,534950495
GH,2007,924265650
GH,2008,1240912544
GH,2009,3387420648
GH,2010,2558379705
GH,2011,3140259370
GH,2012,3294520000
GI,2000,
GI,2001,
GI,2002,
GI,2003,
GI,2004,
GI,2005,
GI,2006,
GI,2007,
GI,2008,
GI,2009,
GI,2010,
GI,2011,
GI,2012,
GL,2000,
GL,2001,
GL,2002,
GL,2003,
GL,2004,
GL,2005,
GL,2006,
GL,2007,
GL,2008,
GL,2009,
GL,2010,
GL,2011,
GL,2012,
GM,2000,44130206
GM,2001,38425212
GM,2002,50287443
GM,2003,18906625
GM,2004,61406655
GM,2005,51370537
GM,2006,78861901
GM,2007,71924141
GM,2008,57794235
GM,2009,37201817
GM,2010,34730567
GM,2011,34395378
GM,2012,78800000
GN,2000,12999715
GN,2001,2337788
GN,2002,41127884
GN,2003,106974536
GN,2004,121674898
GN,2005,167772466
GN,2006,207114005
GN,2007,454370166
GN,2008,434230696
GN,2009,155644249
GN,2010,107354064
GN,2011,1012301785
GN,2012,743800000
GQ,2000,571538035
GQ,2001,4070692889
GQ,2002,1351612681
GQ,2003,2388906997
GQ,2004,917908728
GQ,2005,1449591393
GQ,2006,766746731
GQ,2007,1819669827
GQ,2008,-863170038
GQ,2009,2688629660
GQ,2010,3589833988
GQ,2011,2007314795
GQ,2012,2115073208
GR,2000,2040658469
GR,2001,2954971723
GR,2002,85873331
GR,2003,1748979451
GR,2004,2546199705
GR,2005,740766874
GR,2006,6152748645
GR,2007,2152931334
GR,2008,4157380495
GR,2009,2279674028
GR,2010,321071769
GR,2011,1048246089
GR,2012,2944895240
GT,2000,449918015
GT,2001,919211443
GT,2002,353952701
GT,2003,441208886
GT,2004,467935770
GT,2005,730624525
GT,2006,806748068
GT,2007,957208481
GT,2008,871768001
GT,2009,723484332
GT,2010,912374303
GT,2011,1049786824
GT,2012,1206600000
GU,2000,
GU,2001,
GU,2002,
GU,2003,
GU,2004,
GU,2005,
GU,2006,
GU,2007,
GU,2008,
GU,2009,
GU,2010,
GU,2011,
GU,2012,
GW,2000,1221693
GW,2001,661665
GW,2002,5519773
GW,2003,5481509
GW,2004,2105509
GW,2005,10359030
GW,2006,21408453
GW,2007,19281720
GW,2008,4519065
GW,2009,16022404
GW,2010,31484636
GW,2011,21577319
GW,2012,16226635
GY,2000,121736267
GY,2001,103617388
GY,2002,79208738
GY,2003,45842466
GY,2004,50993640
GY,2005,122056943
GY,2006,153954295
GY,2007,205588922
GY,2008,209000128
GY,2009,253983631
GY,2010,307833451
GY,2011,227120910
GY,2012,230910000
HN,2000,614981413
HN,2001,472836625
HN,2002,431780738
HN,2003,631132494
HN,2004,844413164
HN,2005,891060384
HN,2006,945054329
HN,2007,1228732367
HN,2008,1236916052
HN,2009,580890168
HN,2010,1056922781
HN,2011,1023778186
HN,2012,1058520863
HR,2000,2203385921
HR,2001,2664788129
HR,2002,1977551437
HR,2003,3002177433
HR,2004,1545028823
HR,2005,2284676834
HR,2006,4090997221
HR,2007,5246172799
HR,2008,5638161907
HR,2009,3149818634
HR,2010,421360650
HR,2011,1398537428
HR,2012,1250567266
HT,2000,24110883
HT,2001,8711822
HT,2002,11659494
HT,2003,33231498
HT,2004,11467810
HT,2005,42232960
HT,2006,241723132
HT,2007,93649484
HT,2008,33940685
HT,2009,44325603
HT,2010,164667148
HT,2011,184678672
HT,2012,178750000
HU,2000,6130487449
HU,2001,7965988390
HU,2002,5028020473
HU,2003,2962872306
HU,2004,5078885257
HU,2005,8816097163
HU,2006,7941393889
HU,2007,3809491280
HU,2008,5430277134
HU,2009,1943987449
HU,2010,2115872273
HU,2011,5296397173
HU,2012,13468963906
ID,2000,
ID,2001,
ID,2002,
ID,2003,-1343784226
ID,2004,4095535658
ID,2005,17117577830
ID,2006,8349553625
ID,2007,10552060130
ID,2008,12740155716
ID,2009,6613076471
ID,2010,15059618832
ID,2011,18797156154
ID,2012,19852569229
IE,2000,42830428452
IE,2001,15566064836
IE,2002,42604941697
IE,2003,26619401351
IE,2004,-11010222742
IE,2005,-32127950075
IE,2006,-5383785352
IE,2007,21631558507
IE,2008,-14071893741
IE,2009,23686701468
IE,2010,42093972897
IE,2011,10671137397
IE,2012,29317969816
IL,2000,9102308737
IL,2001,2352199049
IL,2002,2277667172
IL,2003,4618521433
IL,2004,4033648611
IL,2005,6556566299
IL,2006,20210723345
IL,2007,10726079243
IL,2008,11368735367
IL,2009,5050268368
IL,2010,5668644629
IL,2011,10696812724
IL,2012,10414128000
IN,2000,6070690761
IN,2001,9374732029
IN,2002,9431757704
IN,2003,6613833093
IN,2004,8178923428
IN,2005,10199051065
IN,2006,26123421100
IN,2007,27412886082
IN,2008,53619551356
IN,2009,39418551231
IN,2010,20577521179
IN,2011,34161464939
IN,2012,25542842813
IQ,2000,
IQ,2001,
IQ,2002,
IQ,2003,
IQ,2004,1048358070
IQ,2005,1375935699
IQ,2006,865790091
IQ,2007,1633181847
IQ,2008,2244044823
IQ,2009,2410511090
IQ,2010,1791455354
IQ,2011,2195900583
IQ,2012,2549000000
IR,2000,490193257
IR,2001,2378516746
IR,2002,8631666530
IR,2003,5808642739
IR,2004,5334102456
IR,2005,5075129614
IR,2006,2376698679
IR,2007,2420852776
IR,2008,2032456982
IR,2009,3278639084
IR,2010,3575545623
IR,2011,3234658139
IR,2012,4869881000
IS,2000,207553173
IS,2001,239952755
IS,2002,106927020
IS,2003,339151462
IS,2004,661965376
IS,2005,2439204893
IS,2006,3118784676
IS,2007,4805527379
IS,2008,819972082
IS,2009,96112978
IS,2010,254999193
IS,2011,1057265169
IS,2012,510724878
IT,2000,24020438869
IT,2001,26714566232
IT,2002,28209969418
IT,2003,25989800305
IT,2004,23916083822
IT,2005,27173902988
IT,2006,48366257313
IT,2007,44609253805
IT,2008,-10203226076
IT,2009,19180752810
IT,2010,9183609064
IT,2011,32278223212
IT,2012,9624897532
JM,2000,709918907
JM,2001,928245449
JM,2002,689558517
JM,2003,1108964740
JM,2004,869457151
JM,2005,901659672
JM,2006,1127217185
JM,2007,1041577053
JM,2008,1605209427
JM,2009,662487569
JM,2010,252087563
JM,2011,224595946
JM,2012,362200000
JO,2000,1723175748
JO,2001,512364777
JO,2002,441991250
JO,2003,993579266
JO,2004,1650690083
JO,2005,3427390125
JO,2006,5531723156
JO,2007,3895978269
JO,2008,3505288153
JO,2009,2910625914
JO,2010,1836428622
JO,2011,1539842803
JO,2012,1402957746
JP,2000,9587769330
JP,2001,8204130505
JP,2002,12709646707
JP,2003,8193364470
JP,2004,9573453792
JP,2005,3506383128
JP,2006,-8789086786
JP,2007,31116248730
JP,2008,29992895941
JP,2009,13295781058
JP,2010,-1337894758
JP,2011,-1737958974
JP,2012,1730782486
KE,2000,217169564
KE,2001,10530384
KE,2002,54455657
KE,2003,146333508
KE,2004,80273213
KE,2005,33622562
KE,2006,71117088
KE,2007,904476215
KE,2008,107629629
KE,2009,132419970
KE,2010,206015411
KE,2011,380105282
KE,2012,258607635
KG,2000,-7313771
KG,2001,14651008
KG,2002,12958965
KG,2003,113293293
KG,2004,404707080
KG,2005,88259906
KG,2006,337420549
KG,2007,311759579
KG,2008,451140411
KG,2009,255505823
KG,2010,573994295
KG,2011,745435387
KG,2012,372186100
KH,2000,231099743
KH,2001,230543043
KH,2002,221992556
KH,2003,128212295
KH,2004,193352543
KH,2005,538148793
KH,2006,653669303
KH,2007,1088903169
KH,2008,911276155
KH,2009,599598664
KH,2010,854464864
KH,2011,920481340
KH,2012,1557135000
KI,2000,1554172
KI,2001,-640040
KI,2002,514481
KI,2003,1149775
KI,2004,3048637
KI,2005,3906341
KI,2006,821404
KI,2007,1529258
KI,2008,3308147
KI,2009,4160936
KI,2010,-7244234
KI,2011,-1763995
KI,2012,-1679660
KM,2000,214455
KM,2001,2489988
KM,2002,850398
KM,2003,1246081
KM,2004,941340
KM,2005,763831
KM,2006,1098364
KM,2007,8897331
KM,2008,4736147
KM,2009,14242787
KM,2010,8683460
KM,2011,21873668
KM,2012,16965442
KN,2000,148554465
KN,2001,130389095
KN,2002,112857322
KN,2003,107397140
KN,2004,83245425
KN,2005,139752922
KN,2006,136582022
KN,2007,160874904
KN,2008,202338695
KN,2009,154675391
KN,2010,133065367
KN,2011,115094342
KN,2012,100814475
KP,2000,
KP,2001,
KP,2002,
KP,2003,
KP,2004,
KP,2005,
KP,2006,
KP,2007,
KP,2008,
KP,2009,
KP,2010,
KP,2011,
KP,2012,
KR,2000,
KR,2001,
KR,2002,
KR,2003,
KR,2004,
KR,2005,
KR,2006,
KR,2007,
KR,2008,
KR,2009,
KR,2010,
KR,2011,
KR,2012,
KW,2000,45131345
KW,2001,-334812153
KW,2002,10238458
KW,2003,-177487322
KW,2004,56011644
KW,2005,446594554
KW,2006,198173768
KW,2007,170907817
KW,2008,-7283527
KW,2009,1759868790
KW,2010,621574293
KW,2011,924728184
KW,2012,1851136841
KY,2000,
KY,2001,
KY,2002,
KY,2003,
KY,2004,
KY,2005,
KY,2006,
KY,2007,
KY,2008,
KY,2009,
KY,2010,
KY,2011,
KY,2012,
KZ,2000,5708418043
KZ,2001,11825717217
KZ,2002,10667384517
KZ,2003,7524323883
KZ,2004,11709574681
KZ,2005,4601031788
KZ,2006,11440007778
KZ,2007,17045945587
KZ,2008,17820769624
KZ,2009,19297897254
KZ,2010,14067348308
KZ,2011,14330090881
KZ,2012,14022111444
LA,2000,81618278
LA,2001,59032182
LA,2002,11303579
LA,2003,44955103
LA,2004,35913626
LA,2005,54456250
LA,2006,306150840
LA,2007,480662584
LA,2008,291148788
LA,2009,246333967
