country,year,out_remittances
SV,2011,85.27
SY,2011,0.00
SZ,2011,14.45
TC,2011,0.00
TD,2011,1391.51
TG,2011,272.32
TH,2011,2547.64
TJ,2011,13.44
TL,2011,27.02
TM,2011,26.82
TN,2011,26.27
TO,2011,0.43
TR,2011,176.02
TT,2011,21.22
TV,2011,0.00
TZ,2011,280.52
UA,2011,890.98
UG,2011,206.50
US,2011,101746.73
UY,2011,66.20
UZ,2011,700.93
VC,2011,1.42
VE,2011,1655.89
VI,2011,0.00
VN,2011,0.00
VU,2011,0.02
WS,2011,1.12
XK,2011,0.00
YE,2011,260.60
YT,2011,0.00
ZA,2011,655.06
ZM,2011,46.81
ZW,2011,49.73
AD,2012,3.32
AE,2012,20346.56
AF,2012,0.00
AG,2012,16.74
AL,2012,4.84
AM,2012,306.47
AO,2012,10.84
AR,2012,1193.96
AS,2012,20.90
AT,2012,2650.86
AU,2012,8569.05
AW,2012,32.17
AZ,2012,76.16
BA,2012,0.10
BB,2012,14.50
BD,2012,4122.50
BE,2012,1137.73
BF,2012,245.19
BG,2012,19.60
BH,2012,1302.47
BI,2012,16.29
BJ,2012,634.83
BM,2012,0.00
BN,2012,405.33
BO,2012,186.07
BR,2012,390.80
BS,2012,42.62
BT,2012,165.91
BW,2012,0.00
BY,2012,154.37
BZ,2012,133.43
CA,2012,15641.65
CD,2012,0.00
CF,2012,24.26
CG,2012,19.18
CH,2012,982.31
CI,2012,915.65
CL,2012,364.08
CM,2012,961.91
CN,2012,0.00
CO,2012,84.48
CR,2012,560.79
CU,2012,4.73
CV,2012,4.53
CY,2012,196.25
CZ,2012,125.03
DE,2012,7231.20
DJ,2012,14.39
DK,2012,1033.83
DM,2012,0.34
DO,2012,349.75
DZ,2012,0.00
EC,2012,405.83
EE,2012,22.20
EG,2012,134.73
ER,2012,0.00
ES,2012,9508.15
ET,2012,13.19
FI,2012,184.68
FJ,2012,21.53
FM,2012,0.00
FR,2012,8357.12
GA,2012,403.31
GB,2012,15331.66
GD,2012,0.00
GE,2012,52.74
GH,2012,0.00
GI,2012,0.00
GL,2012,0.00
GM,2012,261.88
GN,2012,142.72
GQ,2012,30.33
GR,2012,988.45
GT,2012,95.43
GU,2012,139.33
GW,2012,14.99
GY,2012,9.61
HK,2012,17021.33
HN,2012,36.64
HR,2012,635.01
HT,2012,27.77
HU,2012,77.22
ID,2012,432.15
IE,2012,1049.35
IL,2012,2031.36
IM,2012,0.00
IN,2012,11019.35
IQ,2012,57.51
IR,2012,425.49
IS,2012,29.95
IT,2012,9239.88
JM,2012,4.62
JO,2012,5913.06
JP,2012,7739.17
KE,2012,613.68
KG,2012,27.69
KH,2012,1080.33
KI,2012,0.47
KM,2012,0.02
KN,2012,2.27
KP,2012,0.00
KR,2012,2641.30
KW,2012,8508.66
KY,2012,35.70
KZ,2012,439.15
LA,2012,34.08
LB,2012,0.00
LC,2012,1.15
LI,2012,0.60
LK,2012,1412.14
LR,2012,67.48
LS,2012,3.72
LT,2012,34.79
LU,2012,44.63
LV,2012,97.85
LY,2012,2408.93
MA,2012,0.00
MC,2012,0.00
MD,2012,161.30
ME,2012,0.00
MG,2012,50.36
MH,2012,0.20
MK,2012,139.15
ML,2012,62.66
MM,2012,360.46
MN,2012,13.93
MO,2012,1996.90
MP,2012,179.98
MR,2012,112.84
MT,2012,0.00
MU,2012,133.86
MV,2012,0.00
MW,2012,41.16
MX,2012,320.97
MY,2012,7132.18
MZ,2012,289.80
NA,2012,44.37
NC,2012,12.52
NE,2012,407.08
NG,2012,323.99
NI,2012,89.99
NL,2012,2202.69
NO,2012,685.26
NP,2012,3334.16
NZ,2012,1337.09
OM,2012,3946.81
PA,2012,264.51
PE,2012,37.71
PF,2012,0.00
PG,2012,3.98
PH,2012,330.82
PK,2012,0.00
PL,2012,421.53
PR,2012,0.00
PS,2012,2372.71
PT,2012,495.43
PW,2012,11.10
PY,2012,291.31
QA,2012,7767.54
RO,2012,137.96
RS,2012,0.00
RU,2012,11147.76
RW,2012,34.45
SA,2012,27521.05
