Country Code,country,year,maternal-mortality
COL,CO,2007,0
COM,KM,2007,0
CPV,CV,2007,0
CRI,CR,2007,0
CUB,CU,2007,0
CUW,CW,2007,0
CYM,KY,2007,0
CYP,CY,2007,0
CZE,CZ,2007,0
DEU,DE,2007,0
DJI,DJ,2007,0
DMA,DM,2007,0
DNK,DK,2007,0
DOM,DO,2007,0
DZA,DZ,2007,0
ECU,EC,2007,0
EGY,EG,2007,0
ERI,ER,2007,0
ESP,ES,2007,0
EST,EE,2007,0
ETH,ET,2007,0
FIN,FI,2007,0
FJI,FJ,2007,0
FRA,FR,2007,0
FRO,FO,2007,0
FSM,FM,2007,0
GAB,GA,2007,0
GBR,GB,2007,0
GEO,GE,2007,0
GHA,GH,2007,0
GIN,GN,2007,0
GMB,GM,2007,0
GNB,GW,2007,0
GNQ,GQ,2007,0
GRC,GR,2007,0
GRD,GD,2007,0
GRL,GL,2007,0
GTM,GT,2007,0
GUM,GU,2007,0
GUY,GY,2007,0
HKG,HK,2007,0
HND,HN,2007,0
HRV,HR,2007,0
HTI,HT,2007,0
HUN,HU,2007,0
IDN,ID,2007,0
IND,IN,2007,0
IRL,IE,2007,0
IRN,IR,2007,0
IRQ,IQ,2007,0
ISL,IS,2007,0
ISR,IL,2007,0
ITA,IT,2007,0
JAM,JM,2007,0
JOR,JO,2007,0
JPN,JP,2007,0
KAZ,KZ,2007,0
KEN,KE,2007,0
KGZ,KG,2007,0
KHM,KH,2007,0
KIR,KI,2007,0
KNA,KN,2007,0
KOR,KR,2007,0
XKS,XK,2007,0
KWT,KW,2007,0
LAO,LA,2007,0
LBN,LB,2007,0
LBR,LR,2007,0
LBY,LY,2007,0
LCA,LC,2007,0
LIE,LI,2007,0
LKA,LK,2007,0
LSO,LS,2007,0
LTU,LT,2007,0
LUX,LU,2007,0
LVA,LV,2007,0
MAC,MO,2007,0
MAF,MF,2007,0
MAR,MA,2007,0
MCO,MC,2007,0
MDA,MD,2007,0
MDG,MG,2007,0
MDV,MV,2007,0
MEX,MX,2007,0
MHL,MH,2007,0
MKD,MK,2007,0
MLI,ML,2007,0
MLT,MT,2007,0
MMR,MM,2007,0
MNE,ME,2007,0
MNG,MN,2007,0
MNP,MP,2007,0
MOZ,MZ,2007,0
MRT,MR,2007,0
MUS,MU,2007,0
MWI,MW,2007,0
MYS,MY,2007,0
NAM,NA,2007,0
NCL,NC,2007,0
NER,NE,2007,0
NGA,NG,2007,0
NIC,NI,2007,0
NLD,NL,2007,0
NOR,NO,2007,0
NPL,NP,2007,0
NZL,NZ,2007,0
OMN,OM,2007,0
PAK,PK,2007,0
PAN,PA,2007,0
PER,PE,2007,0
PHL,PH,2007,0
PLW,PW,2007,0
PNG,PG,2007,0
POL,PL,2007,0
PRI,PR,2007,0
PRK,KP,2007,0
PRT,PT,2007,0
PRY,PY,2007,0
PYF,PF,2007,0
QAT,QA,2007,0
ROU,RO,2007,0
RUS,RU,2007,0
RWA,RW,2007,0
SAU,SA,2007,0
SDN,SD,2007,0
SEN,SN,2007,0
SGP,SG,2007,0
SLB,SB,2007,0
SLE,SL,2007,0
SLV,SV,2007,0
SMR,SM,2007,0
SOM,SO,2007,0
SRB,RS,2007,0
SSD,SS,2007,0
STP,ST,2007,0
SUR,SR,2007,0
SVK,SK,2007,0
SVN,SI,2007,0
SWE,SE,2007,0
SWZ,SZ,2007,0
SXM,SX,2007,0
SYC,SC,2007,0
SYR,SY,2007,0
TCA,TC,2007,0
TCD,TD,2007,0
TGO,TG,2007,0
THA,TH,2007,0
TJK,TJ,2007,0
TKM,TM,2007,0
TLS,TL,2007,0
TON,TO,2007,0
TTO,TT,2007,0
TUN,TN,2007,0
TUR,TR,2007,0
TUV,TV,2007,0
TZA,TZ,2007,0
