country,year,govtspend_pc
BT,2002," 1,685.12 "
BT,2003," 1,537.24 "
BT,2004," 1,422.00 "
BT,2005," 1,736.47 "
BT,2006," 1,713.97 "
BT,2007," 1,934.89 "
BT,2008," 1,940.93 "
BT,2009," 1,962.06 "
BT,2010," 2,888.93 "
BT,2011," 2,613.15 "
BT,2012," 2,722.46 "
BO,2000," 1,269.29 "
BO,2001," 1,378.74 "
BO,2002," 1,443.16 "
BO,2003," 1,388.34 "
BO,2004," 1,431.39 "
BO,2005," 1,519.18 "
BO,2006," 1,404.48 "
BO,2007," 1,583.73 "
BO,2008," 1,788.83 "
BO,2009," 1,845.61 "
BO,2010," 1,662.85 "
BO,2011," 1,931.27 "
BO,2012," 2,039.95 "
BA,2000," 3,652.54 "
BA,2001," 3,240.21 "
BA,2002," 3,152.08 "
BA,2003," 3,267.82 "
BA,2004," 3,344.03 "
BA,2005," 3,514.81 "
BA,2006," 3,745.79 "
BA,2007," 4,086.16 "
BA,2008," 4,557.67 "
BA,2009," 4,580.38 "
BA,2010," 4,610.41 "
BA,2011," 4,522.13 "
BA,2012," 4,521.35 "
BW,2000," 3,913.80 "
BW,2001," 4,227.72 "
BW,2002," 4,725.22 "
BW,2003," 4,622.81 "
BW,2004," 4,350.81 "
BW,2005," 3,817.68 "
BW,2006," 3,946.53 "
BW,2007," 4,707.32 "
BW,2008," 6,342.98 "
BW,2009," 6,288.25 "
BW,2010," 5,310.57 "
BW,2011," 5,107.15 "
BW,2012," 5,150.22 "
BR,2000," 3,861.26 "
BR,2001," 3,977.31 "
BR,2002," 4,364.62 "
BR,2003," 4,337.12 "
BR,2004," 4,193.99 "
BR,2005," 4,468.74 "
BR,2006," 4,634.94 "
BR,2007," 4,915.46 "
BR,2008," 5,108.94 "
BR,2009," 5,020.41 "
BR,2010," 5,603.87 "
BR,2011," 5,611.04 "
BR,2012," 5,784.30 "
BN,2000," 30,686.95 "
BN,2001," 29,190.16 "
BN,2002," 34,660.44 "
BN,2003," 26,048.31 "
BN,2004," 27,544.50 "
BN,2005," 23,768.63 "
BN,2006," 23,304.13 "
BN,2007," 24,187.87 "
BN,2008," 21,621.84 "
BN,2009," 26,823.38 "
BN,2010," 28,084.53 "
BN,2011," 23,263.26 "
BN,2012," 24,751.56 "
BG,2000," 3,503.67 "
BG,2001," 3,640.11 "
BG,2002," 3,749.35 "
BG,2003," 4,042.91 "
BG,2004," 4,244.60 "
BG,2005," 4,460.82 "
BG,2006," 4,567.76 "
BG,2007," 5,072.00 "
BG,2008," 5,448.10 "
BG,2009," 5,322.59 "
BG,2010," 5,458.03 "
BG,2011," 5,343.57 "
BG,2012," 5,417.28 "
BF,2000, 237.19 
BF,2001, 243.66 
BF,2002, 219.09 
BF,2003, 212.25 
BF,2004, 251.11 
BF,2005, 264.82 
BF,2006, 296.26 
BF,2007, 325.46 
BF,2008, 255.54 
BF,2009, 299.39 
BF,2010, 313.82 
BF,2011, 311.25 
BF,2012, 361.64 
BI,2000, 142.38 
BI,2001, 148.20 
BI,2002, 133.36 
BI,2003, 180.55 
BI,2004, 181.82 
BI,2005, 151.15 
BI,2006, 173.65 
BI,2007, 255.09 
BI,2008, 268.10 
BI,2009, 248.13 
BI,2010, 270.19 
BI,2011, 275.86 
BI,2012, 253.83 
KH,2000, 205.82 
KH,2001, 219.19 
KH,2002, 243.21 
KH,2003, 245.30 
KH,2004, 242.04 
KH,2005, 241.29 
KH,2006, 276.60 
KH,2007, 331.57 
KH,2008, 380.60 
KH,2009, 482.40 
KH,2010, 499.54 
KH,2011, 519.37 
KH,2012, 577.39 
CM,2000, 380.07 
CM,2001, 394.19 
CM,2002, 361.59 
CM,2003, 364.57 
CM,2004, 385.64 
CM,2005, 351.48 
CM,2006, 337.14 
CM,2007, 379.89 
CM,2008, 442.10 
CM,2009, 434.81 
CM,2010, 455.31 
CM,2011, 535.90 
CM,2012, 521.08 
CA,2000," 15,950.55 "
CA,2001," 16,343.53 "
CA,2002," 16,286.21 "
CA,2003," 16,517.05 "
CA,2004," 16,310.27 "
CA,2005," 16,782.92 "
CA,2006," 16,970.86 "
CA,2007," 17,124.14 "
CA,2008," 17,290.60 "
CA,2009," 18,357.87 "
CA,2010," 18,755.12 "
CA,2011," 18,432.72 "
CA,2012," 18,133.44 "
CV,2000,  
CV,2001,  
CV,2002," 1,313.55 "
CV,2003," 1,037.37 "
CV,2004," 1,270.85 "
CV,2005," 1,393.96 "
CV,2006," 1,537.36 "
CV,2007," 1,504.32 "
CV,2008," 1,633.67 "
CV,2009," 1,842.30 "
CV,2010," 2,190.68 "
CV,2011," 2,034.63 "
CV,2012," 2,047.77 "
CF,2000, 116.57 
CF,2001, 100.76 
CF,2002, 122.66 
CF,2003, 88.27 
CF,2004, 86.62 
CF,2005, 115.12 
CF,2006, 99.64 
CF,2007, 78.96 
CF,2008, 116.60 
CF,2009, 108.97 
CF,2010, 149.04 
CF,2011, 144.51 
CF,2012, 144.34 
TD,2000, 181.74 
TD,2001, 166.88 
TD,2002, 186.01 
TD,2003, 234.73 
TD,2004, 201.91 
TD,2005, 201.17 
TD,2006, 241.64 
TD,2007, 300.44 
TD,2008, 330.70 
TD,2009, 429.07 
TD,2010, 476.61 
TD,2011, 424.58 
TD,2012, 460.44 
CL,2000," 3,368.51 "
CL,2001," 3,486.32 "
CL,2002," 3,524.91 "
CL,2003," 3,477.07 "
CL,2004," 3,398.20 "
CL,2005," 3,439.20 "
CL,2006," 3,288.13 "
CL,2007," 3,543.42 "
CL,2008," 4,063.61 "
CL,2009," 4,533.88 "
CL,2010," 4,595.71 "
CL,2011," 4,688.16 "
CL,2012," 5,006.42 "
CN,2000, 615.61 
CN,2001, 695.19 
CN,2002, 794.19 
CN,2003, 855.49 
CN,2004, 912.86 
CN,2005," 1,036.35 "
CN,2006," 1,180.25 "
CN,2007," 1,339.90 "
CN,2008," 1,576.77 "
CN,2009," 1,953.23 "
CN,2010," 2,107.68 "
CN,2011," 2,398.51 "
CN,2012," 2,675.13 "
CO,2000," 2,228.38 "
CO,2001," 2,322.65 "
CO,2002," 2,373.36 "
CO,2003," 2,422.51 "
CO,2004," 2,384.57 "
CO,2005," 2,393.15 "
CO,2006," 2,765.63 "
CO,2007," 2,887.17 "
CO,2008," 2,800.22 "
CO,2009," 3,109.91 "
CO,2010," 3,175.00 "
CO,2011," 3,254.48 "
CO,2012," 3,302.70 "
KM,2000, 257.20 
KM,2001, 348.44 
KM,2002, 381.50 
KM,2003, 340.76 
KM,2004, 307.07 
KM,2005, 311.14 
KM,2006, 326.61 
KM,2007, 342.37 
KM,2008, 376.84 
KM,2009, 292.59 
KM,2010, 286.22 
KM,2011, 322.64 
KM,2012, 365.66 
CD,2000, 8.47 
CD,2001, 16.82 
CD,2002,-0.63 
CD,2003, 31.53 
CD,2004, 34.13 
CD,2005, 48.26 
CD,2006, 53.25 
CD,2007, 49.21 
CD,2008, 58.53 
CD,2009, 60.63 
CD,2010, 69.44 
CD,2011, 79.92 
CD,2012, 88.24 
CG,2000," 1,176.63 "
CG,2001," 1,146.05 "
CG,2002," 1,322.20 "
CG,2003," 1,400.95 "
CG,2004," 1,260.86 "
CG,2005," 1,194.89 "
CG,2006," 1,399.83 "
CG,2007," 1,464.90 "
CG,2008," 1,186.42 "
CG,2009," 1,289.31 "
CG,2010," 1,185.48 "
CG,2011," 1,449.75 "
CG,2012," 2,038.08 "
CR,2000," 1,512.66 "
CR,2001," 1,586.15 "
CR,2002," 1,736.02 "
CR,2003," 1,719.92 "
CR,2004," 1,730.82 "
CR,2005," 1,762.03 "
CR,2006," 1,773.84 "
CR,2007," 1,823.75 "
CR,2008," 1,964.82 "
CR,2009," 2,091.53 "
CR,2010," 2,329.07 "
CR,2011," 2,278.85 "
CR,2012," 2,396.72 "
CI,2000, 532.75 
CI,2001, 479.53 
CI,2002, 489.94 
CI,2003, 525.54 
CI,2004, 539.74 
CI,2005, 529.40 
CI,2006, 545.26 
CI,2007, 540.77 
CI,2008, 564.98 
CI,2009, 532.80 
CI,2010, 589.71 
CI,2011, 580.95 
CI,2012, 635.32 
HR,2000,  
HR,2001,  
HR,2002," 7,519.15 "
HR,2003," 7,715.42 "
HR,2004," 7,778.65 "
HR,2005," 7,906.57 "
HR,2006," 8,255.97 "
HR,2007," 8,845.25 "
HR,2008," 8,735.49 "
HR,2009," 8,655.85 "
HR,2010," 8,593.36 "
HR,2011," 8,658.25 "
HR,2012," 8,427.66 "
CY,2000," 8,009.33 "
CY,2001," 8,343.12 "
CY,2002," 8,817.15 "
CY,2003," 9,673.01 "
CY,2004," 9,475.74 "
CY,2005," 9,933.38 "
CY,2006," 10,064.92 "
CY,2007," 10,010.19 "
CY,2008," 10,392.13 "
CY,2009," 11,079.86 "
CY,2010," 11,070.93 "
CY,2011," 10,949.43 "
CY,2012," 10,554.49 "
CZ,2000," 8,103.82 "
CZ,2001," 8,837.63 "
CZ,2002," 9,405.82 "
CZ,2003," 10,699.23 "
CZ,2004," 9,692.43 "
CZ,2005," 10,261.97 "
CZ,2006," 10,682.07 "
CZ,2007," 10,975.71 "
CZ,2008," 11,247.48 "
CZ,2009," 11,592.85 "
CZ,2010," 11,618.32 "
CZ,2011," 11,693.24 "
CZ,2012," 11,881.92 "
DK,2000," 21,994.95 "
DK,2001," 22,271.70 "
DK,2002," 22,435.78 "
DK,2003," 22,643.75 "
DK,2004," 22,900.51 "
DK,2005," 22,625.48 "
DK,2006," 22,763.42 "
DK,2007," 22,661.61 "
DK,2008," 22,639.67 "
DK,2009," 23,882.42 "
DK,2010," 23,909.75 "
DK,2011," 24,057.81 "
DK,2012," 24,588.47 "
DJ,2000, -   
DJ,2001, -   
DJ,2002, -   
DJ,2003, -   
DJ,2004, -   
DJ,2005, -   
DJ,2006, -   
DJ,2007, -   
DJ,2008, -   
DJ,2009, -   
DJ,2010, -   
DJ,2011, -   
DJ,2012, -   
DM,2000," 2,964.10 "
DM,2001," 2,268.32 "
DM,2002," 2,074.32 "
DM,2003," 2,290.05 "
DM,2004," 2,431.92 "
DM,2005," 2,407.88 "
DM,2006," 2,384.83 "
DM,2007," 2,984.07 "
DM,2008," 3,157.15 "
DM,2009," 3,516.73 "
DM,2010," 3,796.47 "
DM,2011," 3,363.91 "
DM,2012," 3,389.47 "
DO,2000," 1,058.25 "
DO,2001," 1,165.57 "
DO,2002," 1,224.56 "
DO,2003," 1,426.03 "
DO,2004," 1,294.15 "
DO,2005," 1,274.66 "
DO,2006," 1,480.96 "
DO,2007," 1,602.79 "
DO,2008," 1,849.19 "
DO,2009," 1,640.64 "
DO,2010," 1,708.93 "
DO,2011," 1,785.58 "
DO,2012," 2,273.53 "
EC,2000," 1,650.36 "
EC,2001," 1,475.68 "
EC,2002," 1,617.39 "
EC,2003," 1,545.24 "
EC,2004," 1,650.37 "
EC,2005," 1,761.66 "
EC,2006," 1,806.63 "
EC,2007," 2,062.69 "
EC,2008," 3,109.47 "
EC,2009," 2,935.91 "
EC,2010," 3,124.29 "
EC,2011," 3,712.93 "
EC,2012," 3,999.53 "
EG,2000,  
EG,2001,  
EG,2002," 2,945.75 "
EG,2003," 2,857.34 "
EG,2004," 2,818.87 "
EG,2005," 2,845.89 "
EG,2006," 3,396.75 "
EG,2007," 3,326.89 "
EG,2008," 3,593.95 "
EG,2009," 3,543.92 "
EG,2010," 3,550.12 "
EG,2011," 3,381.22 "
EG,2012," 3,489.63 "
SV,2000," 1,147.57 "
SV,2001," 1,168.17 "
SV,2002," 1,168.10 "
SV,2003," 1,260.24 "
SV,2004," 1,225.43 "
SV,2005," 1,287.72 "
SV,2006," 1,382.90 "
SV,2007," 1,332.43 "
SV,2008," 1,433.16 "
SV,2009," 1,536.58 "
SV,2010," 1,561.09 "
SV,2011," 1,583.19 "
SV,2012," 1,636.18 "
GQ,2000," 3,109.26 "
GQ,2001," 3,035.72 "
GQ,2002," 2,924.81 "
GQ,2003," 4,443.38 "
GQ,2004," 7,018.99 "
GQ,2005," 6,003.95 "
GQ,2006," 7,979.33 "
GQ,2007," 10,524.39 "
GQ,2008," 10,022.10 "
GQ,2009," 24,612.87 "
GQ,2010," 16,161.80 "
GQ,2011," 14,030.22 "
GQ,2012," 17,915.64 "
ER,2000," 1,072.46 "
ER,2001," 1,043.01 "
ER,2002, 932.48 
ER,2003, 930.78 
ER,2004, 740.86 
ER,2005, 752.42 
ER,2006, 523.32 
ER,2007, 497.82 
ER,2008, 458.60 
ER,2009, 335.43 
ER,2010, 375.06 
ER,2011, 382.84 
ER,2012, 342.83 
EE,2000," 5,275.96 "
EE,2001," 5,424.06 "
EE,2002," 5,964.02 "
EE,2003," 6,279.60 "
EE,2004," 6,538.94 "
EE,2005," 7,054.13 "
EE,2006," 7,781.84 "
EE,2007," 8,470.29 "
EE,2008," 9,484.99 "
EE,2009," 9,204.64 "
EE,2010," 8,545.84 "
EE,2011," 8,687.87 "
EE,2012," 9,476.21 "
ET,2000, 159.37 
ET,2001, 146.97 
ET,2002, 154.63 
ET,2003, 161.81 
ET,2004, 149.17 
ET,2005, 166.08 
ET,2006, 175.38 
ET,2007, 176.94 
ET,2008, 174.45 
ET,2009, 163.42 
ET,2010, 194.41 
ET,2011, 209.91 
ET,2012, 205.78 
FJ,2000," 1,977.80 "
FJ,2001," 2,133.64 "
FJ,2002," 2,267.73 "
FJ,2003," 2,207.56 "
FJ,2004," 2,150.18 "
FJ,2005," 2,150.31 "
FJ,2006," 2,311.24 "
FJ,2007," 2,138.11 "
FJ,2008," 1,931.21 "
FJ,2009," 2,175.97 "
FJ,2010," 2,040.38 "
FJ,2011," 2,158.76 "
FJ,2012," 2,196.75 "
FI,2000," 15,951.35 "
FI,2001," 16,137.66 "
FI,2002," 16,750.10 "
FI,2003," 17,496.99 "
FI,2004," 18,131.25 "
FI,2005," 18,636.19 "
FI,2006," 18,939.72 "
FI,2007," 19,136.22 "
FI,2008," 19,838.14 "
FI,2009," 20,593.20 "
FI,2010," 21,064.76 "
FI,2011," 21,290.45 "
FI,2012," 21,579.54 "
FR,2000," 17,639.93 "
FR,2001," 17,824.58 "
FR,2002," 18,278.53 "
FR,2003," 18,495.32 "
FR,2004," 18,777.57 "
FR,2005," 19,087.15 "
FR,2006," 19,206.84 "
FR,2007," 19,389.39 "
FR,2008," 19,511.94 "
FR,2009," 20,032.82 "
FR,2010," 20,203.31 "
FR,2011," 20,257.55 "
FR,2012," 20,433.19 "
GA,2000," 3,408.32 "
GA,2001," 4,660.04 "
GA,2002," 4,200.47 "
GA,2003," 3,461.35 "
GA,2004," 3,389.75 "
GA,2005," 3,407.43 "
GA,2006," 3,381.44 "
GA,2007," 3,306.97 "
GA,2008," 3,164.63 "
GA,2009," 3,658.11 "
GA,2010," 3,798.71 "
GA,2011," 4,477.57 "
GA,2012," 4,934.52 "
GM,2000, 246.22 
GM,2001, 256.53 
GM,2002, 233.49 
GM,2003, 245.79 
GM,2004, 348.06 
GM,2005, 334.45 
GM,2006, 340.82 
GM,2007, 258.86 
GM,2008, 279.76 
GM,2009, 330.17 
GM,2010, 395.70 
GM,2011, 392.08 
GM,2012, 436.81 
GE,2000, 572.68 
GE,2001, 600.55 
GE,2002, 579.87 
GE,2003, 678.78 
GE,2004, 831.01 
GE,2005," 1,026.31 "
GE,2006," 1,157.45 "
GE,2007," 1,619.87 "
GE,2008," 1,815.22 "
GE,2009," 2,014.91 "
GE,2010," 1,949.24 "
GE,2011," 1,839.07 "
GE,2012," 1,969.04 "
DE,2000," 16,173.54 "
DE,2001," 17,305.34 "
DE,2002," 17,399.22 "
DE,2003," 17,510.38 "
DE,2004," 17,210.10 "
DE,2005," 17,277.00 "
DE,2006," 17,339.21 "
DE,2007," 17,205.64 "
DE,2008," 17,651.36 "
DE,2009," 18,360.57 "
DE,2010," 18,935.35 "
DE,2011," 18,442.40 "
DE,2012," 18,417.43 "
GH,2000, 450.18 
GH,2001, 524.48 
GH,2002, 372.99 
GH,2003, 454.35 
GH,2004, 479.78 
GH,2005, 474.84 
GH,2006, 535.19 
GH,2007, 602.63 
GH,2008, 675.04 
GH,2009, 642.18 
GH,2010, 763.45 
GH,2011, 845.65 
GH,2012," 1,095.74 "
GR,2000," 11,332.35 "
GR,2001," 11,428.12 "
GR,2002," 11,708.04 "
GR,2003," 12,267.49 "
GR,2004," 12,982.11 "
GR,2005," 12,959.69 "
GR,2006," 13,818.89 "
GR,2007," 14,958.22 "
GR,2008," 15,837.14 "
GR,2009," 16,290.76 "
GR,2010," 14,734.08 "
GR,2011," 13,832.26 "
GR,2012," 12,611.61 "
GD,2000," 2,612.50 "
GD,2001," 2,932.61 "
GD,2002," 3,679.32 "
GD,2003," 3,268.46 "
GD,2004," 2,752.38 "
GD,2005," 3,273.60 "
GD,2006," 3,850.52 "
GD,2007," 3,521.02 "
GD,2008," 3,370.17 "
GD,2009," 2,964.67 "
GD,2010," 3,010.75 "
GD,2011," 3,293.94 "
GD,2012," 3,080.27 "
GT,2000, 904.08 
GT,2001, 914.87 
GT,2002, 885.08 
GT,2003, 966.75 
GT,2004, 862.19 
GT,2005, 888.40 
GT,2006, 976.77 
GT,2007, 986.20 
GT,2008, 949.29 
GT,2009, 968.79 
GT,2010, 994.90 
GT,2011," 1,003.47 "
GT,2012, 982.52 
GN,2000, 187.06 
GN,2001, 218.41 
GN,2002, 211.32 
GN,2003, 240.70 
GN,2004, 215.30 
GN,2005, 204.39 
GN,2006, 230.59 
GN,2007, 175.14 
GN,2008, 207.91 
GN,2009, 281.61 
GN,2010, 351.85 
GN,2011, 252.69 
GN,2012, 302.48 
GW,2000, 321.87 
GW,2001, 284.26 
GW,2002, 220.17 
GW,2003, 239.29 
GW,2004, 298.78 
GW,2005, 277.32 
GW,2006, 297.59 
GW,2007, 295.25 
GW,2008, 308.10 
GW,2009, 235.36 
GW,2010, 254.95 
GW,2011, 258.50 
GW,2012, 232.35 
GY,2000," 1,544.50 "
GY,2001," 1,656.02 "
GY,2002," 1,583.80 "
GY,2003," 1,580.97 "
GY,2004," 1,602.54 "
GY,2005," 1,791.39 "
GY,2006," 1,932.23 "
GY,2007," 1,670.25 "
GY,2008," 1,612.15 "
GY,2009," 1,736.09 "
GY,2010," 1,713.83 "
GY,2011," 1,779.65 "
GY,2012," 1,889.89 "
HT,2000, 171.96 
HT,2001, 169.02 
HT,2002, 186.03 
HT,2003, 202.82 
HT,2004, 170.93 
HT,2005, 242.87 
HT,2006, 221.63 
HT,2007, 238.34 
HT,2008, 269.79 
HT,2009, 339.78 
HT,2010, 276.43 
HT,2011, 387.07 
HT,2012, 433.00 
HN,2000, 820.12 
HN,2001, 936.10 
HN,2002," 1,016.29 "
HN,2003," 1,028.62 "
HN,2004," 1,019.97 "
HN,2005, 989.27 
HN,2006," 1,068.39 "
HN,2007," 1,119.60 "
HN,2008," 1,235.79 "
HN,2009," 1,213.55 "
HN,2010," 1,147.25 "
HN,2011," 1,122.88 "
HN,2012," 1,175.80 "
HK,2000,  
HK,2001,  
HK,2002,  
HK,2003,  
HK,2004,  
HK,2005,  
HK,2006,  
HK,2007,  
HK,2008,  
HK,2009,  
HK,2010,  
HK,2011,  
HK,2012,  
HU,2000," 8,708.98 "
HU,2001," 8,789.55 "
HU,2002," 9,926.96 "
HU,2003," 9,988.19 "
HU,2004," 10,371.12 "
HU,2005," 11,018.64 "
HU,2006," 11,952.33 "
HU,2007," 11,635.15 "
HU,2008," 11,434.21 "
HU,2009," 11,151.30 "
HU,2010," 10,987.63 "
HU,2011," 11,212.59 "
HU,2012," 10,805.97 "
IS,2000," 14,254.82 "
IS,2001," 14,873.46 "
IS,2002," 15,336.00 "
IS,2003," 16,077.91 "
IS,2004," 16,577.99 "
IS,2005," 16,802.97 "
IS,2006," 16,939.49 "
IS,2007," 17,768.36 "
IS,2008," 24,079.44 "
IS,2009," 20,175.08 "
IS,2010," 19,344.64 "
IS,2011," 18,337.66 "
IS,2012," 18,319.28 "
IN,2000, 641.15 
IN,2001, 717.44 
IN,2002, 752.12 
IN,2003, 829.05 
IN,2004, 839.42 
IN,2005, 873.02 
IN,2006, 950.10 
IN,2007," 1,023.72 "
IN,2008," 1,180.79 "
IN,2009," 1,204.58 "
IN,2010," 1,262.62 "
IN,2011," 1,302.17 "
IN,2012," 1,356.81 "
ID,2000, 924.47 
ID,2001," 1,248.15 "
ID,2002," 1,094.88 "
ID,2003," 1,189.68 "
ID,2004," 1,245.86 "
ID,2005," 1,219.99 "
ID,2006," 1,361.38 "
ID,2007," 1,437.51 "
ID,2008," 1,577.17 "
ID,2009," 1,396.23 "
ID,2010," 1,461.95 "
ID,2011," 1,558.61 "
ID,2012," 1,746.62 "
IR,2000," 1,928.96 "
IR,2001," 2,045.87 "
IR,2002," 2,591.53 "
IR,2003," 2,715.24 "
IR,2004," 2,582.70 "
IR,2005," 3,240.50 "
IR,2006," 3,505.80 "
IR,2007," 3,183.45 "
IR,2008," 3,610.97 "
IR,2009," 3,400.98 "
IR,2010," 3,325.51 "
IR,2011," 3,109.30 "
IR,2012," 2,365.42 "
IQ,2000,  
IQ,2001,  
IQ,2002,  
IQ,2003,  
IQ,2004," 9,640.00 "
IQ,2005," 6,777.07 "
IQ,2006," 5,799.11 "
IQ,2007," 5,260.75 "
IQ,2008," 6,799.03 "
IQ,2009," 7,218.29 "
IQ,2010," 6,329.26 "
IQ,2011," 5,913.33 "
IQ,2012," 6,288.29 "
IE,2000," 12,418.82 "
IE,2001," 13,640.07 "
