country-from,country to,sector,bundle,channel,oda
2,KE,F,A,C,113092042
2,KE,F,E,C,178740
2,KE,H,A,C,26791642
2,KE,H,E,C,29654
2,KE,I,A,C,0
2,KE,J,A,C,3242942
2,KE,K,A,C,3136399
2,KE,L,A,C,0
2,KE,N,A,C,0
2,KM,A,A,C,0
2,KM,C,E,C,785177
2,KM,D,B,C,1685865
2,KM,D,E,C,114449
2,KM,F,A,C,0
2,KM,H,A,C,0
2,KM,L,A,C,0
2,KM,M,F,C,30001113
2,LR,A,A,C,0
2,LR,A,E,C,176027
2,LR,C,E,C,236583
2,LR,D,E,C,0
2,LR,E,B,C,5392811
2,LR,F,A,C,0
2,LR,G,A,C,0
2,LR,H,B,C,1578173
2,LR,H,E,C,1180250
2,LR,I,A,C,0
2,LR,K,E,C,208343
2,LS,A,A,C,722058
2,LS,A,E,C,254236
2,LS,B,A,C,983289
2,LS,C,A,C,0
2,LS,D,A,C,0
2,LS,F,A,C,5263371
2,LS,F,B,C,1146124
2,LS,G,A,C,0
2,LS,H,A,C,0
2,LS,K,A,C,0
2,LS,L,A,C,0
2,MA,A,A,C,0
2,MA,B,A,C,0
2,MA,F,A,C,0
2,MA,H,A,C,0
2,MG,A,A,C,0
2,MG,B,A,C,0
2,MG,B,E,C,569826
2,MG,C,A,C,3246473
2,MG,F,A,C,3788836
2,MG,F,E,C,371159
2,MG,G,A,C,0
2,MG,H,A,C,1419557
2,MG,K,A,C,369916
2,MG,K,E,C,29631
2,MG,L,A,C,0
2,MG,M,F,C,8431
2,ML,A,A,C,1258277
2,ML,A,E,C,514911
2,ML,B,A,C,0
2,ML,B,B,C,2234643
2,ML,C,A,C,3199578
2,ML,C,E,C,210862
2,ML,D,A,C,4886
2,ML,D,E,C,231108
2,ML,F,A,C,12878273
2,ML,G,A,C,0
2,ML,H,A,C,7044046
2,ML,J,A,C,0
2,ML,K,A,C,2105754
2,ML,L,A,C,0
2,MR,A,A,C,0
2,MR,B,A,C,0
2,MR,C,A,C,1574120
2,MR,F,A,C,0
2,MR,G,A,C,1428154
2,MR,H,A,C,362844
2,MU,A,A,C,0
2,MU,C,A,C,0
2,MU,F,A,C,0
2,MW,A,A,C,2814734
2,MW,A,B,C,2464209
2,MW,A,E,C,0
2,MW,B,A,C,0
2,MW,B,B,C,1243944
2,MW,C,A,C,4258355
2,MW,C,B,C,8479689
2,MW,E,A,C,0
2,MW,F,A,C,8733203
2,MW,G,A,C,393546
2,MW,H,A,C,0
2,MW,H,B,C,5130297
2,MW,H,E,C,891189
2,MW,K,A,C,769031
2,MW,L,A,C,0
2,MW,L,B,C,39817871
2,MZ,A,A,C,0
2,MZ,B,A,C,0
2,MZ,C,A,C,2133618
2,MZ,F,A,C,26929188
2,MZ,F,E,C,931757
2,MZ,G,A,C,0
2,MZ,G,B,C,910814
2,MZ,H,A,C,11135894
2,MZ,H,B,C,2071903
2,MZ,I,A,C,0
2,MZ,L,A,C,30911015
2,NA,A,A,C,0
2,NA,F,A,C,0
2,NE,A,A,C,0
2,NE,A,E,C,293645
2,NE,B,A,C,0
2,NE,C,A,C,222035
2,NE,C,B,C,1032012
2,NE,F,A,C,3012706
2,NE,H,A,C,862076
2,NE,H,B,C,5550145
2,NE,J,A,C,0
2,NE,K,A,C,683423
2,NE,L,A,C,15008274
2,NG,A,A,C,4754828
2,NG,B,A,C,0
2,NG,C,A,C,4733234
2,NG,F,A,C,28812519
2,NG,H,A,C,10515649
2,NG,I,A,C,0
2,NG,K,A,C,0
2,RW,A,A,C,83372
2,RW,A,E,C,89025
2,RW,B,A,C,0
2,RW,C,A,C,0
2,RW,C,B,C,4446393
2,RW,D,B,C,3325854
2,RW,D,E,C,906994
2,RW,F,A,C,7107305
2,RW,F,B,C,11259599
2,RW,F,E,C,300786
2,RW,G,A,C,0
2,RW,H,A,C,3663351
2,RW,H,B,C,3868048
2,RW,H,E,C,1117703
2,RW,K,A,C,0
2,RW,L,A,C,13492132
2,RW,M,F,C,377842
