country-id,year,population-65-
SDN,2006,3.05
SDN,2007,3.07
SDN,2008,3.09
SDN,2009,3.12
SDN,2010,3.14
SDN,2011,3.17
SDN,2012,3.2
SEN,2005,3.17
SEN,2006,3.16
SEN,2007,3.15
SEN,2008,3.14
SEN,2009,3.12
SEN,2010,3.09
SEN,2011,3.06
SEN,2012,3.02
SLB,2005,2.99
SLB,2006,3.05
SLB,2007,3.11
SLB,2008,3.18
SLB,2009,3.24
SLB,2010,3.29
SLB,2011,3.33
SLB,2012,3.35
SLE,2005,2.44
SLE,2006,2.46
SLE,2007,2.49
SLE,2008,2.51
SLE,2009,2.54
SLE,2010,2.57
SLE,2011,2.59
SLE,2012,2.62
SLV,2005,6.21
SLV,2006,6.36
SLV,2007,6.49
SLV,2008,6.63
SLV,2009,6.76
SLV,2010,6.87
SLV,2011,6.97
SLV,2012,7.06
SOM,2005,2.91
SOM,2006,2.89
SOM,2007,2.87
SOM,2008,2.85
SOM,2009,2.83
SOM,2010,2.82
SOM,2011,2.82
SOM,2012,2.81
SRB,2005,13.95
SRB,2006,13.95
SRB,2007,13.89
SRB,2008,13.79
SRB,2009,13.73
SRB,2010,13.74
SRB,2011,13.84
SRB,2012,14.03
SSD,2005,3.21
SSD,2006,3.25
SSD,2007,3.29
SSD,2008,3.33
SSD,2009,3.37
SSD,2010,3.41
SSD,2011,3.44
SSD,2012,3.47
STP,2005,3.99
STP,2006,3.94
STP,2007,3.87
STP,2008,3.79
STP,2009,3.7
STP,2010,3.62
STP,2011,3.53
STP,2012,3.45
SUR,2005,6.08
SUR,2006,6.15
SUR,2007,6.23
SUR,2008,6.3
SUR,2009,6.38
SUR,2010,6.44
SUR,2011,6.51
SUR,2012,6.57
SWZ,2005,3.16
SWZ,2006,3.2
SWZ,2007,3.23
SWZ,2008,3.27
SWZ,2009,3.3
SWZ,2010,3.34
SWZ,2011,3.38
SWZ,2012,3.43
SYC,2005,7.51
SYC,2006,7.47
SYC,2007,7.48
SYC,2008,7.51
SYC,2009,7.56
SYC,2010,7.59
SYC,2011,7.63
SYC,2012,7.67
SYR,2005,3.41
SYR,2006,3.45
SYR,2007,3.5
SYR,2008,3.57
SYR,2009,3.64
SYR,2010,3.73
SYR,2011,3.83
SYR,2012,3.94
TCD,2005,2.67
TCD,2006,2.63
TCD,2007,2.6
TCD,2008,2.57
TCD,2009,2.54
TCD,2010,2.51
TCD,2011,2.47
TCD,2012,2.44
TGO,2005,2.77
TGO,2006,2.76
TGO,2007,2.76
TGO,2008,2.75
TGO,2009,2.75
TGO,2010,2.74
TGO,2011,2.74
TGO,2012,2.74
THA,2005,7.71
THA,2006,7.93
THA,2007,8.15
THA,2008,8.38
THA,2009,8.62
THA,2010,8.87
THA,2011,9.13
THA,2012,9.42
TJK,2005,3.74
TJK,2006,3.69
TJK,2007,3.6
TJK,2008,3.5
TJK,2009,3.39
TJK,2010,3.3
TJK,2011,3.24
TJK,2012,3.2
TKM,2005,4.57
TKM,2006,4.52
TKM,2007,4.43
TKM,2008,4.31
TKM,2009,4.2
TKM,2010,4.12
TKM,2011,4.07
TKM,2012,4.05
TMP,2005,2.74
TMP,2006,2.81
TMP,2007,2.88
TMP,2008,2.95
TMP,2009,3.02
TMP,2010,3.09
TMP,2011,3.15
TMP,2012,3.22
TON,2005,6.04
TON,2006,6.03
TON,2007,5.99
TON,2008,5.95
TON,2009,5.9
TON,2010,5.86
TON,2011,5.85
TON,2012,5.85
TUN,2005,6.72
TUN,2006,6.78
TUN,2007,6.83
TUN,2008,6.87
TUN,2009,6.9
TUN,2010,6.95
TUN,2011,7.01
TUN,2012,7.08
TUR,2005,6.56
TUR,2006,6.65
TUR,2007,6.75
TUR,2008,6.85
TUR,2009,6.95
TUR,2010,7.05
TUR,2011,7.15
TUR,2012,7.26
TUV,2005,
TUV,2006,
TUV,2007,
TUV,2008,
TUV,2009,
TUV,2010,
TUV,2011,
TUV,2012,
TZA,2005,3
TZA,2006,3.02
TZA,2007,3.05
TZA,2008,3.07
TZA,2009,3.09
TZA,2010,3.12
TZA,2011,3.14
TZA,2012,3.17
UGA,2005,2.5
UGA,2006,2.48
UGA,2007,2.47
UGA,2008,2.46
UGA,2009,2.45
UGA,2010,2.45
UGA,2011,2.44
UGA,2012,2.43
UKR,2005,15.81
UKR,2006,16.01
UKR,2007,16.08
UKR,2008,16.05
UKR,2009,15.94
UKR,2010,15.78
UKR,2011,15.57
UKR,2012,15.3
URY,2005,13.54
URY,2006,13.61
URY,2007,13.68
URY,2008,13.74
URY,2009,13.81
URY,2010,13.87
URY,2011,13.95
URY,2012,14.03
UZB,2005,4.72
UZB,2006,4.7
UZB,2007,4.64
UZB,2008,4.56
UZB,2009,4.47
UZB,2010,4.39
UZB,2011,4.33
UZB,2012,4.29
VCT,2005,7.18
VCT,2006,7.12
VCT,2007,7.01
VCT,2008,6.88
VCT,2009,6.78
VCT,2010,6.74
VCT,2011,6.76
VCT,2012,6.83
VEN,2005,4.98
VEN,2006,5.08
VEN,2007,5.2
VEN,2008,5.33
VEN,2009,5.47
VEN,2010,5.63
VEN,2011,5.8
VEN,2012,5.98
VNM,2005,6.57
VNM,2006,6.57
VNM,2007,6.56
VNM,2008,6.55
VNM,2009,6.54
VNM,2010,6.54
VNM,2011,6.54
VNM,2012,6.55
VUT,2005,3.31
VUT,2006,3.42
VUT,2007,3.57
VUT,2008,3.73
VUT,2009,3.86
VUT,2010,3.95
VUT,2011,3.98
VUT,2012,3.98
WBG,2005,2.53
WBG,2006,2.58
WBG,2007,2.62
WBG,2008,2.66
WBG,2009,2.71
WBG,2010,2.76
WBG,2011,2.83
WBG,2012,2.89
WSM,2005,4.84
WSM,2006,4.9
WSM,2007,4.94
WSM,2008,4.99
WSM,2009,5.02
WSM,2010,5.05
WSM,2011,5.07
WSM,2012,5.1
YEM,2005,2.64
YEM,2006,2.64
YEM,2007,2.64
YEM,2008,2.66
YEM,2009,2.69
YEM,2010,2.73
YEM,2011,2.77
YEM,2012,2.82
ZAF,2005,4.37
ZAF,2006,4.56
ZAF,2007,4.75
ZAF,2008,4.93
ZAF,2009,5.09
ZAF,2010,5.23
ZAF,2011,5.34
ZAF,2012,5.44
ZAR,2005,2.82
ZAR,2006,2.82
ZAR,2007,2.82
ZAR,2008,2.82
ZAR,2009,2.83
ZAR,2010,2.83
ZAR,2011,2.84
ZAR,2012,2.84
ZMB,2005,2.71
ZMB,2006,2.7
ZMB,2007,2.69
ZMB,2008,2.68
ZMB,2009,2.67
ZMB,2010,2.65
ZMB,2011,2.64
ZMB,2012,2.63
ZWE,2005,3.68
ZWE,2006,3.75
ZWE,2007,3.83
ZWE,2008,3.9
ZWE,2009,3.96
ZWE,2010,3.98
ZWE,2011,3.97
ZWE,2012,3.94
