id,year,direction,flow-type,flow-name,value
AF,2007,out,official,oda-capital-payments-out,4110000
AF,2007,in,official,oda-in,5326700000
AF,2007,out,official,oda-interest-payments-out,6910000
AF,2007,out,official,oofs-capital-payments-out,29820000
AF,2007,in,official,oofs-in,25430000
AF,2007,out,official,oofs-interest-payments-out,17360000
AF,2007,in,private,pda-in,NA
AF,2007,in,private,remittances-in,NA
AF,2007,out,private,remittances-out,NA
AF,2007,out,commercial,short-debt-interest-out,0
AF,2007,in,commercial,short-debt-net-flow-in,0
AF,2007,in,official,ssc-in,NA
AF,2007,out,illicit,trade-mispricing-out,0
AF,2008,in,official,dfis-in,NA
AF,2008,in,commercial,fdi-in,117245140.8
AF,2008,in,commercial,fdi-in-profits-out,110630.7289
AF,2008,out,commercial,fdi-out,NA
AF,2008,out,illicit,illicit-financing-out,0
AF,2008,out,commercial,long-debt-capital-payments-out,1609841.302
AF,2008,in,commercial,long-debt-disbursement-in,0
AF,2008,in,official,long-debt-net-official-in,0
AF,2008,out,commercial,long-debt-interest-payments-out,7448745.643
AF,2008,in,commercial,net-portfolio-equity-in,-1195756.829
AF,2008,out,official,oda-capital-payments-out,10460000
AF,2008,in,official,oda-in,5059610000
AF,2008,out,official,oda-interest-payments-out,13540000
AF,2008,out,official,oofs-capital-payments-out,25420000
AF,2008,in,official,oofs-in,48590000
AF,2008,out,official,oofs-interest-payments-out,8140000
AF,2008,in,private,pda-in,NA
AF,2008,in,private,remittances-in,NA
AF,2008,out,private,remittances-out,234965169.3
AF,2008,out,commercial,short-debt-interest-out,0
AF,2008,in,commercial,short-debt-net-flow-in,0
AF,2008,in,official,ssc-in,NA
AF,2008,out,illicit,trade-mispricing-out,0
AF,2009,in,official,dfis-in,NA
AF,2009,in,commercial,fdi-in,96809635.39
AF,2009,in,commercial,fdi-in-profits-out,150789.4376
AF,2009,out,commercial,fdi-out,NA
AF,2009,out,illicit,illicit-financing-out,0
AF,2009,out,commercial,long-debt-capital-payments-out,4013732.19
AF,2009,in,commercial,long-debt-disbursement-in,0
AF,2009,in,official,long-debt-net-official-in,0
AF,2009,out,commercial,long-debt-interest-payments-out,8346262.09
AF,2009,in,commercial,net-portfolio-equity-in,0
AF,2009,out,official,oda-capital-payments-out,4380000
AF,2009,in,official,oda-in,6583240000
AF,2009,out,official,oda-interest-payments-out,8910000
