country,year,population-rural
MD,2010,1890164
MD,2011,1863453
MD,2012,1837595
ME,2005,232780
ME,2006,232065
ME,2007,231314
ME,2008,230523
ME,2009,229696
ME,2010,228834
ME,2011,227847
ME,2012,226811
MG,2005,13020200
MG,2006,13284242
MG,2007,13548016
MG,2008,13812530
MG,2009,14079149
MG,2010,14348837
MG,2011,14618452
MG,2012,14890819
MH,2005,15637
MH,2006,15481
MH,2007,15337
MH,2008,15201
MH,2009,15065
MH,2010,14925
MH,2011,14783
MH,2012,14639
ML,2005,8228243
ML,2006,8414576
ML,2007,8606699
ML,2008,8802161
ML,2009,8997895
ML,2010,9191993
ML,2011,9381576
ML,2012,9569473
MM,2005,35435327
MM,2006,35388126
MM,2007,35344323
MM,2008,35308128
MM,2009,35282867
MM,2010,35270134
MM,2011,35256982
MM,2012,35257099
MN,2005,947590
MN,2006,933996
MN,2007,920647
MN,2008,907333
MN,2009,893794
MN,2010,879822
MN,2011,868727
MN,2012,857139
MU,2005,718849
MU,2006,725315
MU,2007,730787
MU,2008,736536
MU,2009,741314
MU,2010,745767
MU,2011,748515
MU,2012,751423
MV,2005,197144
MV,2006,196840
MV,2007,196510
MV,2008,196163
MV,2009,195807
MV,2010,195436
MV,2011,195482
MV,2012,195507
MW,2005,10979055
MW,2006,11291204
MW,2007,11622465
MW,2008,11968360
MW,2009,12322457
MW,2010,12680116
MW,2011,13031379
MW,2012,13385592
MX,2005,26234584
MX,2006,26222525
MX,2007,26208586
MX,2008,26191789
MX,2009,26169972
MX,2010,26141310
MX,2011,26133187
MX,2012,26119249
MY,2005,8379744
MY,2006,8303251
MY,2007,8219133
MY,2008,8126926
MY,2009,8025901
MY,2010,7915537
MY,2011,7855800
MY,2012,7788932
MZ,2005,14707473
MZ,2006,15069933
MZ,2007,15435155
MZ,2008,15803020
MZ,2009,16173725
MZ,2010,16547479
MZ,2011,16908146
MZ,2012,17271080
NA,2005,1316695
NA,2006,1322129
NA,2007,1328465
NA,2008,1335962
NA,2009,1344766
NA,2010,1354925
NA,2011,1366257
NA,2012,1379052
NE,2005,10977885
NE,2006,11366631
NE,2007,11771597
NE,2008,12193781
NE,2009,12634236
NE,2010,13093904
NE,2011,13561128
NE,2012,14048049
NG,2005,75725346
NG,2006,76816505
NG,2007,77935115
NG,2008,79080919
NG,2009,80253054
NG,2010,81449371
NG,2011,82728277
NG,2012,84029583
NI,2005,2403951
NI,2006,2420095
NI,2007,2436261
NI,2008,2452854
NI,2009,2470309
NI,2010,2488878
NI,2011,2506357
NI,2012,2524868
NP,2005,21469416
NP,2006,21680658
NP,2007,21867876
NP,2008,22039216
NP,2009,22205482
NP,2010,22374544
NP,2011,22540925
NP,2012,22711529
PA,2005,984837
PA,2006,976611
PA,2007,967400
PA,2008,957201
PA,2009,946014
PA,2010,933840
PA,2011,927695
PA,2012,920783
PE,2005,6921394
PE,2006,6892914
PE,2007,6859781
PE,2008,6824292
PE,2009,6789261
PE,2010,6756495
PE,2011,6739164
PE,2012,6724164
PG,2005,5329880
PG,2006,5462574
PG,2007,5597088
PG,2008,5732934
PG,2009,5869474
PG,2010,6006241
PG,2011,6136201
PG,2012,6265945
PH,2005,44598710
PH,2006,45294326
PH,2007,45967322
PH,2008,46629777
PH,2009,47298524
PH,2010,47985528
PH,2011,48585994
PH,2012,49201307
PK,2005,103501291
PK,2006,104973009
PK,2007,106485548
PK,2008,108018156
PK,2009,109537474
PK,2010,111019872
PK,2011,112366651
PK,2012,113678524
PS,2005,894481
PS,2006,910329
PS,2007,926398
PS,2008,945778
PS,2009,965590
PS,2010,985818
PS,2011,1007226
PS,2012,1029119
PW,2005,4439
PW,2006,4236
PW,2007,4030
PW,2008,3823
PW,2009,3614
PW,2010,3405
PW,2011,3273
PW,2012,3142
PY,2005,2452297
PY,2006,2463245
PY,2007,2472863
PY,2008,2481281
PY,2009,2488669
PY,2010,2495132
PY,2011,2504034
PY,2012,2512067
RS,2005,3390535
RS,2006,3353513
RS,2007,3316322
RS,2008,3278713
RS,2009,3242166
RS,2010,3205826
RS,2011,3166337
RS,2012,3126137
RW,2005,7775625
RW,2006,7941955
RW,2007,8136371
RW,2008,8351996
RW,2009,8575804
RW,2010,8798343
RW,2011,9013611
RW,2012,9231734
SB,2005,385718
SB,2006,393010
SB,2007,400172
SB,2008,407227
SB,2009,414205
SB,2010,421131
SB,2011,427922
SB,2012,434647
SC,2005,40119
SC,2006,40666
SC,2007,40597
SC,2008,41232
SC,2009,41110
SC,2010,41981
SC,2011,40552
SC,2012,40609
SD,2005,21238340
SD,2006,21763109
SD,2007,22292900
SD,2008,22822366
SD,2009,23344937
SD,2010,23856894
SD,2011,24323033
SD,2012,24777161
SL,2005,3212069
SL,2006,3296048
SL,2007,3362901
SL,2008,3417158
SL,2009,3466315
SL,2010,3515838
SL,2011,3562946
SL,2012,3609023
SN,2005,6636150
SN,2006,6793710
SN,2007,6955672
SN,2008,7123025
SN,2009,7297112
SN,2010,7478692
SN,2011,7657202
SN,2012,7842005
SO,2005,5489963
SO,2006,5596094
SO,2007,5701911
SO,2008,5809786
SO,2009,5922771
SO,2010,6042940
SO,2011,6166639
SO,2012,6297351
SR,2005,164048
SR,2006,163719
SR,2007,163207
SR,2008,162552
SR,2009,161812
SR,2010,161026
SR,2011,160396
SR,2012,159721
SS,2005,6660281
SS,2006,6928126
SS,2007,7213434
SS,2008,7515702
SS,2009,7833792
SS,2010,8165678
SS,2011,8506884
SS,2012,8859635
ST,2005,64903
ST,2006,65403
ST,2007,65995
ST,2008,66625
ST,2009,67226
ST,2010,67748
ST,2011,68417
ST,2012,69009
SV,2005,2328940
SV,2006,2306110
SV,2007,2283812
