country,year,out-oof-gross,capital-repayment,interest-repayment
ES,2011,3780000,0,0
SE,2011,50720000,179640000,21590000
CH,2011,0,0,0
GB,2011,19990000,59910000,0
US,2011,4779860000,2168220000,760660000
1,2011,2977940000,977170000,532710000
4,2011,0,0,0
5,2011,5491840000,2411950000,597450000
7,2011,0,0,0
8,2011,81130000,45770000,29250000
9,2011,3937660000,1636930000,447700000
EU,2011,919540000,1663170000,668420000
14,2011,15589690000,13822420000,2148020000
16,2011,7015850000,4424250000,2169460000
18,2011,47700000,36650000,1710000
19,2011,4619840000,3228420000,1076910000
22,2011,1643650000,106400000,0
24,2011,0,0,0
25,2011,598550000,282380000,0
KW,2011,0,0,0
SA,2011,0,0,0
TR,2011,37150000,25480000,4200000
AE,2011,23970000,0,0
AU,2012,326860000,0,0
AT,2012,147710000,99230000,840000
BE,2012,146760000,91810000,0
CA,2012,3996690000,2370880000,282960000
DK,2012,37110000,31590000,8770000
FI,2012,14210000,4840000,3270000
FR,2012,1272330000,1800650000,580400000
DE,2012,1288400000,2134130000,478370000
GR,2012,0,0,0
IT,2012,197600000,1450000,0
JP,2012,12236270000,6030350000,838360000
KR,2012,4530060000,3358660000,273920000
LU,2012,0,0,0
NL,2012,0,0,0
NZ,2012,11270000,0,0
NO,2012,0,210000,0
PT,2012,2060000,130000,110000
ES,2012,2480000,0,0
SE,2012,49220000,97660000,5950000
CH,2012,0,0,0
GB,2012,63740000,27720000,0
US,2012,3455130000,993250000,-597060000
1,2012,3510110000,849650000,590330000
4,2012,0,0,0
5,2012,6899660000,2917610000,677190000
7,2012,0,0,0
8,2012,36000000,46270000,26490000
9,2012,3336320000,1523170000,0
EU,2012,762060000,1761480000,687320000
14,2012,15136130000,7411390000,2297200000
16,2012,6446510000,4532390000,2104120000
18,2012,63390000,35590000,2070000
19,2012,6414080000,4232670000,1178090000
22,2012,1304530000,485970000,0
24,2012,0,0,0
25,2012,447930000,350690000,0
KW,2012,0,0,0
SA,2012,0,0,0
TR,2012,70090000,13540000,4380000
AE,2012,60820000,250000,0
AU,2013,492930000,0,0
AT,2013,617750000,186820000,86290000
BE,2013,187040000,114230000,0
CA,2013,3228360000,2070170000,338200000
DK,2013,44530000,36760000,7340000
