id,year,population-rural,population-urban
RW,2004,7549167,1705212
SA,2004,4588098,19251133
SD,2004,20711824,10066748
SN,2004,6477117,4490451
SG,2004,0,4166700
SB,2004,378106,79721
SL,2004,3124660,1803515
SV,2004,2353142,3697155
SM,2004,1756,27534
SO,2004,5382277,2867688
RS,2004,3413723,4049434
SS,2004,6414271,1315909
ST,2004,64645,86197
SR,2004,164118,329276
SK,2004,2379222,2993058
SI,2004,986664,1010348
SE,2004,1415762,7577769
SZ,2004,852094,242664
SX,2004,0,35318
SC,2004,40556,41944
SY,2004,8234017,9441995
TC,2004,3206,21819
TD,2004,7561142,2103882
TG,2004,3523501,1874350
TH,2004,41489312,23598088
TJ,2004,4903519,1760410
TM,2004,2498174,2198702
TL,2004,718375,248612
TO,2004,77118,23201
TT,2004,1160412,129967
TN,2004,3483392,6449008
TR,2004,21938737,44906898
TV,2004,4951,4695
TZ,2004,28617289,9147850
UG,2004,24225307,3541679
UA,2004,15375742,32075858
UY,2004,230075,3093747
US,2004,59272576,233532722
UZ,2004,16339544,9524806
VC,2004,57936,50626
VE,2004,3014275,23247051
VI,2004,7059,100891
