country-id,year,short-debt-usd-2012
CN,2004,52922440106
CN,2005,59198385964
CN,2006,42877361164
CN,2007,45891348887
CN,2008,-21178830750
CN,2009,67657961708
CN,2010,1.26207E+11
CN,2011,1.35084E+11
CN,2012,32681000000
CO,2000,-2444537448
CO,2001,961176943
CO,2002,883148247
CO,2003,-263027667
CO,2004,3399722821
CO,2005,1921227768
CO,2006,-2472491982
CO,2007,583601491
CO,2008,609358011
CO,2009,-2217483141
CO,2010,4520618331
CO,2011,2831397380
CO,2012,90764000
CR,2000,302303154
CR,2001,342517408
CR,2002,568108649
CR,2003,217529776
CR,2004,100427127
CR,2005,701542731
CR,2006,411249557
CR,2007,1294063857
CR,2008,1005761274
CR,2009,-2337054883
CR,2010,213364511
CR,2011,396842397
CR,2012,28785000
CV,2000,-26865028
CV,2001,
CV,2002,
CV,2003,
CV,2004,
CV,2005,
CV,2006,
CV,2007,
CV,2008,
CV,2009,
CV,2010,
CV,2011,
CV,2012,
DJ,2000,59605421
DJ,2001,-1499126
DJ,2002,-11986168
DJ,2003,-36680712
DJ,2004,45502737
DJ,2005,57845533
DJ,2006,23945332
DJ,2007,62114195
DJ,2008,-1155862
DJ,2009,-31886069
DJ,2010,-3284972
DJ,2011,-30228334
DJ,2012,22000000
DM,2000,240416
DM,2001,3551237
DM,2002,1760923
DM,2003,56506182
DM,2004,-3492973
DM,2005,-41189807
DM,2006,-24085492
DM,2007,42711249
DM,2008,18819049
DM,2009,-47222175
DM,2010,-21086664
DM,2011,4163028
DM,2012,
DO,2000,358796460
DO,2001,159266349
DO,2002,951861473
DO,2003,-1647851423
DO,2004,-163148124
DO,2005,-26218222
DO,2006,619442943
DO,2007,1217919270
DO,2008,-569288814
DO,2009,-582835964
DO,2010,343247151
DO,2011,415754432
DO,2012,27000000
DZ,2000,64438480
DZ,2001,-58223247
DZ,2002,-230209300
DZ,2003,86055753
DZ,2004,535902602
DZ,2005,140145981
DZ,2006,36591066
DZ,2007,276093201
DZ,2008,591727948
DZ,2009,255580936
DZ,2010,340915391
DZ,2011,-631674755
DZ,2012,63374000
EC,2000,-707198252
EC,2001,1280779306
EC,2002,1823591216
EC,2003,-959500276
EC,2004,156099750
EC,2005,-228472539
EC,2006,408065236
EC,2007,-175037468
EC,2008,-261738628
EC,2009,-361684170
EC,2010,-646253131
EC,2011,-70521119
EC,2012,-70596000
EG,2000,-296042123
EG,2001,-3146193773
EG,2002,-110544296
EG,2003,-605577695
EG,2004,-332468786
EG,2005,-133566831
EG,2006,120835400
EG,2007,846207376
EG,2008,855953919
EG,2009,-357212245
EG,2010,677634081
EG,2011,-134410280
EG,2012,3631610000
ER,2000,34494959
ER,2001,28176154
ER,2002,44907781
ER,2003,-12210061
ER,2004,12147198
ER,2005,-50338774
ER,2006,9039865
ER,2007,-4212252
ER,2008,
ER,2009,-7004314
ER,2010,2511551
ER,2011,1107814
ER,2012,-5000000
ET,2000,-21013660
ET,2001,-4574210
ET,2002,13160960
ET,2003,47148609
ET,2004,94397900
ET,2005,-15386956
ET,2006,-68131184
ET,2007,-31479405
ET,2008,1511509
ET,2009,-4650828
ET,2010,323851336
ET,2011,-173388275
ET,2012,-134000000
GA,2000,-537173108
GA,2001,5451511
GA,2002,-204967269
GA,2003,-336820047
GA,2004,-101386607
GA,2005,88913838
GA,2006,40033454
GA,2007,149776812
GA,2008,-102069528
GA,2009,-8669684
GA,2010,72789602
GA,2011,13494298
GA,2012,-74000000
GD,2000,-5331867
GD,2001,43392071
GD,2002,20532895
GD,2003,-1313830
GD,2004,-3751154
GD,2005,-74463219
GD,2006,31461995
GD,2007,9110818
GD,2008,12676755
GD,2009,-27479426
GD,2010,1051500
GD,2011,-6291979
GD,2012,-2000000
GE,2000,90605070
GE,2001,43080474
GE,2002,-66624863
GE,2003,-4586177
GE,2004,131133620
GE,2005,-101389278
GE,2006,595645412
GE,2007,181098670
GE,2008,398262115
GE,2009,-171009134
GE,2010,186307750
GE,2011,522148416
GE,2012,308927000
GH,2000,-340382473
GH,2001,-64797226
GH,2002,73119079
GH,2003,196819775
GH,2004,18355829
GH,2005,-148332854
GH,2006,672227780
GH,2007,141549720
GH,2008,84394376
GH,2009,-65479999
GH,2010,965712797
GH,2011,438995610
GH,2012,-219000000
GM,2000,5222209
GM,2001,-573996
GM,2002,12023896
GM,2003,-8870663
GM,2004,-7503248
GM,2005,-3448283
GM,2006,-4429341
GM,2007,3762904
GM,2008,-5770984
GM,2009,25352071
GM,2010,934873
GM,2011,-40116799
GM,2012,21000000
GN,2000,-16230027
GN,2001,-55272006
GN,2002,3386195
GN,2003,-158911450
GN,2004,-69599534
GN,2005,
GN,2006,102728546
GN,2007,-21193737
GN,2008,127353718
GN,2009,-170175467
GN,2010,69909898
GN,2011,-60349331
GN,2012,-11000000
GT,2000,66625490
GT,2001,18439547
GT,2002,-34481511
GT,2003,542923202
GT,2004,52168514
GT,2005,-234340413
GT,2006,593197109
GT,2007,680875714
GT,2008,170005168
GT,2009,-1115371679
GT,2010,406480981
GT,2011,695697339
GT,2012,-295000000
GW,2000,17309344
GW,2001,-4866989
GW,2002,-6305635
GW,2003,-2717829
GW,2004,-1321729
GW,2005,-1191725
GW,2006,-2413338
GW,2007,7293679
GW,2008,-4393531
GW,2009,4590192
GW,2010,-5685913
GW,2011,-862264
GW,2012,1000000
GY,2000,-24419824
GY,2001,-29031372
GY,2002,15042393
GY,2003,-30508953
GY,2004,6799152
GY,2005,-49267777
GY,2006,114262953
GY,2007,-102524660
GY,2008,
GY,2009,120898645
GY,2010,237532860
GY,2011,205821068
GY,2012,-25000000
HN,2000,-101288629
HN,2001,-30367930
HN,2002,250076089
HN,2003,-166456343
HN,2004,-3089330
HN,2005,-90033480
HN,2006,-40536191
HN,2007,40933874
HN,2008,185715070
HN,2009,-255028690
HN,2010,135006549
HN,2011,-102840682
HN,2012,77900000
HT,2000,-10608789
HT,2001,182710683
HT,2002,-71552478
HT,2003,-121728425
HT,2004,-95241142
HT,2005,-55227718
HT,2006,142986908
HT,2007,-135760326
HT,2008,
HT,2009,
HT,2010,
HT,2011,
HT,2012,
HU,2000,1351050256
HU,2001,952588412
HU,2002,226406303
HU,2003,5032177577
HU,2004,10427605315
HU,2005,1692852853
HU,2006,4687172837
HU,2007,10300686842
HU,2008,-4470975815
HU,2009,570984201
HU,2010,3998285474
HU,2011,-1064484061
HU,2012,-8895065000
ID,2000,1487363221
ID,2001,-7994871694
ID,2002,-8196905697
ID,2003,1922264202
ID,2004,5508236250
ID,2005,-7395508225
ID,2006,2014835305
ID,2007,9819598198
ID,2008,2506043866
ID,2009,4828536286
ID,2010,9840034258
ID,2011,5007777580
ID,2012,6590650000
IN,2000,-796907336
IN,2001,-1232247828
IN,2002,2263419031
IN,2003,3419358569
IN,2004,760162731
IN,2005,2612064003
IN,2006,20922882643
IN,2007,11890863206
IN,2008,8790916061
IN,2009,3075030944
IN,2010,9589652164
IN,2011,20392820089
IN,2012,15297000000
IR,2000,-1542553285
IR,2001,-2171310155
IR,2002,139255946
IR,2003,5843382228
IR,2004,10174963231
IR,2005,700836087
IR,2006,-2289273268
IR,2007,955011992
IR,2008,-3504529850
IR,2009,2353872659
IR,2010,2770251386
IR,2011,-2445869216
IR,2012,-3138000000
JM,2000,-32285562
JM,2001,198078113
JM,2002,-234749454
JM,2003,278510639
JM,2004,114173491
JM,2005,-632827998
JM,2006,574980427
JM,2007,496446997
JM,2008,-289398053
JM,2009,-576874923
JM,2010,387530623
JM,2011,-86462235
JM,2012,848025000
JO,2000,6631755386
JO,2001,773081939
JO,2002,1081340499
JO,2003,-616662400
JO,2004,805745637
JO,2005,577812719
JO,2006,1338628046
JO,2007,1254254906
JO,2008,1429358724
JO,2009,-94466638
JO,2010,1023111330
JO,2011,568867356
JO,2012,611972000
KE,2000,79579838
KE,2001,-362363942
KE,2002,257063442
KE,2003,340142633
KE,2004,-273595654
KE,2005,-402615652
KE,2006,126306475
KE,2007,420570316
KE,2008,-70939905
KE,2009,109420916
KE,2010,-16197591
KE,2011,676877082
KE,2012,-173000000
KG,2000,214177917
KG,2001,-219253065
KG,2002,-98477027
KG,2003,67636673
KG,2004,665529997
KG,2005,-404987832
KG,2006,133796295
KG,2007,166123832
KG,2008,87229874
KG,2009,49631250
KG,2010,-312790918
KG,2011,1460714
KG,2012,24927000
KH,2000,81127052
KH,2001,-24306268
KH,2002,-83307257
KH,2003,-18101871
KH,2004,30897329
KH,2005,4235391
KH,2006,-6763837
KH,2007,37665755
KH,2008,73780301
KH,2009,-71180466
KH,2010,2183665
KH,2011,203144933
KH,2012,564000000
KM,2000,4580617
KM,2001,-13015828
KM,2002,5907415
KM,2003,-7748764
KM,2004,2714564
KM,2005,
KM,2006,1329454
KM,2007,
KM,2008,-4090092
KM,2009,
KM,2010,
KM,2011,
KM,2012,
KZ,2000,2649634785
KZ,2001,1589277066
KZ,2002,2059167662
KZ,2003,3492000711
KZ,2004,3182608129
KZ,2005,9708995880
KZ,2006,7913379956
KZ,2007,-1403556302
KZ,2008,-2542027454
KZ,2009,-3645550155
KZ,2010,2288826296
KZ,2011,-112228830
KZ,2012,588901000
LA,2000,14449975
LA,2001,-12349829
LA,2002,17583346
LA,2003,-16220914
LA,2004,-2112567
LA,2005,108126129
LA,2006,78416437
LA,2007,148581942
LA,2008,-47310080
LA,2009,42897208
LA,2010,-207726417
LA,2011,45820653
LA,2012,-15000000
LB,2000,473639979
LB,2001,166641317
LB,2002,-149983134
LB,2003,769569820
LB,2004,1118833941
LB,2005,-695865724
LB,2006,993893903
LB,2007,-105433299
LB,2008,-1171800837
LB,2009,-45450704
LB,2010,417067417
LB,2011,-178729497
LB,2012,632000000
LC,2000,17283712
LC,2001,45232348
LC,2002,-15030934
LC,2003,25775578
LC,2004,1335226
LC,2005,83462496
LC,2006,-69958599
LC,2007,61966134
LC,2008,382267694
LC,2009,-485547950
LC,2010,145106933
LC,2011,-127751658
LC,2012,45000000
LK,2000,-416214608
LK,2001,-77225796
LK,2002,126829707
LK,2003,34679912
LK,2004,46703108
LK,2005,533902332
LK,2006,-197621412
LK,2007,1045630658
LK,2008,515661046
LK,2009,-270507254
LK,2010,-37496789
LK,2011,111426654
LK,2012,-44200000
LS,2000,
LS,2001,
LS,2002,
LS,2003,
LS,2004,3999145
LS,2005,1233583
LS,2006,-9775776
LS,2007,
LS,2008,
LS,2009,
LS,2010,
LS,2011,
LS,2012,
MA,2000,-676329064
MA,2001,178854810
MA,2002,24206821
MA,2003,-442349095
MA,2004,-1284963212
MA,2005,605877144
MA,2006,1209460999
MA,2007,193044714
MA,2008,-265687264
MA,2009,517783061
MA,2010,-371703519
MA,2011,1158727343
MA,2012,1137000000
MD,2000,1505103625
MD,2001,-132432127
MD,2002,84482764
MD,2003,110267013
MD,2004,133021282
MD,2005,203638620
MD,2006,298193537
MD,2007,332460848
MD,2008,234835794
MD,2009,116764914
MD,2010,213118468
MD,2011,332429876
MD,2012,221215000
ME,2000,
ME,2001,
ME,2002,
ME,2003,
ME,2004,
ME,2005,
ME,2006,
ME,2007,
ME,2008,180675926
ME,2009,572262501
ME,2010,-997718362
ME,2011,248302218
ME,2012,83000000
MG,2000,-142765165
MG,2001,-6941609
MG,2002,-5926434
MG,2003,-103969383
MG,2004,-23238880
MG,2005,43793411
MG,2006,12509130
MG,2007,718331536
MG,2008,-193680042
MG,2009,39003703
MG,2010,-243872340
MG,2011,5802891
MG,2012,28685000
MK,2000,-5246011
MK,2000,
MK,2001,
MK,2001,23036386
MK,2002,
MK,2002,1848704
MK,2003,-32701563
MK,2003,
MK,2004,68073317
MK,2004,1066636517
MK,2005,-64657987
MK,2005,-44404269
MK,2006,13242071
MK,2006,76941343
MK,2007,11964329
MK,2007,767511909
MK,2008,-155221411
MK,2008,-3092678
MK,2009,-19134207
MK,2009,63620522
MK,2010,-43898896
MK,2010,-10568573
MK,2011,156831826
MK,2011,319151958
MK,2012,-194000000
MK,2012,85249000
ML,2000,-160815312
ML,2001,-69378244
ML,2002,207021512
ML,2003,-187652328
ML,2004,22596952
ML,2005,7256948
ML,2006,-34251717
ML,2007,-29368245
ML,2008,
ML,2009,25640425
ML,2010,-19374978
ML,2011,165087334
ML,2012,-162000000
MN,2000,-34810616
MN,2001,
MN,2002,96862190
MN,2003,726427537
MN,2004,-307631374
MN,2005,-321216875
MN,2006,38046911
MN,2007,46791664
MN,2008,43796073
MN,2009,-57698327
MN,2010,199241435
MN,2011,9433709
MN,2012,58000000
MR,2000,-20279635
MR,2001,26775095
MR,2002,-83630880
MR,2003,-101909132
MR,2004,5640651
MR,2005,-14365006
MR,2006,50178391
MR,2007,31995370
MR,2008,39365935
MR,2009,-121503300
MR,2010,104171476
MR,2011,-77719257
MR,2012,46000000
MU,2000,
MU,2001,
MU,2002,
MU,2003,
MU,2004,
MU,2005,
MU,2006,
MU,2007,
MU,2008,
MU,2009,
MU,2010,-4769634
MU,2011,1678381626
MU,2012,1133613000
MV,2000,-4295602
MV,2001,44256475
MV,2002,-7390350
MV,2003,-19283293
MV,2004,-2612569
MV,2005,31055550
MV,2006,52652026
MV,2007,98055346
MV,2008,24608467
MV,2009,-27385940
MV,2010,33239563
MV,2011,7200381
MV,2012,35924000
MW,2000,-2719024
MW,2001,-29145042
MW,2002,66114242
MW,2003,-71355152
MW,2004,-15553295
MW,2005,-2026680
MW,2006,54847280
MW,2007,-6843422
MW,2008,18966006
MW,2009,-13177503
MW,2010,-4364725
MW,2011,-22621804
MW,2012,-22000000
MX,2000,-6890637592
MX,2001,-5509586505
MX,2002,11526856664
MX,2003,-1334329169
MX,2004,-3228351241
MX,2005,2172641101
MX,2006,4390420582
MX,2007,1142040606
MX,2008,1036347782
MX,2009,-949604062
MX,2010,11908784313
MX,2011,11595525573
MX,2012,21394626000
MY,2000,-2691133535
MY,2001,4140813427
MY,2002,2981220876
MY,2003,457008488
MY,2004,4724467804
MY,2005,2677575226
MY,2006,-1963356126
MY,2007,14435147536
MY,2008,-336710383
MY,2009,1129547690
MY,2010,12615974714
MY,2011,8610389320
MY,2012,3283000000
MZ,2000,-100180278
MZ,2001,176982291
MZ,2002,-237524459
MZ,2003,-105920128
MZ,2004,426756734
MZ,2005,-228921244
MZ,2006,-141131059
MZ,2007,59086785
MZ,2008,2193874
MZ,2009,41889917
MZ,2010,-88421968
MZ,2011,31865403
MZ,2012,41000000
NE,2000,-41669992
NE,2001,-14731716
NE,2002,-7849320
NE,2003,2480938
NE,2004,4805091
NE,2005,-4064610
NE,2006,7953240
NE,2007,248988226
NE,2008,-150209498
NE,2009,40170772
NE,2010,35973769
NE,2011,-13140161
NE,2012,-60000000
NG,2000,511782282
NG,2001,-2598572354
NG,2002,
NG,2003,
NG,2004,
NG,2005,
NG,2006,
NG,2007,
NG,2008,
NG,2009,
NG,2010,
NG,2011,
NG,2012,-1000
NI,2000,3633405
NI,2001,22987811
NI,2002,-5878410
NI,2003,37123739
NI,2004,-38065027
NI,2005,55868067
NI,2006,3781429
NI,2007,615923347
NI,2008,-9365293
NI,2009,-193351738
NI,2010,428987224
NI,2011,41103502
NI,2012,169655000
NP,2000,-27912186
NP,2001,52958994
NP,2002,-29270291
NP,2003,30784916
NP,2004,-35511553
NP,2005,18918249
NP,2006,54668032
NP,2007,-37867734
NP,2008,2543789
NP,2009,-16867339
NP,2010,18572806
NP,2011,21746411
NP,2012,29000000
PE,2000,-1210753333
PE,2001,-1734135543
PE,2002,-807826336
PE,2003,-107476636
PE,2004,408424892
PE,2005,722539853
PE,2006,-309158033
PE,2007,3158734295
PE,2008,102495337
PE,2009,-782780043
PE,2010,1837759793
PE,2011,-70853073
PE,2012,2206995000
PG,2000,-116724471
PG,2001,52304188
PG,2002,-13639704
PG,2003,115689902
PG,2004,-4362837
PG,2005,239360374
PG,2006,-113897642
PG,2007,-124401476
PG,2008,-113424741
PG,2009,175335886
PG,2010,341025844
PG,2011,-292554629
PG,2012,161000000
PH,2000,956446265
PH,2001,967051250
PH,2002,-820459551
PH,2003,1174011541
PH,2004,-2102141071
PH,2005,2324733903
PH,2006,-2120101151
PH,2007,2768942284
PH,2008,-99548364
PH,2009,-3736718781
PH,2010,2596455818
PH,2011,749936426
PH,2012,1469835000
PK,2000,-522468383
PK,2001,-356352002
PK,2002,407644586
PK,2003,-484487930
PK,2004,
PK,2005,-21846118
PK,2006,122502446
PK,2007,1146296433
PK,2008,-1014987125
PK,2009,114948562
PK,2010,968396971
PK,2011,246748490
PK,2012,63000000
PY,2000,-363200308
PY,2001,-267611408
PY,2002,49641103
PY,2003,164266813
PY,2004,320109518
PY,2005,-331908524
PY,2006,369579119
PY,2007,139709542
PY,2008,413034344
PY,2009,-529091302
PY,2010,462346443
PY,2011,790741371
PY,2012,-386000000
RO,2000,1132047658
RO,2001,653480918
RO,2002,821102282
RO,2003,2595342685
RO,2004,3429067023
RO,2005,4422481091
RO,2006,11650636844
RO,2007,12397189022
RO,2008,-572556850
RO,2009,-6254196064
RO,2010,3656188265
RO,2011,3322748462
RO,2012,-2747141000
RS,2000,-773219291
RS,2001,330424403
RS,2002,-9264630
RS,2003,54281835
RS,2004,-79382844
RS,2005,709232542
RS,2006,174389304
RS,2007,-107199898
RS,2008,1178131296
RS,2009,-88825695
RS,2010,-459270670
RS,2011,-1420504903
RS,2012,-187634000
RW,2000,-26410118
RW,2001,-4177586
RW,2002,17849801
RW,2003,-30394864
RW,2004,-8892324
RW,2005,-4729435
RW,2006,4303464
RW,2007,-8987934
RW,2008,5658601
RW,2009,5395675
RW,2010,4322076
RW,2011,-14495179
RW,2012,89000000
SB,2000,-2439946
SB,2001,791858
SB,2002,-2630828
SB,2003,1707295
SB,2004,-585654
SB,2005,3299391
SB,2006,-1562588
SB,2007,-3034885
SB,2008,
SB,2009,1335962
SB,2010,-1263173
SB,2011,4389780
SB,2012,-2000000
SC,2000,57187434
SC,2001,15713668
SC,2002,
SC,2003,-19780646
SC,2004,-17068962
SC,2005,144832277
SC,2006,291077869
SC,2007,171822236
SC,2008,40177338
SC,2009,106600107
SC,2010,102812994
SC,2011,306470213
SC,2012,225000000
SD,2000,-119278341
SD,2001,-400630944
SD,2002,-11179033
SD,2003,-11104184
SD,2004,624988056
SD,2005,16988326
SD,2006,-114170696
SD,2007,-79916674
SD,2008,225836957
SD,2009,-310997206
SD,2010,137224583
SD,2011,151533558
SD,2012,-149000000
SL,2000,2025464
SL,2001,10028003
SL,2002,-7419161
SL,2003,3963334
SL,2004,12813472
SL,2005,-14610540
SL,2006,-13309251
SL,2007,6286959
SL,2008,4549046
SL,2009,16812156
SL,2010,-22880575
SL,2011,34774227
SL,2012,-21000000
SN,2000,-305643816
SN,2001,106790544
SN,2002,159332067
SN,2003,-200756243
SN,2004,-155791010
SN,2005,
SN,2006,59152858
SN,2007,263773912
SN,2008,-125096218
SN,2009,-177861933
SN,2010,-18490225
SN,2011,
SN,2012,141000000
ST,2000,
ST,2001,-3971858
ST,2002,9174090
ST,2003,-24722289
ST,2004,
ST,2005,
ST,2006,1475826
ST,2007,14112041
ST,2008,-1211230
ST,2009,1176388
ST,2010,3596616
ST,2011,6118176
ST,2012,-12000000
SV,2000,857236984
SV,2001,366647049
SV,2002,-1027365100
SV,2003,613303053
SV,2004,208497171
SV,2005,95549260
SV,2006,-678155835
SV,2007,3296068
SV,2008,272457922
SV,2009,-742716564
SV,2010,258753961
SV,2011,118837610
SV,2012,393150000
SZ,2000,-101614604
SZ,2001,-1868963
SZ,2002,-2209438
SZ,2003,216040
SZ,2004,59476214
SZ,2005,27468684
SZ,2006,-40226553
SZ,2007,-1184441
SZ,2008,33031503
SZ,2009,-64865940
SZ,2010,189200850
SZ,2011,-40211072
SZ,2012,-128000000
TD,2000,-5095423
TD,2001,-4942044
TD,2002,1274754
TD,2003,-9180059
TD,2004,-1802973
TD,2005,-4145769
TD,2006,-1264656
TD,2007,21309260
TD,2008,-22110292
TD,2009,
TD,2010,1108106
TD,2011,10705453
TD,2012,7000000
TG,2000,-108297065
TG,2001,28602982
TG,2002,34898989
TG,2003,-104428982
TG,2004,-24541801
TG,2005,35552039
TG,2006,-36952289
TG,2007,64684364
TG,2008,8260616
TG,2009,-71671796
TG,2010,13325576
TG,2011,-25587054
TG,2012,43000000
TH,2000,-15637612566
TH,2001,-3293541660
TH,2002,-2485737555
TH,2003,-1749269184
TH,2004,908313589
TH,2005,7397865375
TH,2006,2630139051
TH,2007,622311639
TH,2008,2579475028
TH,2009,11143407765
TH,2010,18528438381
TH,2011,-1889911092
TH,2012,11983183000
TJ,2000,-89304133
TJ,2001,63613445
TJ,2002,-3029358
TJ,2003,72855510
TJ,2004,8634766
TJ,2005,-119008191
TJ,2006,6906544
TJ,2007,64096251
TJ,2008,20483827
TJ,2009,-19601229
TJ,2010,55174527
TJ,2011,7968529
TJ,2012,-129000000
TM,2000,-124805287
TM,2001,213517461
TM,2002,-49646146
TM,2003,-56704265
TM,2004,-43020543
TM,2005,-105886955
TM,2006,5240389
TM,2007,-46357478
TM,2008,-44265946
TM,2009,30004106
TM,2010,-24910402
TM,2011,-7579357
TM,2012,44000000
TN,2000,70581311
TN,2001,1449731335
TN,2002,584759037
TN,2003,557864870
TN,2004,-228091991
TN,2005,-233669156
TN,2006,245007240
TN,2007,649629822
TN,2008,322215522
TN,2009,472675727
TN,2010,178514278
TN,2011,-28045719
TN,2012,1280213000
TR,2000,9895537087
TR,2001,-29321827312
TR,2002,165050400
TR,2003,11112292250
