id,year,value-1,value-2,value-3
AZ,1997,,459575.3333,459575.3333
AZ,1998,,394574.6667,394574.6667
AZ,1999,329574,329574,329574
AZ,2000,,219716,219716
AZ,2001,,109858,109858
AZ,2002,0,0,0
AZ,2003,,0,0
AZ,2004,,0,0
AZ,2005,0,0,0
AZ,2006,,14308,14308
AZ,2007,,28616,28616
AZ,2008,42924,42924,42924
AZ,2009,,51779.5,51779.5
AZ,2010,60635,60635,60635
AZ,2011,33929,33929,33929
AZ,2012,34410,34410,34410
AZ,2013,34854,34854,34854
AZ,2014,,,34854
AZ,2015,,,34854
BA,1984,13392,13392,13392
BA,1985,,13567.66667,13567.66667
BA,1986,,13743.33333,13743.33333
BA,1987,13919,13919,13919
BA,1988,,13960.33333,13960.33333
BA,1989,,14001.66667,14001.66667
BA,1990,14043,14043,14043
BA,1991,,14054,14054
BA,1992,,14065,14065
BA,1993,14076,14076,14076
BA,1994,,21703,21703
BA,1995,,29330,29330
BA,1996,36957,36957,36957
BA,1997,,29174,29174
BA,1998,,21391,21391
BA,1999,13608,13608,13608
BA,2000,,13263,13263
BA,2001,,12918,12918
BA,2002,12573,12573,12573
BA,2003,,10041.66667,10041.66667
BA,2004,,7510.333333,7510.333333
BA,2005,4979,4979,4979
BA,2006,,4087.333333,4087.333333
BA,2007,,3195.666667,3195.666667
BA,2008,2304,2304,2304
BA,2009,,2496,2496
BA,2010,2688,2688,2688
BA,2011,2681,2681,2681
BA,2012,2681,2681,2681
BA,2013,2674,2674,2674
BA,2014,,,2674
BA,2015,,,2674
BD,1984,32420480,32420480,32420480
BD,1985,,34484390,34484390
BD,1986,,36548300,36548300
BD,1987,38612210,38612210,38612210
BD,1988,,40380844,40380844
BD,1989,,42149478,42149478
BD,1990,43918112,43918112,43918112
BD,1991,,43806624,43806624
BD,1992,,43695136,43695136
BD,1993,43583648,43583648,43583648
BD,1994,,43635060.33,43635060.33
BD,1995,,43686472.67,43686472.67
BD,1996,43737885,43737885,43737885
BD,1997,,44514173.33,44514173.33
BD,1998,,45290461.67,45290461.67
BD,1999,46066750,46066750,46066750
BD,2000,,45551154.67,45551154.67
BD,2001,,45035559.33,45035559.33
BD,2002,44519964,44519964,44519964
BD,2003,,41357357,41357357
BD,2004,,38194750,38194750
BD,2005,35032143,35032143,35032143
BD,2006,,33287512,33287512
BD,2007,,31542881,31542881
BD,2008,29798250,29798250,29798250
BD,2009,,28939137,28939137
BD,2010,28080024,28080024,28080024
BD,2011,23487071,23487071,23487071
BD,2012,21286146,21286146,21286146
BD,2013,18387720,18387720,18387720
BD,2014,,,18387720
BD,2015,,,18387720
BF,1984,6443421,6443421,6443421
BF,1985,,6573186,6573186
BF,1986,,6702951,6702951
BF,1987,6832716,6832716,6832716
BF,1988,,7026349,7026349
BF,1989,,7219982,7219982
BF,1990,7413615,7413615,7413615
BF,1991,,7584895,7584895
BF,1992,,7756175,7756175
BF,1993,7927455,7927455,7927455
BF,1994,,8122202,8122202
BF,1995,,8316949,8316949
BF,1996,8511696,8511696,8511696
BF,1997,,8536952,8536952
BF,1998,,8562208,8562208
BF,1999,8587464,8587464,8587464
BF,2000,,8415666.667,8415666.667
BF,2001,,8243869.333,8243869.333
BF,2002,8072072,8072072,8072072
BF,2003,,7914182.667,7914182.667
BF,2004,,7756293.333,7756293.333
BF,2005,7598404,7598404,7598404
BF,2006,,7732035.333,7732035.333
BF,2007,,7865666.667,7865666.667
BF,2008,7999298,7999298,7999298
BF,2009,,8063449,8063449
BF,2010,8127600,8127600,8127600
BF,2011,7950285,7950285,7950285
BF,2012,7677852,7677852,7677852
BF,2013,7704788,7704788,7704788
BF,2014,,,7704788
BF,2015,,,7704788
BG,1984,4480,4480,4480
BG,1985,,4481.666667,4481.666667
BG,1986,,4483.333333,4483.333333
BG,1987,4485,4485,4485
BG,1988,,5024.666667,5024.666667
BG,1989,,5564.333333,5564.333333
BG,1990,6104,6104,6104
BG,1991,,9433.666667,9433.666667
BG,1992,,12763.33333,12763.33333
BG,1993,16093,16093,16093
BG,1994,,31071.33333,31071.33333
BG,1995,,46049.66667,46049.66667
BG,1996,61028,61028,61028
BG,1997,,106091.6667,106091.6667
BG,1998,,151155.3333,151155.3333
BG,1999,196219,196219,196219
BG,2000,,163866.6667,163866.6667
BG,2001,,131514.3333,131514.3333
BG,2002,99162,99162,99162
BG,2003,,84684,84684
BG,2004,,70206,70206
BG,2005,55728,55728,55728
BG,2006,,66612.66667,66612.66667
BG,2007,,77497.33333,77497.33333
BG,2008,88382,88382,88382
BG,2009,,115601,115601
BG,2010,142820,142820,142820
BG,2011,160965,160965,160965
BG,2012,148393,148393,148393
BG,2013,147581,147581,147581
BG,2014,,,147581
BG,2015,,,147581
BI,1984,3946866,3946866,3946866
BI,1985,,4022186,4022186
BI,1986,,4097506,4097506
BI,1987,4172826,4172826,4172826
BI,1988,,4306682,4306682
BI,1989,,4440538,4440538
BI,1990,4574394,4574394,4574394
BI,1991,,4695263.333,4695263.333
BI,1992,,4816132.667,4816132.667
BI,1993,4937002,4937002,4937002
BI,1994,,5067743.667,5067743.667
BI,1995,,5198485.333,5198485.333
BI,1996,5329227,5329227,5329227
BI,1997,,5403549.333,5403549.333
BI,1998,,5477871.667,5477871.667
BI,1999,5552194,5552194,5552194
BI,2000,,5631082.667,5631082.667
BI,2001,,5709971.333,5709971.333
BI,2002,5788860,5788860,5788860
BI,2003,,5967827,5967827
BI,2004,,6146794,6146794
BI,2005,6325761,6325761,6325761
BI,2006,,6469508,6469508
BI,2007,,6613255,6613255
BI,2008,6757002,6757002,6757002
BI,2009,,7000262,7000262
BI,2010,7243522,7243522,7243522
BI,2011,7456064,7456064,7456064
BI,2012,7673996,7673996,7673996
BI,2013,7881816,7881816,7881816
BI,2014,,,7881816
BI,2015,,,7881816
BJ,1984,2424864,2424864,2424864
BJ,1985,,2505797.667,2505797.667
BJ,1986,,2586731.333,2586731.333
BJ,1987,2667665,2667665,2667665
BJ,1988,,2759110,2759110
BJ,1989,,2850555,2850555
BJ,1990,2942000,2942000,2942000
BJ,1991,,3042179.333,3042179.333
BJ,1992,,3142358.667,3142358.667
BJ,1993,3242538,3242538,3242538
BJ,1994,,3334450,3334450
BJ,1995,,3426362,3426362
BJ,1996,3518274,3518274,3518274
BJ,1997,,3538945.333,3538945.333
BJ,1998,,3559616.667,3559616.667
BJ,1999,3580288,3580288,3580288
BJ,2000,,3594441.667,3594441.667
BJ,2001,,3608595.333,3608595.333
BJ,2002,3622749,3622749,3622749
BJ,2003,,3799767.333,3799767.333
BJ,2004,,3976785.667,3976785.667
BJ,2005,4153804,4153804,4153804
BJ,2006,,4263006.667,4263006.667
BJ,2007,,4372209.333,4372209.333
BJ,2008,4481412,4481412,4481412
BJ,2009,,4730899.5,4730899.5
BJ,2010,4980387,4980387,4980387
BJ,2011,5196114,5196114,5196114
BJ,2012,5283285,5283285,5283285
BJ,2013,5171352,5171352,5171352
BJ,2014,,,5171352
BJ,2015,,,5171352
BO,1984,632142,632142,632142
BO,1985,,610275.3333,610275.3333
BO,1986,,588408.6667,588408.6667
BO,1987,566542,566542,566542
BO,1988,,577549.3333,577549.3333
BO,1989,,588556.6667,588556.6667
BO,1990,599564,599564,599564
BO,1991,,700687.3333,700687.3333
BO,1992,,801810.6667,801810.6667
BO,1993,902934,902934,902934
BO,1994,,1072618.667,1072618.667
BO,1995,,1242303.333,1242303.333
BO,1996,1411988,1411988,1411988
BO,1997,,1631172,1631172
BO,1998,,1850356,1850356
BO,1999,2069540,2069540,2069540
BO,2000,,2098508.333,2098508.333
BO,2001,,2127476.667,2127476.667
BO,2002,2156445,2156445,2156445
BO,2003,,2057861.333,2057861.333
BO,2004,,1959277.667,1959277.667
BO,2005,1860694,1860694,1860694
BO,2006,,1621582.667,1621582.667
BO,2007,,1382471.333,1382471.333
BO,2008,1143360,1143360,1143360
BO,2009,,1074624,1074624
BO,2010,1005888,1005888,1005888
BO,2011,802368,802368,802368
BO,2012,928768,928768,928768
BO,2013,800800,800800,800800
BO,2014,,,800800
BO,2015,,,800800
BR,1984,40051050,40051050,40051050
BR,1985,,35308824,35308824
BR,1986,,30566598,30566598
BR,1987,25824372,25824372,25824372
BR,1988,,27522976,27522976
BR,1989,,29221580,29221580
BR,1990,30920184,30920184,30920184
BR,1991,,31092040,31092040
BR,1992,,31263896,31263896
BR,1993,31435752,31435752,31435752
BR,1994,,28764838,28764838
BR,1995,,26093924,26093924
BR,1996,23423010,23423010,23423010
BR,1997,,23326286.67,23326286.67
BR,1998,,23229563.33,23229563.33
BR,1999,23132840,23132840,23132840
BR,2000,,22850978.33,22850978.33
BR,2001,,22569116.67,22569116.67
BR,2002,22287255,22287255,22287255
BR,2003,,20858116.67,20858116.67
BR,2004,,19428978.33,19428978.33
BR,2005,17999840,17999840,17999840
BR,2006,,16083571,16083571
BR,2007,,14167302,14167302
BR,2008,12251033,12251033,12251033
BR,2009,,11825623.5,11825623.5
BR,2010,11400214,11400214,11400214
BR,2011,11028600,11028600,11028600
BR,2012,9290160,9290160,9290160
BR,2013,9947462,9947462,9947462
BR,2014,,,9947462
BR,2015,,,9947462
BT,1984,438656,438656,438656
BT,1985,,446320.6667,446320.6667
BT,1986,,453985.3333,453985.3333
BT,1987,461650,461650,461650
BT,1988,,465068.6667,465068.6667
BT,1989,,468487.3333,468487.3333
BT,1990,471906,471906,471906
BT,1991,,452074.6667,452074.6667
BT,1992,,432243.3333,432243.3333
BT,1993,412412,412412,412412
BT,1994,,391952.3333,391952.3333
BT,1995,,371492.6667,371492.6667
BT,1996,351033,351033,351033
BT,1997,,337843.6667,337843.6667
BT,1998,,324654.3333,324654.3333
BT,1999,311465,311465,311465
BT,2000,,290063.3333,290063.3333
BT,2001,,268661.6667,268661.6667
BT,2002,247260,247260,247260
BT,2003,,204663.3333,204663.3333
BT,2004,,162066.6667,162066.6667
BT,2005,119470,119470,119470
BT,2006,,90617.66667,90617.66667
BT,2007,,61765.33333,61765.33333
BT,2008,32913,32913,32913
BT,2009,,36616.5,36616.5
BT,2010,40320,40320,40320
BT,2011,28835,28835,28835
BT,2012,16058,16058,16058
BT,2013,10350,10350,10350
BT,2014,,,10350
BT,2015,,,10350
BW,1984,514368,514368,514368
BW,1985,,512508,512508
BW,1986,,510648,510648
BW,1987,508788,508788,508788
BW,1988,,493660,493660
BW,1989,,478532,478532
BW,1990,463404,463404,463404
BW,1991,,482336,482336
BW,1992,,501268,501268
BW,1993,520200,520200,520200
BW,1994,,522826.6667,522826.6667
BW,1995,,525453.3333,525453.3333
BW,1996,528080,528080,528080
BW,1997,,518151.3333,518151.3333
BW,1998,,508222.6667,508222.6667
BW,1999,498294,498294,498294
BW,2000,,512150.6667,512150.6667
BW,2001,,526007.3333,526007.3333
BW,2002,539864,539864,539864
BW,2003,,515963.3333,515963.3333
BW,2004,,492062.6667,492062.6667
BW,2005,468162,468162,468162
BW,2006,,424332.3333,424332.3333
BW,2007,,380502.6667,380502.6667
BW,2008,336673,336673,336673
BW,2009,,343304,343304
BW,2010,349935,349935,349935
BW,2011,331056,331056,331056
BW,2012,315666,315666,315666
BW,2013,284272,284272,284272
BW,2014,,,284272
BW,2015,,,284272
BY,1984,9910,9910,9910
BY,1985,,11324.66667,11324.66667
BY,1986,,12739.33333,12739.33333
BY,1987,14154,14154,14154
BY,1988,,14531,14531
BY,1989,,14908,14908
BY,1990,15285,15285,15285
BY,1991,,13262,13262
BY,1992,,11239,11239
BY,1993,9216,9216,9216
BY,1994,,27480,27480
BY,1995,,45744,45744
BY,1996,64008,64008,64008
BY,1997,,385705.3333,385705.3333
BY,1998,,707402.6667,707402.6667
BY,1999,1029100,1029100,1029100
BY,2000,,752853.6667,752853.6667
BY,2001,,476607.3333,476607.3333
BY,2002,200361,200361,200361
BY,2003,,145488,145488
BY,2004,,90615,90615
BY,2005,35742,35742,35742
BY,2006,,23828,23828
BY,2007,,11914,11914
BY,2008,0,0,0
BY,2009,,0,0
BY,2010,0,0,0
BY,2011,0,0,0
BY,2012,0,0,0
BY,2013,0,0,0
BY,2014,,,0
BY,2015,,,0
BZ,1984,34736,34736,34736
BZ,1985,,34853.33333,34853.33333
BZ,1986,,34970.66667,34970.66667
BZ,1987,35088,35088,35088
BZ,1988,,31973.66667,31973.66667
BZ,1989,,28859.33333,28859.33333
BZ,1990,25745,25745,25745
BZ,1991,,23890,23890
BZ,1992,,22035,22035
BZ,1993,20180,20180,20180
BZ,1994,,22322.33333,22322.33333
BZ,1995,,24464.66667,24464.66667
BZ,1996,26607,26607,26607
BZ,1997,,28874,28874
BZ,1998,,31141,31141
BZ,1999,33408,33408,33408
BZ,2000,,32932,32932
BZ,2001,,32456,32456
BZ,2002,31980,31980,31980
BZ,2003,,33070.66667,33070.66667
BZ,2004,,34161.33333,34161.33333
BZ,2005,35252,35252,35252
BZ,2006,,38422.66667,38422.66667
BZ,2007,,41593.33333,41593.33333
BZ,2008,44764,44764,44764
BZ,2009,,44654,44654
BZ,2010,44544,44544,44544
BZ,2011,45078,45078,45078
BZ,2012,46444,46444,46444
BZ,2013,42806,42806,42806
BZ,2014,,,42806
BZ,2015,,,42806
CD,1984,17908065,17908065,17908065
CD,1985,,18451883.33,18451883.33
CD,1986,,18995701.67,18995701.67
CD,1987,19539520,19539520,19539520
CD,1988,,21173192,21173192
CD,1989,,22806864,22806864
CD,1990,24440536,24440536,24440536
CD,1991,,27637246.33,27637246.33
CD,1992,,30833956.67,30833956.67
CD,1993,34030667,34030667,34030667
CD,1994,,35662454.67,35662454.67
CD,1995,,37294242.33,37294242.33
CD,1996,38926030,38926030,38926030
CD,1997,,40463385,40463385
CD,1998,,42000740,42000740
CD,1999,43538095,43538095,43538095
CD,2000,,45172692.67,45172692.67
CD,2001,,46807290.33,46807290.33
CD,2002,48441888,48441888,48441888
CD,2003,,49837674.33,49837674.33
CD,2004,,51233460.67,51233460.67
CD,2005,52629247,52629247,52629247
CD,2006,,53342778.33,53342778.33
CD,2007,,54056309.67,54056309.67
CD,2008,54769841,54769841,54769841
CD,2009,,55666586.5,55666586.5
CD,2010,56563332,56563332,56563332
CD,2011,56276385,56276385,56276385
CD,2012,55641564,55641564,55641564
CD,2013,55058195,55058195,55058195
CD,2014,,,55058195
CD,2015,,,55058195
CF,1984,2030080,2030080,2030080
CF,1985,,2090661.667,2090661.667
CF,1986,,2151243.333,2151243.333
CF,1987,2211825,2211825,2211825
CF,1988,,2273740,2273740
CF,1989,,2335655,2335655
CF,1990,2397570,2397570,2397570
CF,1991,,2480168.333,2480168.333
CF,1992,,2562766.667,2562766.667
CF,1993,2645365,2645365,2645365
CF,1994,,2649812.667,2649812.667
CF,1995,,2654260.333,2654260.333
CF,1996,2658708,2658708,2658708
CF,1997,,2621583.667,2621583.667
CF,1998,,2584459.333,2584459.333
CF,1999,2547335,2547335,2547335
CF,2000,,2518216,2518216
CF,2001,,2489097,2489097
CF,2002,2459978,2459978,2459978
CF,2003,,2516268.667,2516268.667
CF,2004,,2572559.333,2572559.333
CF,2005,2628850,2628850,2628850
CF,2006,,2697876,2697876
CF,2007,,2766902,2766902
CF,2008,2835928,2835928,2835928
CF,2009,,2878724,2878724
CF,2010,2921520,2921520,2921520
CF,2011,2960355,2960355,2960355
CF,2012,2976666,2976666,2976666
CF,2013,3801441,3801441,3801441
CF,2014,,,3801441
CF,2015,,,3801441
CG,1984,783580,783580,783580
CG,1985,,864853.3333,864853.3333
CG,1986,,946126.6667,946126.6667
CG,1987,1027400,1027400,1027400
CG,1988,,1067652,1067652
CG,1989,,1107904,1107904
CG,1990,1148156,1148156,1148156
CG,1991,,1195867.333,1195867.333
CG,1992,,1243578.667,1243578.667
CG,1993,1291290,1291290,1291290
CG,1994,,1352633.333,1352633.333
CG,1995,,1413976.667,1413976.667
CG,1996,1475320,1475320,1475320
CG,1997,,1556923.667,1556923.667
CG,1998,,1638527.333,1638527.333
CG,1999,1720131,1720131,1720131
CG,2000,,1715189.333,1715189.333
CG,2001,,1710247.667,1710247.667
CG,2002,1705306,1705306,1705306
CG,2003,,1722537.333,1722537.333
CG,2004,,1739768.667,1739768.667
CG,2005,1757000,1757000,1757000
CG,2006,,1791410.333,1791410.333
CG,2007,,1825820.667,1825820.667
CG,2008,1860231,1860231,1860231
CG,2009,,1694258,1694258
CG,2010,1528285,1528285,1528285
CG,2011,1545346,1545346,1545346
CG,2012,1570569,1570569,1570569
CG,2013,1594887,1594887,1594887
CG,2014,,,1594887
CG,2015,,,1594887
CI,1984,665337,665337,665337
CI,1985,,669651.3333,669651.3333
CI,1986,,673965.6667,673965.6667
CI,1987,678280,678280,678280
CI,1988,,1032695.667,1032695.667
CI,1989,,1387111.333,1387111.333
CI,1990,1741527,1741527,1741527
CI,1991,,2163168,2163168
CI,1992,,2584809,2584809
CI,1993,3006450,3006450,3006450
CI,1994,,3019050,3019050
CI,1995,,3031650,3031650
CI,1996,3044250,3044250,3044250
CI,1997,,3337378,3337378
CI,1998,,3630506,3630506
CI,1999,3923634,3923634,3923634
CI,2000,,3935375,3935375
CI,2001,,3947116,3947116
CI,2002,3958857,3958857,3958857
CI,2003,,4248577.667,4248577.667
CI,2004,,4538298.333,4538298.333
CI,2005,4828019,4828019,4828019
CI,2006,,5081763.333,5081763.333
CI,2007,,5335507.667,5335507.667
CI,2008,5589252,5589252,5589252
CI,2009,,5674222.5,5674222.5
CI,2010,5759193,5759193,5759193
CI,2011,6462220,6462220,6462220
CI,2012,5931210,5931210,5931210
CI,2013,5482832,5482832,5482832
CI,2014,,,5482832
CI,2015,,,5482832
CL,1984,1127632,1127632,1127632
CL,1985,,1104536.667,1104536.667
CL,1986,,1081441.333,1081441.333
CL,1987,1058346,1058346,1058346
CL,1988,,1052460,1052460
CL,1989,,1046574,1046574
CL,1990,1040688,1040688,1040688
CL,1991,,912434.6667,912434.6667
CL,1992,,784181.3333,784181.3333
CL,1993,655928,655928,655928
CL,1994,,598085.3333,598085.3333
CL,1995,,540242.6667,540242.6667
CL,1996,482400,482400,482400
CL,1997,,509349.3333,509349.3333
CL,1998,,536298.6667,536298.6667
CL,1999,563248,563248,563248
CL,2000,,531416.6667,531416.6667
CL,2001,,499585.3333,499585.3333
CL,2002,467754,467754,467754
CL,2003,,417559.3333,417559.3333
CL,2004,,367364.6667,367364.6667
CL,2005,317170,317170,317170
CL,2006,,298026.6667,298026.6667
CL,2007,,278883.3333,278883.3333
CL,2008,259740,259740,259740
CL,2009,,257520,257520
CL,2010,255300,255300,255300
CL,2011,223600,223600,223600
CL,2012,177378,177378,177378
CL,2013,161736,161736,161736
CL,2014,,,161736
CL,2015,,,161736
CM,1984,1925384,1925384,1925384
CM,1985,,1941345,1941345
CM,1986,,1957306,1957306
CM,1987,1973267,1973267,1973267
CM,1988,,2660914,2660914
CM,1989,,3348561,3348561
CM,1990,4036208,4036208,4036208
CM,1991,,4869562.333,4869562.333
CM,1992,,5702916.667,5702916.667
CM,1993,6536271,6536271,6536271
CM,1994,,6652532.667,6652532.667
CM,1995,,6768794.333,6768794.333
CM,1996,6885056,6885056,6885056
CM,1997,,6178778.333,6178778.333
CM,1998,,5472500.667,5472500.667
CM,1999,4766223,4766223,4766223
CM,2000,,4512610.667,4512610.667
CM,2001,,4258998.333,4258998.333
CM,2002,4005386,4005386,4005386
CM,2003,,4300748.667,4300748.667
CM,2004,,4596111.333,4596111.333
CM,2005,4891474,4891474,4891474
CM,2006,,5172971.667,5172971.667
CM,2007,,5454469.333,5454469.333
CM,2008,5735967,5735967,5735967
CM,2009,,6026489.5,6026489.5
CM,2010,6317012,6317012,6317012
CM,2011,6281088,6281088,6281088
CM,2012,6166602,6166602,6166602
CM,2013,5847893,5847893,5847893
CM,2014,,,5847893
CM,2015,,,5847893
CN,1984,785502408,785502408,785502408
CN,1985,,743511584,743511584
CN,1986,,701520760,701520760
CN,1987,659529936,659529936,659529936
CN,1988,,691623124.7,691623124.7
CN,1989,,723716313.3,723716313.3
CN,1990,755809502,755809502,755809502
CN,1991,,727776601.3,727776601.3
CN,1992,,699743700.7,699743700.7
CN,1993,671710800,671710800,671710800
CN,1994,,618467125,618467125
CN,1995,,565223450,565223450
CN,1996,511979775,511979775,511979775
CN,1997,,510606782,510606782
CN,1998,,509233789,509233789
CN,1999,507860796,507860796,507860796
CN,2000,,474936464,474936464
CN,2001,,442012132,442012132
CN,2002,409087800,409087800,409087800
CN,2003,,354207700,354207700
CN,2004,,299327600,299327600
CN,2005,244447500,244447500,244447500
CN,2006,,227652563.3,227652563.3
CN,2007,,210857626.7,210857626.7
CN,2008,194062690,194062690,194062690
CN,2009,,171809334,171809334
CN,2010,149555978,149555978,149555978
CN,2011,106186270,106186270,106186270
CN,2012,87390290,87390290,87390290
CN,2013,25111530,25111530,25111530
CN,2014,,,25111530
CN,2015,,,25111530
CO,1984,2786130,2786130,2786130
CO,1985,,2806550.667,2806550.667
CO,1986,,2826971.333,2826971.333
CO,1987,2847392,2847392,2847392
CO,1988,,2837259.333,2837259.333
CO,1989,,2827126.667,2827126.667
CO,1990,2816994,2816994,2816994
CO,1991,,2976062.667,2976062.667
CO,1992,,3135131.333,3135131.333
CO,1993,3294200,3294200,3294200
CO,1994,,4177270,4177270
CO,1995,,5060340,5060340
CO,1996,5943410,5943410,5943410
CO,1997,,6526681.333,6526681.333
CO,1998,,7109952.667,7109952.667
CO,1999,7693224,7693224,7693224
CO,2000,,7160203.333,7160203.333
CO,2001,,6627182.667,6627182.667
CO,2002,6094162,6094162,6094162
CO,2003,,5563494.667,5563494.667
CO,2004,,5032827.333,5032827.333
CO,2005,4502160,4502160,4502160
CO,2006,,4604370,4604370
CO,2007,,4706580,4706580
CO,2008,4808790,4808790,4808790
CO,2009,,4254971,4254971
CO,2010,3701152,3701152,3701152
CO,2011,3053778,3053778,3053778
CO,2012,3323792,3323792,3323792
CO,2013,2897208,2897208,2897208
CO,2014,,,2897208
CO,2015,,,2897208
CR,1984,545832,545832,545832
CR,1985,,484236.6667,484236.6667
CR,1986,,422641.3333,422641.3333
CR,1987,361046,361046,361046
CR,1988,,343204,343204
CR,1989,,325362,325362
CR,1990,307520,307520,307520
CR,1991,,294191.3333,294191.3333
CR,1992,,280862.6667,280862.6667
CR,1993,267534,267534,267534
CR,1994,,273876,273876
CR,1995,,280218,280218
CR,1996,286560,286560,286560
CR,1997,,272788.3333,272788.3333
CR,1998,,259016.6667,259016.6667
CR,1999,245245,245245,245245
CR,2000,,249298,249298
CR,2001,,253351,253351
CR,2002,257404,257404,257404
CR,2003,,233511,233511
CR,2004,,209618,209618
CR,2005,185725,185725,185725
CR,2006,,163834.3333,163834.3333
CR,2007,,141943.6667,141943.6667
CR,2008,120053,120053,120053
CR,2009,,96654,96654
CR,2010,73255,73255,73255
CR,2011,80500,80500,80500
CR,2012,79980,79980,79980
CR,2013,79128,79128,79128
CR,2014,,,79128
CR,2015,,,79128
CV,1984,189627,189627,189627
CV,1985,,186215.3333,186215.3333
CV,1986,,182803.6667,182803.6667
CV,1987,179392,179392,179392
CV,1988,,179774.6667,179774.6667
CV,1989,,180157.3333,180157.3333
CV,1990,180540,180540,180540
CV,1991,,178894,178894
CV,1992,,177248,177248
CV,1993,175602,175602,175602
CV,1994,,159428,159428
CV,1995,,143254,143254
CV,1996,127080,127080,127080
CV,1997,,114920.3333,114920.3333
CV,1998,,102760.6667,102760.6667
CV,1999,90601,90601,90601
CV,2000,,84504.66667,84504.66667
CV,2001,,78408.33333,78408.33333
CV,2002,72312,72312,72312
CV,2003,,66491,66491
CV,2004,,60670,60670
CV,2005,54849,54849,54849
CV,2006,,47942,47942
CV,2007,,41035,41035
CV,2008,34128,34128,34128
CV,2009,,34900,34900
CV,2010,35672,35672,35672
CV,2011,33700,33700,33700
CV,2012,33850,33850,33850
CV,2013,34629,34629,34629
CV,2014,,,34629
CV,2015,,,34629
CZ,1984,0,0,0
CZ,1985,,0,0
CZ,1986,,0,0
CZ,1987,0,0,0
CZ,1988,,344.3333333,344.3333333
CZ,1989,,688.6666667,688.6666667
CZ,1990,1033,1033,1033
CZ,1991,,1377.333333,1377.333333
CZ,1992,,1721.666667,1721.666667
CZ,1993,2066,2066,2066
CZ,1994,,6537.333333,6537.333333
CZ,1995,,11008.66667,11008.66667
CZ,1996,15480,15480,15480
