country,sector,year,out-oda-gross-sector
NL,L,2006,251897707
NL,M,2006,343062898
NL,N,2006,483698899
NO,A,2006,276729033
NO,B,2006,332470931
NO,C,2006,38997258
NO,D,2006,607458598
NO,E,2006,119564446
NO,F,2006,173131913
NO,G,2006,71364429
NO,H,2006,131198582
NO,I,2006,41870037
NO,J,2006,117232815
NO,K,2006,548432813
NO,L,2006,124799796
NO,M,2006,31305863
NO,N,2006,431263395
NZ,A,2006,59494673
NZ,B,2006,25500096
NZ,C,2006,3981019
NZ,D,2006,34708799
NZ,E,2006,4528440
NZ,F,2006,10279092
NZ,G,2006,3760658
NZ,H,2006,9901376
NZ,I,2006,8588668
NZ,J,2006,3851645
NZ,K,2006,79280212
NZ,L,2006,17274006
NZ,M,2006,8973
NZ,N,2006,21523726
PT,A,2006,71155247
PT,B,2006,11278157
PT,C,2006,676731
PT,D,2006,48040623
PT,E,2006,21518457
PT,F,2006,27751120
PT,G,2006,991284
PT,H,2006,1675349
PT,I,2006,1873303
PT,J,2006,2397795
PT,K,2006,35804929
PT,L,2006,3198610
PT,M,2006,485148
PT,N,2006,7620523
SE,A,2006,147386295
SE,B,2006,304181212
SE,C,2006,77742927
SE,D,2006,621219493
SE,E,2006,105470259
SE,F,2006,113736315
SE,G,2006,54689219
SE,H,2006,128685924
SE,I,2006,63924686
SE,J,2006,98706944
SE,K,2006,855299208
SE,L,2006,142086224
SE,M,2006,355339185
SE,N,2006,361006851
US,A,2006,487536740
US,B,2006,3968051382
US,C,2006,926341180
US,D,2006,2963420252
US,E,2006,1613787109
US,F,2006,2505745694
US,G,2006,945351938
US,H,2006,1358575408
US,I,2006,928448565
US,J,2006,302888649
US,K,2006,2759402605
US,L,2006,417041789
US,M,2006,1999923544
US,N,2006,3346581099
1,M,2007,188526475
2,A,2007,88000187
2,B,2007,85280132
2,C,2007,155579036
2,D,2007,111871851
2,E,2007,26275724
2,F,2007,170168582
2,G,2007,27397238
2,H,2007,169656491
2,I,2007,4383575
2,J,2007,13403403
2,K,2007,85018225
2,L,2007,252959226
2,M,2007,15441876
2,N,2007,5012494
10,B,2007,985513869
10,K,2007,54972483
11,J,2007,206576989
12,B,2007,1739616676
15,A,2007,1341767229
15,B,2007,1232831677
15,C,2007,750769213
15,D,2007,1727096607
15,E,2007,836397787
15,F,2007,2107958776
15,G,2007,610496293
15,H,2007,889939902
15,I,2007,413188602
15,J,2007,32658859
15,M,2007,1639095911
21,L,2007,536933336
21,M,2007,20426695
27,B,2007,141940676
27,E,2007,64525898
28,A,2007,2182919
28,B,2007,15675555
28,C,2007,919580
28,D,2007,275247880
28,E,2007,9317035
28,F,2007,6592415
28,G,2007,11901867
28,H,2007,1124602
28,I,2007,4820435
28,J,2007,25042887
28,K,2007,94228019
28,N,2007,37105798
31,B,2007,231401271
33,A,2007,66910015
33,B,2007,154035197
33,C,2007,46144974
33,D,2007,48073682
33,E,2007,107854995
33,H,2007,135404
33,J,2007,60381
33,K,2007,585172680
33,L,2007,-2225
33,N,2007,40867657
AT,A,2007,127202064
AT,B,2007,14302874
AT,C,2007,18576908
AT,D,2007,50596367
AT,E,2007,10120851
AT,F,2007,7544719
AT,G,2007,8889850
AT,H,2007,9499273
AT,I,2007,9839507
AT,J,2007,5886485
AT,K,2007,136419582
AT,M,2007,968561070
AT,N,2007,15241657
AU,A,2007,291187422
AU,B,2007,262024687
AU,C,2007,21620632
AU,D,2007,936257799
AU,E,2007,57086182
AU,F,2007,120794234
AU,G,2007,40051337
AU,H,2007,201649514
AU,I,2007,16602512
AU,J,2007,107195252
AU,K,2007,572657203
AU,L,2007,2632968
AU,M,2007,420079288
AU,N,2007,216516878
BE,A,2007,199262218
BE,B,2007,150925140
BE,C,2007,52878553
BE,D,2007,128572261
BE,E,2007,67166811
BE,F,2007,32074987
BE,G,2007,45646689
BE,H,2007,63594543
BE,I,2007,25203592
BE,J,2007,5900696
BE,K,2007,290225349
BE,L,2007,4334799
BE,M,2007,195775383
BE,N,2007,95107954
CA,A,2007,307461574
CA,B,2007,486265131
CA,C,2007,45988032
CA,D,2007,489018110
CA,E,2007,102311287
CA,F,2007,76111839
CA,G,2007,83155623
CA,H,2007,196096789
CA,I,2007,54675877
CA,J,2007,29733797
CA,K,2007,393390667
CA,L,2007,59199956
CA,M,2007,32883389
CA,N,2007,320718585
CH,A,2007,58811200
CH,B,2007,57720779
CH,C,2007,46958513
CH,D,2007,217272115
CH,E,2007,16033916
CH,F,2007,33449840
CH,G,2007,88277868
CH,H,2007,86328095
CH,I,2007,42844403
CH,J,2007,25076376
CH,K,2007,575406568
CH,L,2007,44030552
CH,M,2007,84533467
CH,N,2007,306058333
DE,A,2007,1397027487
DE,B,2007,347932826
DE,C,2007,411682265
DE,D,2007,833947925
DE,E,2007,272480919
DE,F,2007,632901905
DE,G,2007,675871186
DE,H,2007,275748192
DE,I,2007,145547221
DE,J,2007,184892655
DE,K,2007,785082422
DE,L,2007,72410941
DE,M,2007,2974910609
DE,N,2007,276892096
DK,A,2007,85544529
DK,B,2007,84511077
DK,C,2007,98331892
DK,D,2007,196402795
DK,E,2007,27635987
DK,F,2007,155149179
DK,G,2007,26194603
DK,H,2007,95121379
DK,I,2007,29959405
DK,J,2007,55612760
DK,K,2007,375356793
DK,L,2007,59546884
DK,M,2007,126515161
DK,N,2007,112682084
ES,A,2007,334128341
ES,B,2007,227031750
ES,C,2007,103774676
ES,D,2007,465141783
ES,E,2007,411131082
ES,F,2007,238359927
ES,G,2007,15022446
ES,H,2007,161665354
ES,I,2007,54106056
ES,J,2007,169763326
ES,K,2007,706839594
ES,L,2007,28084363
ES,M,2007,290010963
ES,N,2007,207479468
EU,A,2007,746418652
EU,B,2007,662759787
EU,C,2007,353033697
EU,D,2007,1748104980
EU,E,2007,948882781
EU,F,2007,1323758522
EU,G,2007,215403127
EU,H,2007,707925989
EU,I,2007,610811703
EU,J,2007,225089479
EU,K,2007,1545743990
EU,L,2007,831826815
EU,M,2007,31187032
EU,N,2007,1496190291
FI,A,2007,41211134
FI,B,2007,41949150
FI,C,2007,25862710
FI,D,2007,108453556
FI,E,2007,19420650
FI,F,2007,13367324
FI,G,2007,8837849
FI,H,2007,25243061
FI,I,2007,10130652
FI,J,2007,26009682
FI,K,2007,145795003
FI,L,2007,29285047
FI,M,2007,2693369
FI,N,2007,109746889
FR,A,2007,1929929443
FR,B,2007,98523542
FR,C,2007,161558888
FR,D,2007,105904887
FR,E,2007,444173731
FR,F,2007,293816985
FR,G,2007,131723296
FR,H,2007,657939914
FR,I,2007,12110981
FR,J,2007,176388061
FR,K,2007,1349376358
FR,L,2007,301673601
FR,M,2007,1918987508
FR,N,2007,95088812
GB,A,2007,665895013
GB,B,2007,984902154
GB,C,2007,126001576
GB,D,2007,1172877412
GB,E,2007,195943287
GB,F,2007,105891468
GB,G,2007,905592567
GB,H,2007,193171500
GB,I,2007,125101017
GB,J,2007,98111080
GB,K,2007,761248093
GB,L,2007,617960054
GB,M,2007,111290790
GB,N,2007,526926091
GR,A,2007,62023152
GR,B,2007,34659874
GR,C,2007,2844078
GR,D,2007,61662077
GR,E,2007,9146549
GR,F,2007,2155850
GR,G,2007,6035293
GR,H,2007,7476854
GR,I,2007,660685
GR,J,2007,14362845
GR,K,2007,38756413
GR,N,2007,12919511
IE,A,2007,83520904
IE,B,2007,157425688
IE,C,2007,17980566
IE,D,2007,105710442
IE,E,2007,26804077
IE,F,2007,1789495
IE,G,2007,2480283
IE,H,2007,40967735
IE,I,2007,2698210
IE,J,2007,1413681
IE,K,2007,83811136
IE,L,2007,25160015
IE,M,2007,372006
IE,N,2007,173390755
IT,A,2007,50387184
IT,B,2007,108874783
IT,C,2007,46091784
IT,D,2007,92216455
IT,E,2007,59128942
IT,F,2007,232784472
IT,G,2007,3857797
IT,H,2007,53854888
IT,I,2007,67161391
IT,J,2007,40652759
IT,K,2007,164989203
IT,L,2007,13327582
IT,M,2007,579660233
IT,N,2007,84497372
JP,A,2007,1019851522
JP,B,2007,546874520
JP,C,2007,984539482
JP,D,2007,446463874
JP,E,2007,226109903
JP,F,2007,3911582357
JP,G,2007,186622749
JP,H,2007,1122071797
JP,I,2007,289557895
JP,J,2007,461775091
JP,K,2007,3158124823
JP,L,2007,611890810
JP,M,2007,2707532389
JP,N,2007,145934073
KR,A,2007,101479879
KR,B,2007,48431834
KR,C,2007,23764770
KR,D,2007,80622508
KR,E,2007,4897134
KR,F,2007,115195306
KR,G,2007,2724762
KR,H,2007,28029235
KR,I,2007,16345189
KR,J,2007,5448012
KR,K,2007,47503078
KR,N,2007,15950768
LU,A,2007,29897835
LU,B,2007,59189865
LU,C,2007,14255217
LU,D,2007,16695605
LU,E,2007,11837947
LU,F,2007,9494900
LU,G,2007,13628329
LU,H,2007,23482595
LU,I,2007,4166435
LU,J,2007,1382425
LU,K,2007,50665960
LU,N,2007,41720106
NL,A,2007,710459341
NL,B,2007,303804450
NL,C,2007,254142454
NL,D,2007,451041981
NL,E,2007,59597430
NL,F,2007,127088643
NL,G,2007,147408277
NL,H,2007,118728924
NL,I,2007,65326850
NL,J,2007,137715165
NL,K,2007,1261340697
NL,L,2007,355284753
NL,M,2007,389107587
NL,N,2007,391365131
NO,A,2007,330748567
NO,B,2007,260760607
NO,C,2007,57100783
NO,D,2007,708771936
NO,E,2007,104961304
NO,F,2007,392947071
NO,G,2007,110071424
NO,H,2007,126774591
NO,I,2007,48155755
NO,J,2007,123632414
NO,K,2007,605043572
NO,L,2007,173134967
NO,M,2007,75628789
NO,N,2007,437377974
NZ,A,2007,51624359
NZ,B,2007,15026065
NZ,C,2007,4215276
NZ,D,2007,41605245
NZ,E,2007,2345615
NZ,F,2007,7435731
NZ,G,2007,13635277
NZ,H,2007,7227938
NZ,I,2007,4727753
NZ,J,2007,2462043
NZ,K,2007,93604461
NZ,L,2007,20976437
NZ,N,2007,23977514
PT,A,2007,69127710
PT,B,2007,10798630
PT,C,2007,1521172
PT,D,2007,95134336
PT,E,2007,20479571
PT,F,2007,29440880
PT,G,2007,1226930
PT,H,2007,2007288
PT,I,2007,563154
PT,J,2007,2671410
PT,K,2007,37659873
PT,L,2007,1491981
PT,M,2007,1045163
PT,N,2007,665811
SE,A,2007,92540764
SE,B,2007,309343833
SE,C,2007,55311804
SE,D,2007,658732482
SE,E,2007,115215842
SE,F,2007,70720165
SE,G,2007,118616937
SE,H,2007,138195405
SE,I,2007,77895007
SE,J,2007,119689288
SE,K,2007,857131075
SE,L,2007,155079854
SE,M,2007,81950374
SE,N,2007,321338033
US,A,2007,644656203
US,B,2007,4548998316
US,C,2007,594258887
US,D,2007,3125780655
US,E,2007,1262401046
US,F,2007,1700080734
US,G,2007,901790894
US,H,2007,1160996173
US,I,2007,464536184
US,J,2007,271138454
US,K,2007,2958911607
US,L,2007,296808848
US,M,2007,194211803
US,N,2007,3229438050
1,M,2008,180167359
2,A,2008,121899051
2,B,2008,113720373
2,C,2008,196369129
2,D,2008,122882813
2,E,2008,29233257
2,F,2008,257087269
2,G,2008,5650434
2,H,2008,277530542
2,I,2008,1768365
2,J,2008,8168218
2,K,2008,366159008
2,L,2008,319284146
2,M,2008,22728796
2,N,2008,4608244
10,B,2008,740695725
10,K,2008,43494773
11,B,2008,614210
11,C,2008,1458174
11,D,2008,2019004
11,E,2008,22498
11,F,2008,16600374
11,G,2008,255905
11,H,2008,15493644
11,I,2008,63193
11,J,2008,388575084
11,K,2008,645297
11,N,2008,548266
12,B,2008,2204423703
15,A,2008,1137336512
15,B,2008,994288049
15,C,2008,737081438
15,D,2008,1234549523
15,E,2008,660288173
15,F,2008,2278893838
15,G,2008,613919345
15,H,2008,994665612
15,I,2008,453846165
15,J,2008,28488268
15,M,2008,316096433
21,L,2008,1025345099
21,M,2008,30439281
27,B,2008,144000123
27,E,2008,68480754
28,A,2008,2765298
28,B,2008,15477839
28,C,2008,2095352
28,D,2008,237387806
28,E,2008,7919268
28,F,2008,3856542
28,G,2008,15361503
28,H,2008,1711446
28,I,2008,6709158
28,J,2008,18636941
28,K,2008,159006581
28,N,2008,32947871
29,B,2008,325953
29,C,2008,731539
29,D,2008,106074
29,E,2008,95904
29,F,2008,2968872
29,G,2008,99159
29,H,2008,135466
29,I,2008,1094105
29,J,2008,5432593
29,L,2008,711
31,B,2008,277963989
33,A,2008,74777262
33,B,2008,135358510
33,C,2008,42528882
33,D,2008,46356655
33,E,2008,108918338
33,H,2008,235449
33,J,2008,311583
33,K,2008,552483083
33,N,2008,39945856
37,H,2008,271282477
37,N,2008,50416774
AT,A,2008,133749096
AT,B,2008,13364963
AT,C,2008,20860262
AT,D,2008,54519662
AT,E,2008,11561279
AT,F,2008,13616778
AT,G,2008,21661913
AT,H,2008,12674244
AT,I,2008,9927598
AT,J,2008,3860665
AT,K,2008,141627165
AT,L,2008,4398762
AT,M,2008,739093296
AT,N,2008,42229939
AU,A,2008,379794285
AU,B,2008,284864681
AU,C,2008,19486010
AU,D,2008,838721516
AU,E,2008,123779913
AU,F,2008,212126335
AU,G,2008,38688180
AU,H,2008,226477877
AU,I,2008,19267835
AU,J,2008,29272410
AU,K,2008,633774456
AU,L,2008,34734233
AU,M,2008,351012033
AU,N,2008,400873533
BE,A,2008,186955394
BE,B,2008,142403553
BE,C,2008,47212496
BE,D,2008,162674286
BE,E,2008,50777642
BE,F,2008,35258046
BE,G,2008,62056811
BE,H,2008,83537136
BE,I,2008,41297928
BE,J,2008,8509115
BE,K,2008,365356067
BE,L,2008,9664331
BE,M,2008,102246667
BE,N,2008,121223438
CA,A,2008,338884711
CA,B,2008,462177958
CA,C,2008,49634419
CA,D,2008,670306152
CA,E,2008,138926920
CA,F,2008,62061905
CA,G,2008,77971805
CA,H,2008,270658863
CA,I,2008,47500069
CA,J,2008,24886859
CA,K,2008,916534647
CA,L,2008,27961291
CA,M,2008,150680759
CA,N,2008,472024080
CH,A,2008,60763171
CH,B,2008,66791633
CH,C,2008,57859745
CH,D,2008,212056049
CH,E,2008,15617688
CH,F,2008,43404712
CH,G,2008,99481934
CH,H,2008,92108818
CH,I,2008,32633560
CH,J,2008,26754980
CH,K,2008,695647687
CH,L,2008,38962856
CH,M,2008,116066361
CH,N,2008,275465705
DE,A,2008,1549255934
DE,B,2008,379547552
DE,C,2008,540515010
DE,D,2008,1073674180
DE,E,2008,134815379
DE,F,2008,840416367
DE,G,2008,684062230
DE,H,2008,284934438
DE,I,2008,242920272
DE,J,2008,235876609
DE,K,2008,951469551
DE,L,2008,54205942
DE,M,2008,3078288760
DE,N,2008,283458766
DK,A,2008,64456947
DK,B,2008,86403675
DK,C,2008,94956283
DK,D,2008,174503159
DK,E,2008,34530100
DK,F,2008,147470874
DK,G,2008,43705613
DK,H,2008,95934146
DK,I,2008,23539652
DK,J,2008,72535282
DK,K,2008,310330058
DK,L,2008,62079231
DK,M,2008,79575070
DK,N,2008,137196317
ES,A,2008,456044608
ES,B,2008,353165511
ES,C,2008,515062081
ES,D,2008,476181691
ES,E,2008,294531752
ES,F,2008,307187315
ES,G,2008,172715825
ES,H,2008,250710127
ES,I,2008,65973306
ES,J,2008,151510785
ES,K,2008,750837369
ES,L,2008,22542080
ES,M,2008,628724892
ES,N,2008,384616352
EU,A,2008,694602794
EU,B,2008,680826682
EU,C,2008,451781541
EU,D,2008,1901320030
EU,E,2008,874301390
EU,F,2008,1565580500
EU,G,2008,199316794
EU,H,2008,725644212
EU,I,2008,463805826
EU,J,2008,198024953
EU,K,2008,1534404502
EU,L,2008,741989439
EU,M,2008,113980819
EU,N,2008,1824506384
FI,A,2008,38803319
FI,B,2008,44381408
FI,C,2008,26226936
FI,D,2008,102489231
FI,E,2008,20250648
FI,F,2008,17494788
FI,G,2008,15679082
FI,H,2008,40703139
FI,I,2008,15998176
FI,J,2008,18726712
FI,K,2008,198418071
FI,L,2008,38075004
FI,M,2008,3906297
FI,N,2008,86033985
FR,A,2008,1591205635
FR,B,2008,326122417
FR,C,2008,178473093
FR,D,2008,147749436
FR,E,2008,386433566
FR,F,2008,538799064
FR,G,2008,193180277
FR,H,2008,522398150
FR,I,2008,30831223
FR,J,2008,373165138
FR,K,2008,1296000195
FR,L,2008,654146320
FR,M,2008,1138379942
FR,N,2008,21751369
GB,A,2008,422553042
GB,B,2008,963128585
GB,C,2008,121200433
GB,D,2008,1666408620
GB,E,2008,244693990
GB,F,2008,169239604
GB,G,2008,848301238
GB,H,2008,215194614
GB,I,2008,118519631
GB,J,2008,79600582
GB,K,2008,804249879
GB,L,2008,716631741
GB,M,2008,527458959
GB,N,2008,638154302
GR,A,2008,79948695
GR,B,2008,12545359
GR,C,2008,705718
GR,D,2008,57387593
GR,E,2008,32189189
GR,F,2008,5810931
GR,G,2008,1207027
GR,H,2008,9447302
GR,I,2008,3116993
GR,J,2008,704526
GR,K,2008,70038564
GR,N,2008,15877574
IE,A,2008,99042495
IE,B,2008,130409006
IE,C,2008,21516559
IE,D,2008,127011956
IE,E,2008,32835331
IE,F,2008,2576462
IE,G,2008,5417988
IE,H,2008,62885492
IE,I,2008,8557799
IE,J,2008,2841095
IE,K,2008,113025846
IE,L,2008,37250460
IE,M,2008,8086
IE,N,2008,152548398
IT,A,2008,82185167
IT,B,2008,113460970
IT,C,2008,25168526
IT,D,2008,127624868
IT,E,2008,42938429
IT,F,2008,113030729
IT,G,2008,7077186
IT,H,2008,105375447
IT,I,2008,28994482
IT,J,2008,29292544
IT,K,2008,265056351
IT,L,2008,51451801
IT,M,2008,838669656
IT,N,2008,111388067
JP,A,2008,1072982378
JP,B,2008,426657593
JP,C,2008,1661562187
JP,D,2008,354263972
JP,E,2008,214971223
JP,F,2008,4435675916
JP,G,2008,440908279
JP,H,2008,1499061052
JP,I,2008,445128626
JP,J,2008,1020074077
JP,K,2008,2320050269
JP,L,2008,313419121
JP,M,2008,1333764584
JP,N,2008,398359365
KR,A,2008,71864506
KR,B,2008,70274194
KR,C,2008,50594324
KR,D,2008,68354497
KR,E,2008,11931094
KR,F,2008,157154743
KR,G,2008,3789829
KR,H,2008,58265052
KR,I,2008,31493083
KR,J,2008,8341691
KR,K,2008,57498658
KR,M,2008,11189784
KR,N,2008,26001462
LU,A,2008,29289646
LU,B,2008,58789654
LU,C,2008,19648985
LU,D,2008,11442722
LU,E,2008,15151977
LU,F,2008,5150262
LU,G,2008,15280387
LU,H,2008,25093081
LU,I,2008,3643161
LU,J,2008,630549
LU,K,2008,68802301
LU,N,2008,34966403
NL,A,2008,578462942
NL,B,2008,343407047
NL,C,2008,293276817
NL,D,2008,531043127
NL,E,2008,117215987
NL,F,2008,188916177
NL,G,2008,144374507
NL,H,2008,148207426
NL,I,2008,62947790
NL,J,2008,164428442
NL,K,2008,1711018134
NL,L,2008,250241036
NL,M,2008,113995008
NL,N,2008,411399655
NO,A,2008,287049579
NO,B,2008,272851651
NO,C,2008,48250971
NO,D,2008,668851172
NO,E,2008,104340169
NO,F,2008,235451636
NO,G,2008,81015616
NO,H,2008,137266288
NO,I,2008,51234833
NO,J,2008,138966874
NO,K,2008,645205922
NO,L,2008,219970923
NO,M,2008,45914876
NO,N,2008,389972284
NZ,A,2008,60225592
NZ,B,2008,23813663
NZ,C,2008,3048490
NZ,D,2008,49988508
NZ,E,2008,5246765
NZ,F,2008,7954884
NZ,G,2008,4910077
NZ,H,2008,12484226
NZ,I,2008,8978398
NZ,J,2008,5056850
NZ,K,2008,87336406
NZ,L,2008,42638369
NZ,N,2008,26297522
PT,A,2008,65747971
PT,B,2008,7428660
PT,C,2008,291974
PT,D,2008,73213184
PT,E,2008,21528457
PT,F,2008,44319507
PT,G,2008,800734
PT,H,2008,2626813
PT,I,2008,508082
PT,J,2008,2399546
PT,K,2008,119764240
PT,L,2008,6118271
PT,M,2008,882246
PT,N,2008,1080618
SE,A,2008,133886922
SE,B,2008,260463448
SE,C,2008,82747929
SE,D,2008,657287124
SE,E,2008,85158813
SE,F,2008,120853596
SE,G,2008,88947659
SE,H,2008,116511827
SE,I,2008,75356794
SE,J,2008,122789943
SE,K,2008,971390110
SE,L,2008,159836132
SE,M,2008,3521652
SE,N,2008,389592943
US,A,2008,730156892
US,B,2008,5629100997
US,C,2008,245308969
US,D,2008,3949073201
US,E,2008,2154763295
US,F,2008,1777031626
US,G,2008,875938103
US,H,2008,1391699547
US,I,2008,321826743
US,J,2008,278924094
US,K,2008,2895779590
US,L,2008,535800605
US,M,2008,420471013
US,N,2008,4635281016
