country,year,from-oda-capital
DJ,2009,11424413
DM,2009,3489175
DO,2009,87085783
DZ,2009,80480125
EC,2009,102003311
EG,2009,624966691
ER,2009,4388187
ET,2009,15974334
FJ,2009,3870674
GA,2009,31129098
GD,2009,641458
GE,2009,49949395
GH,2009,22899623
GM,2009,10001833
GN,2009,57477527
GQ,2009,2829795
GT,2009,52468582
GW,2009,6736907
GY,2009,1537394
HN,2009,4881045
HR,2009,23417409
HT,2009,16080865
ID,2009,2830932430
IN,2009,1915992930
IQ,2009,9047
IR,2009,29580023
JM,2009,70134960
JO,2009,170203014
KE,2009,231082135
KG,2009,41411230
KH,2009,13568452
KI,2009,377
KM,2009,7536470
KN,2009,975170
KP,2009,514909
KZ,2009,34659050
LA,2009,26671542
LB,2009,23252230
LC,2009,3408980
LK,2009,473292574
LR,2009,21176843
LS,2009,23598870
MA,2009,453050122
MD,2009,16970500
ME,2009,5487762
MG,2009,7883355
MK,2009,9667936
ML,2009,11026706
MM,2009,5056313
MN,2009,34341187
MR,2009,5811315
MU,2009,13731752
MV,2009,2601319
MW,2009,1129322
MX,2009,116604957
MY,2009,171611178
MZ,2009,23051321
NA,2009,5812522
NE,2009,4938201
NG,2009,50494299
NI,2009,12016291
NP,2009,66384118
OM,2009,8174576
PA,2009,21045983
PE,2009,263465451
PG,2009,26029598
PH,2009,932839426
PK,2009,489534481
PY,2009,74657131
RS,2009,14331025
RW,2009,3041123
SB,2009,1376887
SC,2009,1058236
SD,2009,24859676
SL,2009,770921
SN,2009,19776624
SR,2009,1540266
ST,2009,813385
SV,2009,66537033
SY,2009,130321490
SZ,2009,9227370
TD,2009,44085364
TG,2009,33438268
TH,2009,351444731
TJ,2009,22614586
TM,2009,3259804
TN,2009,245015147
TO,2009,181392
TR,2009,419292077
TT,2009,486496
TZ,2009,6394370
UA,2009,8958849
UG,2009,17029361
UY,2009,17299046
UZ,2009,33739430
VC,2009,1628671
VN,2009,429173889
VU,2009,1227430
WF,2009,586009
WS,2009,1766347
YE,2009,94513801
YT,2009,4659804
ZA,2009,41433727
ZM,2009,3390997
ZW,2009,115356
51,2010,96435413
52,2010,33442180
53,2010,8935066
54,2010,43999
55,2010,292739016
56,2010,8496042
57,2010,31125
58,2010,268930
59,2010,16477048
60,2010,1180294
61,2010,2178077
62,2010,110836
63,2010,101893
64,2010,44644
65,2010,5184291
66,2010,131755
67,2010,995024
AF,2010,4544978
AG,2010,108906
AL,2010,50358397
AM,2010,45293249
AO,2010,56612736
AR,2010,35777173
AZ,2010,55801993
BA,2010,28461167
BB,2010,1310335
BD,2010,708015742
BF,2010,19855069
BI,2010,3799041
BJ,2010,9167067
BO,2010,21612664
BR,2010,171115508
BT,2010,7127861
BW,2010,9636815
BY,2010,4976897
BZ,2010,2434492
CD,2010,120280980
CF,2010,273190
CG,2010,15390268
CI,2010,79281644
CK,2010,888204
CL,2010,23771835
CM,2010,102760728
CN,2010,2086902993
CO,2010,76238112
CR,2010,50570211
CU,2010,2474723
CV,2010,18050598
DJ,2010,17356056
DM,2010,3307051
DO,2010,75166046
DZ,2010,89407719
EC,2010,108806666
EG,2010,883958682
ER,2010,6364540
ET,2010,11240143
FJ,2010,1604408
GA,2010,22382069
GD,2010,3425935
GE,2010,48935706
GH,2010,27907590
GM,2010,4804705
GN,2010,35056962
GQ,2010,2946796
GT,2010,53628774
GW,2010,5913780
GY,2010,4106616
HN,2010,9978635
HR,2010,8988018
HT,2010,41507452
ID,2010,2198048431
IN,2010,1965813424
IQ,2010,2270409
IR,2010,30297272
JM,2010,66903238
JO,2010,235106717
KE,2010,265751414
KG,2010,56733465
KH,2010,35264956
KI,2010,376823
KM,2010,3047912
KN,2010,1918302
KP,2010,2198957
KZ,2010,40865494
LA,2010,61996413
LB,2010,80134826
LC,2010,4995806
LK,2010,518357608
LR,2010,7278736
LS,2010,25513464
LY,2010,36229108
MA,2010,472743641
MD,2010,18910155
ME,2010,2752439
MG,2010,17963983
MH,2010,2362871
MK,2010,13832091
ML,2010,13886687
MM,2010,6122841
MN,2010,49521627
MR,2010,29494103
MS,2010,3366637
MU,2010,16600494
MV,2010,7890595
MW,2010,6323519
MX,2010,181518943
MY,2010,221589918
MZ,2010,30968192
NA,2010,7785903
NE,2010,5000776
NG,2010,41942878
NI,2010,6765669
NP,2010,145292419
NR,2010,1435425
NU,2010,27017
OM,2010,82196661
PA,2010,21556130
PE,2010,1079289869
PG,2010,43213757
PH,2010,991525482
PK,2010,789334915
PS,2010,5589857
PY,2010,73254299
RS,2010,21417121
RW,2010,6286652
SB,2010,4728365
SC,2010,2647465
SD,2010,64651148
SH,2010,205
SL,2010,4980217
SN,2010,32700884
SO,2010,730522
SR,2010,1788985
ST,2010,756661
SV,2010,119685153
SY,2010,260158936
SZ,2010,5577726
TD,2010,44001468
TG,2010,26954058
TH,2010,477182386
TJ,2010,13534962
TK,2010,166
TL,2010,68027
TM,2010,4074155
TN,2010,326771691
TO,2010,1783758
TR,2010,416382374
TT,2010,437165
TV,2010,241333
TZ,2010,13745799
UA,2010,6911894
UG,2010,16386271
UY,2010,14790685
UZ,2010,40635290
VC,2010,2256464
VE,2010,1680182
VN,2010,580526799
VU,2010,2886186
WF,2010,597112
WS,2010,7041932
XK,2010,1331574
YE,2010,140990439
YT,2010,7411664
ZA,2010,106919318
ZM,2010,8604515
ZW,2010,9435879
51,2011,23678660
52,2011,37441428
53,2011,3403347
54,2011,251207
55,2011,359651975
56,2011,7183513
57,2011,726094
58,2011,685101
59,2011,14564394
60,2011,548806
61,2011,31070
62,2011,570166
63,2011,234791
64,2011,756812
65,2011,23310871
67,2011,1416054
AF,2011,4653966
AG,2011,1721
AL,2011,51455357
AM,2011,46897975
AO,2011,53827024
AR,2011,35215625
AZ,2011,57937918
BA,2011,28945603
BD,2011,750635778
BF,2011,27704862
BI,2011,7331792
BJ,2011,12263958
BO,2011,22560291
BR,2011,174542851
BT,2011,6227828
BW,2011,11862300
BY,2011,4974741
BZ,2011,2775654
CD,2011,36199893
CF,2011,193593
CG,2011,32671744
CI,2011,103651326
CK,2011,977548
CL,2011,20151518
CM,2011,57121829
CN,2011,3255215404
CO,2011,37598713
CR,2011,36128535
CU,2011,2626878
CV,2011,23262742
DJ,2011,17247456
DM,2011,4042510
DO,2011,79303353
DZ,2011,97294386
EC,2011,93397109
EG,2011,759394669
ER,2011,7244361
ET,2011,26984343
FJ,2011,1658110
GA,2011,26136447
GD,2011,2385492
GE,2011,57791004
GH,2011,45264605
GM,2011,5758928
GN,2011,139789398
GQ,2011,3201476
GT,2011,49201072
GW,2011,713606
GY,2011,10320599
HN,2011,49082686
HT,2011,4323844
ID,2011,2157457570
IN,2011,2123103992
IQ,2011,7390519
IR,2011,30882128
JM,2011,63778949
JO,2011,239994764
KE,2011,253484080
KG,2011,60917095
KH,2011,81526126
KI,2011,394846
KM,2011,4756850
KN,2011,1077985
KP,2011,1640000
KZ,2011,55842546
LA,2011,71641121
LB,2011,87898915
LC,2011,4354744
LK,2011,510809374
LR,2011,5738881
LS,2011,24468330
MA,2011,439255955
MD,2011,16285995
ME,2011,6529333
MG,2011,20736255
MH,2011,2149057
MK,2011,18294491
ML,2011,24663144
MM,2011,6939067
MN,2011,56749272
MR,2011,30901662
MU,2011,16158341
MV,2011,8027846
MW,2011,10716949
MX,2011,113771603
MY,2011,217085867
MZ,2011,47714175
NA,2011,15303325
NE,2011,13757283
NG,2011,119581391
NI,2011,12923483
NP,2011,149683072
NR,2011,1400767
NU,2011,756
PA,2011,19232107
PE,2011,163920051
PG,2011,45622855
PH,2011,1121758465
PK,2011,808165012
PS,2011,1012562
PY,2011,68016364
RS,2011,36446082
RW,2011,13933505
SB,2011,4688186
SC,2011,2468351
SD,2011,65126676
SL,2011,8683067
SN,2011,34080618
SO,2011,834464
SR,2011,1912512
SS,2011,1817102
ST,2011,605850
SV,2011,65809037
SY,2011,199121084
SZ,2011,6944961
TD,2011,48064027
TG,2011,24151909
TH,2011,676949178
TJ,2011,16992813
TL,2011,80514
TM,2011,3503560
TN,2011,297338060
TO,2011,2285593
TR,2011,404784603
TV,2011,341004
TZ,2011,58193289
UA,2011,4206917
UG,2011,24741645
UY,2011,23474885
UZ,2011,46747295
VC,2011,2325431
VE,2011,3120334
VN,2011,609768103
VU,2011,2973724
WF,2011,606514
WS,2011,7164037
XK,2011,773189
YE,2011,140947822
ZA,2011,65160554
ZM,2011,14876519
ZW,2011,1206548
51,2012,24851602
52,2012,34186268
53,2012,6721451
54,2012,1389931
55,2012,497458688
56,2012,2729361
57,2012,11580670
58,2012,5461655
59,2012,14265883
60,2012,100456
61,2012,1210479
62,2012,679105
63,2012,916763
64,2012,663467
65,2012,28887252
66,2012,97685
67,2012,1085764
AF,2012,16036761
AG,2012,469633
AL,2012,52612046
AM,2012,50878581
AO,2012,49834927
AR,2012,17686533
AZ,2012,69440633
BA,2012,65311967
BD,2012,823290212
BF,2012,45933227
BI,2012,12837033
BJ,2012,23309498
BO,2012,29220844
BR,2012,368851496
BT,2012,9023353
BW,2012,15875139
BY,2012,4802536
BZ,2012,4557903
CD,2012,17752973
CF,2012,3156389
CG,2012,23052785
CI,2012,215723728
CK,2012,6260224
CL,2012,17616961
CM,2012,93255470
CN,2012,2577445138
CO,2012,42045144
CR,2012,31923190
CU,2012,4099140
CV,2012,21035344
DJ,2012,19979482
DM,2012,4672946
DO,2012,83706345
DZ,2012,108441141
EC,2012,80649219
EG,2012,811365986
ER,2012,2948401
ET,2012,56273597
FJ,2012,1543845
GA,2012,26279289
GD,2012,1548536
GE,2012,69076472
GH,2012,112654286
GM,2012,12846780
GN,2012,82694501
GQ,2012,4586788
GT,2012,43161675
GW,2012,2150476
GY,2012,15813721
HN,2012,25103788
HT,2012,5720411
ID,2012,2238209005
IN,2012,2133581357
IQ,2012,14604079
IR,2012,2924530
JM,2012,68152867
JO,2012,266744168
KE,2012,325539300
KG,2012,60133854
KH,2012,51972532
KI,2012,695185
KM,2012,8287128
KN,2012,1852805
KP,2012,2021004
KZ,2012,52956518
LA,2012,76125132
LB,2012,161886944
LC,2012,4238198
LK,2012,520193163
LR,2012,3012136
LS,2012,25895913
LY,2012,60208445
MA,2012,541770977
MD,2012,27258128
ME,2012,13192948
MG,2012,34307327
MH,2012,2245276
MK,2012,57280889
ML,2012,36586358
MM,2012,4094415
MN,2012,62185427
MR,2012,54020574
MS,2012,990
MU,2012,21771044
MV,2012,11592866
MW,2012,17606352
MX,2012,112496013
MY,2012,240003178
MZ,2012,62932411
NA,2012,36519603
NE,2012,24048395
NG,2012,103638988
NI,2012,32025602
NP,2012,159034297
NR,2012,1378773
NU,2012,18470
PA,2012,15439429
PE,2012,163506081
PG,2012,48146936
PH,2012,1011835841
PK,2012,823589671
PS,2012,7355189
PY,2012,67333261
RS,2012,134659101
RW,2012,34908731
SB,2012,4843484
SC,2012,2378220
SD,2012,76256571
SL,2012,15044801
SN,2012,65904353
SO,2012,1371572
SR,2012,1982152
SS,2012,2994138
ST,2012,1142624
SV,2012,67856840
SY,2012,16785878
SZ,2012,10548062
TD,2012,51185352
TG,2012,3679397
TH,2012,725979191
TJ,2012,26925970
TL,2012,28571
TM,2012,4358290
TN,2012,369308775
TO,2012,2381873
TR,2012,560990663
TV,2012,463473
TZ,2012,37033359
UA,2012,4617099
UG,2012,48124097
UY,2012,10092154
UZ,2012,47339422
VC,2012,3220555
VE,2012,8022
VN,2012,671856904
VU,2012,3938569
WF,2012,609848
WS,2012,8684231
XK,2012,2196595
YE,2012,129534645
ZA,2012,195152297
ZM,2012,52568791
ZW,2012,11298783
