country,year,income-share-top-10pc
AS,2008,
AG,2008,
AU,2008,
AT,2008,
AZ,2008,27.37
BI,2008,
BE,2008,
BJ,2008,
BF,2008,
BD,2008,
BG,2008,
BH,2008,
BS,2008,
BA,2008,
BY,2008,21.9
BZ,2008,
BM,2008,
BO,2008,43.28
BR,2008,43.33
BB,2008,
BN,2008,
BT,2008,
BW,2008,
CF,2008,46.13
CA,2008,
CH,2008,
CL,2008,
CN,2008,31.05
CI,2008,31.75
CM,2008,
CG,2008,
CO,2008,45.24
KM,2008,
CV,2008,
CR,2008,38.04
CU,2008,
CW,2008,
KY,2008,
CY,2008,
CZ,2008,
DE,2008,
DJ,2008,
DM,2008,
DK,2008,
DO,2008,38.83
DZ,2008,
EC,2008,39.28
EG,2008,26.58
ER,2008,
ES,2008,
EE,2008,
ET,2008,
FI,2008,
FJ,2008,
FR,2008,
FO,2008,
FM,2008,
GA,2008,
GB,2008,
GE,2008,31.31
GH,2008,
GN,2008,
GM,2008,
GW,2008,
GQ,2008,
GR,2008,
GD,2008,
GL,2008,
GT,2008,
GU,2008,
GY,2008,
HK,2008,
HN,2008,47.67
HR,2008,27.48
HT,2008,
HU,2008,
ID,2008,27.84
IN,2008,
IE,2008,
IR,2008,
IQ,2008,
IS,2008,
IL,2008,
IT,2008,
JM,2008,
JO,2008,27.4
JP,2008,
KZ,2008,24.37
KE,2008,
KG,2008,28.4
KH,2008,31.36
KI,2008,
KN,2008,
KR,2008,
XK,2008,
KW,2008,
LA,2008,30.33
LB,2008,
LR,2008,
LY,2008,
LC,2008,
LI,2008,
LK,2008,
LS,2008,
LT,2008,29.1
LU,2008,
LV,2008,28.1
MO,2008,
MF,2008,
MA,2008,
MC,2008,
MD,2008,27.71
MG,2008,
MV,2008,
MX,2008,38.68
MH,2008,
MK,2008,34.48
ML,2008,
MT,2008,
MM,2008,
ME,2008,24.12
MN,2008,28.38
MP,2008,
MZ,2008,36.73
MR,2008,31.62
MU,2008,
MW,2008,
MY,2008,
NA,2008,
NC,2008,
NE,2008,28.51
NG,2008,
NI,2008,
NL,2008,
NO,2008,
NP,2008,
NZ,2008,
OM,2008,
PK,2008,26.05
PA,2008,
PE,2008,36.85
PH,2008,
PW,2008,
PG,2008,
PL,2008,27.15
PR,2008,
KP,2008,
PT,2008,
PY,2008,40.81
PF,2008,
QA,2008,
RO,2008,24.47
RU,2008,33.5
RW,2008,
SA,2008,
SD,2008,
SN,2008,
SG,2008,
SB,2008,
SL,2008,
SV,2008,35.77
SM,2008,
SO,2008,
RS,2008,22.81
SS,2008,
ST,2008,
SR,2008,
