country,year,in_ha
AW,2012,0
AZ,2000,19970000
AZ,2001,29270000
AZ,2002,26290000
AZ,2003,21180000
AZ,2004,27020000
AZ,2005,16600000
AZ,2006,7680000
AZ,2007,9710000
AZ,2008,5970000
AZ,2009,4230000
AZ,2010,3700000
AZ,2011,1760000
AZ,2012,1870000
BA,2000,123620000
BA,2001,162880000
BA,2002,81290000
BA,2003,46370000
BA,2004,47050000
BA,2005,31840000
BA,2006,23350000
BA,2007,9990000
BA,2008,7580000
BA,2009,7310000
BA,2010,4340000
BA,2011,5140000
BA,2012,2020000
BB,2000,0
BB,2001,190000
BB,2002,220000
BB,2003,400000
BB,2004,460000
BB,2005,540000
BB,2006,620000
BB,2007,200000
BB,2008,70000
BB,2009,160000
BB,2010,2830000
BB,2011,0
BB,2012,0
BD,2000,39880000
BD,2001,64260000
BD,2002,70430000
BD,2003,32890000
BD,2004,108540000
BD,2005,39760000
BD,2006,16960000
BD,2007,339750000
BD,2008,146200000
BD,2009,124460000
BD,2010,104730000
BD,2011,82590000
BD,2012,87170000
BF,2000,4280000
BF,2001,6540000
BF,2002,7360000
BF,2003,10050000
BF,2004,8150000
BF,2005,7060000
BF,2006,9880000
BF,2007,20140000
BF,2008,34270000
BF,2009,46030000
BF,2010,52050000
BF,2011,33550000
BF,2012,97800000
BH,2000,0
BH,2001,0
BH,2002,0
BH,2003,0
BH,2004,0
BH,2005,0
BH,2006,0
BH,2007,0
BH,2008,0
BH,2009,0
BH,2010,0
BH,2011,0
BH,2012,0
BI,2000,60860000
BI,2001,84370000
BI,2002,109450000
BI,2003,157020000
BI,2004,171600000
BI,2005,176660000
BI,2006,160660000
BI,2007,113930000
BI,2008,88130000
BI,2009,92340000
BI,2010,65840000
BI,2011,47380000
BI,2012,39950000
BJ,2000,5180000
BJ,2001,4740000
BJ,2002,7040000
BJ,2003,5170000
BJ,2004,4810000
BJ,2005,8220000
BJ,2006,5910000
BJ,2007,4400000
BJ,2008,4280000
BJ,2009,4260000
BJ,2010,15090000
BJ,2011,9620000
BJ,2012,2850000
BM,2000,0
BM,2001,0
BM,2002,0
BM,2003,0
BM,2004,0
BM,2005,0
BM,2006,0
BM,2007,0
BM,2008,0
BM,2009,0
BM,2010,0
BM,2011,0
BM,2012,0
BN,2000,0
BN,2001,0
BN,2002,0
BN,2003,0
BN,2004,0
BN,2005,0
BN,2006,0
BN,2007,0
BN,2008,0
BN,2009,0
BN,2010,0
BN,2011,0
BN,2012,0
BO,2000,8430000
BO,2001,13000000
BO,2002,17860000
BO,2003,7340000
BO,2004,6560000
BO,2005,9710000
BO,2006,8720000
BO,2007,20380000
BO,2008,29450000
BO,2009,10860000
BO,2010,13230000
BO,2011,13830000
BO,2012,4560000
BR,2000,3200000
BR,2001,7410000
BR,2002,4210000
BR,2003,7170000
BR,2004,3820000
BR,2005,4670000
BR,2006,5200000
BR,2007,3880000
BR,2008,7230000
BR,2009,4080000
BR,2010,2710000
BR,2011,6980000
BR,2012,2410000
BS,2000,0
BS,2001,0
BS,2002,0
BS,2003,0
BS,2004,0
BS,2005,0
BS,2006,0
BS,2007,0
BS,2008,0
BS,2009,0
BS,2010,0
BS,2011,0
BS,2012,0
BT,2000,2580000
BT,2001,2340000
BT,2002,4550000
BT,2003,6400000
BT,2004,3660000
BT,2005,1990000
BT,2006,1930000
BT,2007,2520000
BT,2008,2290000
BT,2009,2700000
BT,2010,3010000
BT,2011,6490000
BT,2012,1360000
BW,2000,1850000
BW,2001,2830000
BW,2002,2840000
BW,2003,2400000
BW,2004,2830000
BW,2005,1080000
BW,2006,630000
BW,2007,1250000
BW,2008,1260000
BW,2009,1630000
BW,2010,3450000
BW,2011,3090000
BW,2012,300000
BY,2000,0
BY,2001,0
BY,2002,0
BY,2003,0
BY,2004,0
BY,2005,7210000
BY,2006,4770000
BY,2007,4510000
BY,2008,2920000
BY,2009,2280000
BY,2010,1110000
BY,2011,240000
BY,2012,340000
BZ,2000,1480000
BZ,2001,2610000
BZ,2002,1320000
BZ,2003,230000
BZ,2004,200000
BZ,2005,340000
BZ,2006,880000
BZ,2007,750000
BZ,2008,560000
BZ,2009,730000
BZ,2010,360000
BZ,2011,510000
BZ,2012,210000
CD,2000,106980000
CD,2001,199300000
CD,2002,275690000
CD,2003,273140000
CD,2004,301050000
CD,2005,322770000
CD,2006,463670000
CD,2007,442720000
CD,2008,562310000
CD,2009,613880000
CD,2010,490540000
CD,2011,444260000
CD,2012,464300000
CF,2000,6040000
CF,2001,7710000
CF,2002,8800000
CF,2003,8490000
CF,2004,12150000
CF,2005,10440000
CF,2006,19850000
CF,2007,64560000
CF,2008,71350000
CF,2009,52330000
CF,2010,58820000
CF,2011,69510000
CF,2012,68870000
CG,2000,17130000
CG,2001,29380000
CG,2002,29190000
CG,2003,22050000
CG,2004,19860000
CG,2005,16220000
CG,2006,9070000
CG,2007,10050000
CG,2008,6630000
CG,2009,12040000
CG,2010,25640000
CG,2011,8850000
CG,2012,19690000
CI,2000,14720000
CI,2001,16300000
CI,2002,19180000
CI,2003,49750000
CI,2004,63750000
CI,2005,56340000
CI,2006,75700000
CI,2007,65370000
CI,2008,108620000
CI,2009,32870000
CI,2010,22220000
CI,2011,137260000
CI,2012,103070000
CK,2000,0
CK,2001,0
CK,2002,0
CK,2003,100000
CK,2004,0
CK,2005,1810000
CK,2006,140000
CK,2007,130000
CK,2008,410000
CK,2009,100000
CK,2010,3730000
CK,2011,4860000
CK,2012,980000
CL,2000,840000
CL,2001,1420000
CL,2002,1610000
CL,2003,1940000
CL,2004,2660000
CL,2005,2440000
CL,2006,2040000
CL,2007,950000
CL,2008,860000
CL,2009,1290000
CL,2010,75520000
CL,2011,6310000
CL,2012,4110000
CM,2000,3250000
CM,2001,36700000
CM,2002,7460000
CM,2003,9810000
CM,2004,7810000
CM,2005,6360000
CM,2006,5640000
CM,2007,5610000
CM,2008,28410000
CM,2009,28820000
CM,2010,18040000
CM,2011,20310000
CM,2012,48030000
CN,2000,22960000
CN,2001,31590000
CN,2002,41390000
CN,2003,62360000
CN,2004,25110000
CN,2005,24570000
CN,2006,5480000
CN,2007,8940000
CN,2008,335900000
CN,2009,20320000
CN,2010,30220000
CN,2011,19950000
CN,2012,12680000
CO,2000,35730000
CO,2001,49160000
CO,2002,58740000
CO,2003,60380000
CO,2004,48420000
CO,2005,98400000
CO,2006,106440000
CO,2007,114040000
CO,2008,84180000
CO,2009,99740000
CO,2010,92520000
CO,2011,88040000
CO,2012,74510000
CR,2000,960000
CR,2001,2460000
CR,2002,3100000
CR,2003,2650000
CR,2004,2520000
CR,2005,2330000
CR,2006,1430000
CR,2007,2570000
CR,2008,4940000
CR,2009,2510000
CR,2010,1790000
CR,2011,1360000
CR,2012,710000
CU,2000,15780000
CU,2001,19200000
CU,2002,13070000
CU,2003,9020000
CU,2004,12170000
CU,2005,14890000
CU,2006,10920000
CU,2007,4410000
CU,2008,29080000
CU,2009,14120000
CU,2010,7690000
CU,2011,1430000
CU,2012,13960000
CV,2000,4540000
CV,2001,1320000
CV,2002,4040000
CV,2003,1240000
CV,2004,5890000
CV,2005,1030000
CV,2006,1700000
CV,2007,1360000
CV,2008,1940000
CV,2009,2530000
CV,2010,4690000
CV,2011,1370000
CV,2012,2180000
CY,2000,0
CY,2001,0
CY,2002,0
CY,2003,0
CY,2004,0
CY,2005,0
CY,2006,0
CY,2007,0
CY,2008,0
CY,2009,0
CY,2010,0
CY,2011,0
CY,2012,0
DJ,2000,7640000
DJ,2001,6430000
DJ,2002,10210000
DJ,2003,12680000
DJ,2004,7650000
DJ,2005,8030000
DJ,2006,19510000
DJ,2007,13990000
DJ,2008,23610000
DJ,2009,16940000
DJ,2010,20400000
DJ,2011,48500000
DJ,2012,23160000
DM,2000,80000
DM,2001,140000
DM,2002,40000
DM,2003,0
DM,2004,190000
DM,2005,80000
DM,2006,40000
DM,2007,170000
DM,2008,100000
DM,2009,120000
DM,2010,20000
DM,2011,530000
DM,2012,80000
DO,2000,2010000
DO,2001,22530000
DO,2002,1280000
DO,2003,1740000
DO,2004,6370000
DO,2005,990000
DO,2006,6460000
DO,2007,13340000
DO,2008,22840000
DO,2009,5780000
DO,2010,6760000
DO,2011,10840000
DO,2012,3780000
DZ,2000,41930000
DZ,2001,50890000
DZ,2002,50420000
DZ,2003,47580000
DZ,2004,29260000
DZ,2005,25590000
DZ,2006,20250000
DZ,2007,23340000
DZ,2008,38910000
DZ,2009,33190000
DZ,2010,26570000
DZ,2011,30420000
DZ,2012,31340000
EC,2000,6230000
EC,2001,8340000
EC,2002,11310000
EC,2003,9630000
EC,2004,3960000
EC,2005,2570000
EC,2006,5120000
EC,2007,3540000
EC,2008,15290000
EC,2009,13320000
EC,2010,8830000
EC,2011,11230000
EC,2012,9830000
EG,2000,18290000
EG,2001,11290000
EG,2002,10120000
EG,2003,11970000
EG,2004,8670000
EG,2005,7640000
EG,2006,8380000
EG,2007,3590000
EG,2008,2930000
EG,2009,10470000
EG,2010,8760000
EG,2011,27530000
EG,2012,15090000
ER,2000,76080000
ER,2001,66120000
ER,2002,91690000
ER,2003,188840000
ER,2004,130730000
ER,2005,199220000
ER,2006,49260000
ER,2007,32470000
ER,2008,26720000
ER,2009,33990000
ER,2010,23070000
ER,2011,12540000
ER,2012,15610000
ET,2000,247160000
ET,2001,231760000
ET,2002,251750000
ET,2003,840230000
ET,2004,474300000
ET,2005,697880000
ET,2006,377610000
ET,2007,328470000
ET,2008,936580000
ET,2009,737770000
ET,2010,674360000
ET,2011,685240000
ET,2012,484420000
FJ,2000,500000
FJ,2001,710000
FJ,2002,1700000
FJ,2003,2570000
FJ,2004,1540000
FJ,2005,1210000
FJ,2006,1560000
FJ,2007,1280000
FJ,2008,100000
FJ,2009,3350000
FJ,2010,16350000
FJ,2011,1830000
FJ,2012,14760000
FK,2000,0
FK,2001,0
FK,2002,0
FK,2003,0
FK,2004,0
FK,2005,0
FK,2006,0
FK,2007,0
FK,2008,0
FK,2009,0
FK,2010,0
FK,2011,0
FK,2012,0
FM,2000,0
FM,2001,0
FM,2002,40000
FM,2003,160000
FM,2004,0
FM,2005,100000
FM,2006,650000
FM,2007,0
FM,2008,140000
FM,2009,820000
FM,2010,0
FM,2011,480000
FM,2012,1260000
GA,2000,2890000
GA,2001,4420000
GA,2002,3600000
GA,2003,4200000
GA,2004,4350000
GA,2005,1190000
GA,2006,310000
GA,2007,730000
GA,2008,790000
GA,2009,1020000
GA,2010,850000
GA,2011,490000
GA,2012,200000
GD,2000,0
GD,2001,0
GD,2002,20000
GD,2003,0
GD,2004,6520000
GD,2005,12170000
GD,2006,2290000
GD,2007,760000
GD,2008,190000
GD,2009,190000
GD,2010,40000
GD,2011,0
GD,2012,0
GE,2000,28160000
GE,2001,46310000
GE,2002,37150000
GE,2003,35880000
GE,2004,60400000
GE,2005,23400000
GE,2006,14400000
GE,2007,21380000
GE,2008,109650000
GE,2009,144500000
GE,2010,52910000
GE,2011,58270000
GE,2012,33010000
GH,2000,4960000
GH,2001,4970000
GH,2002,5940000
GH,2003,8060000
GH,2004,10450000
GH,2005,9060000
GH,2006,7000000
GH,2007,21070000
GH,2008,19930000
GH,2009,11000000
GH,2010,4910000
GH,2011,6180000
GH,2012,9160000
GI,2000,0
GI,2001,0
GI,2002,0
GI,2003,0
GI,2004,0
GI,2005,0
GI,2006,0
GI,2007,0
GI,2008,0
GI,2009,0
GI,2010,0
GI,2011,0
GI,2012,0
GM,2000,3870000
GM,2001,2120000
GM,2002,3130000
GM,2003,5150000
GM,2004,3200000
GM,2005,4040000
GM,2006,2810000
GM,2007,2390000
GM,2008,2440000
GM,2009,1670000
GM,2010,2300000
GM,2011,640000
GM,2012,9290000
GN,2000,40560000
GN,2001,89060000
GN,2002,71450000
GN,2003,69840000
GN,2004,45340000
GN,2005,34540000
GN,2006,26160000
GN,2007,34200000
GN,2008,32050000
GN,2009,19440000
GN,2010,14780000
GN,2011,9650000
GN,2012,12570000
GQ,2000,310000
GQ,2001,230000
GQ,2002,240000
GQ,2003,1670000
GQ,2004,200000
GQ,2005,270000
GQ,2006,210000
GQ,2007,240000
GQ,2008,1930000
GQ,2009,1130000
GQ,2010,120000
GQ,2011,130000
GQ,2012,150000
GT,2000,12100000
GT,2001,17950000
GT,2002,45370000
GT,2003,15980000
GT,2004,11990000
GT,2005,45980000
GT,2006,45420000
GT,2007,18250000
GT,2008,12580000
GT,2009,12000000
GT,2010,49940000
GT,2011,35340000
GT,2012,10800000
GW,2000,6440000
GW,2001,4980000
GW,2002,6540000
GW,2003,6410000
GW,2004,4110000
GW,2005,6340000
GW,2006,6840000
GW,2007,4140000
GW,2008,5880000
GW,2009,2370000
GW,2010,2100000
GW,2011,1840000
GW,2012,4710000
GY,2000,740000
GY,2001,310000
GY,2002,310000
GY,2003,230000
GY,2004,290000
GY,2005,4950000
GY,2006,650000
GY,2007,800000
GY,2008,260000
GY,2009,360000
GY,2010,650000
GY,2011,240000
GY,2012,230000
HK,2000,0
HK,2001,0
HK,2002,0
HK,2003,0
HK,2004,0
HK,2005,0
HK,2006,0
HK,2007,0
HK,2008,0
HK,2009,0
HK,2010,0
HK,2011,0
HK,2012,0
HN,2000,47680000
HN,2001,37520000
HN,2002,13410000
HN,2003,9200000
HN,2004,28230000
HN,2005,20470000
HN,2006,11660000
HN,2007,13810000
HN,2008,17830000
HN,2009,11260000
HN,2010,5350000
HN,2011,6400000
HN,2012,14880000
HR,2000,36750000
HR,2001,56720000
HR,2002,31010000
HR,2003,14880000
HR,2004,8900000
HR,2005,11450000
HR,2006,6050000
HR,2007,3080000
HR,2008,2270000
HR,2009,1350000
HR,2010,860000
HR,2011,0
HR,2012,0
HT,2000,11540000
HT,2001,9370000
HT,2002,7340000
HT,2003,14930000
HT,2004,71810000
HT,2005,76420000
HT,2006,80040000
HT,2007,48350000
HT,2008,219150000
HT,2009,147770000
HT,2010,3200540000
HT,2011,527450000
HT,2012,236830000
ID,2000,82330000
ID,2001,85190000
ID,2002,85560000
ID,2003,74670000
ID,2004,40210000
ID,2005,1002270000
ID,2006,586310000
ID,2007,246140000
ID,2008,146960000
ID,2009,281290000
ID,2010,143100000
ID,2011,168550000
ID,2012,51100000
IL,2000,0
IL,2001,30000
IL,2002,0
IL,2003,0
IL,2004,0
IL,2005,0
IL,2006,0
IL,2007,0
IL,2008,0
IL,2009,0
IL,2010,0
IL,2011,0
IL,2012,0
IN,2000,94690000
IN,2001,180170000
IN,2002,64800000
IN,2003,42520000
IN,2004,42700000
IN,2005,156100000
IN,2006,86530000
IN,2007,46900000
IN,2008,56310000
IN,2009,37860000
IN,2010,34230000
IN,2011,32370000
IN,2012,32760000
IQ,2000,149190000
IQ,2001,179410000
IQ,2002,156830000
IQ,2003,1424130000
IQ,2004,1165790000
IQ,2005,757440000
IQ,2006,435440000
IQ,2007,411870000
IQ,2008,409800000
IQ,2009,525030000
IQ,2010,209390000
IQ,2011,302110000
IQ,2012,97660000
IR,2000,57510000
IR,2001,54940000
IR,2002,70620000
IR,2003,77180000
IR,2004,167130000
IR,2005,33630000
IR,2006,49240000
IR,2007,20270000
IR,2008,6770000
IR,2009,11680000
IR,2010,24390000
IR,2011,14880000
IR,2012,46310000
JM,2000,300000
JM,2001,880000
JM,2002,820000
JM,2003,650000
JM,2004,2750000
JM,2005,3850000
JM,2006,10320000
JM,2007,2450000
JM,2008,1130000
JM,2009,740000
JM,2010,1900000
JM,2011,1730000
JM,2012,850000
JO,2000,126460000
JO,2001,131330000
JO,2002,129320000
JO,2003,140590000
JO,2004,114920000
JO,2005,113650000
JO,2006,111440000
JO,2007,113590000
JO,2008,146580000
JO,2009,140780000
JO,2010,177190000
JO,2011,151320000
JO,2012,303260000
KE,2000,80020000
KE,2001,96200000
KE,2002,99690000
KE,2003,82080000
KE,2004,98590000
KE,2005,90810000
KE,2006,268880000
KE,2007,205070000
KE,2008,323070000
KE,2009,421640000
KE,2010,303600000
KE,2011,533260000
KE,2012,403510000
KG,2000,3820000
KG,2001,7260000
KG,2002,9140000
KG,2003,7770000
KG,2004,7300000
KG,2005,4390000
KG,2006,11420000
KG,2007,3060000
KG,2008,9680000
KG,2009,10860000
KG,2010,87550000
KG,2011,27750000
KG,2012,13090000
KH,2000,75030000
KH,2001,39530000
KH,2002,28720000
KH,2003,14440000
KH,2004,18860000
KH,2005,12760000
KH,2006,17280000
KH,2007,22860000
KH,2008,17750000
KH,2009,15220000
KH,2010,12800000
KH,2011,27810000
KH,2012,21930000
KI,2000,0
KI,2001,50000
KI,2002,40000
KI,2003,0
KI,2004,0
KI,2005,90000
KI,2006,0
KI,2007,0
KI,2008,0
KI,2009,0
KI,2010,7390000
KI,2011,1320000
KI,2012,870000
KM,2000,2270000
KM,2001,2940000
KM,2002,730000
KM,2003,240000
KM,2004,230000
KM,2005,1120000
KM,2006,1390000
KM,2007,420000
KM,2008,1150000
KM,2009,810000
KM,2010,1160000
KM,2011,230000
KM,2012,6560000
KN,2000,0
KN,2001,0
KN,2002,0
KN,2003,20000
KN,2004,0
KN,2005,100000
KN,2006,10000
KN,2007,0
KN,2008,0
KN,2009,120000
KN,2010,0
KN,2011,210000
KN,2012,0
KP,2000,53310000
KP,2001,118270000
KP,2002,152020000
KP,2003,152820000
KP,2004,145300000
KP,2005,72270000
KP,2006,36110000
KP,2007,85180000
KP,2008,121820000
KP,2009,62900000
KP,2010,42180000
KP,2011,68230000
KP,2012,63020000
KR,2000,0
KR,2001,0
KR,2002,0
KR,2003,0
KR,2004,0
KR,2005,0
KR,2006,0
KR,2007,0
KR,2008,3470000
KR,2009,0
KR,2010,0
KR,2011,0
KR,2012,0
KW,2000,0
KW,2001,0
KW,2002,0
KW,2003,0
KW,2004,0
KW,2005,0
KW,2006,0
KW,2007,0
KW,2008,0
KW,2009,0
KW,2010,0
KW,2011,0
KW,2012,0
KY,2000,0
KY,2001,0
KY,2002,0
KY,2003,0
KY,2004,0
KY,2005,0
KY,2006,0
KY,2007,0
KY,2008,0
KY,2009,0
KY,2010,0
KY,2011,0
KY,2012,0
KZ,2000,3750000
KZ,2001,6960000
KZ,2002,5770000
KZ,2003,3590000
KZ,2004,3210000
KZ,2005,2590000
KZ,2006,1460000
KZ,2007,1190000
KZ,2008,1710000
KZ,2009,1020000
KZ,2010,3410000
KZ,2011,1470000
KZ,2012,1210000
LA,2000,11120000
LA,2001,9150000
LA,2002,7860000
LA,2003,5700000
LA,2004,5390000
LA,2005,8710000
LA,2006,8300000
LA,2007,7280000
LA,2008,12550000
LA,2009,17390000
LA,2010,12760000
LA,2011,13540000
LA,2012,6560000
LB,2000,83550000
LB,2001,91390000
LB,2002,95480000
LB,2003,85850000
LB,2004,94850000
LB,2005,99800000
LB,2006,581180000
LB,2007,338960000
LB,2008,193830000
LB,2009,140630000
LB,2010,126970000
LB,2011,135570000
LB,2012,404360000
LC,2000,0
LC,2001,0
LC,2002,0
LC,2003,0
LC,2004,0
LC,2005,80000
LC,2006,10000
LC,2007,70000
LC,2008,20000
LC,2009,120000
LC,2010,330000
LC,2011,2400000
LC,2012,230000
LK,2000,50080000
LK,2001,43520000
LK,2002,52230000
LK,2003,44040000
LK,2004,59270000
LK,2005,626460000
LK,2006,185090000
LK,2007,221440000
LK,2008,255770000
LK,2009,266170000
LK,2010,213230000
LK,2011,132240000
LK,2012,82520000
LR,2000,42470000
LR,2001,25690000
LR,2002,51160000
LR,2003,113590000
LR,2004,185740000
LR,2005,151530000
LR,2006,156660000
LR,2007,112790000
LR,2008,111810000
LR,2009,46360000
LR,2010,32010000
LR,2011,99030000
LR,2012,73250000
LS,2000,1990000
LS,2001,1720000
LS,2002,7900000
LS,2003,8490000
LS,2004,9050000
LS,2005,14950000
LS,2006,5250000
LS,2007,27760000
LS,2008,7690000
LS,2009,3460000
LS,2010,10310000
LS,2011,8530000
LS,2012,16270000
LY,2000,0
LY,2001,0
LY,2002,0
LY,2003,0
LY,2004,0
LY,2005,2270000
LY,2006,870000
LY,2007,850000
LY,2008,1170000
LY,2009,2010000
LY,2010,760000
LY,2011,518380000
LY,2012,34470000
MA,2000,4500000
MA,2001,4480000
MA,2002,4920000
MA,2003,2640000
MA,2004,22720000
MA,2005,7080000
MA,2006,6340000
MA,2007,12460000
MA,2008,3010000
MA,2009,3160000
MA,2010,5290000
MA,2011,4930000
MA,2012,11410000
MD,2000,13470000
MD,2001,25670000
MD,2002,11050000
MD,2003,17570000
MD,2004,8390000
MD,2005,11080000
MD,2006,5890000
MD,2007,9810000
MD,2008,8410000
MD,2009,1520000
MD,2010,3050000
MD,2011,1540000
MD,2012,1270000
ME,2000,0
ME,2001,0
ME,2002,0
ME,2003,0
ME,2004,0
ME,2005,0
ME,2006,950000
ME,2007,3620000
ME,2008,1770000
ME,2009,2730000
ME,2010,4590000
ME,2011,4290000
ME,2012,3660000
MG,2000,13080000
MG,2001,20950000
MG,2002,12110000
MG,2003,13740000
MG,2004,14400000
MG,2005,9530000
MG,2006,8170000
MG,2007,31090000
MG,2008,33570000
MG,2009,27470000
MG,2010,29000000
MG,2011,25390000
MG,2012,25310000
MH,2000,0
MH,2001,0
MH,2002,0
MH,2003,0
MH,2004,0
MH,2005,100000
MH,2006,2520000
MH,2007,100000
MH,2008,110000
MH,2009,890000
MH,2010,40000
MH,2011,330000
MH,2012,860000
MK,2000,41060000
MK,2001,70880000
MK,2002,38530000
MK,2003,15820000
MK,2004,5370000
MK,2005,4890000
MK,2006,1290000
MK,2007,3280000
MK,2008,2150000
MK,2009,1950000
MK,2010,820000
MK,2011,900000
MK,2012,2200000
ML,2000,8150000
ML,2001,8430000
ML,2002,10980000
ML,2003,12000000
ML,2004,11270000
ML,2005,29010000
ML,2006,23400000
ML,2007,15990000
ML,2008,15100000
ML,2009,12140000
ML,2010,25690000
ML,2011,21810000
ML,2012,258410000
MM,2000,27040000
MM,2001,30340000
MM,2002,44910000
MM,2003,34600000
MM,2004,37230000
MM,2005,38580000
MM,2006,44970000
MM,2007,56640000
MM,2008,521810000
MM,2009,167290000
MM,2010,112290000
MM,2011,92500000
MM,2012,130370000
MN,2000,15650000
MN,2001,27500000
MN,2002,5890000
MN,2003,8510000
MN,2004,5190000
MN,2005,6660000
MN,2006,1880000
MN,2007,1490000
MN,2008,840000
MN,2009,1040000
MN,2010,13480000
MN,2011,1590000
MN,2012,2240000
MO,2000,0
MO,2001,0
MO,2002,0
MO,2003,0
MO,2004,0
MO,2005,0
MO,2006,0
MO,2007,0
MO,2008,0
MO,2009,0
MO,2010,0
MO,2011,0
MO,2012,0
MP,2000,0
MP,2001,0
MP,2002,0
MP,2003,0
MP,2004,0
MP,2005,0
MP,2006,0
MP,2007,0
MP,2008,0
MP,2009,0
MP,2010,0
MP,2011,0
MP,2012,0
MR,2000,5750000
MR,2001,6460000
MR,2002,9950000
MR,2003,29330000
MR,2004,13010000
MR,2005,24970000
MR,2006,16780000
MR,2007,50690000
MR,2008,40890000
MR,2009,17350000
MR,2010,11770000
MR,2011,14240000
MR,2012,69570000
MS,2000,8730000
MS,2001,2700000
MS,2002,2120000
MS,2003,1750000
MS,2004,400000
MS,2005,130000
MS,2006,10000
MS,2007,0
MS,2008,220000
MS,2009,90000
MS,2010,150000
MS,2011,0
MS,2012,0
MT,2000,230000
MT,2001,220000
MT,2002,180000
MT,2003,0
MT,2004,0
MT,2005,0
MT,2006,0
MT,2007,0
MT,2008,0
MT,2009,0
MT,2010,0
MT,2011,0
MT,2012,0
MU,2000,230000
MU,2001,220000
MU,2002,1520000
MU,2003,280000
MU,2004,0
MU,2005,0
MU,2006,0
MU,2007,10000
MU,2008,100000
MU,2009,0
MU,2010,130000
MU,2011,110000
MU,2012,3940000
MV,2000,220000
MV,2001,270000
MV,2002,3520000
MV,2003,170000
MV,2004,1130000
MV,2005,64970000
MV,2006,21620000
MV,2007,11900000
MV,2008,1810000
MV,2009,9470000
MV,2010,21390000
MV,2011,2710000
MV,2012,640000
MW,2000,6340000
MW,2001,13150000
MW,2002,39180000
MW,2003,42800000
MW,2004,15000000
MW,2005,59140000
MW,2006,67220000
MW,2007,20620000
MW,2008,27180000
MW,2009,16820000
MW,2010,20580000
MW,2011,18490000
MW,2012,58540000
MX,2000,9650000
MX,2001,9990000
MX,2002,8400000
MX,2003,6740000
MX,2004,4340000
MX,2005,3110000
MX,2006,1810000
MX,2007,6420000
MX,2008,4100000
MX,2009,6530000
MX,2010,1370000
MX,2011,760000
MX,2012,1910000
MY,2000,850000
MY,2001,1890000
MY,2002,430000
MY,2003,3960000
MY,2004,2290000
MY,2005,4170000
MY,2006,1040000
MY,2007,2540000
MY,2008,3400000
MY,2009,3070000
MY,2010,4790000
MY,2011,16630000
MY,2012,2700000
MZ,2000,184580000
MZ,2001,130080000
MZ,2002,34720000
MZ,2003,26470000
MZ,2004,28600000
MZ,2005,21950000
MZ,2006,22170000
MZ,2007,57160000
MZ,2008,66280000
MZ,2009,48550000
MZ,2010,27970000
MZ,2011,30760000
MZ,2012,32220000
NA,2000,5930000
NA,2001,6470000
NA,2002,9400000
NA,2003,7760000
NA,2004,9790000
NA,2005,2600000
NA,2006,4070000
NA,2007,3840000
NA,2008,5330000
NA,2009,6270000
NA,2010,2330000
NA,2011,7170000
NA,2012,5350000
NC,2000,0
NC,2001,0
NC,2002,0
NC,2003,0
NC,2004,0
NC,2005,0
NC,2006,0
NC,2007,0
NC,2008,0
NC,2009,0
NC,2010,0
NC,2011,0
NC,2012,0
NE,2000,8090000
NE,2001,17990000
NE,2002,12430000
NE,2003,6790000
NE,2004,9650000
NE,2005,126780000
NE,2006,83270000
NE,2007,37230000
