country,year,out-oof-net
CA,2008,1814540000
DK,2008,-75100000
FI,2008,21410000
FR,2008,-213140000
DE,2008,-432220000
GR,2008,0
IT,2008,384220000
JP,2008,-3168740000
KR,2008,2061110000
LU,2008,0
NL,2008,0
NZ,2008,10270000
NO,2008,550000
PT,2008,0
ES,2008,0
SE,2008,31970000
CH,2008,0
GB,2008,-21510000
US,2008,-1163530000
1,2008,411790000
4,2008,0
5,2008,4651600000
7,2008,0
8,2008,29340000
9,2008,2021410000
EU,2008,4134820000
14,2008,3850480000
16,2008,2452200000
18,2008,22710000
19,2008,3264600000
22,2008,0
24,2008,0
25,2008,0
KW,2008,0
SA,2008,0
TR,2008,-2390000
AE,2008,0
AU,2009,536370000
AT,2009,-42590000
BE,2009,88290000
CA,2009,-1400240000
DK,2009,6280000
FI,2009,133730000
FR,2009,282140000
DE,2009,179050000
GR,2009,0
IT,2009,-68810000
JP,2009,7474790000
KR,2009,543580000
LU,2009,0
NL,2009,0
NZ,2009,10380000
NO,2009,150000
PT,2009,0
ES,2009,3210000
SE,2009,79420000
CH,2009,0
GB,2009,-14140000
US,2009,1037620000
1,2009,2595690000
4,2009,0
5,2009,6329220000
7,2009,0
8,2009,56250000
9,2009,2411860000
EU,2009,4476220000
14,2009,12080340000
16,2009,7185220000
18,2009,6070000
19,2009,2354300000
22,2009,0
24,2009,0
25,2009,272030000
KW,2009,0
SA,2009,0
TR,2009,-11650000
AE,2009,9790000
AU,2010,310150000
AT,2010,-155540000
BE,2010,-15250000
CA,2010,1461930000
DK,2010,-33750000
FI,2010,44310000
FR,2010,-571720000
DE,2010,-406440000
GR,2010,0
IT,2010,-150780000
JP,2010,3398840000
KR,2010,1993140000
LU,2010,0
NL,2010,0
NZ,2010,9500000
NO,2010,750000
PT,2010,0
ES,2010,0
SE,2010,50000
CH,2010,0
GB,2010,-20310000
US,2010,5020000
1,2010,1196100000
4,2010,0
5,2010,3355130000
7,2010,0
8,2010,137310000
9,2010,2111380000
EU,2010,5554540000
14,2010,18917660000
16,2010,4692560000
18,2010,11630000
19,2010,1757990000
22,2010,1204170000
24,2010,0
25,2010,299200000
KW,2010,0
SA,2010,0
TR,2010,-24470000
AE,2010,-1870000
AU,2011,260910000
AT,2011,28450000
BE,2011,-14040000
CA,2011,332710000
DK,2011,9960000
FI,2011,1040030000
FR,2011,-66290000
DE,2011,-384240000
GR,2011,0
IT,2011,-200920000
JP,2011,3234370000
KR,2011,2221720000
LU,2011,0
NL,2011,0
NZ,2011,9810000
NO,2011,0
PT,2011,0
ES,2011,3780000
SE,2011,-128920000
CH,2011,0
GB,2011,-39920000
US,2011,2611640000
1,2011,2000770000
4,2011,0
5,2011,3079890000
7,2011,0
8,2011,35360000
9,2011,2300730000
EU,2011,-743630000
14,2011,1767270000
16,2011,2591600000
18,2011,11050000
19,2011,1391420000
22,2011,1537250000
24,2011,0
25,2011,316170000
KW,2011,0
SA,2011,0
TR,2011,11670000
AE,2011,23970000
AU,2012,326860000
AT,2012,48480000
BE,2012,54950000
CA,2012,1625810000
DK,2012,5520000
FI,2012,9370000
FR,2012,-528320000
DE,2012,-845730000
GR,2012,0
IT,2012,196150000
JP,2012,6205920000
KR,2012,1171400000
LU,2012,0
NL,2012,0
NZ,2012,11270000
NO,2012,-210000
PT,2012,1930000
ES,2012,2480000
SE,2012,-48440000
CH,2012,0
GB,2012,36020000
US,2012,2461880000
1,2012,2660460000
4,2012,0
5,2012,3982050000
7,2012,0
8,2012,-10270000
9,2012,1813150000
EU,2012,-999420000
14,2012,7724740000
16,2012,1914120000
18,2012,27800000
19,2012,2181410000
22,2012,818560000
24,2012,0
25,2012,97240000
KW,2012,0
SA,2012,0
TR,2012,56550000
AE,2012,60570000
AU,2013,492930000
AT,2013,430930000
BE,2013,72810000
CA,2013,1158190000
DK,2013,7770000
FI,2013,-29410000
FR,2013,639980000
DE,2013,-347080000
GR,2013,0
IT,2013,153530000
JP,2013,1849890000
KR,2013,1262600000
LU,2013,0
NL,2013,0
NZ,2013,10700000
NO,2013,210000
PT,2013,2820000
ES,2013,13930000
SE,2013,-22290000
CH,2013,0
GB,2013,185250000
US,2013,1406030000
1,2013,1063720000
4,2013,0
5,2013,1579860000
7,2013,0
8,2013,-9950000
9,2013,1618500000
EU,2013,-583800000
14,2013,8018030000
16,2013,1417680000
18,2013,26490000
19,2013,2011640000
22,2013,0
24,2013,0
25,2013,228510000
KW,2013,0
SA,2013,0
TR,2013,-13080000
AE,2013,7390000
