id,region,aid-type,year,value
ES,north-of-sahara,multilateral,2013,95201733.45
ES,oceania,bilateral,2013,50000.00
ES,oceania,multilateral,2013,10189311.51
ES,south-america,bilateral,2013,177311140.90
ES,south-america,multilateral,2013,46003982.90
ES,south-central-asia,bilateral,2013,26950000.00
ES,south-central-asia,multilateral,2013,153251393.48
ES,south-of-sahara,bilateral,2013,398126177.39
ES,south-of-sahara,multilateral,2013,452231731.53
ES,unspecified,bilateral,2013,251290000.00
ES,unspecified,multilateral,2013,102800177.61
FI,europe,bilateral,2013,18230000.00
FI,europe,multilateral,2013,71042994.78
FI,far-east-asia,bilateral,2013,62215461.49
FI,far-east-asia,multilateral,2013,40077050.69
FI,middle-east,bilateral,2013,42522521.75
FI,middle-east,multilateral,2013,49314811.83
FI,north-central-america,bilateral,2013,26121249.75
FI,north-central-america,multilateral,2013,28701587.30
FI,north-of-sahara,bilateral,2013,4768069.25
FI,north-of-sahara,multilateral,2013,21041036.80
FI,oceania,bilateral,2013,820000.00
FI,oceania,multilateral,2013,4808782.61
FI,south-america,bilateral,2013,23048750.25
FI,south-america,multilateral,2013,17929023.89
FI,south-central-asia,bilateral,2013,97182016.76
FI,south-central-asia,multilateral,2013,85663684.67
FI,south-of-sahara,bilateral,2013,320071930.75
FI,south-of-sahara,multilateral,2013,224551367.25
FI,unspecified,bilateral,2013,227230000.00
FI,unspecified,multilateral,2013,70009660.18
FR,europe,bilateral,2013,218970000.00
FR,europe,multilateral,2013,765070821.53
FR,far-east-asia,bilateral,2013,637659985.73
FR,far-east-asia,multilateral,2013,242772303.35
FR,middle-east,bilateral,2013,308056952.07
FR,middle-east,multilateral,2013,257343239.02
FR,north-central-america,bilateral,2013,398977446.25
FR,north-central-america,multilateral,2013,200552582.21
FR,north-of-sahara,bilateral,2013,1358437445.32
FR,north-of-sahara,multilateral,2013,273722660.51
FR,oceania,bilateral,2013,125940000.00
FR,oceania,multilateral,2013,33987619.37
FR,south-america,bilateral,2013,460832553.75
FR,south-america,multilateral,2013,118900346.01
FR,south-central-asia,bilateral,2013,1002843062.20
FR,south-central-asia,multilateral,2013,651111244.16
FR,south-of-sahara,bilateral,2013,2721692554.68
FR,south-of-sahara,multilateral,2013,1741468385.32
FR,unspecified,bilateral,2013,1055960000.00
FR,unspecified,multilateral,2013,253220798.53
GB,europe,bilateral,2013,39200000.00
GB,europe,multilateral,2013,701317492.94
GB,far-east-asia,bilateral,2013,228553736.19
GB,far-east-asia,multilateral,2013,513851679.12
GB,middle-east,bilateral,2013,828734418.34
GB,middle-east,multilateral,2013,374169398.50
GB,north-central-america,bilateral,2013,201706769.00
GB,north-central-america,multilateral,2013,284775083.05
GB,north-of-sahara,bilateral,2013,92969563.23
GB,north-of-sahara,multilateral,2013,330117925.30
GB,oceania,bilateral,2013,9490000.00
GB,oceania,multilateral,2013,56839733.88
GB,south-america,bilateral,2013,57403231.00
GB,south-america,multilateral,2013,155558753.00
GB,south-central-asia,bilateral,2013,2134001845.47
GB,south-central-asia,multilateral,2013,1311655000.09
GB,south-of-sahara,bilateral,2013,4069170436.77
GB,south-of-sahara,multilateral,2013,3210182462.17
GB,unspecified,bilateral,2013,3298520000.00
GB,unspecified,multilateral,2013,387722471.94
GR,europe,bilateral,2013,6870000.00
GR,europe,multilateral,2013,57618824.58
GR,far-east-asia,bilateral,2013,100000.00
GR,far-east-asia,multilateral,2013,4617357.94
GR,middle-east,bilateral,2013,2560000.00
GR,middle-east,multilateral,2013,15065794.61
GR,north-central-america,bilateral,2013,100000.00
GR,north-central-america,multilateral,2013,7343850.99
GR,north-of-sahara,bilateral,2013,810000.00
GR,north-of-sahara,multilateral,2013,15844004.27
GR,oceania,bilateral,2013,0.00
GR,oceania,multilateral,2013,1111898.44
GR,south-america,bilateral,2013,250000.00
GR,south-america,multilateral,2013,5220914.22
GR,south-central-asia,bilateral,2013,1690000.00
