id,year,total-unemployment
FM,2002,
GA,2002,20.79999924
GB,2002,5.199999809
GE,2002,12.60000038
GH,2002,9.800000191
GN,2002,1.899999976
GM,2002,7.300000191
GW,2002,6.900000095
GQ,2002,6.599999905
GR,2002,10.30000019
GD,2002,
GL,2002,
GT,2002,3.099999905
GU,2002,
GY,2002,11.89999962
HK,2002,7.300000191
HN,2002,3.900000095
HR,2002,15.10000038
HT,2002,7.599999905
HU,2002,5.800000191
ID,2002,9.100000381
IN,2002,4.300000191
IE,2002,4.199999809
IR,2002,12.80000019
IQ,2002,18.60000038
IS,2002,3.299999952
IL,2002,10.30000019
IT,2002,9.199999809
JM,2002,14.30000019
JO,2002,16.20000076
JP,2002,5.400000095
KZ,2002,9.300000191
KE,2002,9.699999809
KG,2002,12.5
KH,2002,2.099999905
KI,2002,
KN,2002,
KR,2002,3.299999952
XK,2002,
KW,2002,1.100000024
LA,2002,1.799999952
LB,2002,8.199999809
LR,2002,4.300000191
LY,2002,20
LC,2002,
LI,2002,
LK,2002,8.800000191
LS,2002,33
LT,2002,13
LU,2002,2.599999905
LV,2002,13.19999981
MO,2002,6.400000095
MF,2002,
MA,2002,11.60000038
MC,2002,
MD,2002,6.800000191
MG,2002,4.400000095
MV,2002,11.89999962
MX,2002,2.900000095
MH,2002,
MK,2002,31.89999962
ML,2002,8.399999619
MT,2002,6.900000095
MM,2002,3.5
ME,2002,21
MN,2002,6.199999809
MP,2002,
MZ,2002,8.399999619
MR,2002,32.40000153
MU,2002,7.199999809
MW,2002,7.699999809
MY,2002,3.5
NA,2002,18.29999924
NC,2002,
NE,2002,5
NG,2002,7.699999809
NI,2002,5.900000095
NL,2002,2.599999905
NO,2002,3.900000095
NP,2002,2.799999952
NZ,2002,5.300000191
OM,2002,8.600000381
PK,2002,7.800000191
PA,2002,13.5
PE,2002,6
PH,2002,11.5
PW,2002,
PG,2002,2.700000048
PL,2002,19.89999962
PR,2002,12.10000038
KP,2002,4.699999809
PT,2002,5
PY,2002,10.69999981
PF,2002,
QA,2002,0.899999976
RO,2002,8.100000381
RU,2002,7.900000095
RW,2002,0.600000024
SA,2002,5.199999809
SD,2002,14.89999962
SN,2002,10.19999981
SG,2002,4.800000191
SB,2002,4.300000191
SL,2002,3.299999952
SV,2002,6.199999809
SM,2002,
