country-id,year,population-0-14
HTI,2008,36.91
HTI,2009,36.54
HTI,2010,36.15
HTI,2011,35.76
HTI,2012,35.35
IDN,2005,30
IDN,2006,30
IDN,2007,30.02
IDN,2008,30.02
IDN,2009,29.97
IDN,2010,29.83
IDN,2011,29.59
IDN,2012,29.27
IND,2005,32.22
IND,2006,31.81
IND,2007,31.39
IND,2008,30.97
IND,2009,30.57
IND,2010,30.17
IND,2011,29.8
IND,2012,29.43
IRN,2005,25.82
IRN,2006,24.85
IRN,2007,24.23
IRN,2008,23.88
IRN,2009,23.7
IRN,2010,23.62
IRN,2011,23.61
IRN,2012,23.68
IRQ,2005,41.94
IRQ,2006,41.84
IRQ,2007,41.75
IRQ,2008,41.64
IRQ,2009,41.47
IRQ,2010,41.23
IRQ,2011,40.9
IRQ,2012,40.51
JAM,2005,31.12
JAM,2006,30.77
JAM,2007,30.41
JAM,2008,30.01
JAM,2009,29.56
JAM,2010,29.04
JAM,2011,28.44
JAM,2012,27.78
JOR,2005,37.9
JOR,2006,37.37
JOR,2007,36.79
JOR,2008,36.19
JOR,2009,35.61
JOR,2010,35.09
JOR,2011,34.59
JOR,2012,34.13
KAZ,2005,24.68
KAZ,2006,24.47
KAZ,2007,24.43
KAZ,2008,24.52
KAZ,2009,24.69
KAZ,2010,24.91
KAZ,2011,25.17
KAZ,2012,25.46
KEN,2005,42.77
KEN,2006,42.68
KEN,2007,42.64
KEN,2008,42.63
KEN,2009,42.61
KEN,2010,42.57
KEN,2011,42.48
KEN,2012,42.37
KGZ,2005,31.27
KGZ,2006,30.78
KGZ,2007,30.43
KGZ,2008,30.2
KGZ,2009,30.08
KGZ,2010,30.05
KGZ,2011,30.09
KGZ,2012,30.21
KHM,2005,36.07
KHM,2006,35.1
KHM,2007,34.13
KHM,2008,33.21
KHM,2009,32.43
KHM,2010,31.84
KHM,2011,31.45
KHM,2012,31.23
KIR,2005,37.06
KIR,2006,36.38
KIR,2007,35.68
KIR,2008,34.96
KIR,2009,34.26
KIR,2010,33.59
KIR,2011,32.96
KIR,2012,32.36
KNA,2005,
KNA,2006,
KNA,2007,
KNA,2008,
KNA,2009,
KNA,2010,
KNA,2011,
KNA,2012,
KSV,2005,
KSV,2006,
KSV,2007,
KSV,2008,
KSV,2009,
KSV,2010,27.48
KSV,2011,
KSV,2012,
LAO,2005,40.38
LAO,2006,39.63
LAO,2007,38.87
LAO,2008,38.13
LAO,2009,37.42
LAO,2010,36.77
LAO,2011,36.16
LAO,2012,35.61
LBN,2005,27.91
LBN,2006,27.35
LBN,2007,26.62
LBN,2008,25.73
LBN,2009,24.74
LBN,2010,23.71
LBN,2011,22.66
LBN,2012,21.64
LBR,2005,43.32
LBR,2006,43.37
LBR,2007,43.42
LBR,2008,43.44
LBR,2009,43.42
LBR,2010,43.35
LBR,2011,43.23
LBR,2012,43.06
LBY,2005,30.63
LBY,2006,30.27
LBY,2007,29.97
LBY,2008,29.72
LBY,2009,29.55
LBY,2010,29.45
LBY,2011,29.42
LBY,2012,29.45
LCA,2005,28.46
LCA,2006,27.73
LCA,2007,27.04
LCA,2008,26.4
LCA,2009,25.8
LCA,2010,25.25
LCA,2011,24.76
LCA,2012,24.31
LKA,2005,25.42
LKA,2006,25.29
LKA,2007,25.21
LKA,2008,25.15
LKA,2009,25.13
LKA,2010,25.12
LKA,2011,25.13
LKA,2012,25.15
LSO,2005,39.68
LSO,2006,39.3
LSO,2007,38.91
LSO,2008,38.5
LSO,2009,38.07
LSO,2010,37.64
LSO,2011,37.2
LSO,2012,36.75
MAR,2005,30.79
MAR,2006,30.15
MAR,2007,29.53
MAR,2008,28.95
MAR,2009,28.47
MAR,2010,28.12
MAR,2011,27.92
MAR,2012,27.85
MDA,2005,18.97
MDA,2006,18.24
MDA,2007,17.66
MDA,2008,17.21
MDA,2009,16.89
MDA,2010,16.67
MDA,2011,16.54
MDA,2012,16.52
MDG,2005,44.82
MDG,2006,44.58
MDG,2007,44.32
MDG,2008,44.04
MDG,2009,43.73
MDG,2010,43.41
MDG,2011,43.07
MDG,2012,42.72
MDV,2005,34.33
MDV,2006,33.2
MDV,2007,32.2
MDV,2008,31.34
MDV,2009,30.61
MDV,2010,29.97
MDV,2011,29.45
MDV,2012,29.03
MEX,2005,32.28
MEX,2006,31.87
MEX,2007,31.44
MEX,2008,31
MEX,2009,30.53
MEX,2010,30.04
