id,year,value-1,value-2,value-3,value-4
MC,2015,32,0,0,32
MD,2015,446,110,0,556
ME,2015,1771,20,0,1791
MG,2015,10,12,0,22
MK,2015,701,17,0,718
ML,2015,15917,340,61920,78177
MM,2015,0,1,451089,451090
MN,2015,9,6,0,15
MO,2015,0,7,0,7
MR,2015,77394,497,0,77891
MS,2015,0,0,0,0
MT,2015,7075,590,0,7665
MU,2015,0,0,0,0
MW,2015,9019,14470,0,23489
MX,2015,2923,1350,0,4273
MY,2015,94166,60415,0,154581
MZ,2015,5622,14825,0,20447
NA,2015,1737,1112,0,2849
NE,2015,124721,106,137337,262164
NG,2015,1395,386,2172532,2174313
NI,2015,330,131,0,461
NL,2015,88536,28051,0,116587
NO,2015,50389,25316,0,75705
NP,2015,32667,17,0,32684
NR,2015,506,302,0,808
NZ,2015,1337,159,0,1496
OM,2015,245,190,0,435
PA,2015,17322,2934,0,20256
PE,2015,1488,379,0,1867
PG,2015,9510,445,0,9955
PH,2015,269,210,63174,63653
PK,2015,1561162,6442,1146108,2713712
PL,2015,14065,3303,0,17368
PS,2015,2051096,0,0,2051096
PT,2015,699,641,0,1340
PW,2015,0,0,0,0
PY,2015,172,37,0,209
QA,2015,120,118,0,238
RO,2015,2598,432,0,3030
RS,2015,35332,116,220002,255450
RU,2015,314506,2088,0,316594
RW,2015,144737,414,0,145151
SA,2015,125,32,0,157
SB,2015,3,0,0,3
SD,2015,309639,12581,3218234,3540454
SE,2015,169520,157046,0,326566
SG,2015,0,0,0,0
SI,2015,292,103,0,395
SK,2015,820,173,0,993
SL,2015,760,17,0,777
SN,2015,14392,3119,0,17511
SO,2015,8081,10120,1133000,1151201
SR,2015,1,4,0,5
SS,2015,263016,839,1790427,2054282
ST,2015,0,0,0,0
SV,2015,48,1,0,49
SX,2015,3,8,0,11
SY,2015,549729,5251,6563462,7118442
SZ,2015,696,268,0,964
TC,2015,4,0,0,4
TD,2015,369540,2898,51999,424437
TG,2015,21953,752,0,22705
TH,2015,108261,8271,0,116532
TJ,2015,1969,288,0,2257
TL,2015,0,0,0,0
TM,2015,26,0,0,26
TN,2015,665,90,0,755
TO,2015,0,0,0,0
TR,2015,2541352,212408,0,2753760
TT,2015,114,82,0,196
TZ,2015,211845,2150,0,213995
UA,2015,3273,6502,1600000,1609775
UG,2015,477187,35779,0,512966
US,2015,273202,286168,0,559370
UY,2015,301,79,0,380
UZ,2015,107,0,0,107
VC,2015,0,0,0,0
VE,2015,173754,235,0,173989
VG,2015,0,0,0,0
VN,2015,0,0,0,0
VU,2015,0,1,0,1
WS,2015,0,3,0,3
YE,2015,267173,9866,2532032,2809071
ZA,2015,121645,1096063,0,1217708
ZM,2015,26447,2411,0,28858
ZW,2015,6950,259,0,7209
