id,year,budget-type,l1,l2,l3,l4,l5,value
UG,2014,actual,total-revenue-and-grants,revenue,nontax-revenue,,,3.34E+11
UG,2015,proj,total-revenue-and-grants,revenue,nontax-revenue,,,4.05E+11
UG,2016,proj,total-revenue-and-grants,revenue,nontax-revenue,,,5.04E+11
UG,2017,proj,total-revenue-and-grants,revenue,nontax-revenue,,,5.80E+11
UG,2018,proj,total-revenue-and-grants,revenue,nontax-revenue,,,6.93E+11
UG,2019,proj,total-revenue-and-grants,revenue,nontax-revenue,,,8.29E+11
UG,2000,actual,total-revenue-and-grants,revenue,resource-revenue,,,0.00
UG,2001,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2002,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2003,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2004,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2005,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2006,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2007,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2008,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2009,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2010,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2011,actual,total-revenue-and-grants,revenue,resource-revenue,,,1.12E+12
UG,2012,actual,total-revenue-and-grants,revenue,resource-revenue,,,3.92E+11
UG,2013,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2014,budget,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2014,actual,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2015,proj,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2016,proj,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2017,proj,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2018,proj,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2019,proj,total-revenue-and-grants,revenue,resource-revenue,,,0
UG,2000,actual,total-revenue-and-grants,grants,,,,516000000000.00
UG,2001,actual,total-revenue-and-grants,grants,,,,7.86E+11
UG,2002,actual,total-revenue-and-grants,grants,,,,7.15E+11
UG,2003,actual,total-revenue-and-grants,grants,,,,8.30E+11
UG,2004,actual,total-revenue-and-grants,grants,,,,1.25E+12
UG,2005,actual,total-revenue-and-grants,grants,,,,1.20E+12
UG,2006,actual,total-revenue-and-grants,grants,,,,9.74E+11
UG,2007,actual,total-revenue-and-grants,grants,,,,9.57E+11
UG,2008,actual,total-revenue-and-grants,grants,,,,6.56E+11
UG,2009,actual,total-revenue-and-grants,grants,,,,7.87E+11
UG,2010,actual,total-revenue-and-grants,grants,,,,8.63E+11
UG,2011,actual,total-revenue-and-grants,grants,,,,8.91E+11
UG,2012,actual,total-revenue-and-grants,grants,,,,1.14E+12
UG,2013,actual,total-revenue-and-grants,grants,,,,9.36E+11
UG,2014,budget,total-revenue-and-grants,grants,,,,9.10E+11
UG,2014,actual,total-revenue-and-grants,grants,,,,7.09E+11
UG,2015,proj,total-revenue-and-grants,grants,,,,1.22E+12
UG,2016,proj,total-revenue-and-grants,grants,,,,8.24E+11
UG,2017,proj,total-revenue-and-grants,grants,,,,8.19E+11
UG,2018,proj,total-revenue-and-grants,grants,,,,8.81E+11
UG,2019,proj,total-revenue-and-grants,grants,,,,7.38E+11
UG,2000,actual,total-revenue-and-grants,grants,budget-support-grants,,,240000000000.00
UG,2001,actual,total-revenue-and-grants,grants,budget-support-grants,,,3.67E+11
UG,2002,actual,total-revenue-and-grants,grants,budget-support-grants,,,3.64E+11
UG,2003,actual,total-revenue-and-grants,grants,budget-support-grants,,,4.69E+11
UG,2004,actual,total-revenue-and-grants,grants,budget-support-grants,,,8.16E+11
UG,2005,actual,total-revenue-and-grants,grants,budget-support-grants,,,8.11E+11
UG,2006,actual,total-revenue-and-grants,grants,budget-support-grants,,,7.38E+11
UG,2007,actual,total-revenue-and-grants,grants,budget-support-grants,,,7.76E+11
UG,2008,actual,total-revenue-and-grants,grants,budget-support-grants,,,4.70E+11
UG,2009,actual,total-revenue-and-grants,grants,budget-support-grants,,,5.31E+11
UG,2010,actual,total-revenue-and-grants,grants,budget-support-grants,,,4.67E+11
UG,2011,actual,total-revenue-and-grants,grants,budget-support-grants,,,5.15E+11
UG,2012,actual,total-revenue-and-grants,grants,budget-support-grants,,,5.81E+11
UG,2013,actual,total-revenue-and-grants,grants,budget-support-grants,,,1.99E+11
UG,2014,budget,total-revenue-and-grants,grants,budget-support-grants,,,2.13E+11
UG,2014,actual,total-revenue-and-grants,grants,budget-support-grants,,,2.15E+11
UG,2015,proj,total-revenue-and-grants,grants,budget-support-grants,,,2.57E+11
UG,2016,proj,total-revenue-and-grants,grants,budget-support-grants,,,2.56E+11
UG,2017,proj,total-revenue-and-grants,grants,budget-support-grants,,,2.54E+11
UG,2018,proj,total-revenue-and-grants,grants,budget-support-grants,,,2.74E+11
UG,2019,proj,total-revenue-and-grants,grants,budget-support-grants,,,2.29E+11
UG,2000,actual,total-revenue-and-grants,grants,project-grants,,,275000000000.00
UG,2001,actual,total-revenue-and-grants,grants,project-grants,,,4.19E+11
UG,2002,actual,total-revenue-and-grants,grants,project-grants,,,3.51E+11
UG,2003,actual,total-revenue-and-grants,grants,project-grants,,,3.61E+11
UG,2004,actual,total-revenue-and-grants,grants,project-grants,,,4.33E+11
UG,2005,actual,total-revenue-and-grants,grants,project-grants,,,3.87E+11
UG,2006,actual,total-revenue-and-grants,grants,project-grants,,,2.36E+11
UG,2007,actual,total-revenue-and-grants,grants,project-grants,,,1.81E+11
UG,2008,actual,total-revenue-and-grants,grants,project-grants,,,1.85E+11
UG,2009,actual,total-revenue-and-grants,grants,project-grants,,,2.57E+11
UG,2010,actual,total-revenue-and-grants,grants,project-grants,,,3.96E+11
UG,2011,actual,total-revenue-and-grants,grants,project-grants,,,3.75E+11
UG,2012,actual,total-revenue-and-grants,grants,project-grants,,,5.56E+11
UG,2013,actual,total-revenue-and-grants,grants,project-grants,,,7.38E+11
UG,2014,budget,total-revenue-and-grants,grants,project-grants,,,6.97E+11
UG,2014,actual,total-revenue-and-grants,grants,project-grants,,,4.94E+11
UG,2015,proj,total-revenue-and-grants,grants,project-grants,,,9.64E+11
UG,2016,proj,total-revenue-and-grants,grants,project-grants,,,5.68E+11
UG,2017,proj,total-revenue-and-grants,grants,project-grants,,,5.64E+11
UG,2018,proj,total-revenue-and-grants,grants,project-grants,,,6.07E+11
UG,2019,proj,total-revenue-and-grants,grants,project-grants,,,5.09E+11
UG,2000,actual,total-expenditure,,,,,2390000000000.00
UG,2001,actual,total-expenditure,,,,,2.21E+12
UG,2002,actual,total-expenditure,,,,,2.51E+12
UG,2003,actual,total-expenditure,,,,,2.20E+12
UG,2004,actual,total-expenditure,,,,,3.14E+12
UG,2005,actual,total-expenditure,,,,,3.24E+12
UG,2006,actual,total-expenditure,,,,,3.26E+12
UG,2007,actual,total-expenditure,,,,,3.84E+12
UG,2008,actual,total-expenditure,,,,,4.55E+12
UG,2009,actual,total-expenditure,,,,,5.26E+12
UG,2010,actual,total-expenditure,,,,,6.87E+12
UG,2011,actual,total-expenditure,,,,,8.93E+12
UG,2012,actual,total-expenditure,,,,,9.32E+12
UG,2013,actual,total-expenditure,,,,,1.05E+13
UG,2014,budget,total-expenditure,,,,,1.30E+13
UG,2014,actual,total-expenditure,,,,,1.15E+13
