country,year,population-15-64
CL,2006,67.47
CL,2007,67.84
CL,2008,68.18
CL,2009,68.46
CL,2010,68.68
CL,2011,68.83
CL,2012,68.92
CN,2005,71.82
CN,2006,72.43
CN,2007,72.89
CN,2008,73.22
CN,2009,73.42
CN,2010,73.51
CN,2011,73.48
CN,2012,73.34
CI,2005,54.73
CI,2006,54.74
CI,2007,54.78
CI,2008,54.86
CI,2009,54.96
CI,2010,55.08
CI,2011,55.22
CI,2012,55.37
CM,2005,52.37
CM,2006,52.57
CM,2007,52.77
CM,2008,52.97
CM,2009,53.16
CM,2010,53.34
CM,2011,53.52
CM,2012,53.7
CG,2005,54.28
CG,2006,54.28
CG,2007,54.32
CG,2008,54.36
CG,2009,54.38
CG,2010,54.37
CG,2011,54.32
CG,2012,54.25
CO,2005,64.15
CO,2006,64.48
CO,2007,64.8
CO,2008,65.1
CO,2009,65.38
CO,2010,65.62
CO,2011,65.83
CO,2012,66.01
KM,2005,55.47
KM,2006,55.34
KM,2007,55.19
KM,2008,55.04
KM,2009,54.93
KM,2010,54.88
KM,2011,54.9
KM,2012,54.97
CR,2005,66.21
CR,2006,66.76
CR,2007,67.28
CR,2008,67.76
CR,2009,68.19
CR,2010,68.58
CR,2011,68.93
CR,2012,69.22
CU,2005,69.57
CU,2006,69.76
CU,2007,69.91
CU,2008,70.04
CU,2009,70.15
CU,2010,70.25
CU,2011,70.34
CU,2012,70.41
DJ,2005,59.39
DJ,2006,60.11
DJ,2007,60.78
DJ,2008,61.37
DJ,2009,61.83
DJ,2010,62.17
DJ,2011,62.35
DJ,2012,62.41
DM,2005,
DM,2006,
DM,2007,
DM,2008,
DM,2009,
DM,2010,
DM,2011,
DM,2012,
DO,2005,61.27
DO,2006,61.58
DO,2007,61.91
DO,2008,62.24
DO,2009,62.54
DO,2010,62.82
DO,2011,63.07
DO,2012,63.28
DZ,2005,66.72
DZ,2006,67.29
DZ,2007,67.71
DZ,2008,67.98
DZ,2009,68.12
DZ,2010,68.15
DZ,2011,68.08
DZ,2012,67.91
EC,2005,61.72
EC,2006,61.97
EC,2007,62.2
EC,2008,62.43
EC,2009,62.66
EC,2010,62.88
EC,2011,63.1
EC,2012,63.32
EG,2005,62.03
EG,2006,62.37
EG,2007,62.61
EG,2008,62.78
EG,2009,62.9
EG,2010,62.99
EG,2011,63.06
EG,2012,63.11
ER,2005,54.52
ER,2006,54.79
ER,2007,54.92
ER,2008,54.95
ER,2009,54.92
ER,2010,54.86
ER,2011,54.79
ER,2012,54.7
ET,2005,50.68
ET,2006,50.89
ET,2007,51.14
ET,2008,51.45
ET,2009,51.83
ET,2010,52.27
ET,2011,52.77
ET,2012,53.32
FJ,2005,65.27
FJ,2006,65.72
FJ,2007,65.99
FJ,2008,66.12
FJ,2009,66.16
FJ,2010,66.13
FJ,2011,66.06
FJ,2012,65.92
FM,2005,57.2
FM,2006,57.52
FM,2007,57.89
FM,2008,58.32
FM,2009,58.78
FM,2010,59.25
FM,2011,59.74
FM,2012,60.24
GA,2005,54.86
GA,2006,55.13
GA,2007,55.39
GA,2008,55.64
GA,2009,55.86
GA,2010,56.04
GA,2011,56.19
GA,2012,56.3
GE,2005,67.05
GE,2006,67.42
GE,2007,67.82
GE,2008,68.17
GE,2009,68.41
GE,2010,68.48
GE,2011,68.38
GE,2012,68.11
GH,2005,56.42
GH,2006,56.63
GH,2007,56.84
GH,2008,57.07
GH,2009,57.29
GH,2010,57.5
GH,2011,57.7
GH,2012,57.89
GN,2005,53.13
GN,2006,53.29
GN,2007,53.45
GN,2008,53.62
GN,2009,53.8
GN,2010,53.99
GN,2011,54.2
GN,2012,54.42
GM,2005,51.47
GM,2006,51.46
GM,2007,51.45
GM,2008,51.44
GM,2009,51.46
GM,2010,51.5
GM,2011,51.57
GM,2012,51.66
GW,2005,54.21
GW,2006,54.39
GW,2007,54.57
GW,2008,54.76
GW,2009,54.95
GW,2010,55.14
GW,2011,55.34
GW,2012,55.54
GQ,2005,56.15
GQ,2006,56.56
GQ,2007,56.92
GQ,2008,57.23
GQ,2009,57.51
GQ,2010,57.77
GQ,2011,58.02
GQ,2012,58.24
GD,2005,62.3
GD,2006,63.1
GD,2007,63.78
GD,2008,64.34
GD,2009,64.82
GD,2010,65.24
GD,2011,65.61
GD,2012,65.91
GT,2005,52.55
GT,2006,52.8
GT,2007,53.09
GT,2008,53.41
GT,2009,53.73
GT,2010,54.06
GT,2011,54.38
GT,2012,54.7
GY,2005,59.61
GY,2006,59.43
GY,2007,59.24
GY,2008,59.1
GY,2009,59.06
GY,2010,59.19
GY,2011,59.49
GY,2012,59.93
HN,2005,56.04
HN,2006,56.61
HN,2007,57.19
HN,2008,57.78
HN,2009,58.36
HN,2010,58.9
HN,2011,59.41
HN,2012,59.89
HT,2005,57.76
HT,2006,58.11
HT,2007,58.42
HT,2008,58.73
HT,2009,59.05
HT,2010,59.39
HT,2011,59.75
HT,2012,60.14
ID,2005,65.13
ID,2006,65.1
ID,2007,65.06
ID,2008,65.04
ID,2009,65.06
ID,2010,65.16
ID,2011,65.34
ID,2012,65.6
IN,2005,63.06
IN,2006,63.41
IN,2007,63.75
IN,2008,64.1
IN,2009,64.43
IN,2010,64.76
IN,2011,65.07
IN,2012,65.37
IR,2005,69.25
IR,2006,70.14
IR,2007,70.71
IR,2008,71.03
IR,2009,71.17
IR,2010,71.22
IR,2011,71.19
IR,2012,71.08
IQ,2005,54.6
IQ,2006,54.72
IQ,2007,54.82
IQ,2008,54.94
IQ,2009,55.12
IQ,2010,55.4
IQ,2011,55.78
IQ,2012,56.23
JM,2005,61.2
JM,2006,61.52
JM,2007,61.84
JM,2008,62.2
JM,2009,62.62
JM,2010,63.12
JM,2011,63.69
JM,2012,64.33
JO,2005,58.92
JO,2006,59.42
JO,2007,59.96
JO,2008,60.51
JO,2009,61.04
JO,2010,61.52
JO,2011,61.97
JO,2012,62.39
KZ,2005,67.69
KZ,2006,67.99
KZ,2007,68.24
KZ,2008,68.42
KZ,2009,68.49
KZ,2010,68.44
KZ,2011,68.26
KZ,2012,67.99
KE,2005,54.51
KE,2006,54.63
KE,2007,54.69
KE,2008,54.73
KE,2009,54.77
KE,2010,54.82
KE,2011,54.89
KE,2012,54.99
KG,2005,63.12
KG,2006,63.78
KG,2007,64.38
KG,2008,64.89
KG,2009,65.27
KG,2010,65.52
KG,2011,65.63
KG,2012,65.62
KH,2005,59.55
KH,2006,60.39
KH,2007,61.23
KH,2008,62.01
KH,2009,62.67
KH,2010,63.13
KH,2011,63.41
KH,2012,63.51
KI,2005,59.33
KI,2006,59.97
KI,2007,60.63
KI,2008,61.3
KI,2009,61.95
KI,2010,62.55
KI,2011,63.11
KI,2012,63.61
KN,2005,
KN,2006,
KN,2007,
KN,2008,
KN,2009,
KN,2010,
KN,2011,
KN,2012,
XK,2005,
XK,2006,
XK,2007,
XK,2008,
XK,2009,
XK,2010,65.88
XK,2011,
XK,2012,
LA,2005,55.88
LA,2006,56.62
LA,2007,57.38
LA,2008,58.13
LA,2009,58.84
LA,2010,59.5
LA,2011,60.09
LA,2012,60.64
LB,2005,64.63
LB,2006,65.01
LB,2007,65.53
LB,2008,66.18
LB,2009,66.97
LB,2010,67.84
LB,2011,68.81
LB,2012,69.8
LR,2005,53.66
LR,2006,53.61
LR,2007,53.55
LR,2008,53.51
LR,2009,53.51
LR,2010,53.58
LR,2011,53.71
LR,2012,53.89
LY,2005,65.11
LY,2006,65.4
LY,2007,65.64
LY,2008,65.83
LY,2009,65.94
LY,2010,65.98
LY,2011,65.94
LY,2012,65.83
LC,2005,64.29
LC,2006,64.85
LC,2007,65.29
LC,2008,65.64
LC,2009,65.95
LC,2010,66.27
LC,2011,66.61
LC,2012,66.95
LK,2005,67.53
LK,2006,67.52
LK,2007,67.48
LK,2008,67.4
LK,2009,67.28
LK,2010,67.11
LK,2011,66.89
LK,2012,66.64
LS,2005,55.7
LS,2006,56.12
LS,2007,56.59
LS,2008,57.08
LS,2009,57.59
LS,2010,58.08
LS,2011,58.57
LS,2012,59.05
MA,2005,64.23
MA,2006,64.84
MA,2007,65.45
MA,2008,66.02
MA,2009,66.5
MA,2010,66.86
MA,2011,67.08
MA,2012,67.17
MD,2005,69.8
MD,2006,70.45
MD,2007,71.04
MD,2008,71.54
MD,2009,71.92
MD,2010,72.17
MD,2011,72.28
MD,2012,72.25
MG,2005,52.26
MG,2006,52.51
MG,2007,52.79
MG,2008,53.09
MG,2009,53.41
MG,2010,53.74
MG,2011,54.1
MG,2012,54.46
MV,2005,61.08
MV,2006,62.09
MV,2007,62.97
MV,2008,63.74
MV,2009,64.42
MV,2010,65.02
MV,2011,65.54
MV,2012,65.99
MX,2005,62.4
MX,2006,62.7
MX,2007,63
MX,2008,63.3
MX,2009,63.63
MX,2010,63.97
MX,2011,64.34
MX,2012,64.73
MH,2005,
MH,2006,
MH,2007,
MH,2008,
MH,2009,
MH,2010,
MH,2011,
MH,2012,
ML,2005,50.64
ML,2006,50.61
ML,2007,50.56
ML,2008,50.5
ML,2009,50.41
ML,2010,50.3
ML,2011,50.18
ML,2012,50.05
MM,2005,66.99
MM,2006,67.39
MM,2007,67.77
MM,2008,68.13
MM,2009,68.48
MM,2010,68.84
MM,2011,69.2
MM,2012,69.56
ME,2005,66.96
ME,2006,67.1
ME,2007,67.34
ME,2008,67.62
ME,2009,67.88
ME,2010,68.07
ME,2011,68.18
ME,2012,68.23
MN,2005,67.34
MN,2006,68.07
MN,2007,68.59
MN,2008,68.93
MN,2009,69.14
MN,2010,69.23
MN,2011,69.24
MN,2012,69.15
MZ,2005,52.03
MZ,2006,51.85
MZ,2007,51.71
MZ,2008,51.59
MZ,2009,51.49
MZ,2010,51.42
MZ,2011,51.38
MZ,2012,51.36
MU,2005,69.21
MU,2006,69.57
MU,2007,69.99
MU,2008,70.41
MU,2009,70.8
MU,2010,71.11
MU,2011,71.32
MU,2012,71.45
MW,2005,50.83
MW,2006,50.84
MW,2007,50.88
MW,2008,50.93
MW,2009,51.01
MW,2010,51.12
MW,2011,51.25
MW,2012,51.41
MY,2005,65.39
MY,2006,65.85
MY,2007,66.29
MY,2008,66.7
MY,2009,67.1
MY,2010,67.48
MY,2011,67.84
MY,2012,68.19
NA,2005,56.86
NA,2006,57.14
NA,2007,57.5
NA,2008,57.92
NA,2009,58.38
NA,2010,58.87
NA,2011,59.38
NA,2012,59.9
NE,2005,48.47
NE,2006,48.26
NE,2007,48.06
NE,2008,47.88
NE,2009,47.72
NE,2010,47.59
NE,2011,47.49
NE,2012,47.4
NG,2005,53.71
NG,2006,53.64
NG,2007,53.55
NG,2008,53.45
NG,2009,53.35
NG,2010,53.25
NG,2011,53.15
NG,2012,53.05
NI,2005,58.1
NI,2006,58.66
NI,2007,59.23
NI,2008,59.8
NI,2009,60.36
NI,2010,60.92
NI,2011,61.47
NI,2012,62
NP,2005,56.15
NP,2006,56.35
NP,2007,56.62
NP,2008,56.98
NP,2009,57.42
NP,2010,57.97
NP,2011,58.62
NP,2012,59.36
PK,2005,57.71
PK,2006,58.26
PK,2007,58.77
PK,2008,59.25
PK,2009,59.74
PK,2010,60.24
PK,2011,60.77
PK,2012,61.32
PA,2005,63.19
PA,2006,63.33
PA,2007,63.47
PA,2008,63.61
PA,2009,63.75
PA,2010,63.92
PA,2011,64.09
PA,2012,64.28
PE,2005,62.59
PE,2006,62.88
PE,2007,63.17
PE,2008,63.45
PE,2009,63.73
PE,2010,64.01
PE,2011,64.29
PE,2012,64.57
PH,2005,59.5
PH,2006,59.78
PH,2007,60.07
PH,2008,60.38
PH,2009,60.69
PH,2010,61
PH,2011,61.32
PH,2012,61.64
PW,2005,
PW,2006,
PW,2007,
PW,2008,
PW,2009,
PW,2010,
PW,2011,
PW,2012,
PG,2005,57.42
PG,2006,57.51
PG,2007,57.61
PG,2008,57.75
PG,2009,57.93
PG,2010,58.17
PG,2011,58.45
PG,2012,58.77
KP,2005,67.84
KP,2006,67.92
KP,2007,68.05
KP,2008,68.22
KP,2009,68.4
KP,2010,68.56
KP,2011,68.69
KP,2012,68.79
PY,2005,59.41
PY,2006,59.81
PY,2007,60.21
PY,2008,60.59
PY,2009,60.96
PY,2010,61.29
PY,2011,61.59
PY,2012,61.87
RW,2005,53.25
RW,2006,53.33
RW,2007,53.19
RW,2008,52.96
RW,2009,52.86
RW,2010,53.02
RW,2011,53.46
RW,2012,54.11
SD,2005,53.76
SD,2006,53.92
SD,2007,54.11
SD,2008,54.33
SD,2009,54.56
SD,2010,54.8
SD,2011,55.06
SD,2012,55.32
SN,2005,52.74
SN,2006,52.88
SN,2007,53
SN,2008,53.1
SN,2009,53.19
SN,2010,53.27
SN,2011,53.35
SN,2012,53.44
SB,2005,55.71
SB,2006,55.74
SB,2007,55.76
SB,2008,55.79
SB,2009,55.85
SB,2010,55.95
SB,2011,56.1
SB,2012,56.28
SL,2005,54.89
SL,2006,54.93
SL,2007,54.98
SL,2008,55.05
SL,2009,55.15
SL,2010,55.28
SL,2011,55.44
SL,2012,55.65
SV,2005,58.12
SV,2006,58.65
SV,2007,59.21
SV,2008,59.8
SV,2009,60.42
SV,2010,61.04
SV,2011,61.68
SV,2012,62.32
SO,2005,49.38
SO,2006,49.34
SO,2007,49.32
SO,2008,49.33
SO,2009,49.38
SO,2010,49.49
SO,2011,49.64
SO,2012,49.84
RS,2005,67.91
RS,2006,68.22
RS,2007,68.56
RS,2008,68.9
RS,2009,69.19
RS,2010,69.39
RS,2011,69.5
RS,2012,69.52
SS,2005,52.75
SS,2006,52.92
SS,2007,53.1
SS,2008,53.31
SS,2009,53.52
SS,2010,53.76
SS,2011,54
SS,2012,54.25
ST,2005,54
ST,2006,54.24
ST,2007,54.43
ST,2008,54.58
ST,2009,54.71
ST,2010,54.8
ST,2011,54.88
ST,2012,54.95
SR,2005,64.04
SR,2006,64.15
SR,2007,64.28
SR,2008,64.44
SR,2009,64.66
SR,2010,64.92
SR,2011,65.24
SR,2012,65.6
SZ,2005,55
SZ,2006,55.6
SZ,2007,56.21
SZ,2008,56.81
SZ,2009,57.35
SZ,2010,57.82
SZ,2011,58.21
SZ,2012,58.53
SC,2005,68.14
SC,2006,68.77
SC,2007,69.27
SC,2008,69.64
SC,2009,69.91
SC,2010,70.09
SC,2011,70.19
SC,2012,70.18
SY,2005,57.97
SY,2006,58.55
SY,2007,59.17
SY,2008,59.75
SY,2009,60.22
SY,2010,60.54
SY,2011,60.68
SY,2012,60.7
TD,2005,48.09
TD,2006,48.15
TD,2007,48.24
TD,2008,48.35
TD,2009,48.49
TD,2010,48.66
TD,2011,48.84
TD,2012,49.05
TG,2005,54.38
TG,2006,54.59
TG,2007,54.78
TG,2008,54.94
TG,2009,55.07
TG,2010,55.19
TG,2011,55.28
TG,2012,55.37
TH,2005,69.95
TH,2006,70.26
TH,2007,70.66
TH,2008,71.09
TH,2009,71.49
TH,2010,71.8
TH,2011,72
TH,2012,72.12
TJ,2005,57.91
TJ,2006,58.68
TJ,2007,59.38
TJ,2008,59.98
TJ,2009,60.45
TJ,2010,60.78
TJ,2011,60.98
TJ,2012,61.05
TM,2005,62.75
TM,2006,63.58
TM,2007,64.46
TM,2008,65.31
TM,2009,66.06
TM,2010,66.65
TM,2011,67.05
TM,2012,67.3
TL,2005,49.28
TL,2006,49.43
TL,2007,49.43
TL,2008,49.37
TL,2009,49.4
TL,2010,49.59
TL,2011,49.96
TL,2012,50.45
TO,2005,55.87
TO,2006,55.97
TO,2007,56.14
TO,2008,56.33
TO,2009,56.51
TO,2010,56.66
TO,2011,56.76
TO,2012,56.82
TN,2005,67.51
TN,2006,68.06
TN,2007,68.57
TN,2008,69
TN,2009,69.33
TN,2010,69.56
TN,2011,69.68
TN,2012,69.7
TR,2005,64.94
TR,2006,65.22
TR,2007,65.49
TR,2008,65.75
TR,2009,66
TR,2010,66.25
TR,2011,66.5
TR,2012,66.74
TV,2005,
TV,2006,
TV,2007,
TV,2008,
TV,2009,
TV,2010,
TV,2011,
TV,2012,
TZ,2005,52.37
TZ,2006,52.32
TZ,2007,52.25
TZ,2008,52.17
TZ,2009,52.1
TZ,2010,52.05
TZ,2011,52
TZ,2012,51.98
UG,2005,48.15
UG,2006,48.22
UG,2007,48.32
UG,2008,48.43
UG,2009,48.55
UG,2010,48.69
UG,2011,48.85
UG,2012,49.03
UA,2005,69.52
UA,2006,69.67
UA,2007,69.84
UA,2008,70.02
UA,2009,70.19
UA,2010,70.32
UA,2011,70.43
UA,2012,70.52
UY,2005,62.69
UY,2006,62.85
UY,2007,63.03
UY,2008,63.24
UY,2009,63.44
UY,2010,63.62
UY,2011,63.78
UY,2012,63.93
UZ,2005,62.04
UZ,2006,62.85
UZ,2007,63.68
UZ,2008,64.47
UZ,2009,65.2
UZ,2010,65.84
UZ,2011,66.37
UZ,2012,66.82
VC,2005,64.3
VC,2006,64.82
VC,2007,65.35
VC,2008,65.86
VC,2009,66.33
VC,2010,66.76
VC,2011,67.13
VC,2012,67.46
VE,2005,63.7
VE,2006,64.01
VE,2007,64.28
VE,2008,64.52
VE,2009,64.72
VE,2010,64.9
VE,2011,65.05
VE,2012,65.18
VN,2005,66.31
VN,2006,67.17
VN,2007,68.01
VN,2008,68.78
VN,2009,69.44
VN,2010,69.97
VN,2011,70.34
VN,2012,70.58
VU,2005,57.03
VU,2006,57.22
VU,2007,57.34
VU,2008,57.45
VU,2009,57.6
VU,2010,57.85
VU,2011,58.21
VU,2012,58.65
PS,2005,51.65
PS,2006,52.26
PS,2007,52.96
PS,2008,53.71
PS,2009,54.46
PS,2010,55.16
PS,2011,55.81
PS,2012,56.4
WS,2005,55.59
WS,2006,55.81
WS,2007,56.03
WS,2008,56.26
WS,2009,56.47
WS,2010,56.67
WS,2011,56.86
WS,2012,57.02
YE,2005,51.68
YE,2006,52.42
YE,2007,53.18
YE,2008,53.93
YE,2009,54.65
YE,2010,55.32
YE,2011,55.92
YE,2012,56.47
ZA,2005,64.81
ZA,2006,64.91
ZA,2007,64.99
ZA,2008,65.03
ZA,2009,65.06
ZA,2010,65.06
ZA,2011,65.05
ZA,2012,65.03
CD,2005,50.95
CD,2006,51.07
CD,2007,51.21
CD,2008,51.37
CD,2009,51.54
CD,2010,51.7
CD,2011,51.87
CD,2012,52.04
ZM,2005,50.56
ZM,2006,50.46
ZM,2007,50.39
ZM,2008,50.37
ZM,2009,50.38
ZM,2010,50.43
ZM,2011,50.52
ZM,2012,50.64
ZW,2005,54.84
ZW,2006,54.75
ZW,2007,54.62
ZW,2008,54.52
ZW,2009,54.56
ZW,2010,54.78
ZW,2011,55.22
ZW,2012,55.82
