country,year,gdp-usd-2005
BT,2006,874956489.1
BW,2006,10721702328
CF,2006,1452928387
CA,2006,1.16577E+12
CH,2006,3.99188E+11
CL,2006,1.29884E+11
CN,2006,2.54353E+12
CI,2006,16475358262
CM,2006,17122408358
CG,2006,6466587987
CO,2006,1.56333E+11
KM,2006,391843702.8
CV,2006,1177504313
CR,2006,21717739802
CU,2006,47789566449
CW,2006,
KY,2006,
CY,2006,17699013878
CZ,2006,1.39183E+11
DE,2006,2.86861E+12
DJ,2006,742646629.2
DM,2006,396014551.5
DK,2006,2.66423E+11
DO,2006,37594686814
DZ,2006,1.04953E+11
EC,2006,43334860460
EG,2006,95823670784
ER,2006,1087779776
ES,2006,1.17689E+12
EE,2006,15306227142
ET,2006,13492918145
FI,2006,2.04413E+11
FJ,2006,3062424094
FR,2006,2.18926E+12
FO,2006,
FM,2006,249437348
GA,2006,8768095232
GB,2006,2.38531E+12
GE,2006,7012723011
GH,2006,11418723662
GN,2006,3010402725
GM,2006,631190333.8
GW,2006,561500515.3
GQ,2006,8320886494
GR,2006,2.53298E+11
GD,2006,673387225.3
GL,2006,1778629819
GT,2006,28675122167
GU,2006,
GY,2006,867193700.2
HK,2006,1.94339E+11
HN,2006,10307270097
HR,2006,47033452791
HT,2006,4247885661
HU,2006,1.14621E+11
ID,2006,3.01594E+11
IN,2006,9.11496E+11
IE,2006,2.1373E+11
IR,2006,2.03332E+11
IQ,2006,55029407816
IS,2006,17053241325
IL,2006,1.41453E+11
IT,2006,1.82555E+12
JM,2006,
JO,2006,13604621395
JP,2006,4.64927E+12
KZ,2006,63235904609
KE,2006,19924122755
KG,2006,2536203618
KH,2006,6970875649
KI,2006,101362392.8
KN,2006,561475393.9
KR,2006,8.88616E+11
XK,2006,3870382958
KW,2006,86874151933
LA,2006,2971334529
LB,2006,21991989282
LR,2006,595004024.7
LY,2006,46596000000
LC,2006,992976737.9
LI,2006,3974620150
LK,2006,26277298342
LS,2006,1427348620
LT,2006,27998948427
LU,2006,39501069492
LV,2006,18004275915
MO,2006,13493335077
MF,2006,
MA,2006,64142821236
MC,2006,4496188311
MD,2006,3131146154
MG,2006,5291644767
MV,2006,1186855729
MX,2006,9.13738E+11
MH,2006,140146439.2
MK,2006,6286933485
ML,2006,5760422916
MT,2006,6113803055
MM,2006,
ME,2006,2451299590
MN,2006,2739264542
MP,2006,
MZ,2006,6994357707
MR,2006,2596630178
MU,2006,6531858624
MW,2006,2811804032
MY,2006,1.5155E+11
NA,2006,7774892739
NC,2006,
NE,2006,3602632359
NG,2006,1.21465E+11
NI,2006,6585100498
NL,2006,6.60142E+11
NO,2006,3.1105E+11
NP,2006,8403810872
NZ,2006,1.15713E+11
OM,2006,32604850718
PK,2006,1.16267E+11
PA,2006,16783492680
PE,2006,85529866799
PH,2006,1.0847E+11
PW,2006,203183464.8
PG,2006,5028265993
PL,2006,3.22838E+11
PR,2006,81641733092
KP,2006,
PT,2006,1.94626E+11
PY,2006,9154536281
PF,2006,
QA,2006,56184301217
RO,2006,1.07817E+11
RU,2006,8.26293E+11
RW,2006,2802037515
SA,2006,3.46777E+11
SD,2006,29194549147
SN,2006,8921344357
SG,2006,1.36245E+11
SB,2006,442662749.9
SL,2006,1719916790
SV,2006,17762500677
SM,2006,1428437199
SO,2006,
RS,2006,26142847489
SS,2006,
ST,2006,119750030.2
SR,2006,1862468799
SK,2006,66446582515
SI,2006,37807079252
SE,2006,3.86504E+11
SZ,2006,2669418698
SX,2006,
SC,2006,1005555295
SY,2006,30301913793
TC,2006,
TD,2006,6689750813
TG,2006,2200868860
TH,2006,1.85333E+11
TJ,2006,2474181950
TM,2006,8993168136
TL,2006,463883005.9
TO,2006,260554490.5
TT,2006,18299673444
TN,2006,34010078620
TR,2006,5.16274E+11
TV,2006,22306678
TZ,2006,15094712407
UG,2006,9985953500
UA,2006,92430385388
UY,2006,18074503486
US,2006,1.34446E+13
UZ,2006,15351958057
VC,2006,593735719.9
VE,2006,1.59879E+11
VI,2006,
VN,2006,61654878281
VU,2006,428387951.4
PS,2006,
WS,2006,420413662.4
YE,2006,17284950662
ZA,2006,2.60896E+11
CD,2006,7592497937
ZM,2006,7626964314
ZW,2006,5555998739
AW,2007,2298707695
AD,2007,2750939554
AF,2007,7533698917
AO,2007,41789491879
AL,2007,9314231095
AE,2007,2.04702E+11
AR,2007,2.15897E+11
AM,2007,6309891834
AS,2007,
AG,2007,1247153012
AU,2007,7.41844E+11
AT,2007,3.27893E+11
AZ,2007,22277594932
BI,2007,1233763797
BE,2007,3.98583E+11
BJ,2007,4730719643
BF,2007,6042743720
BD,2007,68404967193
BG,2007,32742752864
BH,2007,18412018570
BS,2007,8014454932
BA,2007,12421872947
BY,2007,36104038406
BZ,2007,1180658196
BM,2007,5284241306
BO,2007,10464042407
BR,2007,9.7298E+11
BB,2007,4182305027
BN,2007,9965949012
BT,2007,1031799658
BW,2007,11652597047
CF,2007,1570946904
CA,2007,1.19141E+12
CH,2007,4.1454E+11
CL,2007,1.36587E+11
CN,2007,2.90471E+12
CI,2007,16757856573
CM,2007,17608693919
CG,2007,6364272161
CO,2007,1.67121E+11
KM,2007,393767619.8
CV,2007,1356139819
CR,2007,23441116407
CU,2007,51260110221
CW,2007,
KY,2007,
CY,2007,18607069376
CZ,2007,1.47165E+11
DE,2007,2.96238E+12
DJ,2007,780522063.1
DM,2007,397696560.7
DK,2007,2.70641E+11
DO,2007,40780695459
DZ,2007,1.08521E+11
EC,2007,44283921626
EG,2007,1.02615E+11
ER,2007,1103300455
ES,2007,1.21784E+12
EE,2007,16453000889
ET,2007,15038669490
FI,2007,2.15319E+11
FJ,2007,3036373447
FR,2007,2.23929E+12
FO,2007,
FM,2007,244299716.5
GA,2007,9255018589
GB,2007,2.46706E+12
GE,2007,7878373539
GH,2007,12156343018
GN,2007,3063316042
GM,2007,654109017.9
GW,2007,595408533
GQ,2007,10105090672
GR,2007,2.62255E+11
GD,2007,713287105.8
GL,2007,1876686744
GT,2007,30482822556
GU,2007,
GY,2007,835623363.3
HK,2007,2.06903E+11
HN,2007,10945102350
HR,2007,49413312273
HT,2007,4389904330
HU,2007,1.14753E+11
ID,2007,3.2073E+11
IN,2007,1.00084E+12
IE,2007,2.24353E+11
IR,2007,2.19242E+11
IQ,2007,55787491919
IS,2007,18073877854
IL,2007,1.51243E+11
IT,2007,1.85628E+12
JM,2007,
JO,2007,14716896920
JP,2007,4.75119E+12
KZ,2007,68863900119
KE,2007,21317473473
KG,2007,2752868316
KH,2007,7682781331
KI,2007,108981176.1
KN,2007,576968373.8
KR,2007,9.33987E+11
XK,2007,4191624743
KW,2007,92079356886
LA,2007,3197061726
LB,2007,23641575935
LR,2007,688348492.1
LY,2007,49391760000
LC,2007,1007826671
LI,2007,4106814515
LK,2007,28063320620
LS,2007,1494911665
LT,2007,30753989500
LU,2007,42103417400
LV,2007,19800672593
MO,2007,15426750472
MF,2007,
MA,2007,65878381261
MC,2007,5151842377
MD,2007,3227207950
MG,2007,5621880566
MV,2007,1312144503
MX,2007,9.42504E+11
MH,2007,144420192.2
MK,2007,6673508620
ML,2007,6008016157
MT,2007,6375426572
MM,2007,
ME,2007,2713588646
MN,2007,3019984821
MP,2007,
MZ,2007,7503686869
MR,2007,2638549707
MU,2007,6916550847
MW,2007,3078684118
MY,2007,1.61095E+11
NA,2007,8192735352
NC,2007,
NE,2007,3715991723
NG,2007,1.29759E+11
NI,2007,6916264697
NL,2007,6.86023E+11
NO,2007,3.19302E+11
NP,2007,8690511945
NZ,2007,1.19789E+11
OM,2007,34821980567
PK,2007,1.21886E+11
PA,2007,18816420297
PE,2007,93115110975
PH,2007,1.15647E+11
PW,2007,204482174.7
PG,2007,5390301145
PL,2007,3.44744E+11
PR,2007,80692782937
KP,2007,
PT,2007,1.9923E+11
PY,2007,9650860713
PF,2007,
QA,2007,66289169475
RO,2007,1.14566E+11
RU,2007,8.96818E+11
RW,2007,3015925394
SA,2007,3.67557E+11
SD,2007,32556515776
SN,2007,9361923617
SG,2007,1.48533E+11
SB,2007,490027664.1
SL,2007,1858242120
SV,2007,18444538993
SM,2007,1478338935
SO,2007,
RS,2007,27554561254
SS,2007,
ST,2007,122139924
SR,2007,1957668665
SK,2007,73419444099
SI,2007,40404497110
SE,2007,3.99314E+11
SZ,2007,2762945840
SX,2007,
SC,2007,1110310795
SY,2007,32029122879
TC,2007,
TD,2007,6908605983
TG,2007,2251278746
TH,2007,1.94682E+11
TJ,2007,2672116506
TM,2007,9987558552
TL,2007,517769990.2
TO,2007,249773954.7
TT,2007,19169679738
TN,2007,36167881596
TR,2007,5.40377E+11
TV,2007,23723278.06
TZ,2007,16173696879
UG,2007,10826014445
UA,2007,99732386544
UY,2007,19256849093
US,2007,1.36852E+13
UZ,2007,16810394072
VC,2007,613878154.7
VE,2007,1.73874E+11
VI,2007,
VN,2007,66050565593
VU,2007,450559927.2
PS,2007,
WS,2007,427981108.4
YE,2007,17861996286
ZA,2007,2.75369E+11
CD,2007,8067617826
ZM,2007,8096999646
ZW,2007,5353019894
AW,2008,2140526675
AD,2008,2849168375
AF,2008,7805768540
AO,2008,47563587328
AL,2008,10031426890
AE,2008,2.11236E+11
AR,2008,2.30488E+11
AM,2008,6745274371
AS,2008,
AG,2008,1247525078
AU,2008,7.69804E+11
AT,2008,3.32603E+11
AZ,2008,24677431177
BI,2008,1296045659
BE,2008,4.02509E+11
BJ,2008,4968127509
BF,2008,6393223162
BD,2008,72639529866
BG,2008,34772803542
BH,2008,19560291945
BS,2008,7828204029
BA,2008,13095138461
BY,2008,39804069049
BZ,2008,1226100264
BM,2008,5364978907
BO,2008,11107423825
BR,2008,1.02328E+12
BB,2008,4196656444
BN,2008,9772721198
BT,2008,1079978144
BW,2008,12107219247
CF,2008,1632089450
CA,2008,1.19962E+12
CH,2008,4.23512E+11
CL,2008,1.41084E+11
CN,2008,3.18356E+12
CI,2008,17148314631
CM,2008,18247395962
CG,2008,6718906218
CO,2008,1.73049E+11
KM,2008,397606567.6
CV,2008,1446330176
CR,2008,24081438730
CU,2008,53370400812
CW,2008,
KY,2008,
CY,2008,19281876370
CZ,2008,1.51726E+11
DE,2008,2.99447E+12
DJ,2008,
DM,2008,429673809.1
DK,2008,2.6852E+11
DO,2008,42923985853
DZ,2008,1.10692E+11
EC,2008,47099108359
EG,2008,1.09959E+11
ER,2008,995364243
ES,2008,1.2287E+12
EE,2008,15769978359
ET,2008,16661124577
FI,2008,2.15951E+11
FJ,2008,3067732954
FR,2008,2.23748E+12
FO,2008,
FM,2008,238046565.8
GA,2008,9347550944
GB,2008,2.44808E+12
GE,2008,8060682813
GH,2008,13181184012
GN,2008,3214549894
GM,2008,691619828.2
GW,2008,657695238.7
GQ,2008,9805325890
GR,2008,2.61691E+11
GD,2008,720638771.5
GL,2008,1883178374
GT,2008,31482993017
GU,2008,
GY,2008,852140687.9
HK,2008,2.11306E+11
HN,2008,11408284210
HR,2008,50443252480
HT,2008,4426952679
HU,2008,1.15779E+11
ID,2008,3.40018E+11
IN,2008,1.03978E+12
IE,2008,2.19506E+11
IR,2008,2.20514E+11
IQ,2008,59474411872
IS,2008,18288606981
IL,2008,1.57979E+11
IT,2008,1.83482E+12
JM,2008,
JO,2008,15781283050
JP,2008,4.7017E+12
KZ,2008,71136408824
KE,2008,21642980382
KG,2008,2984153744
KH,2008,8196880596
KI,2008,111982787.1
KN,2008,604033755.2
KR,2008,9.55453E+11
XK,2008,4493421724
KW,2008,94362781189
LA,2008,3447228698
LB,2008,25833742986
LR,2008,760839799.1
LY,2008,51268646880
LC,2008,1061482813
LI,2008,4180658707
LK,2008,29733112933
LS,2008,1580621946
LT,2008,31654296590
LU,2008,41794135204
LV,2008,18960420623
MO,2008,15949865725
MF,2008,
MA,2008,69559043368
MC,2008,5667026615
MD,2008,3477795691
MG,2008,6022627278
MV,2008,1472207441
MX,2008,9.55702E+11
MH,2008,141632173.9
MK,2008,7003848110
ML,2008,6307126993
MT,2008,6653622884
MM,2008,
ME,2008,2900826262
MN,2008,3288774582
MP,2008,
MZ,2008,8016160099
MR,2008,2731347602
MU,2008,7297791188
MW,2008,3335412862
MY,2008,1.68879E+11
NA,2008,8469361100
NC,2008,
NE,2008,4072268866
NG,2008,1.37895E+11
NI,2008,7192595749
NL,2008,6.98399E+11
NO,2008,3.19518E+11
NP,2008,9221036339
NZ,2008,1.17679E+11
OM,2008,39279194079
PK,2008,1.23959E+11
PA,2008,20720156014
PE,2008,1.02205E+11
PH,2008,1.20449E+11
PW,2008,193643671.5
PG,2008,5751451321
PL,2008,3.62417E+11
PR,2008,79204590402
KP,2008,
PT,2008,1.99213E+11
PY,2008,10264570604
PF,2008,
QA,2008,77997848453
RO,2008,1.23573E+11
RU,2008,9.43883E+11
RW,2008,3352540286
SA,2008,3.98531E+11
SD,2008,33534615575
SN,2008,9706678739
SG,2008,1.51129E+11
SB,2008,525799683.6
SL,2008,1957187442
SV,2008,18679564344
SM,2008,1506408662
SO,2008,
RS,2008,28601634581
SS,2008,
ST,2008,133223592.5
SR,2008,2038782836
SK,2008,77641412760
SI,2008,41854730758
SE,2008,3.96864E+11
SZ,2008,2828084744
SX,2008,
SC,2008,1086544423
SY,2008,
TC,2008,
TD,2008,7119504413
TG,2008,2301379908
TH,2008,1.99519E+11
TJ,2008,2885885826
TM,2008,11455729660
TL,2008,593541208.3
TO,2008,252028444.5
TT,2008,19819864883
TN,2008,37837484291
TR,2008,5.43937E+11
TV,2008,25617169.24
TZ,2008,17376505548
UG,2008,11768825183
UA,2008,1.02026E+11
UY,2008,20638748441
US,2008,1.36455E+13
UZ,2008,18323329539
VC,2008,622414608.3
VE,2008,1.83051E+11
VI,2008,
VN,2008,69790197499
VU,2008,479623192.7
PS,2008,
WS,2008,446384296
YE,2008,18513525010
ZA,2008,2.85344E+11
CD,2008,8564183233
ZM,2008,8586719246
ZW,2008,4407197685
AW,2009,2019511955
AD,2009,
AF,2009,9446591725
AO,2009,48711254651
AL,2009,10362463977
AE,2009,2.01088E+11
AR,2009,2.32448E+11
AM,2009,5790818814
AS,2009,
AG,2009,1094108607
AU,2009,7.82492E+11
AT,2009,3.19891E+11
AZ,2009,26999738724
BI,2009,1340998037
BE,2009,3.91237E+11
BJ,2009,5100603394
BF,2009,6582810304
BD,2009,76809880500
BG,2009,32860299347
BH,2009,20058224369
BS,2009,7501356222
BA,2009,12714069932
BY,2009,39869162697
BZ,2009,1229743237
BM,2009,5081483918
BO,2009,11480299979
BR,2009,1.01992E+12
BB,2009,4022928766
BN,2009,9600196363
BT,2009,1152638919
BW,2009,11157891950
CF,2009,1777461809
CA,2009,1.16639E+12
CH,2009,4.15309E+11
CL,2009,1.39622E+11
CN,2009,3.47645E+12
CI,2009,17791375259
CM,2009,18588341482
CG,2009,7220733129
CO,2009,1.75907E+11
KM,2009,404804114.4
CV,2009,1478589966
CR,2009,23836839014
CU,2009,54143800237
CW,2009,
KY,2009,
CY,2009,18960609562
CZ,2009,1.44887E+11
DE,2009,2.84039E+12
DJ,2009,
DM,2009,455010070.1
DK,2009,2.53304E+11
DO,2009,44406603700
DZ,2009,1.12574E+11
EC,2009,47365920848
EG,2009,1.15112E+11
ER,2009,1033949557
ES,2009,1.18161E+12
EE,2009,13546673362
ET,2009,18127717314
FI,2009,1.97512E+11
FJ,2009,3028700115
FR,2009,2.16707E+12
FO,2009,
FM,2009,240336472.8
GA,2009,9076471967
GB,2009,2.3215E+12
GE,2009,7756329650
GH,2009,13707278823
GN,2009,3205542973
GM,2009,736227203.5
GW,2009,665055963.7
GQ,2009,9886512942
GR,2009,2.53483E+11
GD,2009,672983522.1
GL,2009,1781261019
GT,2009,31648605447
GU,2009,
GY,2009,880420034.7
HK,2009,2.06109E+11
HN,2009,11130848997
HR,2009,46938856453
HT,2009,4554347001
HU,2009,1.07907E+11
ID,2009,3.55757E+11
IN,2009,1.12795E+12
IE,2009,2.05492E+11
IR,2009,2.29202E+11
IQ,2009,62929260570
IS,2009,17088551955
IL,2009,1.5995E+11
IT,2009,1.734E+12
JM,2009,
JO,2009,16646641080
JP,2009,4.44184E+12
KZ,2009,71990045730
KE,2009,22234977835
KG,2009,3070285211
KH,2009,8203987042
KI,2009,111238099
KN,2009,562375599.8
KR,2009,9.58506E+11
XK,2009,4628224376
KW,2009,87685573780
LA,2009,3705832035
LB,2009,28029611140
LR,2009,865543488.9
LY,2009,52345288464
LC,2009,1062887736
LI,2009,4132268347
LK,2009,30785341651
LS,2009,1637442782
LT,2009,26987911154
LU,2009,39471969358
LV,2009,15556078264
MO,2009,16222977730
MF,2009,
MA,2009,72868904039
MC,2009,
MD,2009,3269490341
MG,2009,5774052218
MV,2009,1418692085
MX,2009,9.10781E+11
MH,2009,139507691.3
MK,2009,6939393955
ML,2009,6588262258
MT,2009,6477129705
MM,2009,
ME,2009,2735479165
MN,2009,3247053222
MP,2009,
MZ,2009,8523905205
MR,2009,2698019947
MU,2009,7517201061
MW,2009,3636795274
MY,2009,1.66323E+11
NA,2009,8377097203
NC,2009,
NE,2009,4043246979
NG,2009,1.47458E+11
NI,2009,7035898279
NL,2009,6.72785E+11
NO,2009,3.14294E+11
NP,2009,9639033175
NZ,2009,1.19444E+11
OM,2009,39711265214
PK,2009,1.27469E+11
PA,2009,21519164623
PE,2009,1.03148E+11
PH,2009,1.21832E+11
PW,2009,173112235.6
PG,2009,6067781144
PL,2009,3.68216E+11
PR,2009,77658180065
KP,2009,
PT,2009,1.93419E+11
PY,2009,9857508993
PF,2009,
QA,2009,87324481188
RO,2009,1.15171E+11
RU,2009,8.70063E+11
RW,2009,3561873222
SA,2009,4.05821E+11
SD,2009,34618501399
SN,2009,9941888640
SG,2009,1.4994E+11
SB,2009,519490087.4
SL,2009,2020794843
SV,2009,18094324948
SM,2009,
SO,2009,
RS,2009,27600577371
SS,2009,
ST,2009,138583020.1
SR,2009,2100225606
SK,2009,73812461137
SI,2009,38503063055
SE,2009,3.76911E+11
SZ,2009,2863889135
SX,2009,
SC,2009,1074514408
SY,2009,
TC,2009,
TD,2009,7419783433
TG,2009,2382165910
TH,2009,1.9487E+11
TJ,2009,2987233653
TM,2009,12154529169
TL,2009,669312426.3
TO,2009,260189359
TT,2009,18949432000
TN,2009,38991412230
TR,2009,5.17687E+11
TV,2009,24481598.2
TZ,2009,18422910392
UG,2009,12622188031
UA,2009,86926349182
UY,2009,21102188425
US,2009,1.32631E+13
UZ,2009,19807519232
VC,2009,608853307
VE,2009,1.77189E+11
VI,2009,
VN,2009,73557400855
VU,2009,495485496.5
PS,2009,
WS,2009,423618696.9
YE,2009,19229300378
ZA,2009,2.80988E+11
CD,2009,8806925113
ZM,2009,9105755546
ZW,2009,4670941633
AW,2010,
AD,2010,
AF,2010,10243250246
AO,2010,50371160616
AL,2010,10725150216
AE,2010,2.04448E+11
AR,2010,2.53742E+11
AM,2010,5918216827
AS,2010,
AG,2010,1009445957
AU,2010,7.98827E+11
AT,2010,3.2555E+11
AZ,2010,28310397707
BI,2010,1391766915
BE,2010,4.00326E+11
BJ,2010,5230812508
BF,2010,7105465610
BD,2010,81471733197
BG,2010,32991740544
BH,2010,20928102320
BS,2010,7575468595
BA,2010,12803068421
BY,2010,42939088225
BZ,2010,1277466194
BM,2010,4975071875
BO,2010,11954060130
BR,2010,1.09675E+12
BB,2010,4033125825
BN,2010,9849702194
BT,2010,1287238647
BW,2010,12116816309
CF,2010,1895403785
CA,2010,1.20389E+12
CH,2010,4.27574E+11
CL,2010,1.47668E+11
CN,2010,3.838E+12
CI,2010,18217368879
CM,2010,19209829593
CG,2010,7852666838
CO,2010,1.82893E+11
KM,2010,413107576
CV,2010,1532903134
CR,2010,25017792423
CU,2010,55436887631
CW,2010,
KY,2010,
CY,2010,19207097486
CZ,2010,1.48465E+11
DE,2010,2.95436E+12
DJ,2010,
DM,2010,459398784.9
DK,2010,2.56817E+11
DO,2010,47848657632
DZ,2010,1.16626E+11
EC,2010,48764673105
EG,2010,1.21036E+11
ER,2010,1056636372
ES,2010,1.17923E+12
EE,2010,13894144302
ET,2010,20402844450
FI,2010,2.04154E+11
FJ,2010,3032066121
FR,2010,2.20445E+12
FO,2010,
FM,2010,246418335.6
GA,2010,9684595588
GB,2010,2.36004E+12
GE,2010,8241335083
GH,2010,14804825657
GN,2010,3267609255
GM,2010,784275580.7
GW,2010,676484295.8
GQ,2010,9718622518
GR,2010,2.40951E+11
GD,2010,672704074.1
GL,2010,
GT,2010,32556756309
GU,2010,
GY,2010,918902044.8
HK,2010,2.20111E+11
HN,2010,11546149370
HR,2010,46279296510
HT,2010,4307682995
HU,2010,1.09265E+11
ID,2010,3.77899E+11
IN,2010,1.24368E+12
IE,2010,2.03307E+11
IR,2010,2.42702E+11
IQ,2010,67270649065
IS,2010,16388130235
IL,2010,1.69011E+11
IT,2010,1.76389E+12
JM,2010,
JO,2010,17030688372
JP,2010,4.64848E+12
KZ,2010,77245319067
KE,2010,23516785868
KG,2010,3055806771
KH,2010,8693197236
KI,2010,110681568.6
KN,2010,548826297.7
KR,2010,1.01909E+12
XK,2010,4776327556
KW,2010,85606896366
LA,2010,4021824832
LB,2010,29991683920
LR,2010,960255604.2
LY,2010,
LC,2010,1067166275
LI,2010,
LK,2010,33253082140
LS,2010,1766292382
LT,2010,27346902406
LU,2010,40696164752
LV,2010,15502642580
MO,2010,20684077559
MF,2010,
MA,2010,75523499824
MC,2010,
MD,2010,3501430332
MG,2010,5804539998
MV,2010,1518834121
MX,2010,9.56925E+11
MH,2010,147320122
MK,2010,7140170814
ML,2010,6971653981
MT,2010,6652772997
MM,2010,
ME,2010,2803866144
MN,2010,3453733410
MP,2010,
MZ,2010,9127794919
MR,2010,2835163755
MU,2010,7826157632
MW,2010,3290262502
MY,2010,1.78672E+11
NA,2010,8902636343
NC,2010,
NE,2010,4381636015
NG,2010,1.59018E+11
NI,2010,7290785418
NL,2010,6.83063E+11
NO,2010,3.15797E+11
NP,2010,10103288981
NZ,2010,1.19625E+11
OM,2010,41935096066
PK,2010,1.29517E+11
PA,2010,23122824847
PE,2010,1.12216E+11
PH,2010,1.31131E+11
PW,2010,171792215.1
PG,2010,6553203636
