country,Year,gni-usd-current
FR,2007,2.62744E+12
FO,2007,2332329114
FM,2007,266377841.8
GA,2007,10081870886
GB,2007,2.89151E+12
GE,2007,10209226609
GH,2007,24617431742
GN,2007,3763725913
GM,2007,773016817.2
GW,2007,686908974.4
GQ,2007,6672753033
GR,2007,2.96692E+11
GD,2007,720775268.2
GL,2007,2042179763
GT,2007,33270406486
GU,2007,
GY,2007,1704614193
HK,2007,2.18367E+11
HN,2007,11878260792
HR,2007,58124253582
HT,2007,5973474338
HU,2007,1.26596E+11
ID,2007,4.14441E+11
IN,2007,1.23361E+12
IE,2007,2.24931E+11
IR,2007,2.83E+11
IQ,2007,90334203252
IS,2007,19420488072
IL,2007,1.74775E+11
IT,2007,2.12599E+12
JM,2007,12161526209
JO,2007,17794107893
JP,2007,4.50357E+12
KZ,2007,91904261054
KE,2007,27092736032
KG,2007,3750644044
KH,2007,8262899138
KI,2007,181160557.2
KN,2007,659481615.2
KR,2007,1.05117E+12
XK,2007,4961231870
KW,2007,1.27127E+11
LA,2007,4075373139
LB,2007,25797416418
LR,2007,584826892.2
LY,2007,74070278689
LC,2007,1064431290
LI,2007,4121576825
LK,2007,31998137769
LS,2007,2020486241
LT,2007,37850391360
LU,2007,41285698253
LV,2007,27842351109
MO,2007,18018670013
MF,2007,
MA,2007,74246093750
MC,2007,5974371696
MD,2007,4818905921
MG,2007,7286653571
MV,2007,1302778559
MX,2007,1.02237E+12
MH,2007,192859565.7
MK,2007,7770487457
ML,2007,6846604270
MT,2007,7213011342
MM,2007,
ME,2007,2991013502
MN,2007,4137354777
MP,2007,
MZ,2007,7450235825
MR,2007,3347677675
MU,2007,8016342710
MW,2007,3626148923
MY,2007,1.89484E+11
NA,2007,8635038781
NC,2007,
NE,2007,4290922660
NG,2007,1.54603E+11
NI,2007,7223134010
NL,2007,7.95572E+11
NO,2007,3.92239E+11
NP,2007,10431055152
NZ,2007,1.25194E+11
OM,2007,41097529590
PK,2007,1.54985E+11
PA,2007,21100059790
PE,2007,99193566350
PH,2007,1.48461E+11
PW,2007,180200000
PG,2007,6261159292
PL,2007,4.09031E+11
PR,2007,58155000000
KP,2007,
PT,2007,2.24387E+11
PY,2007,12843107818
PF,2007,
QA,2007,75473074748
RO,2007,1.64961E+11
RU,2007,1.26895E+12
RW,2007,3720928516
SA,2007,4.22305E+11
SD,2007,42286601365
SN,2007,11188702951
SG,2007,1.72204E+11
SB,2007,549672902.2
SL,2007,2053669233
SV,2007,19648600000
SM,2007,1493335669
SO,2007,
RS,2007,38137101049
SS,2007,
ST,2007,149449159.8
SR,2007,2969326047
SK,2007,81480851355
SI,2007,46301493952
SE,2007,4.73056E+11
SZ,2007,3094923329
SX,2007,
SC,2007,969552183.7
SY,2007,39715797004
TC,2007,
TD,2007,8480282315
TG,2007,2493199755
TH,2007,2.37961E+11
TJ,2007,3633602240
TM,2007,12299774859
TL,2007,1922300000
TO,2007,308242959.1
TT,2007,20765003323
TN,2007,36825370804
