id,year,value,
PY,2015, 1.7 ,NA
PE,2015, 3.9 ,NA
PH,2015, 7.0 ,NA
PL,2015, 1.2 ,NA
PT,2015, 0.1 ,NA
QA,2015, 0.0 ,NA
RO,2015, 2.4 ,NA
RU,2015, 7.0 ,NA
RW,2015, 1.6 ,NA
KN,2015, 0.0 ,NA
LC,2015, 0.0 ,NA
VC,2015, 0.0 ,NA
WS,2015, 0.0 ,NA
ST,2015, 0.0 ,NA
SA,2015, 3.4 ,NA
SN,2015, 4.0 ,NA
RS,2015, 1.9 ,NA
SC,2015, 0.0 ,NA
SL,2015, 2.6 ,NA
SG,2015, 0.0 ,NA
SK,2015, 2.2 ,NA
SI,2015, 0.0 ,NA
SB,2015, 0.0 ,NA
SO,2015, 10.0 ,NA
ZA,2015, 5.0 ,NA
SS,2015, 9.0 ,NA
ES,2015, 2.0 ,NA
LK,2015, 5.2 ,NA
SD,2015, 9.0 ,NA
SR,2015, 0.0 ,NA
SZ,2015, 2.5 ,NA
SE,2015, 0.0 ,NA
CH,2015, 0.1 ,NA
SY,2015, 10.0 ,NA
TJ,2015, 5.0 ,NA
TZ,2015, 3.9 ,NA
TH,2015, 5.2 ,NA
TL,2015, 0.5 ,NA
TG,2015, 2.9 ,NA
TO,2015, 0.0 ,NA
TT,2015, 0.1 ,NA
TN,2015, 2.2 ,NA
TR,2015, 5.5 ,NA
TM,2015, 0.9 ,NA
TV,2015, 0.0 ,NA
UG,2015, 8.0 ,NA
UA,2015, 9.0 ,NA
AE,2015, 0.0 ,NA
GB,2015, 3.5 ,NA
US,2015, 2.8 ,NA
UY,2015, 0.0 ,NA
UZ,2015, 2.8 ,NA
VU,2015, 0.0 ,NA
VE,2015, 4.2 ,NA
VN,2015, 1.2 ,NA
YE,2015, 10.0 ,NA
ZM,2015, 2.0 ,NA
ZW,2015, 4.5 ,NA
