country-from,country-to,year,oda-gross-bl
12,GE,2006,2377971
12,GH,2006,29618388
12,GM,2006,7140134
12,GN,2006,-1662231
12,GQ,2006,5119975
12,GT,2006,8349418
12,GW,2006,1408087
12,GY,2006,2891781
12,HN,2006,8218264
12,HR,2006,1831361
12,HT,2006,30370242
12,ID,2006,40399889
12,IN,2006,56839358
12,IR,2006,1966094
12,JM,2006,6870344
12,JO,2006,590390
12,KE,2006,64511719
12,KG,2006,4266015
12,KH,2006,25682377
12,KM,2006,804459
12,KZ,2006,6289811
12,LA,2006,8318806
12,LK,2006,1116175
12,LR,2006,11711230
12,LS,2006,5278474
12,MA,2006,2789964
12,MD,2006,2490119
12,ME,2006,763679
12,MG,2006,11752740
12,MK,2006,3759443
12,ML,2006,8716369
12,MN,2006,1964681
12,MR,2006,3442075
12,MW,2006,33837566
12,MZ,2006,27087268
12,NA,2006,26657728
12,NE,2006,12080277
12,NG,2006,47752703
12,NI,2006,4552772
12,NP,2006,6358758
12,PA,2006,72653
12,PE,2006,14741717
12,PG,2006,1021447
12,PH,2006,23348521
12,PK,2006,7280253
12,PY,2006,335448
12,RS,2006,4650594
12,RW,2006,60547089
12,SD,2006,39175213
12,SL,2006,8099410
12,SN,2006,15661359
12,SO,2006,14800415
12,SR,2006,2130407
12,ST,2006,1210059
12,SV,2006,3646415
12,SZ,2006,12684716
12,TD,2006,3575012
12,TG,2006,9692345
12,TH,2006,37248127
12,TJ,2006,3405823
12,TL,2006,1553371
12,TR,2006,3032236
12,TZ,2006,72042617
12,UA,2006,29777153
12,UG,2006,32099949
12,UZ,2006,6538301
12,VN,2006,5365883
12,YE,2006,4768845
12,ZA,2006,11895418
12,ZM,2006,29767390
12,ZW,2006,4890004
15,51,2006,7443530
15,54,2006,2110815
15,65,2006,9656167
15,67,2006,1599846
15,AF,2006,165893008
15,AL,2006,52992711
15,AM,2006,74091643
15,AO,2006,39066254
15,AZ,2006,69388851
15,BA,2006,30872486
15,BD,2006,467297692
15,BF,2006,1144047197
15,BI,2006,136173197
15,BJ,2006,840360712
15,BO,2006,1797654701
15,BT,2006,30721531
15,CD,2006,354730435
15,CF,2006,92974918
15,CG,2006,24270416
15,CM,2006,1122580839
15,CN,2006,39725920
15,CV,2006,25581031
15,DJ,2006,14970001
15,DM,2006,80624
15,EG,2006,65710294
15,ER,2006,28467665
15,ET,2006,3971403550
15,GD,2006,4580945
15,GE,2006,92328994
15,GH,2006,4712133857
15,GM,2006,13576239
15,GN,2006,52367578
15,GW,2006,15782751
15,GY,2006,272699868
15,HN,2006,1339271746
15,HT,2006,22681817
15,ID,2006,365262584
15,IN,2006,1162019978
15,KE,2006,63757344
15,KG,2006,41504005
15,KH,2006,28062319
15,KM,2006,3469339
15,LA,2006,51398464
15,LC,2006,15748943
15,LK,2006,181194490
15,LR,2006,1313342
15,LS,2006,13640301
15,MD,2006,30680036
15,ME,2006,16222087
15,MG,2006,2414067699
15,MK,2006,6303670
15,ML,2006,1595313544
15,MN,2006,15987532
15,MR,2006,767194089
15,MV,2006,3952164
15,MW,2006,2267723084
15,MZ,2006,1675015151
15,NE,2006,1225540593
15,NG,2006,418783308
15,NI,2006,1200882284
15,NP,2006,75225056
15,PK,2006,991945811
15,RS,2006,53458344
15,RW,2006,1081254638
15,SB,2006,403965
15,SL,2006,63955000
15,SN,2006,2170095536
15,ST,2006,4257890
15,TD,2006,50081936
15,TJ,2006,40144335
15,TL,2006,1400748
15,TO,2006,3254873
15,TZ,2006,4355920054
15,UG,2006,3725919496
15,UZ,2006,15506998
15,VC,2006,1878116
15,VN,2006,399704830
15,WS,2006,4900919
15,YE,2006,185061825
15,ZM,2006,2774191428
21,AL,2006,4146339
21,AM,2006,11176584
21,BD,2006,171991996
21,BF,2006,127818429
21,BI,2006,24518993
21,BJ,2006,62936330
21,BO,2006,274191146
21,CD,2006,996047
21,CG,2006,13388737
21,CM,2006,305300270
21,DM,2006,3961027
21,ET,2006,190940070
21,GD,2006,2652267
21,GE,2006,47706062
21,GH,2006,586915448
21,GY,2006,108314420
21,HN,2006,200402526
21,HT,2006,47891374
21,KG,2006,4331650
21,KH,2006,96825123
21,MD,2006,73962349
21,MG,2006,247286270
21,ML,2006,134698108
21,MR,2006,59496490
21,MW,2006,88914650
21,MZ,2006,187071698
21,NE,2006,142133722
21,NI,2006,310523731
21,NP,2006,24298936
21,RW,2006,92783022
21,SL,2006,215528556
21,SN,2006,194542058
21,ST,2006,1436162
21,TD,2006,23163
21,TJ,2006,134779182
21,TZ,2006,403492065
21,UG,2006,152870192
21,ZM,2006,714027378
27,52,2006,101982
27,55,2006,168862216
27,56,2006,563350
27,65,2006,191450
27,AG,2006,2037
27,AL,2006,65679
27,AM,2006,165565
27,AO,2006,525368
27,AR,2006,383209
27,AZ,2006,14419
27,BA,2006,6776
27,BB,2006,115998
27,BD,2006,164115
27,BF,2006,323688
27,BI,2006,456034
27,BJ,2006,278001
27,BO,2006,219077
27,BR,2006,728626
27,BT,2006,59635
27,BW,2006,795401
27,BY,2006,36252
27,BZ,2006,7355
27,CD,2006,550224
27,CF,2006,272277
27,CG,2006,861811
27,CI,2006,446520
27,CL,2006,31958
27,CM,2006,512841
27,CN,2006,527074
27,CO,2006,226147
27,CR,2006,19989
27,CU,2006,123571
27,CV,2006,112998
27,DM,2006,172655
27,DO,2006,193649
27,DZ,2006,104353
27,EC,2006,97011
27,EG,2006,336196
27,ER,2006,203948
27,ET,2006,886139
27,FJ,2006,397118
27,GA,2006,182091
27,GD,2006,6069
27,GE,2006,7508
27,GH,2006,335102
27,GM,2006,100737
27,GN,2006,118702
27,GQ,2006,33094
27,GT,2006,297463
27,GW,2006,96597
27,HN,2006,433788
27,HR,2006,86864
27,HT,2006,341437
27,ID,2006,755789
27,IN,2006,1233024
27,IR,2006,159628
27,JM,2006,333168
27,JO,2006,11835
27,KE,2006,1012000
27,KG,2006,116249
27,KH,2006,591631
27,KM,2006,18755
27,KZ,2006,250091
27,LA,2006,131756
27,LB,2006,1229
27,LC,2006,5258
27,LK,2006,100508
27,LR,2006,6659
27,LS,2006,381212
27,LY,2006,1231
27,MA,2006,128433
27,MG,2006,241688
27,MK,2006,102093
27,ML,2006,321975
27,MM,2006,390697
27,MN,2006,34733
27,MR,2006,72838
27,MU,2006,18808
27,MV,2006,1687
27,MW,2006,670262
27,MX,2006,172692
27,MY,2006,98951
27,MZ,2006,1007885
27,NA,2006,260226
27,NE,2006,381146
27,NG,2006,966002
27,NI,2006,141555
27,NP,2006,139953
27,OM,2006,3333
27,PA,2006,762068
27,PE,2006,215207
27,PG,2006,412017
27,PH,2006,222339
27,PK,2006,701351
27,PY,2006,95701
27,RW,2006,166057
27,SA,2006,3559
27,SB,2006,2463
27,SC,2006,17836
27,SD,2006,378765
27,SL,2006,304927
27,SN,2006,1278794
27,SO,2006,546104
27,SR,2006,30410
27,ST,2006,8107
27,SV,2006,122725
27,SZ,2006,303851
27,TD,2006,92131
27,TG,2006,236563
27,TH,2006,2236409
27,TJ,2006,174110
27,TL,2006,4330
27,TM,2006,91158
27,TN,2006,5160
27,TO,2006,1743
27,TR,2006,97722
27,TT,2006,493090
27,TZ,2006,498741
27,UA,2006,755020
27,UG,2006,540106
27,UY,2006,70760
27,UZ,2006,213804
27,VC,2006,1499
27,VE,2006,205477
27,VN,2006,179663
27,YE,2006,119688
27,ZA,2006,3087234
27,ZM,2006,1420141
27,ZW,2006,666331
28,55,2006,352883
28,66,2006,1866477
28,AF,2006,9008235
28,AL,2006,2646971
28,AM,2006,2349558
28,AO,2006,6949209
28,AR,2006,961214
28,AZ,2006,3644662
28,BA,2006,1060937
28,BB,2006,231788
28,BD,2006,13371604
28,BF,2006,7124064
28,BI,2006,6211962
28,BJ,2006,3594357
28,BO,2006,1444540
28,BR,2006,1254400
28,BT,2006,2862738
28,BW,2006,460786
28,BY,2006,554099
28,CD,2006,17696043
28,CF,2006,3820279
28,CG,2006,1247320
28,CI,2006,5092337
28,CL,2006,111801
28,CM,2006,4782308
28,CN,2006,9948721
28,CO,2006,1771203
28,CR,2006,645571
28,CU,2006,1459863
28,CV,2006,1122550
28,DJ,2006,1095555
28,DO,2006,1020428
28,DZ,2006,1732880
28,EC,2006,2174239
28,EG,2006,2047781
28,ER,2006,4908158
28,ET,2006,21174184
28,FJ,2006,3437540
28,GA,2006,820187
28,GE,2006,1903284
28,GH,2006,7754662
28,GM,2006,2128683
28,GN,2006,4809391
28,GQ,2006,795490
28,GT,2006,1408075
28,GW,2006,3956684
28,GY,2006,1167738
28,HN,2006,1964696
28,HR,2006,1141405
28,HT,2006,6251751
28,ID,2006,12321253
28,IN,2006,18598270
28,IQ,2006,2490795
28,IR,2006,942632
28,JM,2006,1076182
28,JO,2006,1031575
28,KE,2006,6177362
28,KG,2006,4000432
28,KH,2006,6859107
28,KM,2006,1462085
28,KP,2006,3656500
28,KZ,2006,1340637
28,LA,2006,5708180
28,LB,2006,1511350
28,LK,2006,3474623
28,LR,2006,5131688
28,LS,2006,2994345
28,LY,2006,94462
28,MA,2006,1302355
28,MD,2006,2866916
28,MG,2006,13270834
28,MK,2006,1654676
28,ML,2006,9165833
28,MM,2006,14169470
28,MN,2006,2298401
28,MR,2006,3986704
28,MU,2006,571374
28,MV,2006,1179972
28,MW,2006,7564252
28,MX,2006,1498997
28,MY,2006,815647
28,MZ,2006,8298263
28,NA,2006,1467138
28,NE,2006,9234090
28,NG,2006,16158219
28,NI,2006,3830587
28,NP,2006,9227225
28,PA,2006,1703752
28,PE,2006,1176745
28,PG,2006,2565217
28,PH,2006,3605768
28,PK,2006,11534747
28,PS,2006,6282
28,PY,2006,741854
28,RS,2006,1077034
28,RW,2006,6545553
28,SD,2006,10521982
28,SL,2006,6483892
28,SN,2006,5542750
28,SO,2006,8089639
28,ST,2006,593663
28,SV,2006,1143268
28,SY,2006,1617012
28,SZ,2006,750705
28,TD,2006,6031896
28,TG,2006,5305323
28,TH,2006,2581289
28,TJ,2006,3575206
28,TL,2006,3300842
28,TM,2006,1424917
28,TN,2006,984092
28,TR,2006,1559548
28,TT,2006,709665
28,TZ,2006,10069685
28,UA,2006,4012319
28,UG,2006,8627617
28,UY,2006,1196081
28,UZ,2006,4257052
28,VE,2006,595537
28,VN,2006,6675922
28,WS,2006,1128396
28,YE,2006,5028927
28,ZA,2006,2268974
28,ZM,2006,9486948
28,ZW,2006,4148780
31,51,2006,6846135
31,52,2006,1581960
31,53,2006,3071719
31,55,2006,2218307
31,59,2006,1641903
31,AF,2006,4302670
31,AL,2006,345844
31,AM,2006,496788
31,AO,2006,2193587
31,AR,2006,631991
31,AZ,2006,883116
31,BA,2006,493455
31,BD,2006,7237036
31,BF,2006,1429128
31,BI,2006,1295526
31,BJ,2006,2033636
31,BO,2006,988690
31,BR,2006,930761
31,BT,2006,1570026
31,BW,2006,846109
31,BY,2006,323907
31,CD,2006,6065199
31,CF,2006,3114435
31,CG,2006,1369534
31,CI,2006,2611701
31,CL,2006,164203
31,CM,2006,3402402
31,CN,2006,4222577
31,CO,2006,910592
31,CR,2006,530271
31,CU,2006,750896
31,CV,2006,1147091
31,DJ,2006,763308
31,DO,2006,896126
31,DZ,2006,613618
31,EC,2006,992810
31,EG,2006,3311160
31,ER,2006,1250095
31,ET,2006,4940086
31,FJ,2006,2486944
31,GA,2006,369443
31,GE,2006,771840
31,GH,2006,1426663
31,GM,2006,971942
31,GN,2006,2060815
31,GQ,2006,1473191
31,GT,2006,689268
31,GW,2006,945001
31,HN,2006,1535298
31,HT,2006,2650121
31,ID,2006,5008173
31,IN,2006,15592864
31,IQ,2006,1167877
31,IR,2006,1951804
31,JO,2006,1280683
31,KE,2006,3840962
31,KG,2006,715570
31,KH,2006,2988509
31,KM,2006,476394
31,KP,2006,1172482
31,KZ,2006,654141
31,LA,2006,1806847
31,LB,2006,885402
31,LK,2006,2316042
31,LR,2006,2610363
31,LS,2006,627400
31,MA,2006,2606716
31,MD,2006,364597
31,ME,2006,8240
31,MG,2006,1720557
31,MK,2006,3926
31,ML,2006,2148910
31,MM,2006,3907426
31,MN,2006,1621173
31,MR,2006,2315881
31,MU,2006,140253
31,MV,2006,411532
31,MW,2006,2267678
31,MX,2006,2325523
31,MY,2006,466390
31,MZ,2006,3495815
31,NA,2006,663489
31,NE,2006,2577768
31,NG,2006,6411421
31,NI,2006,1710740
31,NP,2006,4548730
31,OM,2006,278045
31,PA,2006,601524
31,PE,2006,1472467
31,PG,2006,1078989
31,PH,2006,5606076
31,PK,2006,7405302
31,PS,2006,1534470
31,PY,2006,1067461
31,RS,2006,339752
31,RW,2006,907764
31,SC,2006,50130
31,SD,2006,5269146
31,SL,2006,1852505
31,SN,2006,3591041
31,SO,2006,1072829
31,ST,2006,473955
31,SV,2006,811750
31,SY,2006,1664384
31,SZ,2006,693800
31,TD,2006,1841977
31,TG,2006,1148315
31,TH,2006,2973059
31,TJ,2006,796656
31,TL,2006,1643782
31,TM,2006,708847
31,TN,2006,527366
31,TR,2006,1080108
31,TZ,2006,3693946
31,UA,2006,605295
31,UG,2006,4194079
31,UY,2006,636584
31,UZ,2006,1115746
31,VE,2006,1216046
31,VN,2006,4047930
31,YE,2006,2234437
31,ZA,2006,821032
31,ZM,2006,1363207
31,ZW,2006,2833491
33,52,2006,624765
33,53,2006,705109
33,55,2006,256289558
33,58,2006,750406
33,61,2006,3158108
33,64,2006,420193
33,65,2006,2550183
33,67,2006,2130963
33,AF,2006,21418030
33,AL,2006,1297039
33,AM,2006,921749
33,AO,2006,11822938
33,AR,2006,712162
33,AZ,2006,1746326
33,BA,2006,1315420
33,BD,2006,13630232
33,BF,2006,8398687
33,BI,2006,9258728
33,BJ,2006,4938266
33,BO,2006,1781501
33,BR,2006,2543616
33,BT,2006,1135888
33,BW,2006,1156573
33,BY,2006,740804
33,BZ,2006,784526
33,CD,2006,30256553
33,CF,2006,3126084
33,CG,2006,1960094
33,CI,2006,7424413
33,CL,2006,487831
33,CM,2006,4109299
33,CN,2006,12906777
33,CO,2006,1211483
33,CR,2006,659823
33,CU,2006,816168
33,CV,2006,765161
33,DJ,2006,978061
33,DO,2006,1112261
33,DZ,2006,1496480
33,EC,2006,1107107
33,EG,2006,3504652
33,ER,2006,4498546
33,ET,2006,29918569
33,GA,2006,724439
33,GE,2006,1104489
33,GH,2006,5219152
33,GM,2006,1382560
33,GN,2006,5075651
33,GQ,2006,858952
33,GT,2006,1126217
33,GW,2006,2362683
33,GY,2006,921298
33,HN,2006,1187729
33,HR,2006,318550
33,HT,2006,3266840
33,ID,2006,8864757
33,IN,2006,43998633
33,IQ,2006,2597658
33,IR,2006,2372678
33,JM,2006,878259
33,JO,2006,892377
33,KE,2006,7981065
33,KG,2006,1319601
33,KH,2006,5805395
33,KM,2006,932185
33,KP,2006,1937706
33,KZ,2006,1270748
33,LA,2006,2256801
33,LB,2006,2330149
33,LK,2006,1082124
33,LR,2006,4690007
33,LS,2006,1286349
33,MA,2006,1862945
33,MD,2006,885382
33,MG,2006,6990553
33,MK,2006,648635
33,ML,2006,11036836
33,MM,2006,11512263
33,MN,2006,1093706
33,MR,2006,2109305
33,MV,2006,947229
33,MW,2006,9057133
33,MX,2006,903322
33,MY,2006,665626
33,MZ,2006,10942744
33,NA,2006,1771841
33,NE,2006,14072582
33,NG,2006,36052857
33,NI,2006,1474417
33,NP,2006,7318415
33,OM,2006,161938
33,PA,2006,466219
33,PE,2006,1712229
33,PG,2006,2151810
33,PH,2006,3858261
33,PK,2006,17268239
33,PS,2006,5828409
33,PY,2006,1138007
33,RS,2006,2373605
33,RW,2006,7016462
33,SD,2006,20106038
33,SL,2006,6093126
33,SN,2006,4617516
33,SO,2006,8612733
33,ST,2006,849455
33,SV,2006,920950
33,SY,2006,1840024
33,SZ,2006,1147285
33,TD,2006,6657920
33,TG,2006,2554434
33,TH,2006,2081137
33,TJ,2006,2955054
33,TL,2006,1853714
33,TM,2006,1273169
33,TN,2006,1140474
33,TR,2006,2313900
33,TZ,2006,14878164
33,UA,2006,1558050
33,UG,2006,13513648
33,UY,2006,583765
33,UZ,2006,2912467
33,VE,2006,978454
33,VN,2006,4568339
33,YE,2006,6002485
33,ZA,2006,1348567
33,ZM,2006,6658858
33,ZW,2006,2905935
AT,51,2006,2042396
AT,52,2006,32853
AT,53,2006,28543
AT,54,2006,695884
AT,55,2006,108426120
AT,56,2006,8280751
AT,59,2006,2135535
AT,60,2006,940704
AT,64,2006,1053310
AT,65,2006,6422676
AT,66,2006,364490
AT,AF,2006,1414846
AT,AL,2006,7944576
AT,AM,2006,407291
AT,AO,2006,29257
AT,AR,2006,116487
AT,AZ,2006,417667
AT,BA,2006,33052331
AT,BD,2006,684181
AT,BF,2006,6201547
AT,BI,2006,550367
AT,BJ,2006,18553
AT,BO,2006,211010
AT,BR,2006,3146629
AT,BT,2006,1981298
AT,BY,2006,636413
AT,BZ,2006,16312
AT,CD,2006,5013881
AT,CF,2006,174117
AT,CG,2006,62197
AT,CI,2006,4104403
AT,CL,2006,92382
AT,CM,2006,504241488
AT,CN,2006,12477365
AT,CO,2006,1046188
AT,CR,2006,83347
AT,CU,2006,86544
AT,CV,2006,3503798
AT,DO,2006,2854
AT,DZ,2006,166895
AT,EC,2006,232318
AT,EG,2006,24009731
AT,ER,2006,409404
AT,ET,2006,20244542
AT,GE,2006,975200
AT,GH,2006,106068
AT,GM,2006,16312
AT,GN,2006,563241
AT,GT,2006,7959176
AT,GW,2006,21008
AT,HN,2006,26146
AT,HR,2006,7128080
AT,ID,2006,3002640
AT,IN,2006,1960062
AT,IQ,2006,264075600
AT,IR,2006,3861281
AT,JM,2006,9348
AT,JO,2006,81150
AT,KE,2006,3118513
AT,KG,2006,255724
AT,KH,2006,22835
AT,KP,2006,149526
AT,KZ,2006,186305
AT,LB,2006,1579287
AT,LK,2006,6498217
AT,LY,2006,121482
AT,MA,2006,707330
AT,MD,2006,2241975
AT,ME,2006,3793618
AT,MG,2006,97805
AT,MK,2006,5301488
AT,ML,2006,13272
AT,MM,2006,42287
AT,MN,2006,509807
AT,MR,2006,11417
AT,MU,2006,18696
AT,MV,2006,11417
AT,MW,2006,9564253
AT,MX,2006,303235
AT,MY,2006,46726
AT,MZ,2006,7905671
AT,NA,2006,397201
AT,NE,2006,461867
AT,NG,2006,686065
AT,NI,2006,9555590
AT,NP,2006,2665237
AT,PA,2006,9348
AT,PE,2006,659362
AT,PG,2006,1018772
AT,PH,2006,827029
AT,PK,2006,2039085
AT,PS,2006,7085050
AT,PY,2006,31341
AT,RS,2006,62838521
AT,RW,2006,482833
AT,SA,2006,37378
AT,SD,2006,1278192
AT,SL,2006,67220
AT,SN,2006,4285357
AT,SO,2006,22835
AT,ST,2006,11417
AT,SV,2006,1581085
AT,SY,2006,319833
AT,TG,2006,749946
AT,TH,2006,1112410
AT,TJ,2006,33738
AT,TL,2006,64366
AT,TM,2006,9348
AT,TN,2006,296499
AT,TR,2006,24278813
AT,TZ,2006,1928606
AT,UA,2006,5808998
AT,UG,2006,13061258
AT,UY,2006,2497
AT,UZ,2006,459156
AT,VE,2006,147400
AT,VN,2006,2593478
AT,YE,2006,43272
AT,ZA,2006,907280
AT,ZM,2006,9585647
AT,ZW,2006,1288882
AU,51,2006,6535207
AU,53,2006,29746447
AU,55,2006,379554870
AU,56,2006,351440
AU,57,2006,49012138
AU,58,2006,10784713
AU,61,2006,102379834
AU,62,2006,7708262
AU,64,2006,897248
AU,65,2006,23859775
AU,66,2006,264298
AU,AF,2006,35194027
AU,AI,2006,25425
AU,AO,2006,79000
AU,AZ,2006,88939
AU,BB,2006,175212
AU,BD,2006,15073586
AU,BR,2006,400931
AU,BT,2006,1823798
AU,BW,2006,177312
AU,BZ,2006,40257
AU,CD,2006,2562621
AU,CI,2006,18309
AU,CK,2006,2779795
AU,CL,2006,206852
AU,CM,2006,191224
AU,CN,2006,57483391
AU,CO,2006,443257
AU,DM,2006,24945
AU,EG,2006,16452289
AU,ER,2006,-1248749
AU,ET,2006,2223557
AU,FJ,2006,36364870
AU,GD,2006,23314
AU,GH,2006,318886
AU,GM,2006,50790
AU,GT,2006,57265
AU,GY,2006,52878
AU,HN,2006,44660
AU,HT,2006,54770
AU,ID,2006,399743281
AU,IN,2006,1636768
AU,IQ,2006,456945671
AU,JM,2006,182984
AU,KE,2006,2103103
AU,KH,2006,55085185
AU,KI,2006,11161952
AU,KN,2006,10949
AU,KP,2006,4503395
AU,LA,2006,21242558
AU,LB,2006,17567230
AU,LC,2006,39503
AU,LK,2006,38201737
AU,LS,2006,430978
AU,MG,2006,2274
AU,MH,2006,1347378
AU,MM,2006,10771864
AU,MN,2006,3295116
AU,MS,2006,11896
AU,MU,2006,152944
AU,MV,2006,5521854
AU,MW,2006,4763135
AU,MX,2006,105427
AU,MY,2006,1067700
AU,MZ,2006,2842408
AU,NA,2006,164118
AU,NE,2006,133700
AU,NG,2006,503895
AU,NP,2006,3984194
AU,NR,2006,30598856
AU,NU,2006,1299367
AU,PE,2006,306088
AU,PG,2006,402963533
AU,PH,2006,86828546
AU,PK,2006,48923505
AU,PS,2006,482277
AU,PW,2006,859873
AU,RW,2006,121690
AU,SB,2006,240047642
AU,SC,2006,88080
AU,SD,2006,16222192
AU,SH,2006,23361
AU,SL,2006,513075
AU,SO,2006,3961584
AU,SV,2006,19519
AU,SZ,2006,574919
AU,TD,2006,118889
AU,TH,2006,5277191
AU,TK,2006,6588020
AU,TL,2006,76676089
AU,TO,2006,12721330
AU,TV,2006,4989950
AU,TZ,2006,2182796
AU,UG,2006,4622422
AU,VC,2006,96151
AU,VN,2006,80624300
AU,VU,2006,35790741
AU,WS,2006,22186847
AU,ZA,2006,5250760
AU,ZM,2006,818012
AU,ZW,2006,6899204
BE,51,2006,8571502
BE,52,2006,8661
BE,53,2006,1909017
BE,55,2006,363144927
BE,56,2006,75126
BE,58,2006,12920
BE,59,2006,128151
BE,60,2006,64718
BE,61,2006,64299
BE,62,2006,552781
BE,63,2006,1491749
BE,64,2006,21654
BE,65,2006,39497772
BE,AF,2006,8775718
BE,AL,2006,58163
BE,AM,2006,1092484
BE,AO,2006,1397697
BE,AR,2006,321872
BE,AZ,2006,1233151
BE,BA,2006,326737
BE,BD,2006,2218893
BE,BF,2006,19354319
BE,BI,2006,39223973
BE,BJ,2006,16658593
BE,BO,2006,12052103
BE,BR,2006,5043998
BE,BT,2006,5774
BE,BW,2006,18478
BE,BY,2006,14436
BE,CD,2006,263862013
BE,CF,2006,250427
BE,CG,2006,2138844
BE,CI,2006,5765093
BE,CL,2006,949882
BE,CM,2006,80029937
BE,CN,2006,2989837
BE,CO,2006,5275037
BE,CR,2006,940296
BE,CU,2006,3544452
BE,CV,2006,191627
BE,DJ,2006,20701
BE,DO,2006,1142390
BE,DZ,2006,18412002
BE,EC,2006,25907853
BE,EG,2006,86978
BE,ER,2006,1096035
BE,ET,2006,7585414
BE,GA,2006,428196
BE,GE,2006,1759717
BE,GH,2006,21222742
BE,GM,2006,595469
BE,GN,2006,1757392
BE,GT,2006,3885034
BE,GW,2006,761098
BE,HN,2006,2173563
BE,HR,2006,2002031
BE,HT,2006,4154604
BE,ID,2006,11895916
BE,IN,2006,6612621
BE,IQ,2006,523230
BE,IR,2006,1443
BE,JM,2006,3619608
BE,JO,2006,297720
BE,KE,2006,6969877
BE,KG,2006,216545
BE,KH,2006,13752429
BE,KM,2006,387557
BE,LA,2006,7730889
BE,LB,2006,2962596
BE,LK,2006,889220
BE,LR,2006,1414760
BE,MA,2006,13068450
BE,MD,2006,127472
BE,MG,2006,1388818
BE,MK,2006,124022
BE,ML,2006,15252393
BE,MM,2006,92392
