country,year,oda-percent-gni
SE,2005,0.94
CH,2005,0.42
GB,2005,0.47
US,2005,0.23
BG,2005,0
HR,2005,0
CY,2005,0.09
EE,2005,0.08
HU,2005,0.11
IL,2005,0.07
KW,2005,0
LV,2005,0.07
LI,2005,0
LT,2005,0.06
MT,2005,0
RO,2005,0
RU,2005,0
SA,2005,0
TW,2005,0.14
TH,2005,0
TR,2005,0.17
AE,2005,0
AU,2006,0.3
AT,2006,0.47
BE,2006,0.5
CA,2006,0.29
CZ,2006,0.12
DK,2006,0.8
FI,2006,0.4
FR,2006,0.47
DE,2006,0.36
GR,2006,0.17
IS,2006,0.27
IE,2006,0.54
IT,2006,0.2
JP,2006,0.25
KR,2006,0.05
LU,2006,0.89
NL,2006,0.81
NZ,2006,0.27
NO,2006,0.89
PL,2006,0.09
PT,2006,0.21
SK,2006,0.1
SI,2006,0.12
ES,2006,0.32
SE,2006,1.02
CH,2006,0.38
GB,2006,0.51
US,2006,0.18
BG,2006,0
HR,2006,0
CY,2006,0.15
EE,2006,0.09
HU,2006,0.13
IL,2006,0.06
KW,2006,0
LV,2006,0.06
LI,2006,0
LT,2006,0.08
MT,2006,0
RO,2006,0
RU,2006,0
SA,2006,0
TW,2006,0.14
TH,2006,0.04
TR,2006,0.18
AE,2006,0
AU,2007,0.32
AT,2007,0.5
BE,2007,0.43
CA,2007,0.29
CZ,2007,0.11
DK,2007,0.81
FI,2007,0.39
FR,2007,0.38
DE,2007,0.37
GR,2007,0.16
IS,2007,0.27
IE,2007,0.55
IT,2007,0.19
JP,2007,0.17
KR,2007,0.07
LU,2007,0.92
NL,2007,0.81
NZ,2007,0.27
NO,2007,0.95
PL,2007,0.1
PT,2007,0.22
SK,2007,0.09
SI,2007,0.12
ES,2007,0.37
SE,2007,0.93
CH,2007,0.37
GB,2007,0.36
US,2007,0.16
BG,2007,0
HR,2007,0
CY,2007,0.17
EE,2007,0.08
HU,2007,0.08
IL,2007,0.07
KW,2007,0
LV,2007,0.06
LI,2007,0.44
LT,2007,0.11
MT,2007,0
RO,2007,0
RU,2007,0
SA,2007,0
TW,2007,0.13
TH,2007,0.04
TR,2007,0.09
AE,2007,0
AU,2008,0.32
AT,2008,0.43
BE,2008,0.48
CA,2008,0.33
CZ,2008,0.12
DK,2008,0.82
FI,2008,0.44
FR,2008,0.39
DE,2008,0.38
GR,2008,0.21
IS,2008,0.47
IE,2008,0.59
IT,2008,0.22
JP,2008,0.19
KR,2008,0.09
LU,2008,0.97
NL,2008,0.8
NZ,2008,0.3
NO,2008,0.89
PL,2008,0.08
PT,2008,0.27
SK,2008,0.1
SI,2008,0.13
ES,2008,0.45
SE,2008,0.98
CH,2008,0.42
GB,2008,0.43
US,2008,0.18
BG,2008,0
HR,2008,0
CY,2008,0.17
EE,2008,0.1
HU,2008,0.08
IL,2008,0.07
KW,2008,0
LV,2008,0.07
LI,2008,0.52
LT,2008,0.11
MT,2008,0
RO,2008,0.09
RU,2008,0
SA,2008,0
TW,2008,0.11
TH,2008,0.09
TR,2008,0.11
AE,2008,0
AU,2009,0.29
AT,2009,0.3
BE,2009,0.55
CA,2009,0.3
CZ,2009,0.12
DK,2009,0.88
FI,2009,0.54
FR,2009,0.47
DE,2009,0.35
GR,2009,0.19
IS,2009,0.35
IE,2009,0.54
IT,2009,0.16
JP,2009,0.18
KR,2009,0.1
LU,2009,1.04
NL,2009,0.82
NZ,2009,0.28
NO,2009,1.06
PL,2009,0.09
PT,2009,0.23
SK,2009,0.09
SI,2009,0.15
ES,2009,0.46
SE,2009,1.12
CH,2009,0.44
GB,2009,0.51
US,2009,0.21
BG,2009,0
HR,2009,0
CY,2009,0.2
EE,2009,0.1
HU,2009,0.1
IL,2009,0.06
KW,2009,0
LV,2009,0.07
LI,2009,0.68
LT,2009,0.11
MT,2009,0.18
RO,2009,0.08
RU,2009,0
SA,2009,0
TW,2009,0.13
TH,2009,0.02
TR,2009,0.11
AE,2009,0.37
AU,2010,0.32
AT,2010,0.32
BE,2010,0.64
CA,2010,0.34
CZ,2010,0.13
DK,2010,0.91
FI,2010,0.55
FR,2010,0.5
DE,2010,0.39
GR,2010,0.17
IS,2010,0.29
IE,2010,0.52
IT,2010,0.15
JP,2010,0.2
KR,2010,0.12
LU,2010,1.05
NL,2010,0.81
NZ,2010,0.26
NO,2010,1.05
PL,2010,0.08
PT,2010,0.29
SK,2010,0.09
SI,2010,0.13
ES,2010,0.43
SE,2010,0.97
CH,2010,0.39
GB,2010,0.57
US,2010,0.21
BG,2010,0.09
HR,2010,0
CY,2010,0.23
EE,2010,0.1
HU,2010,0.09
IL,2010,0.07
KW,2010,0
LV,2010,0.06
LI,2010,0.62
LT,2010,0.1
MT,2010,0.18
RO,2010,0.07
RU,2010,0.03
SA,2010,0
TW,2010,0.1
TH,2010,0
TR,2010,0.13
AE,2010,0.14
AU,2011,0.34
AT,2011,0.27
BE,2011,0.54
CA,2011,0.32
CZ,2011,0.12
DK,2011,0.85
FI,2011,0.53
FR,2011,0.46
DE,2011,0.39
GR,2011,0.15
IS,2011,0.21
IE,2011,0.51
IT,2011,0.2
JP,2011,0.18
KR,2011,0.12
LU,2011,0.97
NL,2011,0.75
NZ,2011,0.28
NO,2011,0.96
PL,2011,0.08
PT,2011,0.31
SK,2011,0.09
SI,2011,0.13
ES,2011,0.29
SE,2011,1.02
CH,2011,0.46
GB,2011,0.56
US,2011,0.2
BG,2011,0.09
HR,2011,0
CY,2011,0.16
EE,2011,0.11
HU,2011,0.11
IL,2011,0.09
KW,2011,0
LV,2011,0.07
LI,2011,0.69
LT,2011,0.13
MT,2011,0.25
RO,2011,0.09
RU,2011,0.03
SA,2011,0
TW,2011,0.09
TH,2011,0.01
TR,2011,0.16
AE,2011,0.21
AU,2012,0.36
AT,2012,0.28
BE,2012,0.47
CA,2012,0.32
CZ,2012,0.12
DK,2012,0.83
FI,2012,0.53
FR,2012,0.45
DE,2012,0.37
GR,2012,0.13
IS,2012,0.22
IE,2012,0.47
IT,2012,0.14
JP,2012,0.17
KR,2012,0.14
LU,2012,1
NL,2012,0.71
NZ,2012,0.28
NO,2012,0.93
PL,2012,0.09
PT,2012,0.28
SK,2012,0.09
SI,2012,0.13
ES,2012,0.16
SE,2012,0.97
CH,2012,0.47
GB,2012,0.56
US,2012,0.19
BG,2012,0.08
HR,2012,0.04
CY,2012,0.11
EE,2012,0.11
HU,2012,0.1
IL,2012,0.07
KW,2012,0
LV,2012,0.07
LI,2012,0.75
LT,2012,0.13
MT,2012,0.23
RO,2012,0.09
RU,2012,0.02
SA,2012,0
TW,2012,0.06
TH,2012,0
TR,2012,0.32
AE,2012,0.27
AU,2013,0.33
AT,2013,0.27
BE,2013,0.45
CA,2013,0.27
CZ,2013,0.11
DK,2013,0.85
FI,2013,0.54
FR,2013,0.41
DE,2013,0.38
GR,2013,0.1
IS,2013,0.25
IE,2013,0.46
IT,2013,0.17
JP,2013,0.23
KR,2013,0.13
LU,2013,1
NL,2013,0.67
NZ,2013,0.26
NO,2013,1.07
PL,2013,0.1
PT,2013,0.23
SK,2013,0.09
SI,2013,0.13
ES,2013,0.17
SE,2013,1.01
CH,2013,0.47
GB,2013,0.71
US,2013,0.18
BG,2013,0.1
HR,2013,0.08
CY,2013,0.1
EE,2013,0.13
HU,2013,0.1
IL,2013,0.07
KW,2013,0
LV,2013,0.08
LI,2013,0
LT,2013,0.11
MT,2013,0.2
RO,2013,0.07
RU,2013,0.03
SA,2013,0
TW,2013,0.05
TH,2013,0.01
TR,2013,0.42
AE,2013,1.34
