country_from,country_to,year,bl_remittances,,Notes
AF,KI,2012,0,,
AF,KM,2012,0,,
AF,KN,2012,0,,
AF,KP,2012,0,,
AF,KZ,2012,0,,
AF,LA,2012,0,,
AF,LB,2012,0,,
AF,LC,2012,0,,
AF,LK,2012,0,,
AF,LR,2012,0,,
AF,LS,2012,0,,
AF,LY,2012,0,,
AF,MA,2012,0,,
AF,MD,2012,0,,
AF,ME,2012,0,,
AF,MG,2012,0,,
AF,MH,2012,0,,
AF,MK,2012,0,,
AF,ML,2012,0,,
AF,MM,2012,0,,
AF,MN,2012,0,,
AF,MR,2012,0,,
AF,MS,2012,,,
AF,MU,2012,0,,
AF,MV,2012,0,,
AF,MW,2012,0,,
AF,MX,2012,0,,
AF,MY,2012,0,,
AF,MZ,2012,0,,
AF,NA,2012,0,,
AF,NE,2012,0,,
AF,NG,2012,0,,
AF,NI,2012,0,,
AF,NP,2012,0,,
AF,NR,2012,,,
AF,NU,2012,,,
AF,PA,2012,0,,
AF,PE,2012,0,,
AF,PG,2012,0,,
AF,PH,2012,0,,
AF,PK,2012,0,,
AF,PS,2012,0,,
AF,PW,2012,0,,
AF,PY,2012,0,,
AF,RS,2012,0,,
AF,RW,2012,0,,
AF,SB,2012,0,,
AF,SC,2012,0,,
AF,SD,2012,0,,
AF,SH,2012,,,
AF,SL,2012,0,,
AF,SN,2012,0,,
AF,SO,2012,0,,
AF,SR,2012,0,,
AF,SS,2012,,,
AF,ST,2012,0,,
AF,SV,2012,0,,
AF,SY,2012,0,,
AF,SZ,2012,0,,
AF,TD,2012,0,,
AF,TG,2012,0,,
AF,TH,2012,0,,
AF,TJ,2012,0,,
AF,TK,2012,,,
AF,TL,2012,0,,
AF,TM,2012,0,,
AF,TN,2012,0,,
AF,TO,2012,0,,
AF,TR,2012,0,,
AF,TV,2012,0,,
AF,TZ,2012,0,,
AF,UA,2012,0,,
AF,UG,2012,0,,
AF,UY,2012,0,,
AF,UZ,2012,0,,
AF,VC,2012,0,,
AF,VE,2012,0,,
AF,VN,2012,0,,
AF,VU,2012,0,,
AF,WF,2012,,,
AF,WS,2012,0,,
AF,XK,2012,0,,
AF,YE,2012,0,,
AF,ZA,2012,0,,
AF,ZM,2012,0,,
AF,ZW,2012,0,,
AG,AF,2012,0,,
AG,AG,2012,0,,
AG,AI,2012,,,
AG,AL,2012,0,,
AG,AM,2012,0,,
AG,AO,2012,0,,
AG,AR,2012,0,,
AG,AZ,2012,0,,
AG,BA,2012,0,,
AG,BD,2012,0,,
AG,BF,2012,0,,
AG,BI,2012,0,,
AG,BJ,2012,0,,
AG,BO,2012,0,,
