id,year,budget-type,l1,l2,l3,l4,l5,l6,value,value-ncu
UG,2015,budget,health,ministry-of-health,health-systems-development,rehabilitation-and-equiping-of-health-facilities-in-west-region,,,12884029.64,43600000000
UG,2015,budget,health,ministry-of-health,health-systems-development,construction-of-specialised-neonatal-and-maternal-unit-in-mulago-hospital,,,4209926.16,14200000000
UG,2015,budget,health,ministry-of-health,health-research,research-institutions,,,641836.3549,2170000000
UG,2015,budget,health,ministry-of-health,health-research,joint-clinical-research-centre,,,71545.09345,242000000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,community-health,,,920034.4249,3110000000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,clinical-services,,,2626961.108,8885649000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,national-disease-control,,,2622659.829,8871100000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,nursing-services,,,53880.84639,182251000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,public-health-laboratory-strengthening-project,,,1584635.128,5360000000
UG,2015,budget,health,ministry-of-health,clinical-and-public-health,uganda-sanitation-fund-project,,,969702.0931,3280000000
UG,2015,budget,health,ministry-of-health,pharmaceutical-and-other-supplies,global-fund-for-aids-tb-and-malaria,,,77107281.01,261000000000
UG,2015,budget,health,ministry-of-health,pharmaceutical-and-other-supplies,gavi-vaccines-and-health-sector-support-program,,,15222549.02,51500000000
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,headquarters,,,2139693.788,7237476000
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,planning,,,1294027.236,4377024000
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,internal-audit-department,,,122986.6069,416000000
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,development-of-social-health-initiative,,,0,0
UG,2015,budget,health,ministry-of-health,policy-planning-and-support-services,institutional-capacity-building,,,2842852.271,9615897000
UG,2014,budget,agriculture,,,,,,129168669.3,377000000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,,,,,28595391.38,83563072000
UG,2014,budget,agriculture,national-agricultural-research-organisation,,,,,27396596.94,80059887000
UG,2014,budget,agriculture,national-agricultural-advisory-services-secretariat,,,,,16124140.34,47118876000
UG,2014,budget,agriculture,local-governments,,,,,49749224.14,145000000000
UG,2014,budget,agriculture,other,,,,,7303443.097,21342535000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,,,,11704738.96,34204251000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,,,,10330273.43,30187710000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,,,,6560378.994,19171111000
UG,2014,budget,agriculture,national-agricultural-research-organisation,headquarters,,,,8325876.23,24330347000
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-crops-research,,,,205311.537,599973000
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-fisheries-research,,,,106370.5347,310842000
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-forestry-research,,,,69108.57795,201953000
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-livestock-research,,,,100386.1184,293354000
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-semi-arid-research,,,,94533.4497,276251000
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-laboratories-research,,,,232711.5947,680043000
UG,2014,budget,agriculture,national-agricultural-research-organisation,abi-zonal-agricultural-research-and-development-institute,,,,35828.47549,104700000
UG,2014,budget,agriculture,national-agricultural-research-organisation,bulindi-zonal-agricultural-research-and-development-institute,,,,32821.89492,95914000
UG,2014,budget,agriculture,national-agricultural-research-organisation,kacwekano-zonal-agricultural-research-and-development-institute,,,,41973.04193,122656000
UG,2014,budget,agriculture,national-agricultural-research-organisation,mukono-zonal-agricultural-research-and-development-institute,,,,41490.88031,121247000
UG,2014,budget,agriculture,national-agricultural-research-organisation,ngetta-zonal-agricultural-research-and-development-institute,,,,45522.35375,133028000
UG,2014,budget,agriculture,national-agricultural-research-organisation,nabium-zonal-agricultural-research-and-development-institute,,,,33741.732,98602000
UG,2014,budget,agriculture,national-agricultural-research-organisation,mbarara-zonal-agricultural-research-and-development-institute,,,,33537.09563,98004000
UG,2014,budget,agriculture,national-agricultural-research-organisation,buginyaya-zonal-agricultural-research-and-development-institute,,,,45099.05075,131791000
UG,2014,budget,agriculture,national-agricultural-research-organisation,rwebitaba-zonal-agricultural-research-and-development-institute,,,,27731.99288,81040000
UG,2014,budget,agriculture,national-agricultural-research-organisation,national-agricultural-research-organisation-internal-audit,,,,19676.57441,57500000
UG,2014,budget,agriculture,national-agricultural-research-organisation,support-for-national-agricultural-research-organisation,,,,2097862.98,6130494000
UG,2014,budget,agriculture,national-agricultural-research-organisation,eastern-africa-agricultural-productivity-adaptable-program,,,,5605979.927,16382112000
UG,2014,budget,agriculture,national-agricultural-research-organisation,agricultural-technology-and-agribusiness-advisory-services,,,,10201032.9,29810036000
UG,2014,budget,agriculture,local-governments,agriculture-advisory-services,,,,44910497.84,131000000000
UG,2014,budget,agriculture,local-governments,district-production-services,,,,4838726.299,14100000000
UG,2014,budget,agriculture,other,dairy-development-authority,,,,1726132.452,5044202000
UG,2014,budget,agriculture,other,kampala-capital-city-authority,,,,461401.2975,1348333000
UG,2014,budget,agriculture,other,national-animal-genetic-research-centre-and-data-bank,,,,1180594.465,3450000000
UG,2014,budget,agriculture,other,uganda-cotton-development-organisation,,,,1228502.646,3590000000
UG,2014,budget,agriculture,other,uganda-coffee-development-authority,,,,2706812.236,7910000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,directorate-of-crop-resources,,,206689.5816,604000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,farm-development,,,776874.6173,2270227000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,crop-protection-department,,,725550.2406,2120244000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,crop-production-department,,,367274.0407,1073269000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,department-of-crop-regulation-and-certification,,,0,0
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,support-for-tea-cocoa-seedlings,,,845898.3294,2471932000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,crop-disease-and-pest-control,,,1106336.784,3230000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,improvement-of-food-security-in-cross-border-districts,,,27376.10353,80000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,integrated-production-and-pest-management,,,68440.25882,200000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,kabale-tea-factory,,,273761.0353,800000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,labour-saving-tech-and-mech-for-agricultral-production,,,1686062.049,4927106000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,vegetable-oil-development-project-phase,,,4049077.307,11832443000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,rice-development-project,,,1502957.665,4392028000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,agriculture-cluster-development-project,,,0.342201294,1000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,commercialization-of-agriculture-in-northern-uganda,,,68440.25882,200000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,agriculture-techonology-transfer-cassava-value-chain-project,,,0.342201294,1000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,enhancing-national-food-security-through-increased-rice-production-in-eastern-uganda,,,0,0
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,directorate-of-animal-resources,,,139924.3982,408895000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,animal-production-department,,,397859.6502,1162648000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,livestock-health-and-entomology,,,703528.903,2055892000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,fisheries-resources-department,,,3418952.977,9991058000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,department-of-entomology,,,0,0
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,livestock-disease-control,,,1240479.691,3630000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,national-livestock-production-improvement,,,,
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,support-to-fisheries-development,,,102660.3882,300000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,uganda-meat-exports-development-project,,,274293.8427,801557000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,avian-and-human-influenza-preparedness-and-response,,,2395409.059,7000000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,support-to-quality-assurance-fish-marketing,,,373567.4647,1091660000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,export-goat-breeding-and-production,,,417485.5788,1220000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,increasing-mukene-for-human-consumption,,,191974.926,561000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,support-to-fisheries-mechanisation-weed-control,,,92394.34941,270000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,technical-assistance-to-improve-animal-disease-diagnostic-capacity,,,68440.25882,200000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,headquarters,,,2527986.395,7387425000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,department-of-planning,,,760269.9839,2221704000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,internal-audit,,,152095.4716,444462000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,department-of-agribusiness,,,0,0
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,agricultural-statistical-unit,,,0,0
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,support-for-institutional-development,,,1256056.694,3670520000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,rural-electrification,,,219351.0295,641000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,supervision-monitoring-and-evaluation,,,228932.6658,669000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,plan-for-national-agriculture-statistics,,,191632.7247,560000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,agriculture-production-marketing-regulation,,,136880.5176,400000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,ministry-of-agriculture-animal-fisheries-coordination,,,413036.962,1210000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,support-to-agro-processing-marketing-of-agricultural,,,263494.9965,770000000
UG,2014,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,construction-of-ministry-of-agriculture-animal-industry,,,410641.5529,1200000000
UG,2014,budget,interest-payments,,,,,,257743.4007,753192361
UG,2014,budget,interest-payments,domestic-interest-payments,,,,,219356.3025,641015409
UG,2014,budget,interest-payments,external-interest-payments,,,,,38387.09814,112176952
UG,2015,budget,agriculture,,,,,,140077606.3,474000000000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,,,,,24384509.91,82480169000
UG,2015,budget,agriculture,national-agricultural-research-organisation,,,,,43617377.53,148000000000
UG,2015,budget,agriculture,national-agricultural-advisory-services-secretariat,,,,,47283028.83,160000000000
UG,2015,budget,agriculture,local-governments,,,,,18480511.54,62500000000
UG,2015,budget,agriculture,other,,,,,6312307.704,21351268000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,crops,,,,11291344.51,38192771000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,animal-resources,,,,6159265.949,20833607000
UG,2015,budget,agriculture,ministry-of-agriculture-animal-fisheries,policy-planning-and-support-services,,,,6933899.458,23453791000
UG,2015,budget,agriculture,national-agricultural-research-organisation,headquarters,,,,7399702.067,25029360000
UG,2015,budget,agriculture,national-agricultural-research-organisation,national-crops-research,,,,177746.9849,601226000
UG,2015,budget,agriculture,national-agricultural-research-organisation,national-fisheries-research,,,,64055.03171,216665000
UG,2015,budget,agriculture,national-agricultural-research-organisation,national-forestry-research,,,,64350.67259,217665000
UG,2015,budget,agriculture,national-agricultural-research-organisation,national-livestock-research,,,,64350.67259,217665000
UG,2015,budget,agriculture,national-agricultural-research-organisation,national-semi-arid-research,,,,64350.67259,217665000
UG,2015,budget,agriculture,national-agricultural-research-organisation,national-laboratories-research,,,,113380.939,383509000
UG,2015,budget,agriculture,national-agricultural-research-organisation,abi-zonal-agricultural-research-and-development-institute,,,,26147.66217,88444000
UG,2015,budget,agriculture,national-agricultural-research-organisation,bulindi-zonal-agricultural-research-and-development-institute,,,,26147.66217,88444000
UG,2015,budget,agriculture,national-agricultural-research-organisation,kacwekano-zonal-agricultural-research-and-development-institute,,,,26147.66217,88444000
UG,2015,budget,agriculture,national-agricultural-research-organisation,mukono-zonal-agricultural-research-and-development-institute,,,,26147.66217,88444000
UG,2015,budget,agriculture,national-agricultural-research-organisation,ngetta-zonal-agricultural-research-and-development-institute,,,,26147.66217,88444000
UG,2015,budget,agriculture,national-agricultural-research-organisation,nabium-zonal-agricultural-research-and-development-institute,,,,26147.66217,88444000
UG,2015,budget,agriculture,national-agricultural-research-organisation,mbarara-zonal-agricultural-research-and-development-institute,,,,26147.66217,88444000
UG,2015,budget,agriculture,national-agricultural-research-organisation,buginyaya-zonal-agricultural-research-and-development-institute,,,,26147.66217,88444000
UG,2015,budget,agriculture,national-agricultural-research-organisation,rwebitaba-zonal-agricultural-research-and-development-institute,,,,26147.66217,88444000
UG,2015,budget,agriculture,national-agricultural-research-organisation,national-agricultural-research-organisation-internal-audit,,,,16999.35072,57500000
UG,2015,budget,agriculture,national-agricultural-research-organisation,support-for-national-agricultural-research-organisation,,,,2699347.3,9130494000
UG,2015,budget,agriculture,national-agricultural-research-organisation,eastern-africa-agricultural-productivity-adaptable-program,,,,10347430.87,35000000000
