"id","in-oda-gross.2000","capital-repayment.2000","interest-repayment.2000","in-oda-gross.2001","capital-repayment.2001","interest-repayment.2001","in-oda-gross.2002","capital-repayment.2002","interest-repayment.2002","in-oda-gross.2003","capital-repayment.2003","interest-repayment.2003","in-oda-gross.2004","capital-repayment.2004","interest-repayment.2004","in-oda-gross.2005","capital-repayment.2005","interest-repayment.2005","in-oda-gross.2006","capital-repayment.2006","interest-repayment.2006","in-oda-gross.2007","capital-repayment.2007","interest-repayment.2007","in-oda-gross.2008","capital-repayment.2008","interest-repayment.2008","in-oda-gross.2009","capital-repayment.2009","interest-repayment.2009","in-oda-gross.2010","capital-repayment.2010","interest-repayment.2010","in-oda-gross.2011","capital-repayment.2011","interest-repayment.2011","in-oda-gross.2012","capital-repayment.2012","interest-repayment.2012","in-oda-gross.2013","capital-repayment.2013","interest-repayment.2013"
"UA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502420000,17580000,2960000,560860000,10430000,2470000,451970000,11440000,2070000,614830000,11130000,1680000,689970000,8950000,1710000,649570000,6900000,2180000,782680000,3840000,6250000,773390000,4160000,10060000,777790000,4230000,8520000
"europe",553660000,0,0,370200000,3220000,0,586330000,3690000,0,746990000,3380000,0,699470000,2020000,0,798740000,760000,0,835410000,97610000,0,5.3e+08,9200000,0,813250000,12010000,0,799700000,7310000,0,1026720000,8460000,0,885380000,6880000,0,798420000,2380000,0,798510000,33180000,0
"DZ",430840000,99530000,26460000,452950000,111380000,34030000,404200000,95980000,7800000,393220000,75150000,22120000,467230000,91050000,51060000,496170000,91540000,3760000,537900000,269350000,22590000,497800000,99150000,29770000,419870000,115940000,20160000,390150000,80980000,18740000,288990000,89090000,19730000,287540000,107630000,40580000,252750000,108290000,36740000,316060000,114560000,24610000
"EG",2509080000,501450000,363690000,2471150000,550650000,358260000,2386160000,604440000,316540000,1860700000,559190000,462330000,2382790000,549010000,294890000,1894910000,699390000,284900000,1654240000,641880000,286800000,1875600000,692610000,305870000,2469960000,726990000,293420000,1791120000,792320000,282330000,1490850000,892870000,212340000,1193420000,810150000,289610000,2631800000,825170000,284230000,6423280000,956530000,279280000
"LY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28260000,260000,0,41900000,0,0,20170000,0,0,83230000,10680000,0,50110000,9350000,0,44680000,36240000,0,6.38e+08,0,0,147080000,6e+07,0,141820000,15530000,0
"MA",1067610000,387470000,114400000,1117860000,315680000,105150000,906790000,342130000,56050000,1084080000,324720000,100670000,1297670000,380230000,124240000,1352290000,508800000,52060000,1563260000,308650000,74560000,1778680000,511680000,110740000,1862530000,438960000,93480000,1466640000,443460000,101420000,1488480000,482410000,116060000,1848860000,462330000,142910000,2026120000,545750000,150880000,2490230000,574320000,106950000
"TN",638310000,289830000,59910000,888950000,281210000,71900000,651090000,299190000,50160000,650570000,253990000,60960000,671210000,251560000,67830000,642310000,220550000,36650000,749310000,263350000,65050000,617340000,289260000,69100000,666960000,298320000,60020000,803730000,318650000,61520000,878170000,326660000,62860000,1196770000,331950000,84080000,1385690000,368690000,103830000,1050600000,375510000,75520000
"north-of-sahara",63230000,0,0,34700000,0,0,49490000,1360000,0,149420000,1340000,150000,213450000,0,0,191020000,0,0,161850000,0,0,280030000,0,0,245300000,2010000,0,255620000,0,0,321990000,260000,0,424240000,10000,0,219180000,1e+05,0,195870000,1050000,0
"AO",502230000,12940000,6080000,482620000,9860000,3990000,637970000,10540000,5970000,661260000,11090000,4140000,1364680000,14380000,6240000,503150000,11880000,5130000,461750000,266480000,53720000,402090000,133640000,34250000,400300000,31080000,72390000,311890000,59370000,13260000,306820000,57320000,14760000,246550000,54880000,13540000,293130000,50790000,7490000,342290000,56080000,15390000
"BJ",460730000,63900000,10910000,529400000,75660000,9590000,415960000,74330000,13530000,461070000,67320000,14440000,580190000,105770000,12680000,484810000,72730000,12920000,1783660000,1323250000,72700000,520100000,22670000,6500000,652480000,18460000,5720000,705800000,17470000,7340000,727230000,21970000,7150000,702010000,28760000,11380000,543720000,32350000,8190000,673010000,25490000,8230000
"BW",68600000,20170000,8500000,72730000,24500000,8190000,74540000,21940000,7830000,55290000,18820000,4090000,81240000,20410000,5400000,81230000,24730000,6570000,100270000,22480000,5280000,130260000,18060000,4570000,740660000,37290000,5030000,305180000,14530000,3280000,172870000,12120000,2720000,136140000,16220000,3970000,89970000,16100000,3820000,126220000,19220000,3120000
"BF",625330000,303500000,13680000,763210000,90140000,10490000,783860000,86830000,15230000,808480000,82690000,18610000,863660000,84470000,17550000,906310000,81810000,16450000,2642360000,1601560000,92800000,1035500000,36060000,12860000,1034210000,44790000,10010000,1149010000,39550000,14690000,1135310000,42580000,14340000,1015150000,55990000,16730000,1226340000,67800000,15340000,1074100000,52770000,15320000
"BI",190010000,34020000,7400000,273540000,32380000,7440000,301610000,29470000,7320000,331520000,26140000,9160000,514020000,72920000,41680000,470740000,43410000,11960000,541040000,45810000,11350000,540020000,37870000,12010000,573670000,52370000,14950000,1655540000,1080510000,12410000,663950000,15040000,1900000,567020000,11590000,2780000,539150000,16420000,3020000,563080000,20890000,2570000
"CV",164830000,10460000,3040000,136830000,7710000,4040000,155490000,11270000,4870000,204360000,8660000,4270000,186660000,13770000,5490000,208240000,17850000,5140000,173360000,17010000,5600000,186350000,17840000,5470000,230110000,16510000,6970000,214690000,20480000,6680000,348810000,20860000,6300000,264500000,28070000,16720000,267850000,21710000,11310000,261860000,24570000,12280000
"CM",846540000,237640000,19920000,977390000,216340000,15830000,1238070000,257210000,37870000,1388590000,235200000,85350000,1173210000,226840000,51090000,766770000,281460000,26300000,3946050000,1986960000,111030000,2155600000,192810000,91980000,1122350000,585860000,58410000,803050000,145120000,46720000,679460000,127540000,48860000,667830000,81150000,12190000,692150000,95910000,25260000,768480000,39380000,11540000
"CF",138930000,26550000,5270000,146600000,24150000,4840000,103710000,11990000,410000,76950000,9100000,2240000,140690000,10240000,210000,116500000,12570000,180000,220940000,67900000,20640000,242680000,59370000,19770000,291300000,31940000,8320000,829940000,583750000,6890000,281180000,13380000,990000,266960000,7580000,1540000,236440000,9170000,830000,195030000,9130000,7e+05
"TD",236310000,24410000,7760000,342900000,29790000,7230000,405240000,48220000,12280000,392460000,56220000,13250000,450730000,46780000,12400000,515790000,60850000,13740000,388780000,56620000,13880000,427550000,49200000,13300000,511220000,98020000,17210000,6.26e+08,54240000,13740000,555720000,56370000,11610000,507110000,60450000,12250000,534760000,56160000,10920000,446500000,56400000,11260000
"KM",36960000,5560000,1300000,52160000,6530000,1030000,49360000,6180000,1060000,37780000,5250000,1710000,36610000,5210000,1300000,32390000,5610000,1380000,41200000,5010000,1570000,52070000,5900000,2150000,47780000,7930000,6510000,59630000,9720000,2760000,74920000,6390000,1510000,59010000,9480000,2090000,116970000,48320000,2070000,178590000,98470000,310000
"CG",85270000,31460000,4150000,146630000,29750000,9890000,139380000,48830000,3780000,117410000,26360000,12430000,195970000,56960000,50700000,1794700000,132540000,18950000,482300000,189750000,14980000,158710000,34190000,9220000,497530000,37360000,22170000,321560000,44560000,18030000,1626990000,304740000,4520000,333230000,86690000,1780000,190430000,51820000,6310000,175500000,27560000,2240000
"CI",783440000,214990000,22860000,527940000,201980000,21590000,2181840000,467410000,41710000,576950000,246420000,37730000,421570000,230740000,11130000,272810000,165690000,2490000,402010000,121470000,8860000,325760000,143550000,16210000,831270000,205100000,66290000,2556070000,164120000,54760000,982170000,113160000,32810000,1493390000,114040000,25590000,4696970000,2061350000,30850000,2097770000,856900000,18250000
"CD",308420000,14060000,630000,416540000,8060000,260000,2357030000,557890000,173490000,7295780000,237150000,268170000,2368790000,99960000,38370000,2327100000,85400000,34460000,2547490000,70900000,33130000,1550200000,137160000,28970000,1957650000,197240000,28890000,2671260000,218070000,26240000,6069380000,2513510000,16890000,7309980000,1929470000,94240000,2876950000,17580000,9400000,2596100000,42130000,1.1e+07
"DJ",121930000,11120000,1590000,109120000,11570000,1150000,125390000,11240000,1760000,110410000,5600000,2620000,87970000,11050000,2620000,96630000,9230000,1810000,145480000,13880000,3990000,130060000,12700000,2530000,154200000,15160000,3820000,186840000,16060000,2970000,154260000,18050000,3610000,155970000,18960000,3540000,166600000,20010000,3630000,167440000,16770000,3540000
"GQ",47900000,9750000,1240000,35990000,11850000,1020000,39490000,6530000,1200000,33740000,5490000,1640000,59560000,24810000,10200000,49830000,5630000,9640000,38250000,9280000,2920000,36630000,5490000,1260000,33750000,3650000,1580000,35060000,5180000,1170000,89120000,4670000,880000,27600000,4750000,910000,20090000,5890000,770000,11080000,5640000,7e+05
"ER",284280000,860000,1560000,470590000,2720000,1990000,353330000,5030000,3420000,429650000,4250000,3470000,339320000,11700000,5620000,423320000,10280000,4940000,159060000,10190000,5240000,171410000,2030000,4270000,153010000,5430000,4090000,155090000,5360000,4890000,173090000,6980000,4690000,134010000,8400000,3490000,137340000,3560000,1400000,94150000,11250000,1730000
"ET",1144970000,74850000,33690000,1824550000,75310000,32130000,2113380000,112900000,41960000,2249950000,133410000,41600000,2316170000,113850000,47170000,2450880000,185620000,47700000,7190320000,4869440000,185200000,2682850000,20290000,13670000,3380940000,27310000,8960000,4019030000,26680000,16760000,3683080000,21020000,18430000,3530850000,47280000,2.7e+07,3322280000,60960000,33410000,3902020000,74950000,39020000
"GA",119620000,100020000,2290000,148530000,135890000,6870000,157470000,43700000,840000,209790000,224190000,22140000,115950000,67920000,13280000,137840000,66350000,2520000,102270000,69610000,22630000,102110000,49740000,9660000,92060000,32730000,6480000,110960000,35200000,6200000,131150000,25270000,3670000,104630000,35410000,1430000,99680000,26480000,1710000,103290000,14960000,560000
"GM",88930000,13260000,4190000,95710000,12490000,3100000,114040000,15280000,4770000,96260000,13260000,4700000,101130000,27290000,4990000,89520000,17400000,4500000,105710000,17670000,3040000,336810000,233680000,30690000,3.24e+08,229560000,3060000,147890000,14580000,2620000,136430000,12250000,2760000,140380000,9690000,4560000,152690000,13890000,2770000,122910000,11550000,2900000
"GH",1056890000,173990000,67460000,1225340000,216710000,58070000,1215260000,188610000,64590000,1421250000,133510000,48940000,2975760000,1298520000,123310000,1928130000,578520000,55350000,6922960000,5505460000,118310000,1240590000,20550000,16770000,1339420000,32860000,15990000,1711720000,65850000,26580000,1793470000,39900000,26140000,1838630000,66580000,29470000,1924800000,116890000,32730000,1416740000,85890000,32980000
"GN",336160000,104620000,20750000,577950000,121670000,17880000,488290000,108930000,24400000,426130000,91190000,24700000,430320000,95910000,18890000,336520000,101980000,20690000,311900000,115030000,26980000,332660000,91610000,17730000,501590000,175890000,66040000,283910000,70410000,14860000,272710000,51410000,8980000,359290000,161810000,31130000,1770960000,1431320000,16030000,700310000,194750000,10950000
"GW",142110000,5530000,3150000,115490000,11700000,3350000,110350000,15900000,4290000,217220000,17110000,4080000,108890000,17390000,4260000,94570000,17580000,3750000,118250000,20730000,5990000,139720000,14710000,3770000,142530000,14170000,5510000,164570000,19920000,4e+06,298770000,170530000,3430000,347850000,233370000,5820000,82280000,3400000,1160000,106200000,3490000,1070000
"KE",986370000,226470000,63650000,965580000,220270000,61700000,822630000,247880000,78020000,932580000,251550000,75280000,963190000,170310000,49330000,1062890000,176680000,46450000,1269370000,185910000,48010000,1656880000,257200000,75320000,1633500000,254710000,73540000,2095480000,239710000,72040000,1956150000,273250000,62680000,2708850000,271460000,68430000,3.175e+09,520960000,91160000,3584400000,332550000,69230000
"LS",81760000,22190000,4620000,116500000,28930000,4570000,139820000,24430000,5440000,119560000,17590000,5250000,131460000,16240000,5460000,94370000,16620000,4860000,97560000,18650000,7770000,153460000,20430000,5130000,161300000,17990000,8210000,150910000,26570000,5730000,289460000,26860000,4650000,290890000,30590000,9940000,309650000,26980000,5510000,341710000,26220000,5260000
"LR",106870000,4700000,1030000,72400000,12720000,2580000,1.02e+08,19510000,950000,152640000,8800000,1150000,269800000,11880000,1270000,264350000,3970000,110000,298630000,1e+05,0,797800000,44250000,22350000,1632980000,385650000,380860000,554400000,23320000,10510000,1916900000,454900000,720000,978900000,234840000,3210000,573750000,2780000,410000,535230000,3920000,870000
"MG",588170000,96050000,21430000,682660000,92170000,19760000,647130000,75560000,24330000,854030000,131640000,28880000,1593890000,73840000,3.1e+07,1385820000,316060000,45170000,3849300000,2944940000,89810000,993680000,21030000,12730000,865630000,22190000,11600000,468510000,15040000,14320000,512150000,27620000,13530000,462700000,33990000,21100000,418650000,39960000,14890000,714240000,211990000,67660000
"MW",730520000,61810000,29790000,737160000,81890000,26940000,646620000,75430000,31880000,763750000,75930000,26110000,708340000,102110000,31660000,775380000,97680000,28320000,3602380000,2784180000,96600000,1956520000,1170880000,6690000,945820000,17780000,3380000,825610000,6630000,4840000,1077450000,13720000,4380000,805610000,19990000,6510000,1197150000,22530000,7380000,1164680000,43010000,7370000
"ML",692760000,226370000,20560000,724300000,144710000,18390000,809770000,149220000,23430000,868300000,119370000,25520000,942230000,220160000,23010000,977850000,117600000,21110000,3346240000,2345140000,1.16e+08,1110990000,42840000,11530000,1012800000,44750000,10210000,1071200000,46080000,15530000,1167840000,43950000,14310000,1301610000,52230000,15470000,1050440000,49140000,15230000,1421270000,52790000,17960000
"MR",413040000,61940000,11430000,530410000,68870000,10290000,649190000,83630000,13760000,406910000,64440000,11460000,389770000,157040000,16590000,279270000,57010000,14810000,1401050000,1141750000,63490000,382360000,16620000,5180000,494810000,43850000,6040000,395040000,15960000,4660000,421490000,37240000,7840000,413210000,47220000,10730000,465960000,57680000,9300000,336450000,47540000,6620000
"MU",72140000,37620000,6230000,79130000,44050000,5600000,84280000,46550000,5110000,57210000,75560000,10600000,78630000,38700000,11060000,84600000,41970000,3690000,76220000,53810000,11130000,99810000,29760000,6980000,148260000,46430000,6660000,170810000,20210000,7300000,145450000,20400000,8030000,201250000,26500000,4790000,200360000,22450000,11420000,173210000,31420000,3230000
"YT",178740000,530000,240000,214090000,4740000,210000,207340000,5080000,190000,225630000,5710000,2120000,253050000,6110000,3300000,241830000,7890000,60000,380570000,210000,60000,414470000,4430000,2500000,447990000,4840000,2520000,526250000,4660000,1770000,610010000,7410000,4130000,0,0,0,0,0,0,0,0,0
"MZ",1851010000,371460000,20390000,1662430000,91960000,13800000,3697060000,198740000,20520000,1489300000,74290000,22130000,1598980000,76650000,28330000,1638960000,91220000,25820000,4117500000,2215860000,119880000,1892440000,33550000,14710000,2023550000,35810000,13920000,2117380000,32940000,18450000,2077500000,63100000,19520000,2094330000,69640000,31620000,2170350000,73420000,33860000,2431530000,138430000,67630000
"NA",260090000,6300000,5510000,1.96e+08,8970000,7330000,232960000,10430000,8890000,202090000,10200000,2280000,219550000,12050000,7810000,162730000,16320000,7880000,192450000,20020000,14700000,233970000,5970000,2100000,221850000,9340000,4200000,338790000,8360000,3170000,275860000,10580000,9190000,312720000,27320000,9470000,301140000,36260000,15290000,298480000,43510000,10610000
"NE",382720000,48190000,10700000,482150000,53400000,11220000,525630000,57850000,12950000,689120000,49190000,15370000,739870000,81210000,14090000,684400000,63580000,14230000,2206760000,1580120000,54720000,599820000,20390000,5370000,622790000,18040000,4100000,496210000,16900000,6250000,785780000,20490000,5240000,659480000,32660000,7980000,933460000,31600000,6080000,795170000,31320000,6830000
"NG",285300000,29690000,12120000,327010000,55220000,27160000,475490000,41040000,25560000,454690000,56010000,18730000,725100000,46370000,18300000,7213720000,64120000,15460000,13731180000,927900000,115630000,2.092e+09,87480000,19810000,1485260000,171340000,19930000,1794920000,56370000,22330000,2187540000,42230000,27970000,1903870000,155140000,35700000,2021720000,105900000,37710000,2670380000,154980000,41770000
"RW",542180000,32020000,11770000,535910000,46430000,10240000,588480000,38070000,13890000,481920000,38210000,13010000,631980000,46700000,13780000,734270000,64260000,15310000,2226640000,1547780000,55600000,762020000,8140000,4120000,938930000,6810000,3790000,967900000,6770000,5290000,1082020000,12530000,4040000,1255080000,20100000,6390000,916730000,37760000,8130000,1095290000,20260000,7700000
"SH",26030000,0,0,21840000,0,0,18770000,0,0,21730000,0,0,27570000,0,0,23410000,0,0,28620000,0,0,39870000,0,0,63020000,0,0,37630000,0,0,57280000,0,0,84050000,0,4420000,168230000,0,0,137550000,10000,0
"ST",61190000,3250000,1750000,69640000,4650000,1160000,47640000,6490000,2290000,56320000,6790000,1860000,47070000,7170000,1950000,44690000,6790000,1780000,38660000,13310000,4350000,260220000,206780000,17200000,64260000,16810000,630000,30750000,1190000,410000,50680000,1580000,150000,70590000,1800000,680000,50660000,1850000,1040000,53670000,2510000,1110000
"SN",862390000,172850000,23870000,902090000,199100000,27500000,870950000,186010000,30250000,775660000,167100000,34340000,1562650000,276760000,33200000,1015790000,193700000,30870000,3883330000,2889400000,99820000,967100000,50140000,14390000,1173210000,112280000,29620000,1089500000,51050000,15550000,1003540000,51920000,17140000,1097330000,70830000,21180000,1159330000,79170000,23620000,1041110000,68500000,22930000
"SC",39520000,3060000,490000,21810000,1190000,220000,89480000,1320000,380000,14370000,860000,1e+05,13930000,1170000,180000,21320000,1360000,1e+05,17720000,1790000,150000,16320000,4180000,670000,13320000,540000,970000,26530000,3380000,1390000,84700000,27120000,1560000,24080000,2880000,2610000,37700000,2120000,1070000,29420000,4450000,1310000
"SL",328070000,45230000,6870000,595010000,55380000,6320000,633610000,62050000,8610000,514630000,76710000,21960000,504210000,59410000,10730000,422910000,31770000,9110000,903940000,470700000,48980000,1184310000,615830000,17690000,379850000,4520000,1310000,470520000,7230000,2790000,492960000,8650000,1940000,427350000,12870000,2570000,458780000,15970000,3330000,554390000,106490000,39170000
"SO",185180000,3170000,0,257300000,2720000,0,248610000,2530000,0,254800000,1710000,320000,258980000,2500000,0,291790000,1190000,0,451560000,1080000,170000,418690000,1030000,130000,774030000,640000,90000,691030000,1420000,90000,517400000,1290000,70000,1072460000,1170000,60000,1000080000,1460000,0,991780000,3550000,0
"ZA",791520000,12200000,4850000,749650000,51950000,16810000,836750000,43760000,2290000,885760000,23890000,6620000,786900000,37570000,6620000,871950000,68620000,2660000,925570000,110960000,8120000,1045460000,200060000,21380000,1156930000,39340000,16270000,1153240000,41610000,17670000,1170750000,108540000,34020000,1435550000,65920000,29390000,1261360000,194200000,40550000,1416950000,156560000,8550000
"SS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094460000,1860000,0,1580930000,2930000,0,1445450000,2640000,0
"SD",408270000,38310000,4520000,352630000,29350000,2970000,474080000,20800000,1920000,859680000,42540000,4940000,1254610000,44590000,4540000,2166990000,30390000,2590000,2356850000,24900000,1920000,2280240000,34310000,1560000,2657640000,36600000,2600000,2570960000,81240000,5230000,2218810000,76400000,8560000,1142890000,74740000,8750000,1056150000,81050000,10840000,1214800000,51270000,5300000
"SZ",40730000,20960000,2160000,71260000,23050000,2940000,51750000,16870000,3150000,62860000,9550000,1670000,42920000,12850000,2870000,82610000,23040000,3470000,58500000,16130000,6260000,71050000,15290000,2410000,79290000,8250000,3310000,72340000,14060000,2540000,102100000,7670000,2450000,136250000,13260000,4360000,99890000,11740000,3660000,125980000,12260000,3450000
"TZ",1793470000,162280000,41970000,2166490000,163600000,38710000,2175320000,183810000,46120000,2481870000,184010000,43460000,2439220000,297650000,56070000,1946500000,181370000,48340000,7255770000,5095190000,147190000,3214550000,21680000,17050000,2365520000,17820000,16570000,3125780000,26020000,26280000,3100660000,21170000,28900000,2475420000,77590000,39620000,2873050000,41170000,40970000,3692740000,254980000,136360000
"TG",152820000,42540000,7280000,140300000,65310000,9130000,109210000,29850000,560000,95050000,29430000,1920000,107320000,28220000,590000,117250000,20260000,320000,114720000,23830000,9660000,142300000,16370000,1090000,455790000,137100000,56190000,571690000,43740000,13090000,562740000,152600000,11610000,1214490000,696610000,9440000,250320000,8860000,550000,228910000,6890000,610000
"UG",1464490000,127230000,32320000,1480980000,158420000,32060000,1270580000,168020000,37980000,1450370000,139090000,36640000,1681020000,221080000,42820000,1551140000,150760000,39500000,6006270000,4217580000,121910000,1856610000,34660000,11830000,1683310000,38930000,11180000,1885060000,21280000,15790000,1810360000,20790000,18900000,1589150000,42750000,26190000,1705080000,49900000,24540000,1.839e+09,156790000,31080000
"ZM",1302310000,55920000,50720000,1326690000,407150000,51620000,1667700000,4.15e+08,39780000,1397520000,376750000,44250000,1696830000,361270000,41020000,2532680000,1152200000,182180000,5613510000,3949320000,87580000,1113730000,23820000,10090000,1151190000,28480000,4620000,1323840000,7490000,6980000,966140000,16050000,5360000,1063670000,46320000,13080000,1013420000,55680000,12130000,1192190000,52420000,9820000
"ZW",365050000,93590000,13020000,304340000,38510000,9700000,328540000,30310000,5120000,263420000,19250000,20000,254900000,31870000,3740000,451410000,12210000,1720000,322650000,10780000,1310000,495760000,4e+05,1e+05,630530000,3890000,1180000,787280000,130000,840000,775780000,9310000,6e+05,704920000,3530000,110000,1011040000,9810000,180000,827230000,24430000,1420000
"south-of-sahara",570380000,5580000,1290000,1059270000,12390000,4650000,1353540000,10510000,3620000,1786380000,14050000,940000,1748700000,13180000,3980000,1562620000,14350000,4090000,1857270000,35900000,8510000,1831520000,16270000,5070000,2844640000,13740000,5660000,2628410000,13360000,4710000,2520240000,5120000,880000,2522390000,3.4e+07,3780000,3009130000,21330000,2310000,2240800000,25500000,1820000
"africa",1055370000,75380000,3460000,661950000,46560000,30000,804520000,38070000,420000,748990000,27990000,4370000,783810000,7600000,2790000,1121440000,140610000,50000,1059600000,44330000,60000,1584290000,23220000,410000,1360860000,36010000,1020000,2610140000,123740000,5170000,1738700000,96410000,7710000,1959130000,21280000,5950000,1994180000,23870000,4800000,1943600000,88660000,7210000
"AI",5560000,7e+05,290000,5930000,790000,310000,2910000,2190000,960000,5600000,590000,230000,3460000,460000,260000,5090000,390000,250000,5340000,450000,230000,6310000,450000,2e+05,3500000,4e+05,180000,2070000,360000,160000,8620000,390000,0,810000,510000,140000,5420000,380000,130000,7650000,270000,120000
"AG",15890000,1480000,8e+05,13810000,1230000,410000,22190000,3160000,570000,9120000,1040000,360000,4250000,2270000,470000,11080000,1100000,470000,5030000,880000,390000,8950000,980000,430000,9790000,1030000,3e+05,7060000,790000,510000,20210000,720000,60000,16220000,1260000,290000,3220000,860000,290000,2660000,1050000,480000
"BB",9700000,9010000,2820000,6200000,8960000,2580000,18590000,13700000,8630000,34510000,8470000,580000,41340000,7650000,2310000,9220000,11190000,2820000,7670000,9920000,2430000,20130000,1820000,290000,9470000,2700000,340000,13710000,1530000,350000,17720000,1340000,150000,0,0,0,0,0,0,0,0,0
"BZ",38760000,15110000,2160000,52860000,18060000,2070000,58860000,25310000,6240000,24100000,8500000,1310000,17010000,7720000,1410000,21170000,6900000,1400000,16900000,6960000,1320000,30510000,6910000,1290000,28560000,4900000,1150000,33230000,4910000,1480000,30240000,4510000,440000,29210000,7380000,1740000,32290000,7110000,1920000,54950000,6080000,1470000
