"id","year","in-oda-gross","capital-repayment","interest-repayment"
"PK",2001,3250870000,462170000,188580000
"LK",2001,902200000,382710000,149530000
"TJ",2001,258310000,2390000,3620000
"TM",2001,111680000,0,90000
"UZ",2001,219680000,410000,12090000
"central-asia",2001,0,0,0
"south-asia",2001,0,0,0
"south-central-asia",2001,76980000,0,0
"BH",2001,120290000,8580000,0
"IR",2001,204180000,23430000,11500000
"IQ",2001,210810000,0,0
"JO",2001,877290000,215130000,67330000
"LB",2001,344120000,34880000,5180000
"OM",2001,54580000,43120000,3050000
"SA",2001,19270000,0,4360000
"SY",2001,472780000,216640000,169120000
"PS",2001,1615880000,0,1800000
"YE",2001,672850000,88830000,25610000
"middle-east",2001,68910000,0,0
"asia",2001,506730000,1570000,0
"CK",2001,11690000,280000,3e+05
"FJ",2001,54370000,3830000,280000
"KI",2001,27490000,140000,60000
"MH",2001,96250000,0,680000
"FM",2001,175850000,5e+05,4e+05
"NR",2001,20830000,0,0
"NU",2001,8410000,0,0
"PW",2001,44930000,0,0
"PG",2001,590350000,58940000,23800000
"WS",2001,84610000,5140000,1870000
"SB",2001,136170000,5950000,1700000
"TK",2001,9580000,0,0
"TO",2001,43030000,3990000,1010000
"TV",2001,16670000,20000,50000
"VU",2001,68790000,1380000,960000
"WF",2001,87710000,0,0
"oceania",2001,129820000,5540000,0
"bilateral-unspecified",2001,13961850000,498180000,3850000
"AL",2002,490410000,22310000,6780000
"BY",2002,0,0,0
"BA",2002,882890000,8180000,6370000
"HR",2002,230490000,17230000,2190000
"MK",2002,434590000,6110000,6750000
"XK",2002,0,0,0
"MT",2002,21240000,3380000,770000
"MD",2002,206690000,2840000,3640000
"ME",2002,0,0,0
"RS",2002,3010770000,1040000,23780000
"SI",2002,104810000,20230000,8100000
"ex-yugoslavia",2002,1419870000,20000,0
"TR",2002,979550000,572130000,141800000
"UA",2002,0,0,0
"europe",2002,586330000,3690000,0
"DZ",2002,404200000,95980000,7800000
"EG",2002,2386160000,604440000,316540000
"LY",2002,0,0,0
"MA",2002,906790000,342130000,56050000
