"id-from","entity-from-name","id-to","entity-to-name","year","sector","oof-bundle","channel","value"
"CA","Canada","africa","Africa, regional",2013,"other","oof-grant","unspecified",7054082
"CA","Canada","africa","Africa, regional",2013,"governance-and-security","oof-grant","unspecified",7142585
"DE","Germany","africa","Africa, regional",2013,"other","oof-loan","unspecified",19208443
"DE","Germany","africa","Africa, regional",2013,"infrastructure","oof-loan","unspecified",92041266
"DE","Germany","africa","Africa, regional",2013,"industry-and-trade","oof-loan","unspecified",35725667
"DK","Denmark","africa","Africa, regional",2013,"other","oof-loan","unspecified",30562993
"ES","Spain","africa","Africa, regional",2013,"other","oof-grant","unspecified",17973209
"EU","European Union","africa","Africa, regional",2013,"banking-and-business","oof-loan","multilateral",46890332
"EU","European Union","africa","Africa, regional",2013,"infrastructure","oof-loan","multilateral",8016751
"FI","Finland","africa","Africa, regional",2013,"other","oof-loan","unspecified",5489490
"FI","Finland","africa","Africa, regional",2013,"industry-and-trade","oof-loan","unspecified",4154039
"FR","France","africa","Africa, regional",2013,"other","oof-loan","unspecified",189116249
"GB","UK","africa","Africa, regional",2013,"other","oof-loan","unspecified",16480223
"KR","South Korea","africa","Africa, regional",2013,"other","oof-loan","unspecified",218781226
"ofid","OFID","africa","Africa, regional",2013,"industry-and-trade","oof-loan","unspecified",1512783
"ofid","OFID","africa","Africa, regional",2013,"banking-and-business","oof-loan","unspecified",81016936
"SE","Sweden","africa","Africa, regional",2013,"banking-and-business","oof-loan","unspecified",7438369
"SE","Sweden","africa","Africa, regional",2013,"other","oof-loan","unspecified",9036034
"US","USA","africa","Africa, regional",2013,"other","oof-loan","unspecified",42144766
"EU","European Union","AL","Albania",2006,"other","oof-loan","unspecified",23772389
"EU","European Union","AL","Albania",2007,"other","oof-loan","unspecified",42296090
"ibrd","IBRD","AL","Albania",2007,"other","oof-loan","unspecified",377880
"ibrd","IBRD","AL","Albania",2007,"governance-and-security","oof-loan","unspecified",573295
"ibrd","IBRD","AL","Albania",2007,"infrastructure","oof-loan","unspecified",4853297
"EU","European Union","AL","Albania",2008,"other","oof-loan","unspecified",31849419
"GR","Greece","AL","Albania",2008,"industry-and-trade","oof-grant","unspecified",358461
"ibrd","IBRD","AL","Albania",2008,"infrastructure","oof-loan","unspecified",9988697
"ibrd","IBRD","AL","Albania",2008,"other","oof-loan","unspecified",1919378
"ibrd","IBRD","AL","Albania",2008,"governance-and-security","oof-loan","unspecified",27924
"ebrd","EBRD","AL","Albania",2009,"infrastructure","oof-loan","public-sector-unknown",46762556
"ebrd","EBRD","AL","Albania",2009,"infrastructure","oof-loan","other",9232446
"ebrd","EBRD","AL","Albania",2009,"banking-and-business","oof-loan","other",657168
"ebrd","EBRD","AL","Albania",2009,"industry-and-trade","oof-loan","other",27086452
"EU","European Union","AL","Albania",2009,"other","oof-loan","unspecified",32126817
"ibrd","IBRD","AL","Albania",2009,"infrastructure","oof-loan","unspecified",7733920
"ibrd","IBRD","AL","Albania",2009,"governance-and-security","oof-loan","unspecified",-525314
"ofid","OFID","AL","Albania",2009,"infrastructure","oof-loan","unspecified",5386717
"ebrd","EBRD","AL","Albania",2010,"infrastructure","oof-loan","other",3238382
"ebrd","EBRD","AL","Albania",2010,"industry-and-trade","oof-loan","other",22337808
"ebrd","EBRD","AL","Albania",2010,"banking-and-business","oof-loan","other",28887718
"ebrd","EBRD","AL","Albania",2010,"infrastructure","oof-loan","public-sector-recipient",19778243
"EU","European Union","AL","Albania",2010,"infrastructure","oof-loan","unspecified",18448762
"ibrd","IBRD","AL","Albania",2010,"humanitarian","oof-loan","unspecified",2095028
"ibrd","IBRD","AL","Albania",2010,"other","oof-loan","unspecified",193802
"ibrd","IBRD","AL","Albania",2010,"governance-and-security","oof-loan","unspecified",660760
"ibrd","IBRD","AL","Albania",2010,"other-social-services","oof-loan","unspecified",277106
"ofid","OFID","AL","Albania",2010,"infrastructure","oof-loan","unspecified",4580384
"ebrd","EBRD","AL","Albania",2011,"infrastructure","oof-loan","public-sector-recipient",48925544
"ebrd","EBRD","AL","Albania",2011,"industry-and-trade","oof-loan","other",36041329
"ebrd","EBRD","AL","Albania",2011,"infrastructure","oof-loan","other",26241175
"ebrd","EBRD","AL","Albania",2011,"health","oof-loan","other",12893716
"ebrd","EBRD","AL","Albania",2011,"banking-and-business","oof-loan","other",1935415
"ibrd","IBRD","AL","Albania",2011,"governance-and-security","oof-loan","unspecified",1204683
"ibrd","IBRD","AL","Albania",2011,"other","oof-loan","unspecified",2824595
"ibrd","IBRD","AL","Albania",2011,"humanitarian","oof-loan","unspecified",253461
"ibrd","IBRD","AL","Albania",2011,"other-social-services","oof-loan","unspecified",24576061
"ibrd","IBRD","AL","Albania",2011,"infrastructure","oof-loan","unspecified",-297028
"ofid","OFID","AL","Albania",2011,"infrastructure","oof-loan","unspecified",929818
"ebrd","EBRD","AL","Albania",2012,"water-and-sanitation","oof-loan","other",24376935
"ebrd","EBRD","AL","Albania",2012,"infrastructure","oof-loan","other",10738432
"ebrd","EBRD","AL","Albania",2012,"industry-and-trade","oof-loan","other",63227693
"ebrd","EBRD","AL","Albania",2012,"banking-and-business","oof-loan","other",3391011
"ebrd","EBRD","AL","Albania",2012,"infrastructure","oof-loan","public-sector-recipient",45491453
"ibrd","IBRD","AL","Albania",2012,"water-and-sanitation","oof-loan","unspecified",154275
"ibrd","IBRD","AL","Albania",2012,"other","oof-loan","unspecified",4173857
"ibrd","IBRD","AL","Albania",2012,"governance-and-security","oof-loan","unspecified",3719176
"ibrd","IBRD","AL","Albania",2012,"humanitarian","oof-loan","unspecified",402284
"ibrd","IBRD","AL","Albania",2012,"other-social-services","oof-loan","unspecified",2070983
"islamic-dev-bank","Islamic Dev Bank","AL","Albania",2012,"other","oof-loan","unspecified",94272180
"ebrd","EBRD","AL","Albania",2013,"infrastructure","oof-loan","public-sector-recipient",21820299
"ebrd","EBRD","AL","Albania",2013,"health","oof-loan","other",14433
"ebrd","EBRD","AL","Albania",2013,"industry-and-trade","oof-loan","other",1020511
"ebrd","EBRD","AL","Albania",2013,"banking-and-business","oof-loan","other",17862102
"ebrd","EBRD","AL","Albania",2013,"infrastructure","oof-loan","other",9680758
"ebrd","EBRD","AL","Albania",2013,"other","oof-loan","other",198964
"ibrd","IBRD","AL","Albania",2013,"agriculture-and-food-security","oof-loan","public-sector-recipient",1124053
"ibrd","IBRD","AL","Albania",2013,"governance-and-security","oof-loan","public-sector-recipient",-1794
"ibrd","IBRD","AL","Albania",2013,"humanitarian","oof-loan","public-sector-recipient",67123
"ibrd","IBRD","AL","Albania",2013,"other","oof-loan","public-sector-recipient",3671496
"ibrd","IBRD","AL","Albania",2013,"other-social-services","oof-loan","public-sector-recipient",2714288
"ibrd","IBRD","AL","Albania",2013,"water-and-sanitation","oof-loan","public-sector-recipient",156845
"afdb","AfDB","DZ","Algeria",2006,"infrastructure","oof-loan","public-sector-unknown",1531501
"afdb","AfDB","DZ","Algeria",2006,"water-and-sanitation","oof-loan","public-sector-unknown",1163792
"ibrd","IBRD","DZ","Algeria",2006,"water-and-sanitation","oof-loan","unspecified",646748
"ibrd","IBRD","DZ","Algeria",2006,"agriculture-and-food-security","oof-loan","unspecified",2626376
"ibrd","IBRD","DZ","Algeria",2006,"infrastructure","oof-loan","unspecified",1982662
"ibrd","IBRD","DZ","Algeria",2006,"banking-and-business","oof-loan","unspecified",1255391
"ibrd","IBRD","DZ","Algeria",2006,"environment","oof-loan","unspecified",22647
"ibrd","IBRD","DZ","Algeria",2006,"governance-and-security","oof-loan","unspecified",3308343
"ibrd","IBRD","DZ","Algeria",2006,"other-social-services","oof-loan","unspecified",9182215
"ibrd","IBRD","DZ","Algeria",2007,"governance-and-security","oof-loan","unspecified",4388080
"ibrd","IBRD","DZ","Algeria",2007,"infrastructure","oof-loan","unspecified",1286532
"ibrd","IBRD","DZ","Algeria",2007,"other-social-services","oof-loan","unspecified",462905
"ibrd","IBRD","DZ","Algeria",2007,"banking-and-business","oof-loan","unspecified",277743
"EU","European Union","DZ","Algeria",2008,"other","oof-loan","unspecified",2681902
"ibrd","IBRD","DZ","Algeria",2008,"governance-and-security","oof-loan","unspecified",1805439
"ibrd","IBRD","DZ","Algeria",2008,"infrastructure","oof-loan","unspecified",2803065
"ibrd","IBRD","DZ","Algeria",2009,"governance-and-security","oof-loan","unspecified",-343124
"ibrd","IBRD","DZ","Algeria",2010,"governance-and-security","oof-loan","unspecified",-31734
"BE","Belgium","DZ","Algeria",2012,"industry-and-trade","oof-loan","unspecified",759865
"BE","Belgium","DZ","Algeria",2013,"other","oof-loan","unspecified",83107
"AU","Australia","america","America, regional",2006,"other","oof-grant","unspecified",505101
"BE","Belgium","america","America, regional",2006,"other","oof-loan","unspecified",7974632
"FI","Finland","america","America, regional",2006,"other","oof-loan","unspecified",1633490
"KR","South Korea","america","America, regional",2006,"other","oof-loan","unspecified",46435215
"US","USA","america","America, regional",2006,"other","oof-loan","unspecified",40167660
